0	Index      	Bounty	 *	Score 	Summary	Detail	
1	15113 23421	3	 * 	286.24	DCR|3VULN|3DMG|2TLV|2LIT|1AART	17LIT|278VULN|346DMG|57TLV|7BPWR|9AART|aRCR
33	15326 12326	3	   	272.46	DCR|4VULN|1TLV|1DMG|1DUR|2LIT	13LIT|2348VULN|3BPWR|5TLV|6CGEN|7DMG|9RCR|aDUR
34	15325 11511	10	   	272.46	DCR|4VULN|1TLV|1DMG|1DUR|2LIT	13LIT|239aVULN|3BPWR|4FEWX|5DMG|6DUR|7RCR|8TLV
35	15351 31511	10	   	272.46	DCR|4VULN|1TLV|1DMG|1DUR|2LIT	13LIT|239aVULN|3BPWR|4DUR|5FEWX|6DMG|7RCR|8TLV
36	15352 31511	10	   	272.36	DCR|4VULN|1TLV|1DMG|1DUR|2LIT	13LIT|239aVULN|3BPWR|4DUR|5DUST|6DMG|7RCR|8TLV
37	63313 15351	2	   	272.20	DCR|3VULN|3DMG|1DUR|2LIT|1CDMG	1RPLT|27LIT|3CDMG|467DMG|578VULN|7BPWR|9DUR|aRCR
38	13121 15144	3	   	272.10	DCR|3VULN|3DMG|1DUR|2LIT|1CDMG|1NUKE	17LIT|2DUR|367DMG|479VULN|5NUKE|7BPWR|8CDMG|aRCR
39	12126 35212	5	 * 	272.08	DCR|5VULN|3TLV|2LIT|1AART|1SELL	17LIT|247TLV|3478aVULN|47BPWR|5SELL|6AART|9RCR
40	12126 35212	4	 * 	272.08	DCR|5VULN|3TLV|2LIT|1AART|1SELL	17LIT|247TLV|3478aVULN|47BPWR|5SELL|6AART|9RCR
41	15333 12214	7	 * 	271.05	DCR|4VULN|1TLV|3LIT|1DUR|1CDMG	136LIT|2359VULN|3BPWR|4CDMG|7RCR|8TLV|aDUR
42	15333 12514	8	   	271.05	DCR|4VULN|1TLV|3LIT|1DUR|1CDMG	136LIT|2359VULN|3BPWR|4CDMG|7RCR|8TLV|aDUR
43	15333 12541	10	   	270.07	DCR|3VULN|1TLV|3LIT|1DMG|1DUR|1CDMG	136LIT|235VULN|3BPWR|4CDMG|7RCR|8TLV|9DUR|aDMG
44	12126 35215	4	   	269.99	DCR|4VULN|3TLV|1DUR|2LIT|1AART|1SELL	17LIT|247TLV|3478VULN|47BPWR|5SELL|6AART|9RCR|aDUR
45	12126 35215	5	   	269.99	DCR|4VULN|3TLV|1DUR|2LIT|1AART|1SELL	17LIT|247TLV|3478VULN|47BPWR|5SELL|6AART|9RCR|aDUR
46	15325 25112	3	 * 	269.88	ACR|5VULN|2DMG|2DUR|3LIT	137LIT|2347aVULN|37aBPWR|5RCR|67DMG|8aLHND|9aDUR
47	15333 12562	10	 * 	269.40	DCR|4VULN|2TLV|3LIT|2CDMG	136LIT|235aVULN|3aBPWR|4aCDMG|7RCR|8aTLV|9DMSP
48	12122 52275	5	 * 	269.40	DCR|4VULN|3TLV|3LIT|2CDMG	17aLIT|247TLV|347aVULN|47aBPWR|5RCVC|6MBVNT|8RCR|9aCDMG
49	15533 24332	7	 * 	269.26	DCR|5VULN|3CDMG|3LIT|1AART	189LIT|23589VULN|489CDMG|6AART|7RMIN|89BPWR|aRCR
50	12124 22255	5	   	269.23	DCR|3VULN|2DMG|3TLV|2LIT	17LIT|247TLV|349VULN|47BPWR|5ZMB|67DMG|8RCR|aASPD
51	12423 22321	3	   	269.23	DCR|3VULN|2DMG|2TLV|2LIT	17LIT|27TLV|3CGEN|458VULN|67DMG|7BPWR|9RCR|aASPD
52	12121 22255	5	   	269.13	DCR|3VULN|2DMG|3TLV|2LIT	17LIT|247TLV|349VULN|47BPWR|5ERES|67DMG|8RCR|aASPD
53	15113 62326	3	   	269.10	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	17LIT|278VULN|34DMG|5TLV|67CGEN|7BPWR|9RCR|aDUR
54	15354 12332	9	 * 	269.05	DCR|4VULN|2DMG|3LIT|1DUR	135LIT|238aVULN|3aBPWR|4DUR|6aDMG|7aLHND|9RCR
55	15325 11531	10	   	269.00	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	13LIT|23aVULN|3BPWR|4FEWX|59DMG|6DUR|7RCR|8TLV
56	15333 22326	2	   	269.00	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	17LIT|278VULN|3ERES|4DMSP|5TLV|67DMG|7BPWR|9RCR|aDUR
57	15351 31531	10	   	269.00	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	13LIT|23aVULN|3BPWR|4DUR|5FEWX|69DMG|7RCR|8TLV
58	15223 22326	1	   	268.90	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	17LIT|27ERES|3TLV|458VULN|67DMG|7BPWR|9RCR|aDUR
59	15352 31531	10	   	268.90	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	13LIT|23aVULN|3BPWR|4DUR|5DUST|69DMG|7RCR|8TLV
60	15126 21531	9	 * 	268.82	DCR|2VULN|2DMG|2TLV|2DUR	1LIT|2aVULN|39DMG|4MLV|5aDUR|6ASPD|7RCR|8aTLV|aBPWR
61	15311 32441	5	   	268.77	DCR|4VULN|3DUR|3LIT|1AART	139LIT|2379VULN|39BPWR|4AART|5DLOT|689DUR|aRCR
62	15113 62325	3	   	268.50	DCR|3VULN|3DMG|1TLV|2LIT	17LIT|278VULN|34aDMG|5TLV|67CGEN|7BPWR|9RCR
63	15333 22325	2	   	268.40	DCR|3VULN|3DMG|1TLV|2LIT	17LIT|278VULN|3ERES|4DMSP|5TLV|67aDMG|7BPWR|9RCR
64	15223 22325	1	   	268.30	DCR|3VULN|3DMG|1TLV|2LIT	17LIT|27ERES|3TLV|458VULN|67aDMG|7BPWR|9RCR
65	15333 34353	9	   	268.14	DCR|5VULN|1TLV|2LIT|1CDMG	13LIT|2358aVULN|3BPWR|4CDMG|6LHND|7TLV|9RCR
66	15221 21225	3	 * 	268.09	DCR|2VULN|3DMG|2DUR|1TLV	1LIT|29VULN|3FEWX|4TLV|59aDMG|6LHND|79DUR|8RCR|9BPWR
67	15621 21225	2	   	268.09	DCR|2VULN|3DMG|2DUR|1TLV	1LIT|29VULN|3BEXP|4TLV|59aDMG|6LHND|79DUR|8RCR|9BPWR
68	15526 12322	3	   	267.90	DCR|5VULN|1TLV|1DMG	1LIT|2348aVULN|5TLV|6CGEN|7DMG|9RCR
69	15332 14531	4	   	267.89	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	13LIT|236VULN|3BPWR|4CDMG|59DUR|7ASPD|8RCR|aTLV
70	15332 36531	6	   	267.89	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	13LIT|237VULN|3BPWR|4CDMG|5ASPD|69DUR|8RCR|aTLV
71	12126 35214	5	   	267.39	DCR|4VULN|3TLV|2LIT|1CDMG|1AART|1SELL	17LIT|247TLV|3478VULN|47BPWR|5SELL|6AART|9RCR|aCDMG
72	12126 35214	4	   	267.39	DCR|4VULN|3TLV|2LIT|1CDMG|1AART|1SELL	17LIT|247TLV|3478VULN|47BPWR|5SELL|6AART|9RCR|aCDMG
73	12113 25322	3	   	267.05	DCR|4VULN|2DMG|1TLV	1LIT|2TLV|358aVULN|46DMG|7ERES|9RCR
74	15123 25322	3	   	267.05	DCR|4VULN|2DMG|1TLV	1LIT|248aVULN|36DMG|5TLV|7ERES|9RCR
75	15313 21322	2	   	267.05	DCR|4VULN|2DMG|1TLV	1LIT|258aVULN|3ERES|46DMG|7TLV|9RCR
76	15413 25322	2	   	267.05	DCR|4VULN|2DMG|1TLV	1LIT|258aVULN|3TLV|46DMG|7ERES|9RCR
77	15113 21142	3	   	266.96	DCR|2VULN|3DMG|1TLV|1DUR|1CDMG	1LIT|29VULN|346DMG|5TLV|7DUR|8CDMG|aRCR
78	15525 12333	6	   	266.77	DCR|3VULN|3DUR|1DMG|2LIT|1CDMG	17LIT|237VULN|4FEWX|5DMG|679DUR|7BPWR|8CDMG|aRCR
79	12124 22265	5	   	266.13	DCR|2VULN|2DMG|3TLV|1DUR|2LIT|1CDMG	17LIT|247TLV|34VULN|47BPWR|5ZMB|67DMG|8RCR|9CDMG|aDUR
80	12115 11423	9	   	266.09	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	1aLIT|2TLV|39aVULN|4ZMB|5DMG|6aDUR|7RCR|8RPLT|aBPWR
81	12121 22165	5	   	266.03	DCR|2VULN|2DMG|3TLV|1DUR|2LIT|1CDMG	17LIT|247TLV|34VULN|47BPWR|5ERES|67DMG|8DUR|9CDMG|aRCR
82	15345 11211	10	   	265.99	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	13LIT|23aVULN|3BPWR|4LHND|5DMG|68DUR|7RCR|9TLV
83	15355 21211	10	   	265.99	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	13LIT|23aVULN|3BPWR|48DUR|5DMG|6LWND|7RCR|9TLV
84	15355 31211	10	   	265.99	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	13LIT|23aVULN|3BPWR|48DUR|5DMG|6LHND|7RCR|9TLV
85	15333 12512	7	 * 	265.95	DCR|4VULN|2DUR|3LIT|2CDMG	136LIT|235aVULN|3aBPWR|4aCDMG|7RCR|8RPLT|9aDUR
86	15333 13622	9	   	265.95	DCR|4VULN|2DUR|3LIT|2CDMG	136LIT|235aVULN|3aBPWR|4aCDMG|7RPLT|8aDUR|9RCR
87	12121 42321	6	   	265.95	DCR|4VULN|2TLV|1DMG	1LIT|24TLV|3468VULN|4BPWR|5ERES|7DMG|9RCR|aASPD
88	15352 31211	10	   	265.89	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	13LIT|23aVULN|3BPWR|48DUR|5DUST|6DMG|7RCR|9TLV
89	15113 23612	3	   	265.54	DCR|2VULN|3DMG|2TLV|2LIT|1CDMG	17LIT|27VULN|346DMG|57TLV|7BPWR|8FEWX|9CDMG|aRCR
90	15113 23212	3	   	265.44	DCR|2VULN|3DMG|2TLV|2LIT|1CDMG	17LIT|27VULN|346DMG|57TLV|7BPWR|8DUST|9CDMG|aRCR
91	15355 12113	7	   	264.67	DCR|2VULN|3DUR|2DMG|3LIT|1CDMG	137LIT|23VULN|37BPWR|467DUR|57DMG|8CDMG|9ERES|aRCR
92	15123 62321	3	   	264.62	DCR|4VULN|1TLV|1DMG|2LIT	17LIT|2478VULN|3DMG|5TLV|67CGEN|7BPWR|9RCR|aASPD
93	15413 62321	2	   	264.62	DCR|4VULN|1TLV|1DMG|2LIT	17LIT|2578VULN|3TLV|4DMG|67CGEN|7BPWR|9RCR|aASPD
94	12124 12264	5	   	264.59	DCR|3VULN|3TLV|3LIT|2CDMG|2ASPD	17aLIT|247TLV|34aVULN|47aBPWR|5ZMB|67ASPD|8RCR|9aCDMG
95	15321 11325	3	   	264.52	DCR|4VULN|1TLV|1DMG|2LIT	13LIT|2348VULN|3BPWR|5ASPD|6CGEN|7TLV|9RCR|aDMG
96	15326 12321	3	   	264.52	DCR|4VULN|1TLV|1DMG|2LIT	13LIT|2348VULN|3BPWR|5TLV|6CGEN|7DMG|9RCR|aASPD
97	15126 21211	9	 * 	264.46	DCR|2VULN|3DUR|2TLV|1DMG	1LIT|2aVULN|3DMG|4MLV|58aDUR|6ASPD|7RCR|9aTLV|aBPWR
98	15126 21531	8	   	264.46	DCR|2VULN|3DUR|2TLV|1DMG	1LIT|2aVULN|3DMG|4MLV|59aDUR|6ASPD|7RCR|8aTLV|aBPWR
99	12113 62322	3	   	264.39	DCR|4VULN|2TLV|1DMG|2LIT	17LIT|27TLV|358aVULN|4DMG|67CGEN|7BPWR|9RCR
100	15123 62422	3	   	264.39	DCR|4VULN|2TLV|1DMG|2LIT	17LIT|247aVULN|3DMG|58TLV|67CGEN|7BPWR|9RCR
101	15322 12231	6	   	264.36	DCR|3VULN|3DUR|1TLV|3LIT	137LIT|237VULN|37BPWR|4FEWX|5ZMB|678DUR|9RCR|aTLV
102	15326 12422	3	   	264.29	DCR|4VULN|2TLV|1DMG|2LIT	13LIT|234aVULN|3BPWR|58TLV|6CGEN|7DMG|9RCR
103	15326 41122	3	   	264.29	DCR|4VULN|2TLV|1DMG|2LIT	13LIT|234aVULN|3BPWR|57TLV|6DMG|8CGEN|9RCR
104	15363 12322	3	   	264.29	DCR|4VULN|2TLV|1DMG|2LIT	13LIT|238aVULN|3BPWR|45TLV|6CGEN|7DMG|9RCR
105	15126 51231	8	   	264.23	DCR|2VULN|3DUR|1TLV|1DMG|2ASPD	1LIT|2aVULN|3DMG|4MLV|58aDUR|6TLV|7RCR|9aASPD|aBPWR
106	12121 24322	5	   	264.19	DCR|4VULN|2TLV|1DMG|2LIT	17LIT|24TLV|348aVULN|4BPWR|5ERES|6DMG|9RCR
107	12121 62322	6	   	264.19	DCR|4VULN|2TLV|1DMG|2LIT	16LIT|24TLV|348aVULN|4BPWR|5ERES|7DMG|9RCR
108	15153 25213	3	   	263.60	DCR|4VULN|2DMG|2ASPD|2LIT|1SELL	17LIT|259aVULN|37DMG|47ASPD|6RCR|7BPWR|8SELL
109	12122 52262	5	 * 	262.57	DCR|5VULN|3TLV|2LIT	17LIT|247TLV|3479aVULN|47BPWR|5RCVC|6MBVNT|8RCR
110	14323 33423	3	   	262.51	DCR|3VULN|2DMG|1TLV|2LIT|1AART	17LIT|2BEXP|378VULN|4TLV|5FEWX|67DMG|7BPWR|9AART|aRCR
111	11323 33423	3	   	262.41	DCR|3VULN|2DMG|1TLV|2LIT|1AART	17LIT|2DUST|378VULN|4TLV|5FEWX|67DMG|7BPWR|9AART|aRCR
112	12113 25326	3	   	262.25	DCR|3VULN|2DMG|1TLV|1DUR	1LIT|2TLV|358VULN|46DMG|7ERES|9RCR|aDUR
113	15123 25326	3	   	262.25	DCR|3VULN|2DMG|1TLV|1DUR	1LIT|248VULN|36DMG|5TLV|7ERES|9RCR|aDUR
114	15313 21326	2	   	262.25	DCR|3VULN|2DMG|1TLV|1DUR	1LIT|258VULN|3ERES|46DMG|7TLV|9RCR|aDUR
115	15332 31341	7	 * 	262.16	DCR|3VULN|2DUR|3ASPD|3LIT|1CDMG	137LIT|238VULN|38BPWR|4CDMG|58aASPD|68DUR|9RCR
116	15332 31541	8	   	262.16	DCR|3VULN|2DUR|3ASPD|3LIT|1CDMG	137LIT|238VULN|38BPWR|4CDMG|58aASPD|68DUR|9RCR
117	53213 61133	7	   	262.00	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1LHND|24DUR|34DMG|4BPWR|5LIT|6aVULN|7RCR|8AART|9TLV
118	15311 12233	6	   	261.96	DCR|4VULN|1TLV|1DUR|2LIT|1AART	13LIT|2378VULN|3BPWR|4AART|5DLOT|6TLV|9DUR|aRCR
119	15311 64233	5	   	261.96	DCR|4VULN|1TLV|1DUR|2LIT|1AART	13LIT|2368VULN|3BPWR|4AART|5DLOT|7TLV|9DUR|aRCR
120	15313 16523	7	   	261.96	DCR|4VULN|1TLV|1DUR|2LIT|1AART	13LIT|2358VULN|3BPWR|4AART|6DUR|7TLV|9DLOT|aRCR
121	15331 61323	10	   	261.90	DCR|3VULN|2TLV|3LIT|1DMG|1CDMG	138LIT|238VULN|38BPWR|4CDMG|57ERES|68TLV|9DMG|aRCR
122	15115 23412	5	   	261.75	DCR|3VULN|3DMG|1TLV	1LIT|28aVULN|356DMG|4ZMB|7TLV|9RCR
123	12113 25325	3	   	261.65	DCR|3VULN|3DMG|1TLV	1LIT|2TLV|358VULN|46aDMG|7ERES|9RCR
124	15123 25325	3	   	261.65	DCR|3VULN|3DMG|1TLV	1LIT|248VULN|36aDMG|5TLV|7ERES|9RCR
125	15313 21325	2	   	261.65	DCR|3VULN|3DMG|1TLV	1LIT|258VULN|3ERES|46aDMG|7TLV|9RCR
126	12126 35312	4	   	261.51	DCR|4VULN|3TLV|2AART|2LIT|1SELL	17LIT|247TLV|347aVULN|47BPWR|5SELL|68AART|9RCR
127	12126 35312	5	   	261.51	DCR|4VULN|3TLV|2AART|2LIT|1SELL	17LIT|247TLV|347aVULN|47BPWR|5SELL|68AART|9RCR
128	15343 53111	3	 * 	261.16	DCR|3VULN|1TLV|3CDMG|1DMG|2LIT	13LIT|238VULN|3BPWR|4DMG|5TLV|679CDMG|aRCR
129	15113 62321	3	   	261.15	DCR|3VULN|2DMG|1TLV|2LIT	17LIT|278VULN|34DMG|5TLV|67CGEN|7BPWR|9RCR|aASPD
130	15325 11133	7	   	261.07	DCR|3VULN|1TLV|1DMG|1DUR|2LIT|1AART	13LIT|23aVULN|3BPWR|4FEWX|5DMG|6DUR|7RCR|8AART|9TLV
131	15345 11133	7	   	261.07	DCR|3VULN|1TLV|1DMG|1DUR|2LIT|1AART	13LIT|23aVULN|3BPWR|4LHND|5DMG|6DUR|7RCR|8AART|9TLV
132	15351 31133	7	   	261.07	DCR|3VULN|1TLV|1DMG|1DUR|2LIT|1AART	13LIT|23aVULN|3BPWR|4DUR|5FEWX|6DMG|7RCR|8AART|9TLV
133	15355 21133	7	   	261.07	DCR|3VULN|1TLV|1DMG|1DUR|2LIT|1AART	13LIT|23aVULN|3BPWR|4DUR|5DMG|6LWND|7RCR|8AART|9TLV
134	15355 31133	7	   	261.07	DCR|3VULN|1TLV|1DMG|1DUR|2LIT|1AART	13LIT|23aVULN|3BPWR|4DUR|5DMG|6LHND|7RCR|8AART|9TLV
135	15333 22321	2	   	261.05	DCR|3VULN|2DMG|1TLV|2LIT	17LIT|278VULN|3ERES|4DMSP|5TLV|67DMG|7BPWR|9RCR|aASPD
136	15352 31133	7	   	260.97	DCR|3VULN|1TLV|1DMG|1DUR|2LIT|1AART	13LIT|23aVULN|3BPWR|4DUR|5DUST|6DMG|7RCR|8AART|9TLV
137	15223 22321	1	   	260.95	DCR|3VULN|2DMG|1TLV|2LIT	17LIT|27ERES|3TLV|458VULN|67DMG|7BPWR|9RCR|aASPD
138	15343 25321	3	   	260.95	DCR|3VULN|2DMG|1TLV|2LIT	13LIT|238VULN|3BPWR|46DMG|5TLV|7ERES|9RCR|aASPD
139	12113 62325	3	   	260.93	DCR|3VULN|2DMG|2TLV|2LIT	17LIT|27TLV|358VULN|4aDMG|67CGEN|7BPWR|9RCR
140	12124 22222	5	   	260.93	DCR|3VULN|2DMG|3TLV|2LIT	17LIT|247TLV|34aVULN|47BPWR|5ZMB|67DMG|8RCR|9RCVC
141	12124 22251	5	   	260.93	DCR|3VULN|2DMG|3TLV|2LIT	17LIT|247TLV|349VULN|47BPWR|5ZMB|67DMG|8RCR|aBEXP
142	12124 22254	5	   	260.93	DCR|3VULN|2DMG|3TLV|2LIT	17LIT|247TLV|349VULN|47BPWR|5ZMB|67DMG|8RCR|aCGEN
143	12423 22324	3	   	260.93	DCR|3VULN|2DMG|2TLV|2LIT	17LIT|27TLV|3CGEN|458VULN|67DMG|7BPWR|9RCR|aLWND
144	12423 22622	3	   	260.93	DCR|3VULN|2DMG|2TLV|2LIT	17LIT|27TLV|38CGEN|45aVULN|67DMG|7BPWR|9RCR
145	15113 62422	3	   	260.93	DCR|3VULN|2DMG|2TLV|2LIT	17LIT|27aVULN|34DMG|58TLV|67CGEN|7BPWR|9RCR
146	12121 22222	5	   	260.83	DCR|3VULN|2DMG|3TLV|2LIT	17LIT|247TLV|34aVULN|47BPWR|5ERES|67DMG|8RCR|9RCVC
147	12121 22251	5	   	260.83	DCR|3VULN|2DMG|3TLV|2LIT	17LIT|247TLV|349VULN|47BPWR|5ERES|67DMG|8RCR|aBEXP
148	12121 22254	5	   	260.83	DCR|3VULN|2DMG|3TLV|2LIT	17LIT|247TLV|349VULN|47BPWR|5ERES|67DMG|8RCR|aCGEN
149	12131 22322	5	   	260.83	DCR|3VULN|2DMG|2TLV|2LIT	17LIT|27TLV|38aVULN|4RCVC|5ERES|67DMG|7BPWR|9RCR
150	12423 22323	3	   	260.83	DCR|3VULN|2DMG|2TLV|2LIT	17LIT|27TLV|3CGEN|458VULN|67DMG|7BPWR|9RCR|aBBNT
151	15343 21122	3	   	260.83	DCR|3VULN|2DMG|2TLV|2LIT	13LIT|23aVULN|3BPWR|46DMG|57TLV|8CGEN|9RCR
152	15363 12325	3	   	260.83	DCR|3VULN|2DMG|2TLV|2LIT	13LIT|238VULN|3BPWR|45TLV|6CGEN|7aDMG|9RCR
153	15333 22422	2	   	260.83	DCR|3VULN|2DMG|2TLV|2LIT	17LIT|27aVULN|3ERES|4DMSP|58TLV|67DMG|7BPWR|9RCR
154	12121 24325	5	   	260.73	DCR|3VULN|2DMG|2TLV|2LIT	17LIT|24TLV|348VULN|4BPWR|5ERES|6aDMG|9RCR
155	12121 62325	6	   	260.73	DCR|3VULN|2DMG|2TLV|2LIT	16LIT|24TLV|348VULN|4BPWR|5ERES|7aDMG|9RCR
156	15223 22422	1	   	260.73	DCR|3VULN|2DMG|2TLV|2LIT	17LIT|27ERES|38TLV|45aVULN|67DMG|7BPWR|9RCR
157	15351 21511	10	   	260.70	DCR|4VULN|1TLV|1DUR|2LIT	13LIT|239aVULN|3BPWR|4DUR|5FEWX|6ASPD|7RCR|8TLV
158	12124 22435	5	   	260.68	DCR|3VULN|2DMG|3TLV|2LIT|1SELL	17LIT|247TLV|348VULN|47BPWR|5ZMB|67DMG|9SELL|aRCR
159	15352 21511	10	   	260.60	DCR|4VULN|1TLV|1DUR|2LIT	13LIT|239aVULN|3BPWR|4DUR|5DUST|6ASPD|7RCR|8TLV
160	15153 25311	3	   	260.55	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR|2LIT	17LIT|25VULN|37DMG|47ASPD|6RCR|7BPWR|8TLV|9DUR|aZMB
161	15153 25313	3	   	260.55	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR|2LIT	17LIT|25VULN|37DMG|47ASPD|6RCR|7BPWR|8TLV|9DUR|aCGEN
162	12613 21225	2	   	260.52	DCR|2VULN|2DMG|2TLV|2DUR	1LIT|29TLV|3BEXP|4aDMG|59VULN|6LHND|79DUR|8RCR|9BPWR
163	12124 12252	5	   	260.47	DCR|4VULN|3TLV|2ASPD|2LIT	17LIT|247TLV|349aVULN|47BPWR|5ZMB|67ASPD|8RCR
164	23321 85421	1	 * 	260.43	DCR|4VULN|2DUR|1TLV	1aMLV|235aVULN|4MBVNT|6TLV|7RCR|8LIT|9aDUR|aBPWR
165	12121 12252	5	   	260.37	DCR|4VULN|3TLV|2ASPD|2LIT	17LIT|247TLV|349aVULN|47BPWR|5ERES|67ASPD|8RCR
