0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31236 52243	2	 * 	297.76	DCR|2VULN|3DMG|3DUR|1TLV|2LIT|1ASPD	138DUR|238DMG|38BPWR|4ASPD|59VULN|68LIT|7RCR|aTLV
21	31236 52215	2	   	281.51	DCR|2VULN|3DMG|3DUR|2LIT|1ASPD	138DUR|238DMG|38BPWR|4ASPD|5aVULN|68LIT|7RCR|9RCVC
22	31236 52241	2	   	281.51	DCR|2VULN|3DMG|3DUR|2LIT|1ASPD	138DUR|238DMG|38BPWR|4ASPD|59VULN|68LIT|7RCR|aCGEN
23	31236 52242	2	   	281.41	DCR|2VULN|3DMG|3DUR|2LIT|1ASPD	138DUR|238DMG|38BPWR|4ASPD|59VULN|68LIT|7RCR|aBBNT
24	41315 52231	1	   	281.11	DCR|3VULN|2DMG|1TLV|1DUR|2LIT|1ASPD	18DMG|289VULN|3DMSP|4DUR|5ASPD|68LIT|7RCR|8BPWR|aTLV
25	32246 22531	7	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	157DUR|2CDMG|37DMG|4DMSP|678VULN|7BPWR|9BELT|aRCR
26	62235 32261	10	 * 	280.44	DCR|5VULN|3DMG|1SELL	1SELL|27LWND|357DMG|45679VULN|57BPWR|8MLV|aRCR
27	31211 61511	2	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	134DUR|23DMG|3BPWR|5CDMG|689VULN|7BELT|aRCR
28	62235 32611	10	 * 	280.34	DCR|5VULN|3DMG|1NUKE|1SELL	1SELL|27LWND|357DMG|45678VULN|57BPWR|9NUKE|aRCR
29	24213 32231	5	   	280.27	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV|1SELL	18CDMG|289VULN|3DMG|4SELL|5LIT|68DUR|7RCR|8BPWR|aTLV
30	32213 32231	6	   	280.27	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV|1SELL	18DUR|28CDMG|3DMG|4SELL|5LIT|689VULN|7RCR|8BPWR|aTLV
31	31242 32631	8	   	280.19	DCR|3VULN|3DUR|1DMG|2CDMG|1ASPD	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9LWND|aASPD
32	31242 32641	9	   	280.19	DCR|3VULN|3DUR|1DMG|2CDMG|1ASPD	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9LHND|aASPD
33	31242 32651	10	   	280.19	DCR|3VULN|3DUR|1DMG|2CDMG|1ASPD	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9ASPD|aRMIN
34	31242 32652	9	   	280.19	DCR|3VULN|3DUR|1DMG|2CDMG|1ASPD	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9ASPD|aFEWX
35	31242 32653	9	   	280.19	DCR|3VULN|3DUR|1DMG|2CDMG|1ASPD	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9ASPD|aBEXP
36	31242 32653	10	   	280.19	DCR|3VULN|3DUR|1DMG|2CDMG|1ASPD	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9ASPD|aFEWX
37	31242 32661	8	   	280.19	DCR|3VULN|3DUR|1DMG|2CDMG|1ASPD	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9LHND|aASPD
38	31242 32611	8	   	280.09	DCR|3VULN|3DUR|1DMG|2CDMG|1ASPD	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9DUST|aASPD
39	31242 32621	9	   	280.09	DCR|3VULN|3DUR|1DMG|2CDMG|1ASPD	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9DUST|aASPD
40	31242 32651	9	   	280.09	DCR|3VULN|3DUR|1DMG|2CDMG|1ASPD	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9ASPD|aBBNT
41	31242 32652	10	   	280.09	DCR|3VULN|3DUR|1DMG|2CDMG|1ASPD	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9ASPD|aERES
42	31136 52226	2	   	279.41	DCR|2VULN|3DUR|2DMG|2LIT|1CDMG|1ASPD	138DUR|28DMG|4ASPD|5aVULN|68LIT|7RCR|8BPWR|9CDMG
43	31223 52226	4	   	279.41	DCR|2VULN|3DUR|2DMG|2LIT|1CDMG|1ASPD	158DUR|28DMG|3aVULN|4ASPD|68LIT|7RCR|8BPWR|9CDMG
44	31242 32614	8	   	278.75	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9DUST|aAART
45	31242 32624	9	   	278.75	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9DUST|aAART
46	31245 31521	8	 * 	278.44	DCR|2VULN|3DMG|2DUR|2CDMG|1TLV	15DUR|279DMG|36VULN|45CDMG|5BPWR|8RCR|aTLV
47	31633 11623	10	   	278.14	DCR|3VULN|2DMG|2DUR|1TLV	18DUR|28DMG|3TLV|4RCVC|5LIT|6RMIN|78aVULN|8BPWR|9RCR
48	31633 33623	10	   	278.14	DCR|3VULN|2DMG|2DUR|1TLV	18DUR|28DMG|3TLV|4RCVC|5LIT|68aVULN|7RMIN|8BPWR|9RCR
49	31633 36623	9	   	278.04	DCR|3VULN|2DMG|2DUR|1TLV	1aDUR|2aDMG|3TLV|4RCVC|5LIT|68aVULN|7RCR|9LEGI|aBPWR
50	31242 31415	8	   	278.04	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	15DUR|27DMG|368VULN|4CDMG|9ASPD|aRCR
51	31242 32614	9	   	277.49	DCR|3VULN|3DUR|2CDMG|1DMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9CGEN|aLIT
52	31242 32624	8	   	277.49	DCR|3VULN|3DUR|2CDMG|1DMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9CGEN|aLIT
53	31242 32615	8	   	277.39	DCR|3VULN|3DUR|2CDMG|1DMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9DUST|aLIT
54	31242 32622	10	   	277.39	DCR|3VULN|3DUR|2CDMG|1DMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9DUST|aLIT
55	31242 32625	9	   	277.39	DCR|3VULN|3DUR|2CDMG|1DMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9DUST|aLIT
56	31242 32634	9	   	277.39	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9ERES|aLIT
57	62235 32133	7	 * 	277.15	DCR|4VULN|3DMG|1DUR|1SELL	1SELL|27LWND|357DMG|4567VULN|57BPWR|8DUR|9RCR|aRPLT
58	62235 32134	7	 * 	277.15	DCR|4VULN|3DMG|1DUR|1SELL	1SELL|27aLWND|357DMG|4567VULN|57BPWR|8DUR|9RCR
59	62235 32136	7	 * 	277.15	DCR|4VULN|3DMG|1DUR|1SELL	1SELL|27LWND|357DMG|4567VULN|57BPWR|8DUR|9RCR|aLHND
60	62235 32232	10	 * 	277.15	DCR|4VULN|3DMG|1TLV|1SELL	1SELL|27LWND|357DMG|4567VULN|57BPWR|8MLV|9RCR|aTLV
61	62235 32235	9	 * 	277.15	DCR|4VULN|3DMG|1TLV|1SELL	1SELL|27LWND|357DMG|4567VULN|57BPWR|8MLV|9RCR|aTLV
62	62235 32132	7	 * 	277.05	DCR|4VULN|3DMG|1DUR|1SELL	1SELL|27LWND|357DMG|4567VULN|57BPWR|8DUR|9RCR|aERES
63	62235 32135	7	 * 	277.05	DCR|4VULN|3DMG|1DUR|1SELL	1SELL|27LWND|357DMG|4567VULN|57BPWR|8DUR|9RCR|aDUST
64	43232 32415	8	 * 	276.36	DCR|4VULN|2DMG|2CDMG|1ASPD	17DMG|24LWND|3678VULN|57CDMG|7BPWR|9ASPD|aRCR
65	31213 21445	2	 * 	275.42	DCR|2VULN|3DMG|3DUR|3LIT	134DUR|238DMG|38BPWR|5BBNT|689LIT|78VULN|aRCR
66	31242 32641	8	 * 	275.23	DCR|3VULN|3DUR|3CDMG|1DMG	157DUR|2DMG|367VULN|47aCDMG|7BPWR|8RCR|9RPLT
67	31245 32135	8	   	275.23	DCR|3VULN|3DUR|3CDMG|1DMG	157DUR|2DMG|367VULN|457CDMG|57BPWR|8ZMB|9TBNT|aRCR
68	31245 32335	7	   	275.23	DCR|3VULN|3DUR|3CDMG|1DMG	157DUR|2DMG|367VULN|457CDMG|57BPWR|8ZMB|9TBNT|aRCR
69	31113 42323	2	   	274.92	DCR|3VULN|3DUR|2DMG	134DUR|27DMG|5BBNT|67aVULN|7BPWR|8LIT|9RCR
70	31213 21323	2	   	274.92	DCR|3VULN|3DUR|2DMG	134DUR|23DMG|3BPWR|5BBNT|6LIT|78aVULN|9RCR
71	45113 42323	1	   	274.92	DCR|3VULN|3DUR|2DMG	17DMG|234DUR|5BBNT|67aVULN|7BPWR|8LIT|9RCR
72	45213 21323	1	   	274.92	DCR|3VULN|3DUR|2DMG	13DMG|234DUR|3BPWR|5BBNT|6LIT|78aVULN|9RCR
73	43232 32521	8	 * 	274.62	DCR|3VULN|3DMG|2CDMG|1TLV	179DMG|24LWND|367VULN|57CDMG|7BPWR|8RCR|aTLV
74	31633 36333	9	   	274.54	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	19DUR|29DMG|3TLV|4RCVC|5LIT|69VULN|7RCR|8AART|9BPWR|aCDMG
75	31633 36336	10	   	274.54	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	19DUR|29DMG|3TLV|4RCVC|5LIT|69VULN|7RCR|8AART|9BPWR|aCDMG
76	31633 36332	9	   	274.12	DCR|2VULN|3DUR|2DMG|1TLV	19aDUR|29DMG|3TLV|4RCVC|5LIT|69VULN|7RCR|8AART|9BPWR
77	41224 22212	7	   	273.86	DCR|3VULN|3DMG|1DUR|1ASPD	178DMG|2BEXP|378VULN|4ASPD|5LIT|678DUST|78BPWR|9DUR|aRCR
78	31242 31513	10	   	273.35	DCR|3VULN|2DMG|2DUR|2CDMG	15DUR|27DMG|36aVULN|49CDMG|8RCR
79	31242 31521	8	   	272.03	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	15DUR|279DMG|36VULN|4CDMG|8RCR|aTLV
80	31224 12264	10	   	271.55	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	17DUR|2DMG|379VULN|4ASPD|5LIT|67LWND|7BPWR|8TLV|aRCR
81	31533 36333	10	   	271.45	DCR|3VULN|2DMG|2DUR	19DUR|29DMG|3ERES|4RCVC|5LIT|69aVULN|7RCR|8AART|9BPWR
82	31224 22264	10	   	271.35	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	17DUR|2DMG|379VULN|4ASPD|5LIT|67DUST|7BPWR|8TLV|aRCR
83	62235 32234	10	 * 	270.56	DCR|4VULN|3DMG|1SELL	1SELL|27LWND|357DMG|4567VULN|57BPWR|8MLV|9RCR|aAART
84	31245 31523	8	   	270.50	DCR|2VULN|3DMG|2DUR|2CDMG	15DUR|279DMG|36VULN|45CDMG|5BPWR|8RCR|aLIT
85	24243 25231	8	   	270.42	DCR|3VULN|2DMG|1DUR|1CDMG	1CDMG|26aVULN|35DMG|4AART|7LIT|8RCR|9DUR
86	24243 36131	6	   	270.42	DCR|3VULN|2DMG|1DUR|1CDMG	1CDMG|28aVULN|35DMG|4AART|6DUR|7RCR|9LIT
87	31213 21461	2	   	270.41	DCR|2VULN|3DMG|3DUR|2LIT	134DUR|238DMG|38BPWR|5BBNT|68LIT|78VULN|9RCR|aBEXP
88	31213 21466	2	   	270.41	DCR|2VULN|3DMG|3DUR|2LIT	134DUR|238DMG|38BPWR|5BBNT|68LIT|78VULN|9RCR|aRMIN
89	31213 21416	2	   	270.41	DCR|2VULN|3DMG|3DUR|2LIT	134DUR|238DMG|38BPWR|5BBNT|68LIT|78VULN|9BEXP|aRCR
90	31213 21436	2	   	270.31	DCR|2VULN|3DMG|3DUR|2LIT	134DUR|238DMG|38BPWR|5BBNT|68LIT|78VULN|9DUST|aRCR
91	31213 21463	2	   	270.31	DCR|2VULN|3DMG|3DUR|2LIT	134DUR|238DMG|38BPWR|5BBNT|68LIT|78VULN|9RCR|aDLOT
92	31213 21464	2	   	270.31	DCR|2VULN|3DMG|3DUR|2LIT	134DUR|238DMG|38BPWR|5BBNT|68LIT|78VULN|9RCR|aERES
93	31213 21465	2	   	270.31	DCR|2VULN|3DMG|3DUR|2LIT	134DUR|238DMG|38BPWR|5BBNT|68LIT|78VULN|9RCR|aTBNT
94	32233 13622	7	   	269.53	DCR|2VULN|3DUR|2DMG|2CDMG	157DUR|27CDMG|37DMG|4RMIN|6AART|7BPWR|8RCR|9aVULN
95	36433 35223	7	 * 	269.35	DCR|4VULN|2DUR|2ASPD	18DUR|2ERES|3BELT|4AART|5789VULN|68ASPD|8BPWR|aRCR
96	32246 22351	10	   	269.21	DCR|2VULN|3DMG|3DUR|1CDMG	157DUR|2CDMG|378DMG|4DMSP|67VULN|7BPWR|9RMIN|aRCR
97	31242 32135	7	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8LWND|9LHND|aRCR
98	31242 32235	8	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8BEXP|9LWND|aRCR
99	31242 32245	9	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8BEXP|9LHND|aRCR
100	31242 32265	8	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8BEXP|9LHND|aRCR
101	31242 32435	8	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8LHND|9LWND|aRCR
102	31242 32611	10	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9CGEN|aRMIN
103	31242 32612	9	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9CGEN|aBEXP
104	31242 32613	9	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9CGEN|aFEWX
105	31242 32613	10	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9CGEN|aFEWX
106	31242 32616	9	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9aCGEN
107	31242 32622	8	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9CGEN|aBEXP
108	31242 32623	8	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9CGEN|aFEWX
109	31242 32626	8	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9aCGEN
110	31242 32632	8	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9LWND|aFEWX
111	31242 32633	8	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9LWND|aBEXP
112	31242 32634	8	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9LWND|aRCVC
113	31242 32635	8	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9LWND|aRMIN
114	31242 32636	8	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9LWND|aCGEN
115	31242 32641	10	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9aLHND
116	31242 32642	8	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9RPLT|aFEWX
117	31242 32642	9	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9LHND|aFEWX
118	31242 32643	8	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9RPLT|aBEXP
119	31242 32643	9	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9LHND|aBEXP
120	31242 32643	10	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9LHND|aDMSP
121	31242 32662	8	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9LHND|aFEWX
122	31242 32663	8	   	269.19	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9LHND|aBEXP
123	26284 42161	4	   	269.17	DCR|3VULN|3DMG|2CDMG|1ASPD	14CDMG|2MBVNT|34aDMG|4BPWR|589VULN|6RCR|7ASPD
124	62235 32122	8	 * 	269.11	DCR|4VULN|3DMG|1SELL	1SELL|27LWND|357DMG|4567VULN|57BPWR|8LIT|9TBNT|aRCR
125	32246 22311	10	   	269.11	DCR|2VULN|3DMG|3DUR|1CDMG|1NUKE	157DUR|2CDMG|378DMG|4DMSP|67VULN|7BPWR|9NUKE|aRCR
126	31242 32115	7	   	269.09	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8LWND|9DUST|aRCR
127	31242 32415	8	   	269.09	DCR|3VULN|3DUR|2CDMG|1DMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8LHND|9DUST|aRCR
128	31242 32425	9	   	269.09	DCR|3VULN|3DUR|2CDMG|1DMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8LHND|9DUST|aRCR
129	31242 32611	9	   	269.09	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9CGEN|aTBNT
130	31242 32612	8	   	269.09	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9DUST|aFEWX
131	31242 32612	10	   	269.09	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9CGEN|aERES
132	31242 32613	8	   	269.09	DCR|3VULN|3DUR|2CDMG|1DMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9DUST|aBEXP
133	31242 32614	10	   	269.09	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9CGEN|aDUST
134	31242 32621	10	   	269.09	DCR|3VULN|3DUR|2CDMG|1DMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9DUST|aLHND
135	31242 32621	8	   	269.09	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9CGEN|aTBNT
136	31242 32622	9	   	269.09	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9DUST|aFEWX
137	31242 32623	9	   	269.09	DCR|3VULN|3DUR|2CDMG|1DMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9DUST|aBEXP
138	31242 32623	10	   	269.09	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9DUST|aRCVC
139	31242 32631	10	   	269.09	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9ERES|aRMIN
140	31242 32632	9	   	269.09	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9ERES|aBEXP
141	31242 32633	9	   	269.09	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9ERES|aFEWX
142	31242 32633	10	   	269.09	DCR|3VULN|3DUR|2CDMG|1DMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9ERES|aLHND
143	31242 32636	10	   	269.09	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9ERES|aFEWX
144	31242 32636	9	   	269.09	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9ERES|aCGEN
145	31242 32651	8	   	269.09	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9BBNT|aDMSP
146	31242 32652	8	   	269.09	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9BBNT|aFEWX
147	31211 51633	2	   	269.01	DCR|2VULN|3DMG|3DUR|1CDMG	134DUR|237DMG|3BPWR|5CDMG|6TBNT|89VULN|aRCR
148	31242 32624	10	   	268.99	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9DUST|aMBVNT
149	31242 32631	9	   	268.99	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9ERES|aTBNT
150	31242 32632	10	   	268.99	DCR|3VULN|3DUR|1DMG|2CDMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9aERES
151	31242 32634	10	   	268.99	DCR|3VULN|3DUR|2CDMG|1DMG	157DUR|2DMG|367VULN|47CDMG|7BPWR|8RCR|9ERES|aDUST
152	32355 52133	1	   	268.78	DCR|2VULN|2DMG|2DUR|1TLV|2LIT|1ASPD	1aDUR|2RMIN|3TLV|4aDMG|5ASPD|68LIT|7RCR|9aVULN|aBPWR
153	31236 52131	2	   	268.68	DCR|2VULN|2DMG|2DUR|1TLV|2LIT|1ASPD	13DUR|23DMG|3BPWR|4ASPD|59VULN|68LIT|7RCR|aTLV
154	36132 67433	1	 * 	268.33	DCR|3VULN|3DUR|2TLV|1ASPD	13aDUR|2aTLV|4ASPD|5MBVNT|6LIT|78aVULN|9RCR|aBPWR
155	36232 67433	1	 * 	268.33	DCR|3VULN|3DUR|3TLV|1ASPD	13aDUR|23aTLV|3aBPWR|4ASPD|5MBVNT|6LIT|78aVULN|9RCR
156	31113 21421	2	   	268.31	DCR|2VULN|3DUR|2DMG|2LIT|1CDMG	134DUR|28DMG|5BBNT|68LIT|78VULN|8BPWR|9RCR|aCDMG
157	45113 21421	1	   	268.31	DCR|2VULN|3DUR|2DMG|2LIT|1CDMG	18DMG|234DUR|5BBNT|68LIT|78VULN|8BPWR|9RCR|aCDMG
158	45316 13133	10	   	268.30	DCR|3VULN|3DMG|1DUR|1CDMG	139DMG|2CGEN|479VULN|5CDMG|6DUR|89MLV|9BPWR|aRCR
159	43115 52221	1	   	268.19	DCR|2VULN|3DMG|2DUR|2LIT|1ASPD	128DMG|28BPWR|38VULN|4aDUR|5ASPD|68LIT|7RCR|9CGEN
160	43115 52211	1	   	268.09	DCR|2VULN|3DMG|2DUR|2LIT|1ASPD	128DMG|28BPWR|38VULN|4aDUR|5ASPD|68LIT|7RCR|9ERES
161	62235 31131	7	   	267.96	DCR|3VULN|3DMG|1DUR|1CDMG|1SELL	1SELL|2LWND|357DMG|456VULN|5BPWR|8DUR|9RCR|aCDMG
162	31225 32562	5	 * 	267.85	DCR|2VULN|2DMG|2DUR|2ASPD|2TLV	18DUR|28DMG|37VULN|4aASPD|58TLV|6DMSP|8BPWR|9RCR
