0	Index      	Bounty	 *	Score 	Summary	Detail	
1	54433 31112	5	 * 	307.31	DCR|4VULN|2DMG|2DUR|2AART|1CDMG	17DUR|2578VULN|34AART|67DMG|7BPWR|9RCR|aCDMG
47	34613 12622	6	   	279.41	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1258VULN|3TLV|4LIT|6DUR|7RCR|9DMG|aASPD
48	42113 22622	4	   	279.41	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1LIT|2TLV|3DUR|4568VULN|7RCR|9DMG|aASPD
49	34262 61111	1	   	279.10	DCR|4VULN|2DUR|2CDMG|1ASPD	1589VULN|24CDMG|34DUR|4BPWR|6RCR|7ASPD|aAART
50	34155 31122	2	   	278.98	DCR|5VULN|2DUR|2ASPD|1SELL	12678VULN|37DUR|4AART|57ASPD|7BPWR|9RCR|aSELL
51	34154 31123	2	   	278.78	DCR|5VULN|2DUR|1ASPD	12678VULN|37DUR|4AART|57ZMB|7BPWR|9RCR|aASPD
52	34314 21123	4	   	278.78	DCR|5VULN|2DUR|1ASPD	12378VULN|47ZMB|5AART|67DUR|7BPWR|9RCR|aASPD
53	63413 13113	5	   	278.72	DCR|4VULN|2ASPD|1DMG|1TLV|1CDMG	1TLV|2CDMG|3689VULN|4DMG|5aASPD|7RCR
54	65332 13113	5	   	278.72	DCR|4VULN|2ASPD|1DMG|1TLV|1CDMG	1TLV|2aASPD|3689VULN|4CDMG|5DMG|7RCR
55	63412 61113	4	   	278.72	DCR|4VULN|2ASPD|1DMG|1TLV|1CDMG	1TLV|2CDMG|3589VULN|4DMG|6RCR|7aASPD
56	31133 26624	8	   	278.70	DCR|4VULN|2DUR|2TLV|2CDMG	138aVULN|28CGEN|4aDUR|5MLV|6RCR|78CDMG|8aBPWR|9aTLV
57	35225 31111	1	   	278.64	DCR|4VULN|2ASPD|2TLV|1DMG	1678VULN|2DMG|3AART|47TLV|57ASPD|7BPWR|9RCR|aZMB
58	35225 31116	1	   	278.64	DCR|4VULN|2ASPD|2TLV|1DMG	1678VULN|2DMG|3AART|47TLV|57ASPD|7BPWR|9RCR|aBEXP
59	31132 26624	8	   	278.60	DCR|4VULN|2DUR|2TLV|2CDMG	138aVULN|28CGEN|4aDUR|5ERES|6RCR|78CDMG|8aBPWR|9aTLV
60	35225 31113	1	   	278.54	DCR|4VULN|2ASPD|2TLV|1DMG	1678VULN|2DMG|3AART|47TLV|57ASPD|7BPWR|9RCR|aDUST
61	35225 31115	1	   	278.54	DCR|4VULN|2ASPD|2TLV|1DMG	1678VULN|2DMG|3AART|47TLV|57ASPD|7BPWR|9RCR|aERES
62	35633 22412	1	   	278.50	DCR|4VULN|2DUR|3LIT|1DMG	1569VULN|2DMG|39aLIT|49DUR|7RCR|8RPLT|9BPWR
63	63413 13111	5	   	278.17	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3689VULN|4DMG|5ASPD|7RCR|aAART
64	65332 13111	5	   	278.17	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2ASPD|3689VULN|4CDMG|5DMG|7RCR|aAART
65	63412 61111	4	   	278.17	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3589VULN|4DMG|6RCR|7ASPD|aAART
66	54312 32431	10	   	277.90	DCR|4VULN|3DUR|3CDMG	179DUR|2679VULN|3DUST|4aLHND|579CDMG|79BPWR|8RCR
67	54312 32431	9	   	277.90	DCR|4VULN|3DUR|3CDMG	179DUR|2679VULN|3DUST|4LHND|579CDMG|79BPWR|8RCR|aRPLT
68	54312 32432	9	   	277.90	DCR|4VULN|3DUR|3CDMG	179DUR|2679VULN|3DUST|4LHND|579CDMG|79BPWR|8RCR|aRMIN
69	54312 32433	10	   	277.90	DCR|4VULN|3DUR|3CDMG	179DUR|2679VULN|3DUST|4LHND|579CDMG|79BPWR|8RCR|aRMIN
70	54312 32433	9	   	277.90	DCR|4VULN|3DUR|3CDMG	179DUR|2679VULN|3DUST|4LHND|579CDMG|79BPWR|8RCR|aCGEN
71	54332 32431	9	   	277.90	DCR|4VULN|3DUR|3CDMG	179DUR|2679VULN|3DUST|4LWND|579CDMG|79BPWR|8RCR|aRPLT
72	54332 32431	10	   	277.90	DCR|4VULN|3DUR|3CDMG	179DUR|2679VULN|3DUST|4LWND|579CDMG|79BPWR|8RCR|aLHND
73	54332 32432	10	   	277.90	DCR|4VULN|3DUR|3CDMG	179DUR|2679VULN|3DUST|4LWND|579CDMG|79BPWR|8RCR|aZMB
74	54332 32432	9	   	277.90	DCR|4VULN|3DUR|3CDMG	179DUR|2679VULN|3DUST|4LWND|579CDMG|79BPWR|8RCR|aRMIN
75	54332 32433	9	   	277.90	DCR|4VULN|3DUR|3CDMG	179DUR|2679VULN|3DUST|4LWND|579CDMG|79BPWR|8RCR|aCGEN
76	54312 32432	10	   	277.80	DCR|4VULN|3DUR|3CDMG	179DUR|2679VULN|3DUST|4LHND|579CDMG|79BPWR|8RCR|aDLOT
77	54332 12433	10	   	277.80	DCR|4VULN|3DUR|3CDMG	179DUR|279aVULN|36DUST|4LWND|579CDMG|79BPWR|8RCR
78	35225 31512	1	   	277.42	DCR|3VULN|2ASPD|2TLV|1DMG|2AART|1CDMG	167VULN|2DMG|38AART|47TLV|57ASPD|7BPWR|9RCR|aCDMG
