0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41261 13412	2	 * 	284.14	DCR|3VULN|3DUR|2DMG|2AART	16AART|279VULN|3TBNT|47DMG|57aDUR|7BPWR|8RCR
26	41362 11251	9	   	269.24	DCR|5VULN|1TLV|1DUR|1AART	1AART|23467VULN|5DMSP|8RCR|9TLV|aDUR
27	41362 11253	10	   	269.24	DCR|5VULN|1TLV|1DUR|1AART	1AART|23467VULN|5DMSP|8RCR|9TLV|aDUR
28	41161 11251	9	   	269.24	DCR|5VULN|1TLV|1DUR|1AART	1AART|24567VULN|3DMSP|8RCR|9TLV|aDUR
29	41161 11253	10	   	269.24	DCR|5VULN|1TLV|1DUR|1AART	1AART|24567VULN|3DMSP|8RCR|9TLV|aDUR
30	41361 12135	6	   	269.24	DCR|5VULN|1TLV|1DUR|1AART	1AART|23456VULN|7LHND|8DUR|9TLV|aRCR
31	41361 12135	5	   	269.24	DCR|5VULN|1TLV|1DUR|1AART	1AART|23456VULN|6BPWR|7LHND|8DUR|9TLV|aRCR
32	15232 43212	2	   	269.19	DCR|5VULN|1DUR|2LIT|1ASPD	15LIT|23469VULN|7ASPD|8DUR|aRCR
33	41363 11251	10	   	269.07	DCR|5VULN|2AART|1TLV	15AART|23467VULN|8RCR|9TLV|aLIT
34	31313 36226	2	   	268.44	DCR|3VULN|2DMG|2DUR|2LIT	1aDUR|25LIT|35aVULN|4BELT|5aBPWR|6RCR|7RMIN|8aDMG|9TBNT
35	31313 31226	2	   	268.34	DCR|3VULN|2DMG|2DUR|2LIT|1NUKE	1aDUR|25LIT|35aVULN|4BELT|5aBPWR|6RCR|7NUKE|8aDMG|9TBNT
36	41322 31412	3	 * 	268.00	DCR|4VULN|2DUR|1DMG|1AART	1AART|2349VULN|5DMG|6aDUR|7TBNT|8RCR
37	41362 31412	4	   	268.00	DCR|4VULN|2DUR|1DMG|1AART	1AART|2349VULN|5DMG|6aDUR|7TBNT|8RCR
38	41362 11235	9	   	267.81	DCR|5VULN|1DMG|1ASPD|1AART	1AART|23467VULN|5DMSP|8RCR|9ASPD|aDMG
39	41161 11235	9	   	267.81	DCR|5VULN|1DMG|1ASPD|1AART	1AART|24567VULN|3DMSP|8RCR|9ASPD|aDMG
40	41214 13412	2	 * 	267.70	DCR|3VULN|3DUR|2ASPD|2AART	16AART|279VULN|3TBNT|47aDUR|57ASPD|7BPWR|8RCR
41	32214 51112	8	   	266.83	DCR|4VULN|2DUR|2LIT|1CDMG|1SELL	18DUR|2CDMG|38LIT|458aVULN|6BELT|7SELL|8BPWR|9RCR
42	34633 36243	1	   	266.61	DCR|3VULN|3DUR|2DMG	19aDUR|2TBNT|3MBVNT|45aVULN|6RCR|7aDMG|8RPLT|aBPWR
43	15541 22112	8	 * 	266.22	DCR|5VULN|2DUR	1LIT|24589VULN|3ZMB|67DUR|aRCR
44	33341 61214	1	   	266.12	DCR|5VULN|2DUR	15DUR|2ERES|3LIT|45689VULN|5BPWR|7BBNT|aRCR
45	15123 65223	2	   	265.81	DCR|4VULN|1DMG|1DUR|1CDMG	1LIT|278aVULN|3DUR|4DMG|5BEXP|6RCR|9CDMG
46	31323 65223	2	   	265.81	DCR|4VULN|1DMG|1DUR|1CDMG	1DUR|2LIT|378aVULN|4DMG|5BEXP|6RCR|9CDMG
47	33326 53115	7	 * 	265.80	DCR|2VULN|3DUR|2DMG|3CDMG	157DUR|2DUST|367CDMG|47DMG|7BPWR|89VULN|aRCR
48	32251 21635	5	 * 	265.67	ACR|4VULN|3DUR|3CDMG|3LIT	178DUR|29aCDMG|378LIT|4RMIN|5RCR|678aVULN|78aBPWR
49	23421 43325	10	 * 	265.31	DCR|3VULN|2DUR|2ASPD|1DMG	124DUST|34aVULN|4aBPWR|5aASPD|6LIT|7DMG|8RCR|9aDUR
50	41361 12153	7	   	264.57	DCR|5VULN|1DMG|2AART	18AART|23456VULN|7BEXP|9RCR|aDMG
51	41363 11214	8	   	264.57	DCR|5VULN|1DMG|2AART	15AART|23467VULN|8RCR|9DMG|aZMB
52	41363 11216	8	   	264.57	DCR|5VULN|1DMG|2AART	15AART|23467VULN|8RCR|9DMG|aMLV
53	41363 11243	9	   	264.57	DCR|5VULN|1DMG|2AART	15AART|23467VULN|8RCR|9LHND|aDMG
54	41363 11263	8	   	264.57	DCR|5VULN|1DMG|2AART	15AART|23467VULN|8RCR|9LHND|aDMG
55	41363 11212	8	   	264.47	DCR|5VULN|1DMG|2AART	15AART|23467VULN|8RCR|9DMG|aTBNT
56	41363 11213	8	   	264.47	DCR|5VULN|1DMG|2AART	15AART|23467VULN|8RCR|9DMG|aERES
57	41363 11215	7	   	264.47	DCR|5VULN|1DMG|2AART	15AART|23467VULN|8MBVNT|9DMG|aRCR
58	41363 11223	8	   	264.47	DCR|5VULN|1DMG|2AART	15AART|23467VULN|8RCR|9DUST|aDMG
59	31543 11522	6	 * 	264.08	DCR|3VULN|3DUR|2TLV|2LIT	156DUR|2aLIT|3ZMB|45aVULN|5aBPWR|7RPLT|8aTLV|9RCR
60	31543 21522	5	   	264.08	DCR|3VULN|3DUR|2TLV|2LIT	156DUR|2aLIT|3ZMB|45aVULN|5aBPWR|7RPLT|8aTLV|9RCR
61	15113 23641	2	   	264.08	DCR|3VULN|3DUR|2TLV|2LIT	19LIT|259VULN|35aDUR|4BELT|59BPWR|6CGEN|79TLV|8RCR
62	41361 12236	7	   	263.99	DCR|5VULN|1DUR|1ASPD|1AART	1AART|23456VULN|7BEXP|8RCR|9DUR|aASPD
63	41362 11231	9	   	263.99	DCR|5VULN|1DUR|1ASPD|1AART	1AART|23467VULN|5DMSP|8RCR|9ASPD|aDUR
64	41362 11233	10	   	263.99	DCR|5VULN|1DUR|1ASPD|1AART	1AART|23467VULN|5DMSP|8RCR|9ASPD|aDUR
65	41362 13151	10	   	263.99	DCR|5VULN|1DUR|1ASPD|1AART	1AART|2346aVULN|5DMSP|7DUR|8ASPD|9RCR
66	41161 11231	9	   	263.99	DCR|5VULN|1DUR|1ASPD|1AART	1AART|24567VULN|3DMSP|8RCR|9ASPD|aDUR
67	41161 11233	10	   	263.99	DCR|5VULN|1DUR|1ASPD|1AART	1AART|24567VULN|3DMSP|8RCR|9ASPD|aDUR
68	41161 13151	10	   	263.99	DCR|5VULN|1DUR|1ASPD|1AART	1AART|2456aVULN|3DMSP|7DUR|8ASPD|9RCR
69	16223 31314	1	   	263.98	DCR|3VULN|3DUR|1DMG|2LIT	17LIT|2RPLT|378DUR|467VULN|5BBNT|7BPWR|9DMG|aRCR
70	16223 61214	1	   	263.98	DCR|3VULN|3DUR|1DMG|2LIT	17LIT|2RPLT|367DUR|478VULN|5BBNT|7BPWR|9DMG|aRCR
71	16253 31314	1	   	263.98	DCR|3VULN|3DUR|1DMG|2LIT	17LIT|2RPLT|378DUR|4BBNT|567VULN|7BPWR|9DMG|aRCR
72	41363 11231	10	   	263.82	DCR|5VULN|2AART|1ASPD	15AART|23467VULN|8RCR|9ASPD|aLIT
73	41463 32323	7	   	263.33	DCR|3VULN|2ASPD|1TLV|1DUR|2LIT|1AART	1AART|29aVULN|39LIT|4TLV|5DUR|69ASPD|7RPLT|8RCR|9BPWR
74	41522 51333	10	   	263.25	DCR|4VULN|1TLV|1DUR|1CDMG|1NUKE|1AART	1AART|2578VULN|3NUKE|4CDMG|6TLV|9DUR|aRCR
75	15235 43212	2	   	262.64	DCR|5VULN|1DUR|1ASPD	1LIT|23469VULN|5DMSP|7ASPD|8DUR|aRCR
76	16544 44741	7	   	262.20	DCR|5VULN|1DMG|2LIT	18LIT|268CGEN|3MBVNT|4568aVULN|68BPWR|7RCR|9DMG
77	32312 36254	10	 * 	262.10	DCR|3VULN|2DUR|3CDMG|1DMG	17DUR|245CDMG|357LHND|57BPWR|679VULN|8RCR|aDMG
78	32312 36254	9	   	262.10	DCR|3VULN|2DUR|3CDMG|1DMG	17DUR|245CDMG|357LHND|57BPWR|679VULN|8RCR|aDMG
79	41236 33362	5	   	261.82	DCR|4VULN|1DMG|1TLV|1AART	1AART|2458VULN|3RPLT|4BPWR|6DMG|7TLV|9RCR|aLIT
80	41323 36234	3	 * 	261.36	DCR|4VULN|3DUR|1AART	1AART|234aVULN|5BBNT|6aFEWX|79aDUR|8RCR|aBPWR
81	41161 11251	10	   	261.30	DCR|5VULN|1TLV|1AART	1AART|24567VULN|3DMSP|8RCR|9TLV|aLIT
82	41362 11251	10	   	261.30	DCR|5VULN|1TLV|1AART	1AART|23467VULN|5DMSP|8RCR|9TLV|aLIT
83	41322 31411	3	   	261.18	DCR|4VULN|1DMG|2AART|1DUR	1aAART|2349VULN|5DMG|6DUR|7TBNT|8RCR
84	41362 31411	4	   	261.18	DCR|4VULN|1DMG|2AART|1DUR	1aAART|2349VULN|5DMG|6DUR|7TBNT|8RCR
85	15123 65123	2	   	260.76	DCR|3VULN|2DMG|1DUR|1CDMG	1LIT|27aVULN|3DUR|48DMG|5BEXP|6RCR|9CDMG
86	31323 65123	2	   	260.76	DCR|3VULN|2DMG|1DUR|1CDMG	1DUR|2LIT|37aVULN|48DMG|5BEXP|6RCR|9CDMG
87	41321 42324	10	   	260.70	DCR|4VULN|1TLV|1DUR|1ASPD|1AART	1AART|2367VULN|4BELT|5TLV|8DUR|9ASPD|aRCR
88	41363 11252	9	   	260.66	DCR|5VULN|2AART|1TLV	15AART|23467VULN|8RCR|9TLV|aTBNT
89	41363 11253	9	   	260.66	DCR|5VULN|2AART|1TLV	15AART|23467VULN|8RCR|9TLV|aERES
90	41214 13411	2	 * 	260.62	DCR|3VULN|2DUR|3AART|2ASPD	16aAART|279VULN|3TBNT|47DUR|57ASPD|7BPWR|8RCR
91	15313 34215	3	   	260.61	DCR|3VULN|2DUR|1DMG|2LIT|1AART	1aLIT|25aVULN|35LWND|4BELT|5aBPWR|6RCR|7AART|8DMG|9aDUR
92	41462 12323	7	 * 	260.58	DCR|3VULN|2DMG|2TLV|1AART	1AART|29aVULN|3LIT|49TLV|59DMG|6LEGI|7RPLT|8RCR|9BPWR
93	36341 16213	1	   	260.45	DCR|3VULN|2DUR|1DMG|1TLV	15DUR|2TLV|3LIT|459VULN|5BPWR|6LWND|7RCR|8FEWX|aDMG
94	11322 88712	1	   	260.06	DCR|3VULN|3DUR|1TLV|2LIT	18LIT|25DUST|358VULN|4MBVNT|58BPWR|678DUR|9TLV|aRCR
95	21322 88712	2	   	260.06	DCR|3VULN|3DUR|1TLV|2LIT	18DUST|25LIT|358VULN|4MBVNT|58BPWR|678DUR|9TLV|aRCR
96	12543 38184	8	 * 	260.06	DCR|4VULN|2ASPD|1DUR|2LIT	17LIT|25ZMB|3MBVNT|4578VULN|57BPWR|67ASPD|9DUR|aRCR
97	12543 38284	7	   	260.06	DCR|4VULN|2ASPD|1DUR|2LIT	17LIT|25ZMB|3MBVNT|4578VULN|57BPWR|67ASPD|9DUR|aRCR
98	12544 38184	8	   	259.96	DCR|4VULN|2ASPD|1DUR|2LIT	17LIT|2ZMB|3MBVNT|4578VULN|67ASPD|7BPWR|9DUR|aRCR
99	12544 38284	7	   	259.96	DCR|4VULN|2ASPD|1DUR|2LIT	17LIT|2ZMB|3MBVNT|4578VULN|67ASPD|7BPWR|9DUR|aRCR
100	34633 31231	1	 * 	259.34	DCR|4VULN|2DUR|2ASPD|1SELL	1aDUR|2TBNT|3MBVNT|457aVULN|6RCR|8SELL|9aASPD|aBPWR
101	41341 21411	8	   	259.32	DCR|4VULN|1DMG|1CDMG|1AART	1AART|2357VULN|45CGEN|5BPWR|6LIT|8CDMG|9DMG|aRCR
102	41341 21431	9	   	259.32	DCR|4VULN|1DMG|1CDMG|1AART	1AART|2357VULN|45CGEN|5BPWR|6LIT|8CDMG|9DMG|aRCR
103	41331 21411	8	   	259.12	DCR|4VULN|1DMG|1CDMG|1AART	1AART|2357VULN|45ERES|5BPWR|6LIT|8CDMG|9DMG|aRCR
104	41331 21431	9	   	259.12	DCR|4VULN|1DMG|1CDMG|1AART	1AART|2357VULN|45ERES|5BPWR|6LIT|8CDMG|9DMG|aRCR
105	16543 44743	7	   	259.01	DCR|4VULN|1DMG|1DUR|2LIT	18LIT|2568CGEN|3MBVNT|4568VULN|568BPWR|7RCR|9DMG|aDUR
106	16543 44744	7	   	259.01	DCR|4VULN|1DMG|1TLV|2LIT	18LIT|2568CGEN|3MBVNT|4568VULN|568BPWR|7RCR|9DMG|aTLV
107	41321 23512	5	 * 	258.48	DCR|4VULN|2ASPD|3TLV|1AART	1AART|236aVULN|4BELT|56aTLV|6aBPWR|7aASPD|8BBNT|9RCR
108	41321 23612	5	   	258.48	DCR|4VULN|2ASPD|3TLV|1AART	1AART|236aVULN|4BELT|56aTLV|6aBPWR|7aASPD|8TBNT|9RCR
109	41321 43512	6	   	258.48	DCR|4VULN|2ASPD|2TLV|1AART	1AART|236aVULN|4BELT|5aTLV|7aASPD|8BBNT|9RCR|aBPWR
110	41321 43612	6	   	258.48	DCR|4VULN|2ASPD|2TLV|1AART	1AART|236aVULN|4BELT|5aTLV|7aASPD|8TBNT|9RCR|aBPWR
111	34122 21511	1	   	258.34	DCR|4VULN|2DUR|1DMG	13DUR|2TBNT|467aVULN|5CGEN|8DMG|9RCR
112	15232 13632	2	   	258.18	DCR|5VULN|1DUR|2LIT	15LIT|2347aVULN|6DUR|8CGEN|9RCR
113	15342 42132	2	   	258.18	DCR|5VULN|1TLV|2LIT	18LIT|2458aVULN|3TLV|6CGEN|78ERES|8BPWR|9RCR
114	15232 13312	2	   	258.18	DCR|5VULN|1DUR|2LIT	15LIT|23479VULN|6DUR|8ZMB|aRCR
115	15232 41212	2	   	258.18	DCR|5VULN|1DUR|2LIT	15LIT|23469VULN|7ZMB|8DUR|aRCR
116	15345 32132	2	   	258.18	DCR|5VULN|1TLV|2LIT	18LIT|2468aVULN|3TLV|5CGEN|78ERES|8BPWR|9RCR
117	41361 12151	7	   	258.16	DCR|5VULN|2AART|1CDMG	18AART|23456VULN|7BEXP|9RCR|aCDMG
118	41363 11212	9	   	258.16	DCR|5VULN|2AART|1CDMG	15AART|23467VULN|8RCR|9RPLT|aCDMG
119	41363 11222	10	   	258.16	DCR|5VULN|2AART|1CDMG	15AART|23467VULN|8RCR|9RCVC|aCDMG
120	41363 11232	8	   	258.16	DCR|5VULN|2AART|1CDMG	15AART|23467VULN|8RCR|9RPLT|aCDMG
121	41363 11241	9	   	258.16	DCR|5VULN|2AART|1CDMG	15AART|23467VULN|8RCR|9LHND|aCDMG
122	41363 11261	8	   	258.16	DCR|5VULN|2AART|1CDMG	15AART|23467VULN|8RCR|9LHND|aCDMG
123	41363 11221	8	   	258.06	DCR|5VULN|2AART|1CDMG	15AART|23467VULN|8RCR|9DUST|aCDMG
124	41321 42311	10	   	258.01	DCR|4VULN|1TLV|1DUR|1AART	1AART|2367VULN|4BELT|5TLV|8DUR|9LIT|aRCR
125	41321 42315	9	   	258.01	DCR|4VULN|1TLV|1DUR|1AART	1AART|2367VULN|4BELT|5TLV|8DUR|9LIT|aRCR
126	36341 16111	1	   	257.68	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	15DUR|2TLV|3aLIT|45VULN|5BPWR|6LWND|7RCR|89DMG
127	41261 13421	2	   	257.56	DCR|2VULN|2DMG|2DUR|2AART|1CDMG	16AART|27VULN|3TBNT|47DMG|57DUR|7BPWR|8RCR|9ERES|aCDMG
128	41363 12521	7	   	257.47	DCR|4VULN|2AART|1TLV|1DUR	15AART|2346VULN|7CGEN|8RCR|9TLV|aDUR
129	41363 13521	6	   	257.47	DCR|4VULN|2AART|1TLV|1DUR	15AART|2346VULN|7RMIN|8RCR|9TLV|aDUR
130	41363 13521	5	   	257.47	DCR|4VULN|2AART|1TLV|1DUR	15AART|2346VULN|6BPWR|7RMIN|8RCR|9TLV|aDUR
131	23542 21522	5	   	257.47	DCR|3VULN|2DMG|2TLV|2LIT	127DUST|3RPLT|4aDMG|57LIT|67aVULN|7aBPWR|8aTLV|9RCR
132	12543 38171	10	   	257.46	DCR|4VULN|2ASPD|2LIT|1CDMG	17LIT|25ZMB|3MBVNT|4578VULN|57BPWR|67ASPD|9CDMG|aRCR
133	31543 13313	9	   	257.43	DCR|3VULN|3DUR|1DMG	156DUR|2LIT|3ZMB|45aVULN|5BPWR|7DMG|8RCR|9RPLT
134	31543 13331	9	   	257.43	DCR|3VULN|3DUR|1DMG	156DUR|2LIT|3ZMB|45aVULN|5BPWR|7DMG|8RCR|9LWND
135	31543 13361	9	   	257.43	DCR|3VULN|3DUR|1DMG	156DUR|2LIT|3ZMB|45aVULN|5BPWR|7DMG|8RCR|9FEWX
136	31543 13361	8	   	257.43	DCR|3VULN|3DUR|1DMG	156DUR|2LIT|3ZMB|45aVULN|5BPWR|7DMG|8RCR|9BEXP
137	31316 43631	2	   	257.43	DCR|3VULN|3DUR|2TLV	19aDUR|2LIT|369VULN|4BELT|5RMIN|79TLV|8RCR|9BPWR
138	12544 38171	10	   	257.36	DCR|4VULN|2ASPD|2LIT|1CDMG	17LIT|2ZMB|3MBVNT|4578VULN|67ASPD|7BPWR|9CDMG|aRCR
139	31543 13331	8	   	257.33	DCR|3VULN|3DUR|1DMG	156DUR|2LIT|3ZMB|45aVULN|5BPWR|7DMG|8RCR|9MBVNT
140	31543 13351	9	   	257.33	DCR|3VULN|3DUR|1DMG	156DUR|2LIT|3ZMB|45aVULN|5BPWR|7DMG|8RCR|9DUST
141	33341 16141	1	   	257.33	DCR|3VULN|3DUR|1DMG	159DUR|2ERES|3LIT|45aVULN|5BPWR|6LWND|7RCR|8DMG
142	44222 33362	2	 * 	257.27	DCR|2VULN|3DMG|2CDMG|1TLV|1AART	1AART|27CDMG|3ERES|467DMG|57VULN|7BPWR|8RPLT|9TLV|aRCR
143	41321 24231	10	 * 	257.23	DCR|4VULN|2TLV|2CDMG|1AART	1AART|2389VULN|4BELT|58TLV|6MBVNT|78CDMG|8BPWR|aRCR
144	31512 21522	2	 * 	257.13	DCR|2VULN|3DUR|2TLV|1DMG|2LIT	146DUR|2aLIT|3DMG|5aVULN|7RPLT|8aTLV|9RCR|aBPWR
145	34423 23613	1	   	257.11	DCR|3VULN|2DUR|2ASPD|1DMG	18DUR|2TBNT|38ASPD|4BEXP|5FEWX|68aVULN|7RCR|8BPWR|9DMG
146	41361 12213	7	   	256.80	DCR|5VULN|1DMG|1AART	1AART|23456VULN|7BEXP|8RCR|9RCVC|aDMG
147	41361 16213	7	   	256.80	DCR|5VULN|1DMG|1AART	1AART|23456VULN|7FEWX|8RCR|9RCVC|aDMG
148	41361 36213	6	   	256.80	DCR|5VULN|1DMG|1AART	1AART|23457VULN|6FEWX|8RCR|9RCVC|aDMG
149	41362 11214	8	   	256.80	DCR|5VULN|1DMG|1AART	1AART|23467VULN|5DMSP|8RCR|9DMG|aZMB
150	41362 11216	8	   	256.80	DCR|5VULN|1DMG|1AART	1AART|23467VULN|5DMSP|8RCR|9DMG|aMLV
151	41362 11243	9	   	256.80	DCR|5VULN|1DMG|1AART	1AART|23467VULN|5DMSP|8RCR|9LHND|aDMG
152	41362 11263	8	   	256.80	DCR|5VULN|1DMG|1AART	1AART|23467VULN|5DMSP|8RCR|9LHND|aDMG
153	41161 11214	8	   	256.80	DCR|5VULN|1DMG|1AART	1AART|24567VULN|3DMSP|8RCR|9DMG|aZMB
154	41161 11216	8	   	256.80	DCR|5VULN|1DMG|1AART	1AART|24567VULN|3DMSP|8RCR|9DMG|aMLV
155	41161 11243	9	   	256.80	DCR|5VULN|1DMG|1AART	1AART|24567VULN|3DMSP|8RCR|9LHND|aDMG
156	41161 11263	8	   	256.80	DCR|5VULN|1DMG|1AART	1AART|24567VULN|3DMSP|8RCR|9LHND|aDMG
157	41321 46231	9	 * 	256.80	DCR|5VULN|2TLV|1AART	1AART|23689VULN|4BELT|58TLV|7RPLT|8BPWR|aRCR
158	41323 15153	6	   	256.80	DCR|5VULN|1DMG|1AART	1AART|23589VULN|4BELT|6LHND|7RCR|aDMG
159	41323 15153	7	   	256.80	DCR|5VULN|1DMG|1AART	1AART|23589VULN|4BELT|6LHND|7RCR|aDMG
160	41323 25153	6	   	256.80	DCR|5VULN|1DMG|1AART	1AART|23589VULN|4BELT|6FEWX|7RCR|aDMG
161	41323 25153	7	   	256.80	DCR|5VULN|1DMG|1AART	1AART|23589VULN|4BELT|6FEWX|7RCR|aDMG
162	41322 11412	3	   	256.70	DCR|5VULN|1DMG|1AART	1AART|2349aVULN|5DMG|6LHND|7TBNT|8RCR
163	41361 15213	5	   	256.70	DCR|5VULN|1DMG|1AART	1AART|23456VULN|6BPWR|7DUST|8RCR|9RCVC|aDMG
164	41361 15213	6	   	256.70	DCR|5VULN|1DMG|1AART	1AART|23456VULN|7DUST|8RCR|9RCVC|aDMG
165	41362 11212	8	   	256.70	DCR|5VULN|1DMG|1AART	1AART|23467VULN|5DMSP|8RCR|9DMG|aTBNT
166	41362 11213	8	   	256.70	DCR|5VULN|1DMG|1AART	1AART|23467VULN|5DMSP|8RCR|9DMG|aERES
167	41362 11223	8	   	256.70	DCR|5VULN|1DMG|1AART	1AART|23467VULN|5DMSP|8RCR|9DUST|aDMG
168	41362 11412	4	   	256.70	DCR|5VULN|1DMG|1AART	1AART|2349aVULN|5DMG|6LHND|7TBNT|8RCR
169	41161 11212	8	   	256.70	DCR|5VULN|1DMG|1AART	1AART|24567VULN|3DMSP|8RCR|9DMG|aTBNT
170	41161 11213	8	   	256.70	DCR|5VULN|1DMG|1AART	1AART|24567VULN|3DMSP|8RCR|9DMG|aERES
171	41161 11215	7	   	256.70	DCR|5VULN|1DMG|1AART	1AART|24567VULN|3DMSP|8MBVNT|9DMG|aRCR
172	41161 11223	8	   	256.70	DCR|5VULN|1DMG|1AART	1AART|24567VULN|3DMSP|8RCR|9DUST|aDMG
173	41361 11235	5	   	256.70	DCR|5VULN|1DMG|1AART	1AART|23456VULN|6BPWR|7MBVNT|8DMG|9RCVC|aRCR
174	41361 11235	6	   	256.70	DCR|5VULN|1DMG|1AART	1AART|23456VULN|7MBVNT|8DMG|9RCVC|aRCR
175	41362 11215	7	   	256.70	DCR|5VULN|1DMG|1AART	1AART|23467VULN|5DMSP|8MBVNT|9DMG|aRCR
176	41341 21243	10	   	256.67	DCR|4VULN|1DMG|1ASPD|1AART	1AART|2357VULN|45CGEN|5BPWR|6LIT|8ASPD|9RCR|aDMG
177	41326 62211	10	   	256.54	DCR|4VULN|2DUR|1AART	1AART|2378VULN|4BELT|58CGEN|68DUR|8BPWR|9LIT|aRCR
178	53213 34215	1	 * 	256.20	DCR|2VULN|2DMG|2DUR|3LIT|1AART	1LEGI|25aLIT|35VULN|4BELT|5aBPWR|6RCR|7AART|8aDMG|9aDUR
179	41341 21241	10	   	256.15	DCR|5VULN|1ASPD|1AART	1AART|2357aVULN|45CGEN|5BPWR|6LIT|8ASPD|9RCR
180	41362 11231	10	   	256.05	DCR|5VULN|1ASPD|1AART	1AART|23467VULN|5DMSP|8RCR|9ASPD|aLIT
181	41161 11231	10	   	256.05	DCR|5VULN|1ASPD|1AART	1AART|24567VULN|3DMSP|8RCR|9ASPD|aLIT
182	36622 63332	1	 * 	255.86	DCR|3VULN|2DUR|2TLV|1DMG	19DUR|26TLV|3RCVC|456VULN|6BPWR|7RCR|8DMG|aFEWX
183	36622 63333	1	   	255.86	DCR|3VULN|2DUR|2TLV|1DMG	19DUR|26TLV|3RCVC|456VULN|6BPWR|7RCR|8DMG|aCGEN
184	31313 23642	2	 * 	255.86	DCR|3VULN|2DUR|3LIT|2TLV	19DUR|259LIT|35aVULN|4BELT|59BPWR|6CGEN|79TLV|8RCR
185	31313 43642	2	   	255.76	DCR|3VULN|2DUR|3LIT|2TLV	19DUR|259LIT|35aVULN|4BELT|59BPWR|6ERES|79TLV|8RCR
186	36622 63331	1	   	255.76	DCR|3VULN|2DUR|2TLV|1DMG	19DUR|26TLV|3RCVC|456VULN|6BPWR|7RCR|8DMG|aLEGI
