0	Index      	Bounty	 *	Score 	Summary	Detail	
1	46234 12332	6	 * 	284.48	DCR|3VULN|3DMG|2DUR|1TLV	19BEXP|239DMG|46DUR|5TLV|79aVULN|8RCR|9BPWR
14	22252 22333	3	   	273.01	DCR|2VULN|3DMG|3DUR|1TLV	139DMG|249DUR|5TLV|6BEXP|79VULN|8RCR|9BPWR|aCGEN
15	22252 22335	3	   	273.01	DCR|2VULN|3DMG|3DUR|1TLV	139DMG|249DUR|5TLV|6BEXP|79VULN|8RCR|9BPWR|aMLV
16	22232 22336	4	   	272.91	DCR|2VULN|3DMG|3DUR|1TLV	139DMG|249DUR|5TLV|6BEXP|79VULN|8RCR|9BPWR|aDUST
17	22236 33313	5	   	272.91	DCR|2VULN|3DMG|3DUR|1TLV	139DMG|249DUR|59VULN|6RMIN|7TBNT|8RCR|9BPWR|aTLV
18	22252 22336	3	   	272.91	DCR|2VULN|3DMG|3DUR|1TLV	139DMG|249DUR|5TLV|6BEXP|79VULN|8RCR|9BPWR|aDUST
19	22166 23161	2	 * 	271.88	DCR|3VULN|2DMG|2TLV|1DUR|1AART	18DMG|2DUR|38aVULN|4AART|58TLV|6RCR|7RMIN|8BPWR|9DUST
20	22231 14164	7	 * 	271.30	DCR|3VULN|3DMG|3DUR	13aDMG|248DUR|5aERES|6RCR|79aVULN|aBPWR
21	22532 22332	4	   	271.01	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	19DMG|249DUR|3DMSP|5TLV|6BEXP|79VULN|8RCR|9BPWR|aCDMG
22	22552 22332	3	   	271.01	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	19DMG|249DUR|3DMSP|5TLV|6BEXP|79VULN|8RCR|9BPWR|aCDMG
23	22652 22332	2	   	271.01	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	19DMG|249DUR|3RCVC|5TLV|6BEXP|79VULN|8RCR|9BPWR|aCDMG
24	46234 22332	6	   	269.89	DCR|3VULN|3DMG|1TLV|1DUR	19BEXP|239DMG|4DUR|5TLV|6RCVC|79aVULN|8RCR|9BPWR
25	24532 23136	3	   	269.45	DCR|2VULN|3DMG|2DUR|1TLV|1AART	189DMG|2AART|3MLV|48VULN|58DUR|6RCR|7RMIN|8BPWR|aTLV
26	22236 34312	10	   	269.25	DCR|2VULN|3DMG|2DUR|1TLV|1AART	137DMG|24DUR|59VULN|6AART|8TLV|aRCR
27	25123 62423	2	   	269.24	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	19DMG|2LIT|39TLV|4CGEN|5AART|6RCR|7DUR|89VULN|9BPWR|aCDMG
28	64122 38212	3	 * 	268.88	DCR|3VULN|2TLV|2DUR|1DMG|1AART	1RPLT|27TLV|3AART|47DUR|578VULN|6MBVNT|7BPWR|9RCR|aDMG
29	25143 14313	6	   	268.36	DCR|3VULN|2DMG|2DUR|2AART	18DMG|2LIT|3BELT|489VULN|58DUR|6aAART|7RCR|8BPWR
30	42521 22234	10	 * 	266.26	DCR|3VULN|2DMG|1TLV|2CDMG	1BEXP|249VULN|3LIT|5LWND|69CDMG|7TLV|89DMG|9BPWR|aRCR
31	42523 22234	10	   	266.16	DCR|3VULN|2DMG|1TLV|2CDMG	1BEXP|249VULN|3LIT|5DUST|69CDMG|7TLV|89DMG|9BPWR|aRCR
32	24324 16111	10	   	265.83	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	1aDMG|2AART|3BELT|45aVULN|6DUST|7CDMG|8aDUR|9RCR|aBPWR
33	46233 26332	5	   	264.74	DCR|4VULN|3DMG|1DUR	19BEXP|239DMG|4DUR|5CGEN|679aVULN|8RCR|9BPWR
34	25631 16322	9	   	264.59	DCR|2VULN|3DMG|2DUR|2ASPD|2LIT|1NUKE	15aDMG|2aLIT|36ASPD|45DUR|5aBPWR|7aVULN|8RCR|9NUKE
35	25631 16323	10	   	264.59	DCR|2VULN|3DMG|2DUR|2ASPD|2LIT|1NUKE	15aDMG|2aLIT|36ASPD|45DUR|5aBPWR|7aVULN|8RCR|9NUKE
36	13242 52312	5	   	264.54	DCR|4VULN|3DMG|2ASPD	19ASPD|2FEWX|349DMG|579aVULN|6TBNT|8RCR|9BPWR
37	12242 13316	6	   	263.28	DCR|2VULN|3DMG|2DUR|2ASPD|1CDMG	19ASPD|26DUR|349DMG|59VULN|7TBNT|8RCR|9BPWR|aCDMG
38	42161 43232	5	 * 	263.21	DCR|4VULN|1TLV|1DMG|1CDMG	1BEXP|246aVULN|3CDMG|5DMG|7ASPD|8TLV|9RCR
39	22166 23131	2	 * 	262.94	DCR|2VULN|3DMG|2TLV|1DUR|1AART	189DMG|2DUR|38VULN|4AART|58TLV|6RCR|7RMIN|8BPWR|aCGEN
40	22166 23132	2	   	262.94	DCR|2VULN|3DMG|2TLV|1DUR|1AART	189DMG|2DUR|38VULN|4AART|58TLV|6RCR|7RMIN|8BPWR|aRCVC
41	22166 23133	2	   	262.94	DCR|2VULN|3DMG|2TLV|1DUR|1AART	189DMG|2DUR|38VULN|4AART|58TLV|6RCR|7RMIN|8BPWR|aFEWX
42	22166 23134	2	   	262.94	DCR|2VULN|3DMG|2TLV|1DUR|1AART	189DMG|2DUR|38VULN|4AART|58TLV|6RCR|7RMIN|8BPWR|aMLV
43	22166 23136	2	   	262.94	DCR|2VULN|3DMG|2TLV|1DUR|1AART	189DMG|2DUR|38VULN|4AART|58TLV|6RCR|7RMIN|8BPWR|aRPLT
44	23542 22332	1	   	262.84	DCR|2VULN|3DMG|2TLV|1DUR|1AART	189DMG|28TLV|3DUR|4BEXP|5MBVNT|68VULN|7AART|8BPWR|aRCR
45	22536 16322	7	 * 	262.48	DCR|3VULN|2DMG|2DUR|3LIT	17DMG|24DUR|3DMSP|57aVULN|678LIT|7BPWR|9RCR
46	42136 61331	2	   	262.46	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR|1AART	18BEXP|28aVULN|3AART|4TLV|5DUR|6RCR|78ASPD|8BPWR|9DMG
47	25123 62421	2	   	262.14	DCR|2VULN|2DMG|2TLV|1DUR|2LIT|1AART	19DMG|2aLIT|39TLV|4CGEN|5AART|6RCR|7DUR|89VULN|9BPWR
48	52356 11332	6	 * 	261.82	DCR|3VULN|3DMG|2TLV	149LHND|259DMG|35TLV|59BPWR|6RCR|7BEXP|89aVULN
49	22166 23141	2	 * 	261.77	DCR|2VULN|2DMG|2TLV|2DUR|1AART	18DMG|2aDUR|38VULN|4AART|58TLV|6RCR|7RMIN|8BPWR|9TBNT
50	22233 43422	9	   	261.66	DCR|2VULN|3DMG|3DUR|2LIT	139DMG|24aDUR|5aLIT|6RMIN|7RCR|8aVULN|aBPWR
51	22233 46322	9	   	261.66	DCR|2VULN|3DMG|3DUR|2LIT	139DMG|24aDUR|5aLIT|6RMIN|7aVULN|8RCR|aBPWR
52	22166 23122	2	   	260.94	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	18DMG|2DUR|38VULN|4AART|58TLV|6RCR|7RMIN|8BPWR|9CGEN|aCDMG
53	22166 23163	2	   	260.84	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	18DMG|2DUR|38VULN|4AART|58TLV|6RCR|7RMIN|8BPWR|9DUST|aCDMG
54	22632 32124	4	 * 	260.68	DCR|2VULN|3DUR|2DMG|2CDMG|1AART	19DMG|234DUR|5ERES|69CDMG|7RCR|89VULN|9BPWR|aAART
55	22652 32124	3	   	260.68	DCR|2VULN|3DUR|2DMG|2CDMG|1AART	19DMG|234DUR|5ERES|69CDMG|7RCR|89VULN|9BPWR|aAART
56	25143 14312	6	   	260.59	DCR|3VULN|2DMG|2DUR|1AART	18DMG|2LIT|3BELT|489VULN|58DUR|6AART|7RCR|8BPWR|aLWND
57	15143 14112	6	   	260.14	DCR|4VULN|2DUR|2ASPD|1AART	1aASPD|2LIT|3BELT|489aVULN|5aDUR|6AART|7RCR|aBPWR
58	46234 12333	6	   	259.79	DCR|2VULN|3DMG|2DUR|1TLV	19BEXP|239DMG|46DUR|5TLV|79VULN|8RCR|9BPWR|aRPLT
59	13242 33232	7	   	259.75	DCR|3VULN|2DMG|1TLV|1CDMG	1ASPD|2FEWX|34DMG|58aVULN|6TLV|7CDMG|9RCR
60	42161 63232	5	   	259.75	DCR|3VULN|2DMG|1TLV|1CDMG	1BEXP|24aVULN|3CDMG|56DMG|7ASPD|8TLV|9RCR
61	12242 23312	6	   	259.74	DCR|3VULN|3DMG|2ASPD|1DUR	19ASPD|2DUR|349DMG|59aVULN|6RCVC|7TBNT|8RCR|9BPWR
62	12242 54312	5	   	259.74	DCR|3VULN|3DMG|2ASPD|1DUR	19ASPD|2DUR|349DMG|59aVULN|6TBNT|7RCVC|8RCR|9BPWR
63	46234 12331	6	   	259.69	DCR|2VULN|3DMG|2DUR|1TLV	19BEXP|239DMG|46DUR|5TLV|79VULN|8RCR|9BPWR|aDUST
64	12242 52113	5	   	259.64	DCR|3VULN|3DMG|2ASPD|1DUR	19ASPD|2DUR|349DMG|579VULN|6TBNT|8LEGI|9BPWR|aRCR
65	12242 52311	5	   	259.64	DCR|3VULN|3DMG|2ASPD|1DUR	19ASPD|2DUR|349DMG|579VULN|6TBNT|8RCR|9BPWR|aLEGI
66	12242 52313	5	   	259.64	DCR|3VULN|3DMG|2ASPD|1DUR	19ASPD|2DUR|349DMG|579VULN|6TBNT|8RCR|9BPWR|aERES
67	12242 52314	5	   	259.64	DCR|3VULN|3DMG|2ASPD|1DUR	19ASPD|2DUR|349DMG|579VULN|6TBNT|8RCR|9BPWR|aDUST
68	12242 52315	5	   	259.64	DCR|3VULN|3DMG|2ASPD|1DUR	19ASPD|2DUR|349DMG|579VULN|6TBNT|8RCR|9BPWR|aBBNT
69	65333 23341	10	 * 	259.60	DCR|5VULN|1TLV|1DMG	1RPLT|23568VULN|4RCVC|7TLV|9RCR|aDMG
70	12166 23132	2	   	259.50	DCR|2VULN|2TLV|1DMG|2ASPD|1DUR|1CDMG|1AART	18ASPD|2DUR|38VULN|4AART|58TLV|6RCR|7RMIN|8BPWR|9DMG|aCDMG
71	15143 14311	6	   	259.15	DCR|3VULN|2DUR|1DMG|2ASPD|1AART	18ASPD|2LIT|3BELT|489VULN|58DUR|6AART|7RCR|8BPWR|aDMG
72	23334 34361	1	 * 	258.77	DCR|2VULN|2DMG|2TLV|2CDMG|2AART	19DMG|29TLV|3aVULN|4CGEN|59CDMG|68AART|7RCR|9BPWR
73	23314 34361	1	   	258.67	DCR|2VULN|2DMG|2TLV|2CDMG|2AART	19DMG|29TLV|3aVULN|4ERES|59CDMG|68AART|7RCR|9BPWR
74	12262 52314	5	   	258.67	DCR|3VULN|2DMG|2DUR|2ASPD	19ASPD|24DUR|39DMG|579VULN|6TBNT|8RCR|9BPWR|aFEWX
75	12262 52315	5	   	258.67	DCR|3VULN|2DMG|2DUR|2ASPD	19ASPD|24DUR|39DMG|579VULN|6TBNT|8RCR|9BPWR|aCGEN
76	12262 23312	6	   	258.67	DCR|3VULN|2DMG|2DUR|2ASPD	19ASPD|24DUR|39DMG|59aVULN|6RCVC|7TBNT|8RCR|9BPWR
77	12262 54312	5	   	258.67	DCR|3VULN|2DMG|2DUR|2ASPD	19ASPD|24DUR|39DMG|59aVULN|6TBNT|7RCVC|8RCR|9BPWR
78	12262 52311	5	   	258.57	DCR|3VULN|2DMG|2DUR|2ASPD	19ASPD|24DUR|39DMG|579VULN|6TBNT|8RCR|9BPWR|aDUST
79	12262 52313	5	   	258.57	DCR|3VULN|2DMG|2DUR|2ASPD	19ASPD|24DUR|39DMG|579VULN|6TBNT|8RCR|9BPWR|aMBVNT
80	12262 52316	5	   	258.43	DCR|3VULN|2DMG|2DUR|2ASPD|1SELL	19ASPD|24DUR|39DMG|579VULN|6TBNT|8RCR|9BPWR|aSELL
81	42161 43233	5	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1BEXP|246VULN|3CDMG|5DMG|7ASPD|8TLV|9RCR|aDUR
82	46233 12332	6	   	258.27	DCR|3VULN|3DMG|2DUR	19BEXP|239DMG|46DUR|5CGEN|79aVULN|8RCR|9BPWR
83	46233 14332	7	   	258.27	DCR|3VULN|3DMG|2DUR	19BEXP|239DMG|46DUR|5CGEN|79aVULN|8RCR|9BPWR
84	22241 22332	3	   	258.17	DCR|3VULN|3DMG|2DUR	139DMG|29DUR|4BEXP|5RCVC|6ERES|79aVULN|8RCR|9BPWR
85	46232 22332	5	   	258.17	DCR|3VULN|3DMG|2DUR	19BEXP|239DMG|45DUR|6ERES|79aVULN|8RCR|9BPWR
86	46235 22332	4	   	258.17	DCR|3VULN|3DMG|2DUR	19BEXP|239DMG|45DUR|6ERES|79aVULN|8RCR|9BPWR
87	46236 12332	6	   	258.17	DCR|3VULN|3DMG|2DUR	19BEXP|239DMG|46DUR|5ERES|79aVULN|8RCR|9BPWR
88	12244 22233	7	   	257.62	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1ASPD|2DUR|34DMG|5aCDMG|67VULN|8TLV|9RCR
89	42163 42111	10	 * 	257.40	DCR|4VULN|1TLV|2CDMG|1DUR	1BEXP|2479VULN|35CDMG|6RCR|8DUR|aTLV
90	22532 22331	4	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	19DMG|249DUR|3DMSP|5TLV|6BEXP|79VULN|8RCR|9BPWR|aLHND
91	22532 22333	4	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	19DMG|249DUR|3DMSP|5TLV|6BEXP|79VULN|8RCR|9BPWR|aFEWX
92	22552 22331	3	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	19DMG|249DUR|3DMSP|5TLV|6BEXP|79VULN|8RCR|9BPWR|aLHND
93	22552 22333	3	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	19DMG|249DUR|3DMSP|5TLV|6BEXP|79VULN|8RCR|9BPWR|aFEWX
94	22652 22331	2	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	19DMG|249DUR|3RCVC|5TLV|6BEXP|79VULN|8RCR|9BPWR|aLHND
95	22652 22333	2	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	19DMG|249DUR|3RCVC|5TLV|6BEXP|79VULN|8RCR|9BPWR|aFEWX
96	22532 22334	4	   	257.26	DCR|2VULN|3DUR|2DMG|1TLV	19DMG|249DUR|3DMSP|5TLV|6BEXP|79VULN|8RCR|9BPWR|aDUST
97	22532 22335	4	   	257.26	DCR|2VULN|3DUR|2DMG|1TLV	19DMG|249DUR|3DMSP|5TLV|6BEXP|79VULN|8RCR|9BPWR|aBBNT
98	22532 22336	4	   	257.26	DCR|2VULN|3DUR|2DMG|1TLV|1NUKE	19DMG|249DUR|3DMSP|5TLV|6BEXP|79VULN|8RCR|9BPWR|aNUKE
99	22552 22334	3	   	257.26	DCR|2VULN|3DUR|2DMG|1TLV	19DMG|249DUR|3DMSP|5TLV|6BEXP|79VULN|8RCR|9BPWR|aDUST
100	22552 22335	3	   	257.26	DCR|2VULN|3DUR|2DMG|1TLV	19DMG|249DUR|3DMSP|5TLV|6BEXP|79VULN|8RCR|9BPWR|aBBNT
101	22552 22336	3	   	257.26	DCR|2VULN|3DUR|2DMG|1TLV|1NUKE	19DMG|249DUR|3DMSP|5TLV|6BEXP|79VULN|8RCR|9BPWR|aNUKE
102	22652 22334	2	   	257.26	DCR|2VULN|3DUR|2DMG|1TLV	19DMG|249DUR|3RCVC|5TLV|6BEXP|79VULN|8RCR|9BPWR|aDUST
103	22652 22335	2	   	257.26	DCR|2VULN|3DUR|2DMG|1TLV	19DMG|249DUR|3RCVC|5TLV|6BEXP|79VULN|8RCR|9BPWR|aBBNT
104	22652 22336	2	   	257.26	DCR|2VULN|3DUR|2DMG|1TLV|1NUKE	19DMG|249DUR|3RCVC|5TLV|6BEXP|79VULN|8RCR|9BPWR|aNUKE
105	22232 22351	4	   	257.16	DCR|2VULN|3DUR|2DMG|1TLV	13DMG|24aDUR|5TLV|6BEXP|79VULN|8RCR
106	22252 22351	3	   	257.16	DCR|2VULN|3DUR|2DMG|1TLV	13DMG|24aDUR|5TLV|6BEXP|79VULN|8RCR
107	13242 52316	5	   	257.14	DCR|3VULN|3DMG|2ASPD|1CDMG	19ASPD|2FEWX|349DMG|579VULN|6TBNT|8RCR|9BPWR|aCDMG
108	64122 38214	3	   	257.12	DCR|3VULN|2TLV|2DUR|1AART	1RPLT|27TLV|3AART|47DUR|578VULN|6MBVNT|7BPWR|9RCR|aLIT
109	22121 22352	3	   	256.89	DCR|2VULN|3DMG|2DUR|1CDMG|1AART	189DMG|28DUR|3LHND|4RPLT|5CDMG|68VULN|7AART|8BPWR|aRCR
110	22151 22352	4	   	256.89	DCR|2VULN|3DMG|2DUR|1CDMG|1AART	189DMG|28DUR|3LHND|4RPLT|5CDMG|68VULN|7AART|8BPWR|aRCR
111	25631 26322	9	   	256.74	DCR|2VULN|3DMG|2DUR|2LIT|1NUKE	15aDMG|2aLIT|3ASPD|45DUR|5aBPWR|6DMSP|7aVULN|8RCR|9NUKE
112	25631 26323	10	   	256.74	DCR|2VULN|3DMG|2DUR|2LIT|1NUKE	15aDMG|2aLIT|3ASPD|45DUR|5aBPWR|6DMSP|7aVULN|8RCR|9NUKE
113	22121 31232	2	   	256.54	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	1aDMG|2DUR|38aVULN|4RPLT|5CDMG|6BEXP|7aLIT|9RCR|aBPWR
114	22121 51232	2	   	256.54	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	1aDMG|2DUR|38aVULN|4RPLT|5CDMG|6LHND|7aLIT|9RCR|aBPWR
115	22121 61232	2	   	256.54	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	1aDMG|2DUR|38aVULN|4RPLT|5CDMG|6FEWX|7aLIT|9RCR|aBPWR
116	22236 16115	1	   	256.34	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	17DMG|2TBNT|3BBNT|4DUR|579VULN|67LIT|7BPWR|8CDMG|aRCR
117	22534 26331	2	   	255.85	DCR|3VULN|3DUR|2DMG	19DMG|29aDUR|34CGEN|5BEXP|679VULN|8RCR|9BPWR
118	65312 32353	10	   	255.85	DCR|3VULN|3DUR|2DMG	1RPLT|23aVULN|45aDUR|6FEWX|7LWND|8RCR|9aDMG|aBPWR
119	65333 23341	9	   	255.78	DCR|5VULN|1TLV|1DUR	1RPLT|23568VULN|4RCVC|7TLV|9RCR|aDUR
120	24238 41414	3	   	255.66	DCR|3VULN|2DMG|1TLV|1AART	14DMG|2AART|3MBVNT|5TLV|6ASPD|78aVULN|9RCR
121	22631 16132	5	   	255.65	DCR|3VULN|3DUR|2DMG	19DMG|234DUR|5BELT|679VULN|8BBNT|9BPWR|aRCR
122	23166 23161	2	   	255.63	DCR|3VULN|2DMG|2TLV|1AART	18DMG|2FEWX|38aVULN|4AART|58TLV|6RCR|7RMIN|8BPWR|9DUST
123	25123 62422	2	   	255.59	DCR|2VULN|2DMG|2TLV|1DUR|1AART	19DMG|2LIT|39TLV|4CGEN|5AART|6RCR|7DUR|89VULN|9BPWR|aMLV
124	22234 22331	4	   	255.12	DCR|2VULN|3DMG|3DUR	139DMG|249DUR|5CGEN|6BEXP|79VULN|8RCR|9BPWR|aLIT
125	22254 22331	3	   	255.12	DCR|2VULN|3DMG|3DUR	139DMG|249DUR|5CGEN|6BEXP|79VULN|8RCR|9BPWR|aLIT
126	22231 22331	5	   	255.02	DCR|2VULN|3DMG|3DUR	139DMG|249DUR|5ERES|6BEXP|79VULN|8RCR|9BPWR|aLIT
127	22232 22331	5	   	255.02	DCR|2VULN|3DMG|3DUR	139DMG|249DUR|5BEXP|6ERES|79VULN|8RCR|9BPWR|aLIT
128	22235 22331	4	   	255.02	DCR|2VULN|3DMG|3DUR	139DMG|249DUR|5BEXP|6ERES|79VULN|8RCR|9BPWR|aLIT
129	22236 33311	5	   	255.02	DCR|2VULN|3DMG|3DUR	139DMG|249DUR|59VULN|6RMIN|7TBNT|8RCR|9BPWR|aLIT
130	22236 33316	5	   	255.02	DCR|2VULN|3DMG|3DUR	139DMG|249DUR|59VULN|6RMIN|7TBNT|8RCR|9BPWR|aASPD
131	22245 22331	3	   	255.02	DCR|2VULN|3DMG|3DUR	139DMG|259DUR|4BEXP|6ERES|79VULN|8RCR|9BPWR|aLIT
132	22255 22331	3	   	255.02	DCR|2VULN|3DMG|3DUR	139DMG|249DUR|5BEXP|6ERES|79VULN|8RCR|9BPWR|aLIT
133	23343 13632	1	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG|1NUKE	1DMG|2TLV|378aVULN|4BEXP|5CDMG|6NUKE|9RCR
134	23635 13632	1	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG|1NUKE	1DMG|2TLV|3CDMG|4BEXP|578aVULN|6NUKE|9RCR
135	12112 26332	2	 * 	254.75	DCR|3VULN|2DUR|1TLV|3ASPD	149ASPD|29DUR|37aVULN|5TLV|69BEXP|8RCR|9BPWR
136	12264 22233	7	 * 	254.61	DCR|2VULN|2DUR|1TLV|1DMG|2CDMG	1ASPD|24DUR|3DMG|5aCDMG|67VULN|8TLV|9RCR
137	22166 22136	2	   	254.56	DCR|2VULN|3DMG|1TLV|1DUR|1AART	189DMG|2DUR|3aVULN|4AART|5TLV|6RCR|7BBNT
