0	Index      	Bounty	 *	Score 	Summary	Detail	
1	25252 36131	5	 * 	292.22	DCR|3VULN|3DMG|3DUR|1AART	137DUR|2RCVC|479VULN|579DMG|6AART|79BPWR|8RMIN|aRCR
15	22222 44122	5	   	277.98	DCR|4VULN|2DUR|2LIT|1CDMG|1ASPD	17DUR|2CDMG|37LIT|4567VULN|7BPWR|8DLOT|9ASPD|aRCR
16	22224 44122	4	   	277.98	DCR|4VULN|2DUR|2LIT|1CDMG|1ASPD	17DUR|2CDMG|37LIT|4567VULN|7BPWR|8DLOT|9ASPD|aRCR
17	22131 42512	10	   	276.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD	14DUR|2CDMG|356VULN|7DMG|8ASPD|9TLV|aRCR
18	22133 11625	8	   	275.03	DCR|3VULN|3DUR|2CDMG|1TLV|1AART	147DUR|27CDMG|379VULN|5AART|6RMIN|7BPWR|8RCR|aTLV
19	43621 31522	9	 * 	275.01	DCR|4VULN|2DMG|2TLV|1AART	18TLV|2AART|389aVULN|4BEXP|5MLV|68DMG|7RCR|8BPWR
20	43621 31522	8	   	275.01	DCR|4VULN|2DMG|2TLV|1AART	18TLV|2AART|389aVULN|4BEXP|5MLV|68DMG|7RCR|8BPWR
21	63222 52326	6	 * 	274.95	DCR|3VULN|3DUR|3ASPD|2LIT	17aASPD|2BELT|3RMIN|467VULN|57aDUR|7aBPWR|8RCR|9aLIT
22	63222 52326	5	   	274.95	DCR|3VULN|3DUR|3ASPD|2LIT	17aASPD|2BELT|3RMIN|467VULN|57aDUR|7aBPWR|8RCR|9aLIT
23	43613 31522	9	   	274.91	DCR|4VULN|2DMG|2TLV|1AART	18TLV|2AART|389aVULN|4MLV|5DUST|68DMG|7RCR|8BPWR
24	43613 31522	8	   	274.91	DCR|4VULN|2DMG|2TLV|1AART	18TLV|2AART|389aVULN|4MLV|5DUST|68DMG|7RCR|8BPWR
25	43623 31522	8	   	274.91	DCR|4VULN|2DMG|2TLV|1AART	18TLV|2AART|389aVULN|4BEXP|5ERES|68DMG|7RCR|8BPWR
26	43623 31522	9	   	274.91	DCR|4VULN|2DMG|2TLV|1AART	18TLV|2AART|389aVULN|4BEXP|5ERES|68DMG|7RCR|8BPWR
27	22131 16434	6	 * 	273.76	DCR|4VULN|3DUR|1CDMG	147DUR|2CDMG|357aVULN|67BEXP|7BPWR|8RCR|9LIT
28	22133 62522	8	   	273.74	DCR|3VULN|3DUR|2CDMG|2LIT|1AART	148DUR|26CDMG|368VULN|5AART|68BPWR|78LIT|9ZMB|aRCR
29	22133 62522	9	   	273.74	DCR|3VULN|3DUR|2CDMG|2LIT|1AART	148DUR|26CDMG|368VULN|5AART|68BPWR|78LIT|9RMIN|aRCR
30	22133 62542	9	   	273.64	DCR|3VULN|3DUR|2CDMG|2LIT|1AART	148DUR|26CDMG|368VULN|5AART|68BPWR|78LIT|9ERES|aRCR
31	22226 12166	8	 * 	273.15	DCR|4VULN|2DUR|2CDMG|2LIT|1SELL	17DUR|26CDMG|37LIT|478aVULN|5SELL|7BPWR|9RCR
32	22161 25214	7	   	273.00	DCR|4VULN|1DUR|1TLV|1CDMG|1ASPD	1DUR|2CDMG|369aVULN|4ASPD|5LIT|7RCR|8TLV
33	22152 16433	6	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	19DUR|2CDMG|3567VULN|4MLV|8RCR|aDMG
34	22222 14411	6	 * 	272.09	DCR|4VULN|2DUR|3LIT|1CDMG	17DUR|2CDMG|367LIT|457aVULN|7BPWR|8RCR|9FEWX
35	22222 14441	6	   	272.09	DCR|4VULN|2DUR|3LIT|1CDMG	17DUR|2CDMG|367LIT|457aVULN|7BPWR|8RCR|9LWND
36	22253 44131	3	 * 	272.01	DCR|3VULN|2DUR|3LIT|2CDMG|1TLV	17DUR|24CDMG|347LIT|47BPWR|567VULN|8LEGI|9TLV|aRCR
37	22332 35245	6	 * 	271.76	DCR|4VULN|3DUR|2CDMG	149DUR|29CDMG|3LHND|5FEWX|679aVULN|8RCR|9BPWR
38	22535 32226	2	   	271.42	DCR|4VULN|3DUR|2CDMG|1SELL	168DUR|28CDMG|3SELL|458aVULN|7BBNT|8BPWR|9RCR
39	57351 42124	6	   	270.11	DCR|3VULN|2DUR|2TLV|1CDMG|1ASPD|1AART	1MBVNT|28DUR|3ASPD|489VULN|5AART|6RCR|78TLV|8BPWR|aCDMG
40	22222 14424	6	   	269.51	DCR|3VULN|2DUR|3LIT|1DMG|1CDMG	17DUR|2CDMG|367LIT|457VULN|7BPWR|8RCR|9RMIN|aDMG
41	21614 23341	3	   	269.24	DCR|3VULN|3DMG|2DUR	19DUR|2RPLT|3RMIN|4LHND|589VULN|679DMG|9BPWR|aRCR
42	61333 14633	3	 * 	269.14	DCR|3VULN|3DMG|3ASPD	127ASPD|3LHND|457VULN|678DMG|7BPWR|9BEXP|aRCR
43	61333 14623	3	   	269.04	DCR|3VULN|3DMG|3ASPD	127ASPD|3LHND|457VULN|678DMG|7BPWR|9DUST|aRCR
44	22535 32242	2	 * 	268.84	DCR|3VULN|3DUR|1DMG|2CDMG|1SELL	168DUR|28CDMG|3SELL|458VULN|7BBNT|8BPWR|9DMG|aRCR
45	22161 25142	9	   	268.76	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	18DUR|2CDMG|369VULN|4ASPD|5LIT|7RCR|aDMG
46	22161 25142	8	   	268.76	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	18DUR|2CDMG|369VULN|4ASPD|5LIT|7RCR|aDMG
47	43621 31522	10	   	268.62	DCR|3VULN|2DMG|2TLV|1DUR|1AART	18TLV|2AART|389VULN|4BEXP|5MLV|68DMG|7RCR|8BPWR|aDUR
48	43623 31522	10	   	268.52	DCR|3VULN|2DMG|2TLV|1DUR|1AART	18TLV|2AART|389VULN|4BEXP|5ERES|68DMG|7RCR|8BPWR|aDUR
49	52313 25174	1	 * 	268.35	DCR|5VULN|2ASPD|1DMG	1MBVNT|25678VULN|3RMIN|47ASPD|7BPWR|9DMG|aRCR
50	52713 25124	1	 * 	268.35	DCR|5VULN|2ASPD|2TLV	1MBVNT|25678VULN|37TLV|47ASPD|7BPWR|9RMIN|aRCR
51	52713 25132	1	   	268.35	DCR|5VULN|2ASPD|2TLV	1MBVNT|25678VULN|37TLV|47ASPD|7BPWR|9LWND|aRCR
52	52713 25234	1	   	268.35	DCR|5VULN|2ASPD|2TLV	1MBVNT|25679VULN|37TLV|47ASPD|7BPWR|8RMIN|aRCR
53	52713 25144	1	   	268.25	DCR|5VULN|2ASPD|2TLV	1MBVNT|25678VULN|37TLV|47ASPD|7BPWR|9TBNT|aRCR
54	22321 35241	4	   	268.20	DCR|4VULN|2DUR|2CDMG|1AART	19DUR|29CDMG|3LHND|4FEWX|5679VULN|8RCR|9BPWR|aAART
55	22341 35241	2	   	268.20	DCR|4VULN|2DUR|2CDMG|1AART	19DUR|29CDMG|3BEXP|4LHND|5679VULN|8RCR|9BPWR|aAART
56	22351 35241	3	   	268.20	DCR|4VULN|2DUR|2CDMG|1AART	19DUR|29CDMG|3LHND|4BEXP|5679VULN|8RCR|9BPWR|aAART
57	22133 63652	6	   	268.10	DCR|4VULN|2DUR|2CDMG|1AART	14DUR|26CDMG|367aVULN|5AART|6BPWR|8RPLT|9RCR
58	21241 27332	8	   	268.10	DCR|4VULN|2DUR|2CDMG|1AART	19DUR|2RPLT|39CDMG|479aVULN|5AART|6MBVNT|8RCR|9BPWR
59	22441 27332	8	   	268.10	DCR|4VULN|2DUR|2CDMG|1AART	19DUR|29CDMG|3RPLT|479aVULN|5AART|6MBVNT|8RCR|9BPWR
60	22133 63581	6	   	268.00	DCR|4VULN|2DUR|2CDMG|1AART	14DUR|26CDMG|367aVULN|5AART|6BPWR|8MBVNT|9RCR
61	22222 36222	6	   	267.41	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	19DUR|2CDMG|3LIT|456VULN|7DMG|8AART|aRCR
62	22222 46222	5	   	267.41	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	19DUR|2CDMG|3LIT|456VULN|7DMG|8AART|aRCR
63	22224 46222	4	   	267.41	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	19DUR|2CDMG|3LIT|456VULN|7DMG|8AART|aRCR
64	22133 11132	8	   	267.09	DCR|3VULN|3DUR|2CDMG|1AART	147DUR|27CDMG|379VULN|5AART|6RMIN|7BPWR|8LIT|aRCR
65	22222 34631	6	   	266.98	DCR|4VULN|2DUR|2LIT|1CDMG|1NUKE	17DUR|2CDMG|37LIT|4567VULN|7BPWR|8NUKE|9RCR|aBEXP
66	22222 34633	6	   	266.98	DCR|4VULN|2DUR|2LIT|1CDMG|1NUKE	17DUR|2CDMG|37LIT|4567VULN|7BPWR|8NUKE|9RCR|aCGEN
67	22222 34636	6	   	266.98	DCR|4VULN|2DUR|2LIT|1CDMG|1NUKE	17DUR|2CDMG|37LIT|4567VULN|7BPWR|8NUKE|9RCR|aMLV
68	22222 44631	5	   	266.98	DCR|4VULN|2DUR|2LIT|1CDMG|1NUKE	17DUR|2CDMG|37LIT|4567VULN|7BPWR|8NUKE|9RCR|aBEXP
69	22222 44633	5	   	266.98	DCR|4VULN|2DUR|2LIT|1CDMG|1NUKE	17DUR|2CDMG|37LIT|4567VULN|7BPWR|8NUKE|9RCR|aCGEN
70	21425 14312	1	   	266.71	DCR|3VULN|3DUR|2DMG	147DUR|259VULN|37ZMB|67DMG|7BPWR|8TBNT|aRCR
71	25213 14312	4	   	266.71	DCR|3VULN|3DUR|2DMG	137DUR|2RCVC|4MLV|579VULN|67DMG|7BPWR|8TBNT|aRCR
72	25233 14312	4	   	266.71	DCR|3VULN|3DUR|2DMG	137DUR|2RCVC|4RMIN|579VULN|67DMG|7BPWR|8TBNT|aRCR
73	57351 42144	9	 * 	266.67	DCR|3VULN|2DUR|2ASPD|2CDMG|1AART	1MBVNT|29DUR|37ASPD|49aVULN|5AART|6RCR|89CDMG|9BPWR
74	25253 14312	5	   	266.61	DCR|3VULN|3DUR|2DMG|1NUKE	137DUR|2RCVC|479VULN|5NUKE|67DMG|7BPWR|8TBNT|aRCR
75	21223 24126	1	 * 	266.42	DCR|5VULN|2DUR	17DUR|25678VULN|37BEXP|4DMSP|7BPWR|9RCR|aLIT
76	22111 25614	7	   	265.81	DCR|4VULN|1DMG|1DUR|1CDMG	1DUR|2CDMG|369aVULN|4ZMB|5LIT|7RCR|8DMG
77	22222 32611	6	   	265.71	DCR|4VULN|1DMG|1DUR|1CDMG|1NUKE	1DUR|2CDMG|3LIT|4567VULN|8NUKE|9DMG|aRCR
78	22222 32632	6	   	265.71	DCR|4VULN|1DMG|1DUR|1CDMG|1NUKE	1DUR|2CDMG|3LIT|4567VULN|8NUKE|9RCR|aDMG
79	22222 42611	5	   	265.71	DCR|4VULN|1DMG|1DUR|1CDMG|1NUKE	1DUR|2CDMG|3LIT|4567VULN|8NUKE|9DMG|aRCR
80	22222 42632	5	   	265.71	DCR|4VULN|1DMG|1DUR|1CDMG|1NUKE	1DUR|2CDMG|3LIT|4567VULN|8NUKE|9RCR|aDMG
81	22224 42611	4	   	265.71	DCR|4VULN|1DMG|1DUR|1CDMG|1NUKE	1DUR|2CDMG|3LIT|4567VULN|8NUKE|9DMG|aRCR
82	22224 42632	4	   	265.71	DCR|4VULN|1DMG|1DUR|1CDMG|1NUKE	1DUR|2CDMG|3LIT|4567VULN|8NUKE|9RCR|aDMG
83	22222 14416	6	   	265.70	DCR|3VULN|2DUR|3LIT|1TLV|1CDMG	17DUR|2CDMG|367LIT|457VULN|7BPWR|8RCR|9FEWX|aTLV
84	22222 14431	6	   	265.70	DCR|3VULN|2DUR|3LIT|1TLV|1CDMG	17DUR|2CDMG|367LIT|457VULN|7BPWR|8RCR|9TLV|aRMIN
85	22222 14432	6	   	265.70	DCR|3VULN|2DUR|3LIT|1TLV|1CDMG	17DUR|2CDMG|367LIT|457VULN|7BPWR|8RCR|9TLV|aCGEN
86	22222 14433	6	   	265.70	DCR|3VULN|2DUR|3LIT|1TLV|1CDMG	17DUR|2CDMG|367LIT|457VULN|7BPWR|8RCR|9TLV|aZMB
87	22222 14435	6	   	265.70	DCR|3VULN|2DUR|3LIT|1TLV|1CDMG	17DUR|2CDMG|367LIT|457VULN|7BPWR|8RCR|9TLV|aLHND
88	22222 14531	6	   	265.70	DCR|3VULN|2DUR|3LIT|1TLV|1CDMG	17DUR|2CDMG|367LIT|457VULN|7BPWR|8LWND|9TLV|aRCR
89	22222 14131	6	   	265.60	DCR|3VULN|2DUR|3LIT|1TLV|1CDMG	17DUR|2CDMG|367LIT|457VULN|7BPWR|8LEGI|9TLV|aRCR
90	22222 14436	6	   	265.60	DCR|3VULN|2DUR|3LIT|1TLV|1CDMG	17DUR|2CDMG|367LIT|457VULN|7BPWR|8RCR|9TLV|aDUST
91	21312 65522	1	 * 	265.48	ACR|4VULN|3DUR|3LIT|1TLV|1AART	19aDUR|279aVULN|3RCR|4CGEN|5AART|6TLV|89aLIT|9aBPWR
92	22131 16415	6	   	265.45	DCR|4VULN|3DUR|1CDMG	147DUR|2CDMG|357aVULN|67BEXP|7BPWR|8RCR|9LWND
93	12134 35241	4	   	265.35	DCR|4VULN|3DUR|1CDMG	19LHND|2CDMG|3679VULN|49aDUR|5LEGI|8RCR|9BPWR
94	12135 36241	7	   	265.35	DCR|4VULN|3DUR|1CDMG	19LHND|2CDMG|3569VULN|49aDUR|7LEGI|8RCR|9BPWR
95	22124 33245	6	   	265.35	DCR|4VULN|3DUR|1CDMG	159DUR|2CDMG|369aVULN|49FEWX|7LEGI|8RCR|9BPWR
96	22131 13245	6	   	265.35	DCR|4VULN|3DUR|1CDMG	149DUR|2CDMG|359aVULN|69BEXP|7LEGI|8RCR|9BPWR
97	22135 33245	6	   	265.35	DCR|4VULN|3DUR|1CDMG	149DUR|2CDMG|369aVULN|59BEXP|7LEGI|8RCR|9BPWR
98	22331 36245	7	   	265.35	DCR|4VULN|3DUR|1CDMG	149DUR|2CDMG|39LHND|569aVULN|7LEGI|8RCR|9BPWR
99	22222 32164	7	   	265.29	DCR|5VULN|1DUR|1CDMG	1DUR|2CDMG|3LIT|4568aVULN|7LHND|9RCR
100	12222 33164	7	   	265.29	DCR|5VULN|1DUR|1CDMG	1LHND|2CDMG|3LIT|4568aVULN|7DUR|9RCR
101	12222 35164	5	   	265.29	DCR|5VULN|1DUR|1CDMG	1LHND|2CDMG|3LIT|4578aVULN|6DUR|9RCR
102	22131 36421	6	   	265.25	DCR|4VULN|3DUR|1CDMG	149DUR|2CDMG|357aVULN|6CGEN|8RCR
103	22131 36431	5	   	265.25	DCR|4VULN|3DUR|1CDMG	149DUR|2CDMG|357aVULN|6MLV|8RCR
104	22131 43364	9	   	265.25	DCR|4VULN|3DUR|1CDMG	148DUR|2CDMG|356aVULN|7LHND|9RCR
105	22131 43366	10	   	265.25	DCR|4VULN|3DUR|1CDMG	148DUR|2CDMG|356aVULN|7LHND|9RCR
106	22131 45421	7	   	265.25	DCR|4VULN|3DUR|1CDMG	149DUR|2CDMG|356aVULN|7CGEN|8RCR
107	22132 16431	6	   	265.25	DCR|4VULN|3DUR|1CDMG	149DUR|2CDMG|367aVULN|5MLV|8RCR
108	22152 15431	6	   	265.25	DCR|4VULN|3DUR|1CDMG	179DUR|2CDMG|356aVULN|4MLV|8RCR
109	22152 16432	6	   	265.25	DCR|4VULN|3DUR|1CDMG	19aDUR|2CDMG|3567VULN|4MLV|8RCR
110	22152 36431	5	   	265.25	DCR|4VULN|3DUR|1CDMG	169DUR|2CDMG|357aVULN|4MLV|8RCR
111	22331 34364	9	   	265.25	DCR|4VULN|3DUR|1CDMG	148DUR|2CDMG|3LHND|567aVULN|9RCR
112	22331 34366	10	   	265.25	DCR|4VULN|3DUR|1CDMG	148DUR|2CDMG|3LHND|567aVULN|9RCR
113	22133 16431	4	   	265.17	DCR|3VULN|3DUR|2CDMG|1TLV	149DUR|26CDMG|37aVULN|5TLV|8RCR
114	22133 11253	10	 * 	265.02	DCR|3VULN|3DUR|3CDMG|1AART	147DUR|27aCDMG|37aVULN|5AART|6RMIN|7aBPWR|8aLWND|9RCR
115	22133 61136	8	   	264.92	DCR|3VULN|3DUR|3CDMG|1AART	149DUR|268CDMG|369VULN|5AART|69BPWR|79LWND|aRCR
116	22133 65136	8	   	264.92	DCR|3VULN|3DUR|3CDMG|1AART	149DUR|268CDMG|369VULN|5AART|69BPWR|79FEWX|aRCR
117	22133 66136	8	   	264.92	DCR|3VULN|3DUR|3CDMG|1AART	149DUR|268CDMG|369VULN|5AART|69BPWR|79BEXP|aRCR
118	22133 11156	7	   	264.82	DCR|3VULN|3DUR|3CDMG|1AART	147DUR|279CDMG|379VULN|5AART|6RMIN|79BPWR|89ERES|aRCR
119	22133 11356	8	   	264.82	DCR|3VULN|3DUR|3CDMG|1AART	147DUR|279CDMG|379VULN|5AART|6RMIN|79BPWR|89ERES|aRCR
120	22133 11531	8	   	264.82	DCR|3VULN|3DUR|3CDMG|1AART	147DUR|278CDMG|379VULN|5AART|6RMIN|7BPWR|aRCR
121	22133 11626	8	   	264.82	DCR|3VULN|3DUR|3CDMG|1AART	147DUR|27aCDMG|379VULN|5AART|6RMIN|7BPWR|8RCR
122	52313 25164	1	   	264.54	DCR|5VULN|2ASPD|1TLV	1MBVNT|25678VULN|3RMIN|47ASPD|7BPWR|9TLV|aRCR
123	26243 36235	3	   	263.88	DCR|3VULN|3DUR|2CDMG|2LIT	146DUR|29LIT|3MBVNT|59CDMG|7RCR|89aVULN|9BPWR
124	22226 12443	9	   	263.73	DCR|3VULN|3DUR|2CDMG|2LIT|1SELL	178DUR|26CDMG|37LIT|47aVULN|5SELL|7BPWR|9RCR
125	22131 44152	8	   	263.60	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	14DUR|2CDMG|356VULN|7AART|8LIT|9TLV|aRCR
126	22115 41322	10	   	263.13	DCR|4VULN|2DUR|1CDMG|1ASPD	17DUR|2CDMG|3678VULN|47ZMB|5DLOT|7BPWR|9RCR|aASPD
127	22152 16431	6	   	263.03	DCR|4VULN|2DUR|1CDMG|1ASPD	19DUR|2CDMG|3567VULN|4MLV|8RCR|aASPD
128	22222 34345	5	 * 	262.67	DCR|3VULN|3DUR|3LIT|1CDMG	167DUR|2CDMG|378LIT|457VULN|7BPWR|9BELT|aRCR
