0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62212 31156	6	 * 	277.07	DCR|3VULN|2DUR|2ASPD|1DMG|2CDMG	19ASPD|2ERES|39CDMG|4aDUR|5DMG|689VULN|7RCR|9BPWR
64	64121 15213	7	   	258.65	DCR|4VULN|2ASPD|1DUR|1CDMG	14ASPD|2DMSP|3458VULN|4BPWR|6CDMG|7DUST|9RCR|aDUR
65	21343 35151	1	 * 	258.44	DCR|4VULN|2DUR|2CDMG	19LHND|2489VULN|34ERES|49BPWR|5aCDMG|6RCR|79DUR
66	31343 35151	1	   	258.44	DCR|4VULN|2DUR|2CDMG	19BEXP|2489VULN|34ERES|49BPWR|5aCDMG|6RCR|79DUR
67	64122 23234	9	 * 	258.44	DCR|4VULN|3ASPD|1DMG	145ASPD|2DMSP|3468VULN|4BPWR|7ZMB|9RCR|aDMG
68	64122 23236	10	   	258.44	DCR|4VULN|3ASPD|1DMG	145ASPD|2DMSP|3468VULN|4BPWR|7ZMB|9RCR|aDMG
69	63122 31156	6	   	257.61	DCR|3VULN|2DMG|2ASPD|1CDMG	19ASPD|2LWND|39MLV|4CDMG|5aDMG|689VULN|7RCR|9BPWR
70	63131 34321	2	   	257.61	DCR|3VULN|2DMG|2ASPD|1CDMG	17ASPD|2LWND|3BELT|47aVULN|57DMG|6RCR|7BPWR|8CDMG|9RPLT
71	63131 34363	2	   	257.61	DCR|3VULN|2DMG|2ASPD|1CDMG	17ASPD|2LWND|3BELT|47aVULN|57DMG|6RCR|7BPWR|8CDMG|9FEWX
72	66131 34321	1	   	257.61	DCR|3VULN|2DMG|2ASPD|1CDMG	17ASPD|2LWND|3BELT|47aVULN|57DMG|6RCR|7BPWR|8CDMG|9RPLT
73	61322 31156	6	   	257.51	DCR|3VULN|2DMG|2ASPD|1CDMG	19ASPD|29MLV|3LEGI|4CDMG|5aDMG|689VULN|7RCR|9BPWR
74	64125 33112	6	   	257.41	DCR|3VULN|2DMG|2ASPD|1CDMG	14ASPD|2DMSP|347VULN|4BPWR|5aDMG|6CDMG|8ERES|9RCR
75	62322 31156	6	   	257.31	DCR|3VULN|2DMG|2ASPD|1CDMG	19ASPD|29ERES|3LEGI|4CDMG|5aDMG|689VULN|7RCR|9BPWR
76	63131 31561	2	   	257.11	DCR|3VULN|2DUR|2ASPD|1DMG	19ASPD|2LWND|3BELT|49aVULN|5DMG|6RCR|7ERES|89DUR|9BPWR
77	64121 52113	5	   	257.11	DCR|3VULN|2DUR|2ASPD|1DMG	14ASPD|2DMSP|345VULN|4BPWR|6RCR|79DUR|8RMIN|aDMG
78	64121 52223	5	   	257.11	DCR|3VULN|2DUR|2ASPD|1DMG	14ASPD|2DMSP|345VULN|4BPWR|6RCR|78DUR|9LHND|aDMG
79	63131 34351	2	 * 	256.47	DCR|2VULN|2DMG|3ASPD|1DUR|1CDMG	17aASPD|2LWND|3BELT|47VULN|57DMG|6RCR|7BPWR|8CDMG|9DUR
80	63122 31154	6	   	256.27	DCR|3VULN|2ASPD|1DMG|1DUR|1CDMG	19ASPD|2LWND|39MLV|4CDMG|5DMG|689VULN|7RCR|9BPWR|aDUR
81	64121 23312	6	   	256.17	DCR|3VULN|2ASPD|1DMG|1TLV|1CDMG	14ASPD|2DMSP|345VULN|4BPWR|6TLV|7CDMG|8ZMB|9RCR|aDMG
82	64121 52323	5	   	256.17	DCR|3VULN|2ASPD|1DMG|1DUR|1CDMG	14ASPD|2DMSP|345VULN|4BPWR|6RCR|7DUR|8BEXP|9CDMG|aDMG
83	25332 51153	1	   	256.17	DCR|3VULN|2ASPD|1DMG|1TLV|1CDMG|1NUKE	19LHND|2CDMG|39ASPD|4TLV|5DMG|689VULN|7RCR|9BPWR|aNUKE
84	35332 51153	1	   	256.17	DCR|3VULN|2ASPD|1DMG|1TLV|1CDMG|1NUKE	19BEXP|2CDMG|39ASPD|4TLV|5DMG|689VULN|7RCR|9BPWR|aNUKE
85	61322 31154	6	   	256.17	DCR|3VULN|2ASPD|1DMG|1DUR|1CDMG	19ASPD|29MLV|3LEGI|4CDMG|5DMG|689VULN|7RCR|9BPWR|aDUR
86	64121 51223	5	   	256.07	DCR|3VULN|2ASPD|1DMG|1DUR|1CDMG	14ASPD|2DMSP|345VULN|4BPWR|6RCR|7DUST|8DUR|9CDMG|aDMG
87	62211 63153	7	   	256.07	DCR|3VULN|2ASPD|1DMG|1DUR|1CDMG	19ASPD|29ERES|3CDMG|4DUR|589VULN|6RCR|7RMIN|9BPWR|aDMG
88	61222 31154	6	   	256.00	DCR|3VULN|2ASPD|1DMG|2CDMG|1AART	19ASPD|2MLV|39CDMG|4FEWX|5DMG|689VULN|7RCR|9BPWR|aAART
89	61232 31154	6	   	256.00	DCR|3VULN|2ASPD|1DMG|2CDMG|1AART	19ASPD|2MLV|39CDMG|4BEXP|5DMG|689VULN|7RCR|9BPWR|aAART
90	62322 31154	6	   	255.97	DCR|3VULN|2ASPD|1DMG|1DUR|1CDMG	19ASPD|29ERES|3LEGI|4CDMG|5DMG|689VULN|7RCR|9BPWR|aDUR
91	62222 31154	6	   	255.90	DCR|3VULN|2ASPD|1DMG|2CDMG|1AART	19ASPD|2ERES|39CDMG|4FEWX|5DMG|689VULN|7RCR|9BPWR|aAART
92	62232 31154	6	   	255.90	DCR|3VULN|2ASPD|1DMG|2CDMG|1AART	19ASPD|2ERES|39CDMG|4BEXP|5DMG|689VULN|7RCR|9BPWR|aAART
93	55321 11142	1	 * 	255.86	DCR|3VULN|2DUR|3LIT|1DMG	179LIT|239VULN|4RMIN|5DMG|6LWND|89DUR|9BPWR|aRCR
94	21241 33241	4	   	255.53	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1AART	1LHND|2DUR|3AART|4DMG|59aVULN|6ASPD|7CDMG|8RCR
95	64122 13351	7	   	255.29	DCR|3VULN|3ASPD|1DUR|1CDMG|1AART	145ASPD|2DMSP|348VULN|4BPWR|6RCR|7DUR|9AART|aCDMG
96	65351 21133	8	 * 	255.17	DCR|2VULN|3DUR|2TLV|1CDMG|1ASPD	1ASPD|23aDUR|4CDMG|5LIT|6aVULN|7BEXP|8RCR|9aTLV|aBPWR
97	64121 52232	5	   	255.01	DCR|3VULN|2DUR|2ASPD|1AART	14ASPD|2DMSP|345VULN|4BPWR|6RCR|78DUR|9LIT|aAART
98	22351 24236	4	   	254.97	DCR|3VULN|3DUR|1TLV|1NUKE|1AART	19LHND|2TLV|369DUR|4AART|579VULN|8NUKE|9BPWR|aRCR
99	22351 14236	5	   	254.97	DCR|3VULN|3DUR|1TLV|1NUKE|1AART	19LHND|2TLV|359DUR|4AART|679VULN|8NUKE|9BPWR|aRCR
100	64122 13336	7	   	254.87	DCR|3VULN|3ASPD|2DUR	145ASPD|2DMSP|348VULN|4BPWR|6RCR|79DUR|aLIT
101	63131 34313	2	   	254.66	DCR|2VULN|3DMG|2ASPD|1CDMG	17ASPD|2LWND|3BELT|47VULN|579DMG|6RCR|7BPWR|8CDMG|aLIT
102	66131 34313	1	   	254.66	DCR|2VULN|3DMG|2ASPD|1CDMG	17ASPD|2LWND|3BELT|47VULN|579DMG|6RCR|7BPWR|8CDMG|aLIT
103	21244 24312	10	 * 	254.66	ACR|4VULN|3DMG|1DUR|1AART	1aLHND|2DUR|3AART|46aDMG|5RCR|789aVULN|aBPWR
104	61212 51152	3	   	254.64	DCR|3VULN|2ASPD|1DMG|2CDMG	19ASPD|2MLV|39CDMG|4FEWX|5DMG|689VULN|7RCR|9BPWR|aLIT
105	61222 31152	6	   	254.64	DCR|3VULN|2ASPD|1DMG|2CDMG	19ASPD|2MLV|39CDMG|4FEWX|5DMG|689VULN|7RCR|9BPWR|aLIT
106	61222 51152	4	   	254.64	DCR|3VULN|2ASPD|1DMG|2CDMG	19ASPD|2MLV|39CDMG|4FEWX|5DMG|689VULN|7RCR|9BPWR|aLIT
107	61222 51152	5	   	254.64	DCR|3VULN|2ASPD|1DMG|2CDMG	19ASPD|2MLV|39CDMG|4FEWX|5DMG|689VULN|7RCR|9BPWR|aLIT
108	61232 31152	6	   	254.64	DCR|3VULN|2ASPD|1DMG|2CDMG	19ASPD|2MLV|39CDMG|4BEXP|5DMG|689VULN|7RCR|9BPWR|aLIT
109	61232 51152	5	   	254.64	DCR|3VULN|2ASPD|1DMG|2CDMG	19ASPD|2MLV|39CDMG|4BEXP|5DMG|689VULN|7RCR|9BPWR|aLIT
110	61232 51152	4	   	254.64	DCR|3VULN|2ASPD|1DMG|2CDMG	19ASPD|2MLV|39CDMG|4BEXP|5DMG|689VULN|7RCR|9BPWR|aLIT
111	64122 23232	9	   	254.62	DCR|4VULN|3ASPD|1DUR	145ASPD|2DMSP|3468VULN|4BPWR|7ZMB|9RCR|aDUR
112	62212 51152	3	   	254.54	DCR|3VULN|2ASPD|1DMG|2CDMG	19ASPD|2ERES|39CDMG|4FEWX|5DMG|689VULN|7RCR|9BPWR|aLIT
113	62222 31152	6	   	254.54	DCR|3VULN|2ASPD|1DMG|2CDMG	19ASPD|2ERES|39CDMG|4FEWX|5DMG|689VULN|7RCR|9BPWR|aLIT
114	62222 51152	5	   	254.54	DCR|3VULN|2ASPD|1DMG|2CDMG	19ASPD|2ERES|39CDMG|4FEWX|5DMG|689VULN|7RCR|9BPWR|aLIT
115	62222 51152	4	   	254.54	DCR|3VULN|2ASPD|1DMG|2CDMG	19ASPD|2ERES|39CDMG|4FEWX|5DMG|689VULN|7RCR|9BPWR|aLIT
116	62232 31152	6	   	254.54	DCR|3VULN|2ASPD|1DMG|2CDMG	19ASPD|2ERES|39CDMG|4BEXP|5DMG|689VULN|7RCR|9BPWR|aLIT
117	62232 51152	4	   	254.54	DCR|3VULN|2ASPD|1DMG|2CDMG	19ASPD|2ERES|39CDMG|4BEXP|5DMG|689VULN|7RCR|9BPWR|aLIT
118	62232 51152	5	   	254.54	DCR|3VULN|2ASPD|1DMG|2CDMG	19ASPD|2ERES|39CDMG|4BEXP|5DMG|689VULN|7RCR|9BPWR|aLIT
119	55224 46143	4	   	254.07	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1LIT|2MBVNT|3DMG|4ASPD|567VULN|8DUR|9CDMG|aRCR
120	21663 12116	10	   	253.86	DCR|3VULN|2DUR|2CDMG|1AART	19LHND|29DUR|38CDMG|4AART|5LIT|679VULN|9BPWR|aRCR
121	64121 52221	5	   	253.29	DCR|3VULN|2DUR|2ASPD|1TLV	14ASPD|2DMSP|345VULN|4BPWR|6RCR|78DUR|9LHND|aTLV
122	61212 31653	6	   	253.17	DCR|2VULN|2DMG|2ASPD|2CDMG|1DUR|1NUKE	19ASPD|2MLV|39CDMG|4DUR|58DMG|69VULN|7RCR|9BPWR|aNUKE
123	61214 31153	6	   	253.17	DCR|2VULN|2DMG|2ASPD|2CDMG|1DUR|1NUKE	19ASPD|2MLV|39CDMG|4DUR|58VULN|69DMG|7RCR|9BPWR|aNUKE
124	62211 31153	6	   	253.07	DCR|2VULN|2DMG|2ASPD|2CDMG|1DUR|1NUKE	19ASPD|2ERES|39CDMG|4DUR|58VULN|69DMG|7RCR|9BPWR|aNUKE
125	62211 31155	6	   	253.07	DCR|2VULN|2DMG|2ASPD|2CDMG|1DUR	19ASPD|2aERES|39CDMG|4DUR|58VULN|69DMG|7RCR|9BPWR
126	31132 54135	1	   	252.83	DCR|3VULN|1DMG|1DUR|1CDMG|1AART	1BEXP|28aVULN|3DMG|4DUR|5LIT|6AART|7CDMG|9RCR
127	61212 51151	3	   	252.38	DCR|3VULN|3CDMG|2ASPD|1DMG	19ASPD|2MLV|39aCDMG|4FEWX|5DMG|689VULN|7RCR|9BPWR
128	61222 31151	6	   	252.38	DCR|3VULN|3CDMG|2ASPD|1DMG	19ASPD|2MLV|39aCDMG|4FEWX|5DMG|689VULN|7RCR|9BPWR
129	61222 31453	6	   	252.38	DCR|3VULN|3CDMG|2ASPD|1DMG	19ASPD|2MLV|389CDMG|4FEWX|5DMG|69aVULN|7RCR|9BPWR
130	61222 51151	4	   	252.38	DCR|3VULN|3CDMG|2ASPD|1DMG	19ASPD|2MLV|39aCDMG|4FEWX|5DMG|689VULN|7RCR|9BPWR
131	61222 51151	5	   	252.38	DCR|3VULN|3CDMG|2ASPD|1DMG	19ASPD|2MLV|39aCDMG|4FEWX|5DMG|689VULN|7RCR|9BPWR
132	61232 31151	6	   	252.38	DCR|3VULN|3CDMG|2ASPD|1DMG	19ASPD|2MLV|39aCDMG|4BEXP|5DMG|689VULN|7RCR|9BPWR
133	61232 31453	6	   	252.38	DCR|3VULN|3CDMG|2ASPD|1DMG	19ASPD|2MLV|389CDMG|4BEXP|5DMG|69aVULN|7RCR|9BPWR
134	61232 51151	5	   	252.38	DCR|3VULN|3CDMG|2ASPD|1DMG	19ASPD|2MLV|39aCDMG|4BEXP|5DMG|689VULN|7RCR|9BPWR
135	61232 51151	4	   	252.38	DCR|3VULN|3CDMG|2ASPD|1DMG	19ASPD|2MLV|39aCDMG|4BEXP|5DMG|689VULN|7RCR|9BPWR
136	64121 23313	6	   	252.36	DCR|3VULN|2ASPD|1TLV|1DUR|1CDMG	14ASPD|2DMSP|345VULN|4BPWR|6TLV|7CDMG|8ZMB|9RCR|aDUR
137	21143 15263	6	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	1LHND|2DUR|3DUST|478VULN|5CDMG|6RCR|9aDMG
138	62212 51151	3	   	252.28	DCR|3VULN|3CDMG|2ASPD|1DMG	19ASPD|2ERES|39aCDMG|4FEWX|5DMG|689VULN|7RCR|9BPWR
139	62222 31151	6	   	252.28	DCR|3VULN|3CDMG|2ASPD|1DMG	19ASPD|2ERES|39aCDMG|4FEWX|5DMG|689VULN|7RCR|9BPWR
140	62222 51151	5	   	252.28	DCR|3VULN|3CDMG|2ASPD|1DMG	19ASPD|2ERES|39aCDMG|4FEWX|5DMG|689VULN|7RCR|9BPWR
141	62222 51151	4	   	252.28	DCR|3VULN|3CDMG|2ASPD|1DMG	19ASPD|2ERES|39aCDMG|4FEWX|5DMG|689VULN|7RCR|9BPWR
142	62232 31151	6	   	252.28	DCR|3VULN|3CDMG|2ASPD|1DMG	19ASPD|2ERES|39aCDMG|4BEXP|5DMG|689VULN|7RCR|9BPWR
143	62232 51151	5	   	252.28	DCR|3VULN|3CDMG|2ASPD|1DMG	19ASPD|2ERES|39aCDMG|4BEXP|5DMG|689VULN|7RCR|9BPWR
144	62232 51151	4	   	252.28	DCR|3VULN|3CDMG|2ASPD|1DMG	19ASPD|2ERES|39aCDMG|4BEXP|5DMG|689VULN|7RCR|9BPWR
145	14121 52263	5	   	252.15	DCR|3VULN|2DUR|1DMG|1TLV	14ZMB|2DMSP|345VULN|4BPWR|6RCR|78DUR|9TLV|aDMG
146	14121 52613	5	   	252.15	DCR|3VULN|2DUR|1DMG|1TLV	14ZMB|2DMSP|345VULN|4BPWR|6RCR|79DUR|8TLV|aDMG
147	64122 16213	8	   	252.05	DCR|3VULN|3ASPD|1DMG|1DUR	145ASPD|2DMSP|348VULN|4BPWR|6RCR|7RMIN|9DUR|aDMG
148	21166 43323	9	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	1LHND|27DUR|3DUST|4TLV|589VULN|6RCR|aDMG
149	64122 12513	7	   	251.95	DCR|3VULN|3ASPD|1DMG|1DUR	145ASPD|2DMSP|348VULN|48BPWR|6RCR|78ERES|9DUR|aDMG
150	61236 25211	3	 * 	251.90	ACR|3VULN|3ASPD|3CDMG|1TLV|1DUR|1AART	19aASPD|2MLV|39aCDMG|4RCR|5DUR|6TLV|7AART|89aVULN|9aBPWR
151	12613 15216	9	   	251.45	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1AART	1ZMB|2aERES|3DUR|4AART|5CDMG|6aDMG|7TLV|8RCR|9aVULN|aBPWR
152	65131 36312	2	   	251.13	DCR|2VULN|2DMG|2DUR|1CDMG|1ASPD	1ASPD|27DUR|3BELT|4aVULN|59DMG|6RCR|8CDMG
153	22611 12562	3	   	250.96	DCR|2VULN|3DMG|1TLV|1CDMG|1AART	17LHND|2TLV|3AART|457DMG|67VULN|7BPWR|8BBNT|9CDMG|aRCR
