0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12124 16126	8	 * 	261.89	DCR|3VULN|2DMG|2DUR	1BELT|2aZMB|3aDMG|4LIT|57DUR|68aVULN|9RCR|aBPWR
38	33452 12611	4	   	248.17	DCR|3VULN|2ASPD|1TLV|1DUR|1AART	1DUST|2AART|39ASPD|4DUR|5TLV|67aVULN|8RCR
39	16124 25211	7	   	248.10	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|1NUKE	1BELT|27CDMG|3NUKE|4DUST|57VULN|67DMG|7BPWR|8TLV|9RCR|aDUR
40	32438 23471	7	 * 	248.09	ACR|5VULN|3DMG	19aDUST|2RCR|3RCVC|4MBVNT|5789aVULN|69aDMG|9aBPWR
41	33225 32134	2	   	247.93	DCR|4VULN|2DUR|1AART	19aDUST|2AART|3MLV|4aDUR|568aVULN|7RCR|aBPWR
42	33525 32134	2	   	247.93	DCR|4VULN|2DUR|1AART	19aDUST|2AART|3CGEN|4aDUR|568aVULN|7RCR|aBPWR
43	33525 32134	3	   	247.93	DCR|4VULN|2DUR|1AART	19aDUST|2AART|3CGEN|4aDUR|568aVULN|7RCR|aBPWR
44	31288 26122	3	   	247.93	DCR|4VULN|2DUR|1AART	17DUST|2MBVNT|3BEXP|457aVULN|67DUR|7BPWR|8RCR|9AART
45	42633 12621	1	   	247.12	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1TLV|2DMG|39LHND|4DUR|5AART|67aVULN|8RCR
46	54216 22333	5	   	247.01	DCR|3VULN|2DMG|1DUR	1FEWX|26ERES|389VULN|4LIT|56DMG|6BPWR|7DUR|aRCR
47	42211 41531	10	   	246.90	DCR|3VULN|2DUR|2TLV|1ASPD	18TLV|2ASPD|345RCVC|68DUR|78aVULN|8BPWR|9RCR
48	23215 63213	9	   	246.87	DCR|3VULN|3ASPD|2DUR	1DMSP|278ASPD|378BEXP|478VULN|5BELT|6RCR|78BPWR|9aDUR
49	23515 63213	9	   	246.87	DCR|3VULN|3ASPD|2DUR	1DMSP|278ASPD|378FEWX|478VULN|5BELT|6RCR|78BPWR|9aDUR
50	31633 25143	1	   	246.80	DCR|3VULN|2DUR|1DMG|1ASPD	17DUST|2ASPD|37aVULN|4ZMB|5BEXP|67DUR|7BPWR|8RCR|9DMG
51	23214 11243	9	   	246.77	DCR|3VULN|3ASPD|2DUR	1DMSP|289ASPD|35BEXP|458VULN|58BPWR|6BELT|78DUR|aRCR
52	12161 36216	8	   	246.71	DCR|3VULN|3DMG	1BELT|27ZMB|367DMG|4RCVC|57aVULN|7BPWR|8RCR|9LIT
53	23225 22223	9	   	246.67	DCR|3VULN|3ASPD|2DUR	1DMSP|258ASPD|3BEXP|4BELT|68DUR|789VULN|8BPWR|aRCR
54	42522 34232	1	 * 	246.53	ACR|3VULN|2DMG|3LIT|2TLV|1DUR	18TLV|26DMG|368LIT|4RCR|5BBNT|68BPWR|789VULN|aDUR
55	42331 36222	1	 * 	246.34	DCR|2VULN|2DMG|2DUR|2TLV	17TLV|27DMG|358DUST|49DUR|67VULN|7BPWR|aRCR
56	21332 32153	1	   	245.77	DCR|3VULN|1DMG|1TLV|1DUR	1DMSP|2LIT|3DMG|4TLV|569VULN|7DUR|8BELT|aRCR
57	21363 32153	1	   	245.77	DCR|3VULN|1DMG|1TLV|1DUR	1DMSP|2LIT|3DMG|469VULN|5TLV|7DUR|8BELT|aRCR
58	12224 16126	8	   	245.45	DCR|3VULN|2DUR|2ASPD	1BELT|2aZMB|3aASPD|4LIT|57DUR|68aVULN|9RCR|aBPWR
59	53432 22631	3	   	244.35	DCR|4VULN|1DUR|1ASPD|1AART	1FEWX|2AART|3ASPD|479aVULN|5DUR|6ERES|8RCR
60	43213 22323	4	   	244.20	DCR|3VULN|2DUR|2TLV	19TLV|2LHND|389VULN|4LIT|5RCVC|6MLV|79DUR|9BPWR|aRCR
61	43213 22323	3	   	244.20	DCR|3VULN|2DUR|2TLV	19TLV|2LHND|389VULN|4LIT|5RCVC|6MLV|79DUR|9BPWR|aRCR
62	43216 22323	5	   	244.20	DCR|3VULN|2DUR|2TLV	19TLV|2LHND|389VULN|4LIT|5RCVC|6MLV|79DUR|9BPWR|aRCR
63	44133 22323	2	   	244.20	DCR|3VULN|2DUR|2TLV	19TLV|2LIT|389VULN|4LWND|5RCVC|6MLV|79DUR|9BPWR|aRCR
64	44135 22323	2	   	244.20	DCR|3VULN|2DUR|2TLV	19TLV|2LIT|389VULN|46LWND|5MLV|79DUR|9BPWR|aRCR
65	44151 22323	2	   	244.20	DCR|3VULN|2DUR|2TLV	19TLV|2LIT|389VULN|4DMSP|5LHND|6MLV|79DUR|9BPWR|aRCR
66	44152 12323	2	   	244.20	DCR|3VULN|2DUR|2TLV	19TLV|2LIT|389VULN|4DMSP|5FEWX|6CGEN|79DUR|9BPWR|aRCR
67	45211 12323	5	   	244.20	DCR|3VULN|2DUR|2TLV	19TLV|25FEWX|389VULN|4LIT|6CGEN|79DUR|9BPWR|aRCR
68	45213 12323	4	   	244.20	DCR|3VULN|2DUR|2TLV	19TLV|2FEWX|389VULN|4LIT|5RCVC|6CGEN|79DUR|9BPWR|aRCR
69	45213 12323	3	   	244.20	DCR|3VULN|2DUR|2TLV	19TLV|2FEWX|389VULN|4LIT|5RCVC|6CGEN|79DUR|9BPWR|aRCR
70	45216 12323	5	   	244.20	DCR|3VULN|2DUR|2TLV	19TLV|2FEWX|389VULN|4LIT|5RCVC|6CGEN|79DUR|9BPWR|aRCR
71	44612 31323	7	   	244.20	DCR|3VULN|2DUR|2TLV	19TLV|2LIT|39DUR|4MLV|5LWND|6DMSP|789VULN|9BPWR|aRCR
72	51114 22833	3	 * 	244.17	DCR|2VULN|3DUR|1DMG|1CDMG	1aFEWX|2MBVNT|3LIT|48aDUR|5CDMG|6DMG|7RCR|9aVULN|aBPWR
73	51154 22833	4	   	244.17	DCR|2VULN|3DUR|1DMG|1CDMG	1aFEWX|2MBVNT|3LIT|48aDUR|5CDMG|6DMG|7RCR|9aVULN|aBPWR
74	51314 22833	2	   	244.17	DCR|2VULN|3DUR|1DMG|1CDMG	1aFEWX|2MBVNT|3LIT|48aDUR|5CDMG|6DMG|7RCR|9aVULN|aBPWR
75	11124 16153	8	   	244.10	DCR|3VULN|2DUR|1DMG	1BELT|2MLV|3DMG|4LIT|57DUR|689VULN|aRCR
76	12124 16123	8	   	244.10	DCR|3VULN|2DUR|1DMG	1BELT|2ZMB|3DMG|4LIT|57DUR|68aVULN|9RCR
77	54216 22233	7	   	244.00	DCR|3VULN|2DUR|1DMG	1FEWX|2ERES|379VULN|4LIT|5DMG|68DUR|aRCR
78	54116 21333	7	   	244.00	DCR|3VULN|2DUR|1DMG	1FEWX|2ERES|36DUR|4LIT|5DMG|789VULN|aRCR
79	43262 14213	10	 * 	243.85	DCR|4VULN|2TLV|1DUR	1aTLV|2LHND|359aVULN|4DUR|6ERES|7RCR|8aZMB|aBPWR
80	43622 46233	9	   	243.75	DCR|4VULN|1DMG|1TLV	1TLV|2LHND|3MBVNT|4BEXP|579aVULN|6DMG|8RCR
81	43622 46243	8	   	243.75	DCR|4VULN|1DMG|1TLV	1TLV|2LHND|3MBVNT|4BEXP|579aVULN|6DMG|8RCR
82	45622 44233	9	   	243.75	DCR|4VULN|1DMG|1TLV	1TLV|2FEWX|3MBVNT|4BEXP|579aVULN|6DMG|8RCR
83	31272 61811	10	   	243.65	DCR|4VULN|1DMG|1DUR	1DUST|2MBVNT|3BEXP|4DMG|5789VULN|6RCR|aDUR
84	31272 61813	8	   	243.65	DCR|4VULN|1DMG|1DUR	1DUST|2MBVNT|3BEXP|4DMG|578aVULN|6RCR|9DUR
85	31272 61813	7	   	243.65	DCR|4VULN|1DMG|1DUR	1DUST|2MBVNT|3BEXP|4DMG|578aVULN|6RCR|9DUR
86	31272 61843	9	   	243.65	DCR|4VULN|1DMG|1DUR	1DUST|2MBVNT|3BEXP|4DMG|578aVULN|6RCR|9DUR
87	23221 32662	2	 * 	243.53	DCR|2VULN|3DUR|2ASPD|1DMG	1DMSP|29ASPD|389DUR|4BEXP|5DMG|69VULN|7RMIN|9BPWR|aRCR
88	42322 32153	4	   	243.26	DCR|3VULN|1TLV|1DUR|2LIT|1ASPD	1TLV|2ASPD|34LIT|569VULN|7DUR|8BELT|aRCR
89	42326 32153	5	   	243.26	DCR|3VULN|1TLV|1DUR|2LIT|1ASPD	1TLV|2ASPD|34LIT|569VULN|7DUR|8BELT|aRCR
90	43222 13152	9	   	243.23	DCR|5VULN|1TLV	1TLV|2LHND|35789VULN|4BEXP|6ERES|aRCR
91	53434 32331	6	   	243.11	DCR|3VULN|2DMG|1ASPD|1AART	1FEWX|2AART|3ASPD|48DMG|59aVULN|6RCR|7MBVNT
92	33112 34452	5	   	243.10	DCR|2VULN|2DUR|1DMG|1CDMG|1ASPD|1AART	1DUST|2AART|3CDMG|4ASPD|5aDUR|69VULN|7RCR|8DMG
93	14363 11321	8	   	243.07	DCR|3VULN|1DMG|1DUR|1CDMG	1BELT|2DLOT|3LIT|4DMG|5DUR|6CDMG|79aVULN|8RCR
94	14362 11511	8	   	243.07	DCR|3VULN|1DMG|1DUR|1CDMG	1BELT|2DLOT|3LIT|4DMG|57aVULN|6CDMG|8RCR|9DUR
95	14362 11523	8	   	243.07	DCR|3VULN|1DMG|1TLV|1CDMG	1BELT|2DLOT|3LIT|4DMG|579VULN|6CDMG|8RCR|aTLV
96	14362 11533	9	   	243.07	DCR|3VULN|1DMG|1TLV|1CDMG	1BELT|2DLOT|3LIT|4DMG|579VULN|6CDMG|8RCR|aTLV
97	14362 16321	8	   	243.07	DCR|3VULN|1DMG|1DUR|1CDMG	1BELT|2DLOT|3LIT|4DMG|59aVULN|6CDMG|7DUR|8RCR
98	43122 15123	7	   	242.98	DCR|3VULN|2DUR|1TLV|1ASPD	1TLV|2LHND|39DUR|4BEXP|57aVULN|6ASPD|8RCR
99	43221 35123	7	   	242.98	DCR|3VULN|2DUR|1TLV|1ASPD	1TLV|2LHND|37aVULN|4BEXP|5ASPD|69DUR|8RCR
100	31633 25163	1	   	242.98	DCR|3VULN|2DUR|1TLV|1ASPD	17DUST|2ASPD|37aVULN|4ZMB|5BEXP|67DUR|7BPWR|8RCR|9TLV
101	43263 15123	7	   	242.88	DCR|3VULN|2DUR|1TLV|1ASPD	1TLV|2LHND|37aVULN|49DUR|5LEGI|6ASPD|8RCR
102	16523 12342	9	   	242.86	DCR|2VULN|2DMG|2CDMG|1TLV|1ASPD	1BELT|29CDMG|39DUST|4TLV|57DMG|6RCR|89VULN|9BPWR|aASPD
103	42334 36332	1	 * 	242.86	DCR|2VULN|2DMG|3TLV|1DUR|1ASPD	157TLV|27DMG|3DUST|4DUR|67VULN|7BPWR|8FEWX|9ASPD|aRCR
104	44331 36312	1	   	242.81	DCR|2VULN|2DMG|2TLV|1DUR|1ASPD|1SELL	17TLV|2RPLT|3ASPD|4SELL|57DMG|67VULN|7BPWR|8ZMB|9DUR|aRCR
105	53434 31311	6	 * 	242.76	DCR|2VULN|2DMG|2ASPD|1DUR|1AART	1FEWX|2AART|39ASPD|48DMG|5aVULN|6RCR|7DUR
106	16623 12341	10	   	242.61	DCR|3VULN|2DMG|2CDMG	1BELT|29CDMG|39MLV|4DUST|57DMG|6RCR|89aVULN|9BPWR
107	11112 33333	9	 * 	242.43	DCR|2VULN|3DMG|2DUR	1BELT|256MLV|356DMG|4RPLT|569BPWR|79DUR|89VULN|aRCR
108	46141 31323	4	 * 	242.32	ACR|3VULN|3DMG|2TLV|1DUR	1aTLV|2RCR|3DUR|4RCVC|57aDMG|69aVULN|8RPLT|aBPWR
109	15116 33335	10	   	242.13	DCR|2VULN|3DMG|2DUR	1BELT|269ERES|356DMG|4RPLT|69BPWR|79DUR|89VULN|aRCR
110	42432 26223	1	   	242.08	ACR|3VULN|3DMG|2TLV|1DUR|1SELL	1aTLV|27aDMG|3RCR|4DUR|5LHND|6SELL|89aVULN|aBPWR
111	43262 14331	9	   	241.95	DCR|3VULN|1DUR|1TLV|1CDMG|1ASPD	1TLV|2LHND|35aVULN|4DUR|6ERES|7RCR|8CDMG|9ASPD
112	42631 36231	3	   	241.88	DCR|3VULN|1DMG|1TLV|1ASPD|1AART	1TLV|2ASPD|3BEXP|4RMIN|5DMG|69aVULN|7RCR|8AART
113	11543 11235	2	   	241.74	DCR|3VULN|2DUR|1TLV|1AART	1BELT|27MLV|3TBNT|47DUR|567VULN|7BPWR|8TLV|9AART|aRCR
114	12343 11235	1	   	241.74	DCR|3VULN|2DUR|1TLV|1AART	1BELT|2BBNT|37MLV|47DUR|567VULN|7BPWR|8TLV|9AART|aRCR
115	13543 11235	1	   	241.74	DCR|3VULN|2DUR|1TLV|1AART	1BELT|27MLV|3TBNT|47DUR|567VULN|7BPWR|8TLV|9AART|aRCR
116	31172 14763	3	   	241.56	DCR|4VULN|1DUR|1AART	1DUST|2MBVNT|3LIT|4AART|589aVULN|6RCR|7DUR
117	31372 14763	2	   	241.56	DCR|4VULN|1DUR|1AART	1DUST|2MBVNT|3LIT|4AART|589aVULN|6RCR|7DUR
118	12443 11235	1	   	241.54	DCR|3VULN|2DUR|1TLV|1AART	1BELT|2BBNT|37ERES|47DUR|567VULN|7BPWR|8TLV|9AART|aRCR
119	42434 31323	1	 * 	241.15	ACR|3VULN|2DMG|2DUR|3TLV	15aTLV|27DMG|3RCR|4aDUR|69aVULN|8RPLT|aBPWR
120	31272 61831	8	   	241.05	DCR|4VULN|1DMG|1CDMG	1DUST|2MBVNT|3BEXP|4DMG|578aVULN|6RCR|9CDMG
121	31272 61831	7	   	241.05	DCR|4VULN|1DMG|1CDMG	1DUST|2MBVNT|3BEXP|4DMG|578aVULN|6RCR|9CDMG
122	44264 32122	5	 * 	240.97	DCR|3VULN|3LIT|1DMG|1TLV	1TLV|235LIT|4MBVNT|689VULN|7RCR|aDMG
123	44264 42122	4	   	240.97	DCR|3VULN|3LIT|1DMG|1TLV	1TLV|236LIT|4MBVNT|589VULN|7RCR|aDMG
124	42233 21534	10	   	240.46	DCR|2VULN|2DMG|2TLV|1CDMG|1ASPD	18TLV|2ASPD|3RCVC|46RMIN|58DMG|78VULN|8BPWR|9RCR|aCDMG
125	25124 16131	10	   	240.45	DCR|3VULN|2DUR|2LIT|1AART	12DMSP|3AART|47aVULN|57LIT|67DUR|7BPWR|8LHND|9RCR
126	53214 12331	10	   	240.45	DCR|3VULN|2DUR|2LIT|1AART	18FEWX|2AART|3RCVC|45LIT|68DUR|78aVULN|8BPWR|9RCR
127	53614 12331	10	   	240.45	DCR|3VULN|2DUR|2LIT|1AART	18FEWX|2AART|3DMSP|45LIT|68DUR|78aVULN|8BPWR|9RCR
128	42352 32153	3	   	240.42	DCR|3VULN|2TLV|1DUR|1ASPD	14TLV|2ASPD|3LIT|569VULN|7DUR|8BELT|aRCR
129	14343 21334	5	   	240.40	DCR|4VULN|1CDMG|1ASPD	1BELT|2DLOT|3LIT|4CDMG|5689VULN|7ASPD|aRCR
130	14343 21334	6	   	240.40	DCR|4VULN|1CDMG|1ASPD	1BELT|2DLOT|3LIT|4CDMG|5689VULN|7ASPD|aRCR
131	43233 34622	8	   	240.36	DCR|2VULN|2DMG|2TLV|1DUR	19TLV|2LHND|39VULN|4CGEN|5DMSP|6DUR|7RCR|89DMG|9BPWR|aLIT
132	25124 16231	10	   	240.35	DCR|3VULN|2DUR|2LIT|1AART	12DMSP|3AART|47aVULN|57LIT|67DUR|7BPWR|8LEGI|9RCR
133	53434 31332	6	 * 	240.33	DCR|2VULN|2DMG|2AART|1DUR|1ASPD	1FEWX|2aAART|3ASPD|48DMG|59VULN|6RCR|7DUR
134	25532 31253	9	   	240.32	DCR|2VULN|2DMG|2DUR|1CDMG	12DMSP|38DMG|4LHND|58VULN|6BELT|78DUR|8BPWR|9CDMG|aRCR
135	33214 12331	10	   	240.25	DCR|3VULN|2DUR|2LIT|1AART	18DUST|2AART|3RCVC|45LIT|68DUR|78aVULN|8BPWR|9RCR
136	33614 12331	10	   	240.25	DCR|3VULN|2DUR|2LIT|1AART	18DUST|2AART|3DMSP|45LIT|68DUR|78aVULN|8BPWR|9RCR
137	25522 31253	9	   	240.22	DCR|2VULN|2DMG|2DUR|1CDMG	12DMSP|38DMG|4LEGI|58VULN|6BELT|78DUR|8BPWR|9CDMG|aRCR
138	41313 31333	4	   	240.19	DCR|3VULN|2DUR|1TLV	1TLV|2ERES|3LIT|45DUR|689VULN|7BEXP|aRCR
139	41363 31333	3	   	240.19	DCR|3VULN|2DUR|1TLV	1TLV|2ERES|3LIT|45DUR|689VULN|7BEXP|aRCR
140	44263 31333	2	   	240.19	DCR|3VULN|2DUR|1TLV	1TLV|2LIT|3ERES|45DUR|689VULN|7BEXP|aRCR
141	44413 31333	4	   	240.19	DCR|3VULN|2DUR|1TLV	1TLV|2LIT|3ERES|45DUR|689VULN|7BEXP|aRCR
142	45215 22233	7	   	240.19	DCR|3VULN|2DUR|1TLV	1TLV|2FEWX|379VULN|4LIT|5ERES|68DUR|aRCR
143	54114 21333	7	   	240.19	DCR|3VULN|2DUR|1TLV	1FEWX|2ERES|36DUR|4LIT|5TLV|789VULN|aRCR
144	16523 12341	9	   	240.16	DCR|2VULN|2DMG|2CDMG|1TLV	1BELT|29CDMG|39DUST|4TLV|57DMG|6RCR|89VULN|9BPWR|aLIT
145	43122 42336	7	   	240.14	DCR|4VULN|1TLV|1DUR	1TLV|26LHND|3DUR|4BEXP|568aVULN|6BPWR|7RPLT|9RCR
146	31784 41373	2	   	240.04	DCR|3VULN|2DUR|1CDMG|1ASPD|1SELL	1DUST|2MBVNT|3SELL|46aVULN|56DUR|6BPWR|7RCR|8CDMG|9ASPD
147	43262 22336	7	   	240.04	DCR|4VULN|1TLV|1DUR	1TLV|2LHND|358aVULN|4DUR|6BEXP|7RPLT|9RCR
148	53431 31232	6	   	239.96	DCR|2VULN|2DUR|2ASPD|1DMG|1AART	18FEWX|2AART|38ASPD|4DMG|5LHND|6RCR|78DUR|8BPWR|9aVULN
149	53436 31232	6	   	239.96	DCR|2VULN|2DUR|2ASPD|1DMG|1AART	18FEWX|2AART|38ASPD|4DMG|5BEXP|6RCR|78DUR|8BPWR|9aVULN
150	43262 35123	7	   	239.94	DCR|4VULN|1TLV|1DUR	1TLV|2LHND|358aVULN|4DUR|6DLOT|7RCR|9DMSP
151	41511 36212	3	   	239.85	DCR|2VULN|2DUR|2TLV|1DMG|1ASPD	17TLV|2ERES|37DUR|4ASPD|5DMG|67VULN|7BPWR|8DUST|9LHND|aRCR
152	41511 36212	2	   	239.85	DCR|2VULN|2DUR|2TLV|1DMG|1ASPD	17TLV|2ERES|37DUR|4ASPD|5DMG|67VULN|7BPWR|8DUST|9LHND|aRCR
153	41511 36222	2	   	239.85	DCR|2VULN|2DUR|2TLV|1DMG|1ASPD	17TLV|2ERES|37DUR|4ASPD|5DMG|67VULN|7BPWR|8DUST|9LWND|aRCR
154	41511 36222	3	   	239.85	DCR|2VULN|2DUR|2TLV|1DMG|1ASPD	17TLV|2ERES|37DUR|4ASPD|5DMG|67VULN|7BPWR|8DUST|9LWND|aRCR
155	31288 23173	3	   	239.84	DCR|4VULN|1TLV|1DUR	1DUST|2MBVNT|3BEXP|457aVULN|6DUR|8RCR|9TLV
156	43262 35131	7	   	239.84	DCR|4VULN|1DUR|1TLV	1TLV|2LHND|3589VULN|4DUR|6DLOT|7RCR|aERES
157	43262 35132	7	   	239.84	DCR|4VULN|1TLV|1DUR	1TLV|2LHND|3589VULN|4DUR|6DLOT|7RCR|aLEGI
158	25314 24331	9	 * 	239.80	DCR|2VULN|3DUR|2DMG|1NUKE	12DMSP|3RMIN|47aDUR|5NUKE|6RCR|8aDMG|9aVULN|aBPWR
159	45321 36132	1	   	239.75	DCR|2VULN|2DUR|2TLV|1DMG|1ASPD	14TLV|24DUR|3TBNT|4BPWR|5DUST|68VULN|7DMG|9ASPD|aRCR
160	33431 42683	4	   	239.66	DCR|2VULN|2DUR|2ASPD|1DMG|1AART	18DUST|2AART|38ASPD|4DMG|5MBVNT|6aDUR|78VULN|8BPWR|9RCR
161	33431 11682	4	   	239.66	DCR|2VULN|2DUR|2ASPD|1DMG|1AART	18DUST|2AART|38ASPD|4DMG|5MBVNT|6aVULN|78DUR|8BPWR|9RCR
162	51723 33543	4	 * 	239.57	DCR|3VULN|3CDMG|1DMG	19aFEWX|2MBVNT|3LHND|49aCDMG|5DMG|6LIT|79aVULN|8RCR|9aBPWR
163	16324 32133	6	   	239.35	DCR|3VULN|1DUR|1TLV|1CDMG	1BELT|2CDMG|3BEXP|4TLV|57aVULN|6DUR|8RCR|9LIT
164	46342 31312	1	   	239.35	DCR|3VULN|1DUR|1TLV|1CDMG	1TLV|2RCVC|3CDMG|4BEXP|58aVULN|6RCR|7DUR|9LIT
165	16524 32133	6	   	239.25	DCR|3VULN|1DUR|1TLV|1CDMG	1BELT|2CDMG|3DUST|4TLV|57aVULN|6DUR|8RCR|9LIT
166	43262 14321	8	   	239.25	DCR|3VULN|1TLV|1DUR|1CDMG	1TLV|2LHND|359VULN|4DUR|6ERES|7RCR|8CDMG|aLIT
167	14343 22161	7	   	239.25	DCR|3VULN|1DUR|1TLV|1CDMG	1BELT|2DLOT|3LIT|4CDMG|569VULN|7RCR|8DUR|aTLV
168	14343 22411	8	   	239.25	DCR|3VULN|1DUR|1TLV|1CDMG	1BELT|2DLOT|3LIT|4CDMG|56aVULN|7RCR|8TLV|9DUR
169	14343 23161	5	   	239.25	DCR|3VULN|1DUR|1TLV|1CDMG	1BELT|2DLOT|3LIT|4CDMG|569VULN|7RCR|8DUR|aTLV
