0	Index      	 *	Score 	Summary	Detail	
1	42124 32363	 * 	200.25	ACR|3DMG|2VULN|1AART|2CDMG	149DMG|29CGEN|3RCR|5LHND|6aVULN|79CDMG|8AART|9BPWR
23	41136 26321	   	191.59	ACR|3DMG|2VULN|1AART|1ZMB	15aDMG|2ERES|3RCR|4ZMB|69VULN|7AART|8LHND
24	35126 26321	   	191.59	ACR|3DMG|2VULN|1AART|1ZMB	1ERES|2ZMB|3RCR|45aDMG|69VULN|7AART|8LHND
25	44212 34322	   	191.12	DCR|3VULN|3DMG|1AART	129DMG|2BPWR|3FEWX|45aVULN|6CGEN|7AART|8RCR
26	46212 34322	   	191.12	DCR|3VULN|3DMG|1AART	129DMG|3FEWX|45aVULN|6CGEN|7AART|8RCR
27	44212 24322	   	191.02	DCR|3VULN|3DMG|1AART	129DMG|2BPWR|3FEWX|45aVULN|6ERES|7AART|8RCR
28	46212 24322	   	191.02	DCR|3VULN|3DMG|1AART	129DMG|3FEWX|45aVULN|6ERES|7AART|8RCR
29	21423 34321	 * 	189.22	DCR|3DMG|2VULN|1AART|2ASPD	13aFEWX|26VULN|49aDMG|5aASPD|7AART|8RCR|aBPWR
30	22613 34321	 * 	189.22	DCR|3VULN|2DMG|1AART|2ASPD	12aFEWX|39DMG|46aVULN|5aASPD|7AART|8RCR|aBPWR
31	42121 54223	   	188.43	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	14DMG|2CGEN|3RCR|5RCVC|69VULN|7AART|8CDMG|aASPD
32	41121 54223	   	188.33	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	14DMG|2ERES|3RCR|5RCVC|69VULN|7AART|8CDMG|aASPD
33	15113 35116	   	187.89	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	19MLV|2ZMB|3RCR|49AIRHEA|5CDMG|67DMG|89VULN|9BPWR|aAART
34	35113 35116	   	187.69	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	19ERES|2ZMB|3RCR|49AIRHEA|5CDMG|67DMG|89VULN|9BPWR|aAART
35	41113 31636	   	187.69	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	16DMG|2ERES|3RCR|4AIRHEA|5CDMG|78VULN|9ZMB|aAART
36	43212 52212	   	187.12	DCR|3VULN|3DMG|1AART	137DMG|2LHND|467VULN|57LIT|7BPWR|8RPLT|9RCR|aAART
37	44213 34313	 * 	187.01	DCR|2VULN|2DMG|1AART|1FLTHEA|2ASPD	12DMG|2BPWR|3FEWX|46VULN|5aASPD|7AART|8RCR|9FLTHEA
38	46213 34313	   	187.01	DCR|2VULN|2DMG|1AART|2ASPD|1FLTHEA	12DMG|3FEWX|46VULN|5aASPD|7AART|8RCR|9FLTHEA
39	43214 51321	   	186.61	DCR|3DMG|2VULN|1AART|1DUR	13aDMG|25LHND|49VULN|6RCR|7DUR|8AART
40	44212 34331	   	186.47	DCR|3DMG|2VULN|1AART|1ZMB	12aDMG|2BPWR|3FEWX|45VULN|6CGEN|7AART|8RCR|9ZMB
41	46212 34331	   	186.47	DCR|3DMG|2VULN|1AART|1ZMB	12aDMG|3FEWX|45VULN|6CGEN|7AART|8RCR|9ZMB
42	42122 42432	   	186.43	ACR|3DMG|2VULN|1AART|1DUR	145DMG|2CGEN|3RCR|6DMSP|7aVULN|8DUR|9AART
43	35113 32652	 * 	186.38	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG|2DUR	1ERES|29ZMB|3RCR|4AIRHEA|5CDMG|69DMG|7VULN|89DUR|9BPWR|aAART
44	44212 24331	   	186.37	DCR|3DMG|2VULN|1AART|1ZMB	12aDMG|2BPWR|3FEWX|45VULN|6ERES|7AART|8RCR|9ZMB
45	46212 24331	   	186.37	DCR|3DMG|2VULN|1AART|1ZMB	12aDMG|3FEWX|45VULN|6ERES|7AART|8RCR|9ZMB
46	41122 42432	   	186.33	ACR|3DMG|2VULN|1AART|1DUR	145DMG|2ERES|3RCR|6DMSP|7aVULN|8DUR|9AART
47	42135 21126	   	186.06	ACR|3DMG|2VULN|2DUR|1ZMB|1ASPD	18aDMG|28CGEN|3RCR|4ZMB|56VULN|78DUR|8BPWR|9ASPD
48	42161 23163	 * 	185.64	ACR|4VULN|3DMG	178DMG|2CGEN|3RCR|4RMIN|58FEWX|689aVULN|8BPWR
49	41126 23136	   	185.63	ACR|3DMG|2VULN|1AART|1DUR	147DMG|2ERES|3RCR|5TLV|68VULN|9DUR|aAART
50	22313 64321	   	185.11	DCR|3DMG|2VULN|1AART|1ASPD	12aFEWX|3ASPD|4aVULN|59aDMG|6RCVC|7AART|8RCR|aBPWR
51	42113 31432	   	184.92	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	16DMG|2CGEN|3RCR|4AIRHEA|5CDMG|7aVULN|8AART|9ASPD
52	41113 31432	   	184.82	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	16DMG|2ERES|3RCR|4AIRHEA|5CDMG|7aVULN|8AART|9ASPD
53	44212 53311	   	184.80	DCR|3VULN|3DMG|1DUR|1ASPD	127DMG|2BPWR|3FEWX|45aVULN|6RCR|8ASPD|9DUR
54	46212 53311	   	184.80	DCR|3VULN|3DMG|1ASPD|1DUR	127DMG|3FEWX|45aVULN|6RCR|8ASPD|9DUR
55	42131 22153	 * 	184.27	ACR|3VULN|2DMG|3ZMB	18DMG|28CGEN|3RCR|479ZMB|5FEWX|68aVULN|8BPWR
56	15121 22115	   	184.27	ACR|3VULN|2DMG|3ZMB	18MLV|278ZMB|3RCR|49DMG|5FEWX|68aVULN|8BPWR
57	35121 22115	   	184.07	ACR|3VULN|2DMG|3ZMB	18ERES|278ZMB|3RCR|49DMG|5FEWX|68aVULN|8BPWR
58	41131 22155	   	184.07	ACR|3VULN|2DMG|3ZMB	18DMG|28ERES|3RCR|479ZMB|5FEWX|68aVULN|8BPWR
59	22252 56121	   	183.87	DCR|3DMG|2VULN|1AART	12aFEWX|3RCVC|4aVULN|59aDMG|6RCR|7AART|8RMIN|aBPWR
60	42135 26233	 * 	183.55	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB	1DMG|28CGEN|3RCR|4ZMB|56VULN|79AART|aCDMG
61	42136 26233	 * 	183.55	ACR|2DMG|2AART|1VULN|1CDMG|1ZMB	15DMG|28CGEN|3RCR|4ZMB|6VULN|79AART|aCDMG
62	42113 31632	   	183.10	ACR|2VULN|2DMG|1AART|2CDMG	16DMG|2CGEN|3RCR|4AIRHEA|59CDMG|78VULN|aAART
63	41135 26213	   	182.97	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	19DMG|29ERES|3RCR|4ZMB|56VULN|7AART|89CGEN|9BPWR|aASPD
64	42135 26123	   	182.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	19DMG|2CGEN|3RCR|4ZMB|56VULN|7AART|8RMIN|aDUR
65	42133 26621	   	182.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1aDMG|25CGEN|3RCR|4ZMB|69VULN|7AART|8DUR
66	42136 21126	 * 	182.94	ACR|3DMG|2VULN|3DUR|1ZMB	158DMG|28CGEN|3RCR|4ZMB|6aVULN|789DUR|8BPWR
67	35125 26221	   	182.87	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1ERES|2ZMB|3RCR|4aDMG|56VULN|7AART|8CGEN|9ASPD
68	41135 26221	   	182.87	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1aDMG|2ERES|3RCR|4ZMB|56VULN|7AART|8CGEN|9ASPD
69	42112 23515	   	182.87	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	19DMG|2CGEN|3RCR|4AIRHEA|5ASPD|6ZMB|7AART|8aVULN
70	35125 26123	   	182.87	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1ERES|2ZMB|3RCR|49DMG|56VULN|7AART|8RMIN|aDUR
71	41135 26123	   	182.87	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	19DMG|2ERES|3RCR|4ZMB|56VULN|7AART|8RMIN|aDUR
72	41112 23515	   	182.77	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	19DMG|2ERES|3RCR|4AIRHEA|5ASPD|6ZMB|7AART|8aVULN
73	41136 21126	   	182.74	ACR|3DMG|2VULN|3DUR|1ZMB	158DMG|28ERES|3RCR|4ZMB|6aVULN|789DUR|8BPWR
74	42124 32362	   	182.66	ACR|3DMG|1AART|1VULN|2CDMG	149DMG|29CGEN|3RCR|5LHND|6VULN|79CDMG|8AART|9BPWR|aLIT
75	42332 54322	   	182.51	DCR|3DMG|2VULN|1AART|1ASPD	139DMG|23CGEN|3BPWR|4ASPD|5aVULN|6RMIN|7AART|8RCR
76	31326 36143	   	182.44	ACR|3VULN|3DMG|1ZMB	128ERES|3RCR|49BEXP|589DMG|689VULN|7RMIN|89BPWR|aZMB
77	31336 36143	   	182.44	ACR|3VULN|3DMG|1ZMB	128ERES|3RCR|49LWND|589DMG|689VULN|7RMIN|89BPWR|aZMB
78	21423 34322	   	182.41	DCR|3VULN|2DMG|1AART|1ASPD	13FEWX|26aVULN|49DMG|5ASPD|7AART|8RCR
79	22313 34322	   	182.41	DCR|3VULN|2DMG|1AART|1ASPD	12FEWX|3ASPD|46aVULN|59DMG|7AART|8RCR
80	22613 34322	   	182.41	DCR|3VULN|2DMG|1AART|1ASPD	12FEWX|39DMG|46aVULN|5ASPD|7AART|8RCR
81	44213 34321	   	182.41	DCR|3DMG|2VULN|1AART|1ASPD	129DMG|2BPWR|3FEWX|46VULN|5ASPD|7AART|8RCR|aLWND
82	44213 34323	   	182.41	DCR|3DMG|2VULN|1AART|1ASPD	129DMG|2BPWR|3FEWX|46VULN|5ASPD|7AART|8RCR|aLIT
83	44213 34331	   	182.41	DCR|3DMG|2VULN|1AART|1ASPD	12aDMG|2BPWR|3FEWX|46VULN|5ASPD|7AART|8RCR|9RMIN
84	44332 34322	   	182.41	DCR|3DMG|2VULN|1AART|1ASPD	129DMG|2BPWR|3RMIN|4ASPD|5aVULN|6CGEN|7AART|8RCR
85	46213 34321	   	182.41	DCR|3DMG|2VULN|1AART|1ASPD	129DMG|3FEWX|46VULN|5ASPD|7AART|8RCR|aLWND
86	46213 34323	   	182.41	DCR|3DMG|2VULN|1AART|1ASPD	129DMG|3FEWX|46VULN|5ASPD|7AART|8RCR|aLIT
87	46213 34331	   	182.41	DCR|3DMG|2VULN|1AART|1ASPD	12aDMG|3FEWX|46VULN|5ASPD|7AART|8RCR|9RMIN
88	46332 34322	   	182.41	DCR|3DMG|2VULN|1AART|1ASPD	129DMG|3RMIN|4ASPD|5aVULN|6CGEN|7AART|8RCR
89	44332 24322	   	182.31	DCR|3DMG|2VULN|1AART|1ASPD	129DMG|2BPWR|3RMIN|4ASPD|5aVULN|6ERES|7AART|8RCR
90	46332 24322	   	182.31	DCR|3DMG|2VULN|1AART|1ASPD	129DMG|3RMIN|4ASPD|5aVULN|6ERES|7AART|8RCR
91	42121 54233	   	182.29	ACR|2DMG|2AART|1VULN|1CDMG|1ASPD	14DMG|2CGEN|3RCR|5RCVC|6VULN|79AART|8CDMG|aASPD
92	42131 22152	 * 	182.27	ACR|2VULN|2DMG|3ZMB|1CDMG	18DMG|28CGEN|3RCR|479ZMB|5FEWX|68VULN|8BPWR|aCDMG
93	43212 53351	 * 	182.26	DCR|2VULN|2DMG|2AART|1ZMB	13DMG|2LHND|46VULN|5LIT|79AART|8RCR|aZMB
94	41124 32234	   	182.25	ACR|2DMG|2AART|1VULN|1CDMG|1ZMB	14DMG|2ERES|3RCR|5LHND|6VULN|7CDMG|8ZMB|9aAART
95	41121 54233	   	182.19	ACR|2DMG|2AART|1VULN|1CDMG|1ASPD	14DMG|2ERES|3RCR|5RCVC|6VULN|79AART|8CDMG|aASPD
96	53133 24262	 * 	181.97	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2DMG|3LSRICY|4ASPD|5AART|6ERES|7RCR|89aVULN
97	42121 54222	   	181.49	ACR|2VULN|2DMG|1AART|1CDMG	14DMG|2CGEN|3RCR|5RCVC|69VULN|7AART|8CDMG|aLIT
98	41121 54222	   	181.39	ACR|2VULN|2DMG|1AART|1CDMG	14DMG|2ERES|3RCR|5RCVC|69VULN|7AART|8CDMG|aLIT
99	41136 26221	   	180.94	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	15aDMG|2ERES|3RCR|4ZMB|6VULN|7AART|8CGEN|9ASPD
100	35126 26221	   	180.94	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	1ERES|2ZMB|3RCR|45aDMG|6VULN|7AART|8CGEN|9ASPD
101	42112 23513	   	180.94	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	19aDMG|2CGEN|3RCR|4AIRHEA|5ASPD|6ZMB|7AART|8VULN
102	41112 23513	   	180.84	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	19aDMG|2ERES|3RCR|4AIRHEA|5ASPD|6ZMB|7AART|8VULN
103	42123 33514	   	180.69	ACR|3DMG|2VULN|1AART	14aDMG|2CGEN|3RCR|5BELT|6RMIN|7AART|8aCANHEL|9aVULN|aBPWR
104	41123 33514	   	180.59	ACR|3DMG|2VULN|1AART	14aDMG|2ERES|3RCR|5BELT|6RMIN|7AART|8aCANHEL|9aVULN|aBPWR
105	44213 34311	   	180.40	DCR|2VULN|2DMG|1AART|1FLTHEA|1ASPD	12DMG|2BPWR|3FEWX|46VULN|5ASPD|7AART|8RCR|9FLTHEA|aBELT
106	46213 34311	   	180.40	DCR|2VULN|2DMG|1AART|1FLTHEA|1ASPD	12DMG|3FEWX|46VULN|5ASPD|7AART|8RCR|9FLTHEA|aBELT
107	15113 35114	 * 	180.34	ACR|3VULN|2DMG|1CDMG|1ZMB	19MLV|2ZMB|3RCR|49AIRHEA|5CDMG|67DMG|89aVULN|9BPWR
108	21422 56122	   	180.27	DCR|3VULN|2DMG|1AART	13FEWX|25aVULN|49DMG|6RCR|7AART|8RMIN
109	21422 56321	   	180.27	DCR|3VULN|2DMG|1AART	13FEWX|259VULN|4aDMG|6RCR|7AART|8LHND
110	22612 56122	   	180.27	DCR|3VULN|2DMG|1AART	12FEWX|39DMG|45aVULN|6RCR|7AART|8RMIN
111	22612 56321	   	180.27	DCR|3VULN|2DMG|1AART	12FEWX|3aDMG|459VULN|6RCR|7AART|8LHND
112	35113 35114	   	180.14	ACR|3VULN|2DMG|1CDMG|1ZMB	19ERES|2ZMB|3RCR|49AIRHEA|5CDMG|67DMG|89aVULN|9BPWR
113	41113 31634	   	180.14	ACR|3VULN|2DMG|1CDMG|1ZMB	16DMG|2ERES|3RCR|4AIRHEA|5CDMG|78aVULN|9ZMB
114	21422 55321	   	179.67	DCR|3VULN|2DMG|1AART	13FEWX|259VULN|4aDMG|6RCR|7LHND|8AART
115	22612 55321	   	179.67	DCR|3VULN|2DMG|1AART	12FEWX|3aDMG|459VULN|6RCR|7LHND|8AART
116	42121 34226	   	179.55	ACR|3DMG|1AART|1VULN|1CDMG	14aDMG|2CGEN|3RCR|5RCVC|6LWND|7AART|8CDMG|9VULN
117	21422 51122	   	179.46	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	13FEWX|25VULN|4DMG|6RCR|7DUR|8FLTHEA|9CDMG|aAART
118	22612 51122	   	179.46	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	12FEWX|3DMG|45VULN|6RCR|7DUR|8FLTHEA|9CDMG|aAART
119	43214 51122	   	179.46	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1DUR	13DMG|25LHND|4VULN|6RCR|7DUR|8FLTHEA|9CDMG|aAART
120	44211 51122	   	179.46	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1DUR	12DMG|2BPWR|35FEWX|4VULN|6RCR|7DUR|8FLTHEA|9CDMG|aAART
121	46211 51122	   	179.46	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1DUR	12DMG|35FEWX|4VULN|6RCR|7DUR|8FLTHEA|9CDMG|aAART
122	42121 26234	   	179.28	ACR|3DMG|2VULN|1CDMG|1ASPD	149DMG|29CGEN|3RCR|5RCVC|6LIT|7CDMG|89VULN|9BPWR|aASPD
123	42136 21141	   	179.12	ACR|3DMG|2VULN|2DUR|1ZMB	158DMG|28CGEN|3RCR|4ZMB|6aVULN|78DUR|8BPWR|9RMIN
124	41121 26234	   	179.08	ACR|3DMG|2VULN|1CDMG|1ASPD	149DMG|29ERES|3RCR|5RCVC|6LIT|7CDMG|89VULN|9BPWR|aASPD
125	15126 34222	   	179.04	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1MLV|2ZMB|3RCR|45DMG|6CGEN|7AART|8CDMG|9VULN|aDUR
126	41136 34222	   	178.94	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	15DMG|2ERES|3RCR|4ZMB|6CGEN|7AART|8CDMG|9VULN|aDUR
127	15126 24222	   	178.94	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1MLV|2ZMB|3RCR|45DMG|6ERES|7AART|8CDMG|9VULN|aDUR
128	35126 34222	   	178.94	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1ERES|2ZMB|3RCR|45DMG|6CGEN|7AART|8CDMG|9VULN|aDUR
129	41136 21141	   	178.92	ACR|3DMG|2VULN|2DUR|1ZMB	158DMG|28ERES|3RCR|4ZMB|6aVULN|78DUR|8BPWR|9RMIN
130	42136 21116	   	178.87	ACR|3DMG|2VULN|2DUR|1ZMB|1SELL	158DMG|28CGEN|3RCR|4ZMB|6aVULN|78DUR|8BPWR|9SELL
131	41126 23116	   	178.69	ACR|3DMG|2VULN|1AART	147DMG|2ERES|3RCR|5TLV|68VULN|9FEWX|aAART
132	41136 21116	   	178.67	ACR|3DMG|2VULN|2DUR|1ZMB|1SELL	158DMG|28ERES|3RCR|4ZMB|6aVULN|78DUR|8BPWR|9SELL
133	41352 51133	   	178.50	DCR|3DMG|2VULN|2DUR|1ZMB	138DMG|238ERES|38BPWR|49VULN|5CGEN|6RCR|78DUR|aZMB
134	42161 23151	   	178.48	ACR|3VULN|3DMG|1ASPD	178DMG|2CGEN|3RCR|4RMIN|58FEWX|68aVULN|8BPWR|9ASPD
135	21423 34312	   	178.47	DCR|3VULN|1AART|1DMG|1FLTHEA|1ASPD	13FEWX|26aVULN|4DMG|5ASPD|7AART|8RCR|9FLTHEA
136	22313 34312	   	178.47	DCR|3VULN|1AART|1DMG|1FLTHEA|1ASPD	12FEWX|3ASPD|46aVULN|5DMG|7AART|8RCR|9FLTHEA
137	22613 34312	   	178.47	DCR|3VULN|1AART|1DMG|1FLTHEA|1ASPD	12FEWX|3DMG|46aVULN|5ASPD|7AART|8RCR|9FLTHEA
138	41161 23151	   	178.38	ACR|3VULN|3DMG|1ASPD	178DMG|2ERES|3RCR|4RMIN|58FEWX|68aVULN|8BPWR|9ASPD
139	42124 32234	   	178.28	ACR|2DMG|2AART|1VULN|1CDMG|1ASPD	14DMG|2CGEN|3RCR|5LHND|6VULN|7CDMG|8ASPD|9aAART
140	42166 23133	   	178.28	ACR|3VULN|3DMG|1DUR	157DMG|2CGEN|3RCR|4RMIN|68aVULN|9DUR
141	43212 53353	   	178.20	DCR|2VULN|2DMG|2AART|1DUR	13DMG|2LHND|46VULN|5LIT|79AART|8RCR|aDUR
142	42131 22168	   	178.19	ACR|2VULN|2DMG|1AART|2ZMB	18DMG|28CGEN|3RCR|47ZMB|5FEWX|68VULN|8BPWR|9MBVNT|aAART
143	42125 23133	   	178.18	ACR|3VULN|3DMG|1DUR	147DMG|2CGEN|3RCR|5ERES|68aVULN|9DUR
144	42146 23133	   	178.18	ACR|3VULN|3DMG|1DUR	157DMG|2CGEN|3RCR|4TLV|68aVULN|9DUR
145	32221 54322	   	178.17	DCR|3DMG|2VULN|1AART	1ERES|2FEWX|349DMG|5RCVC|6aVULN|7AART|8RCR
146	42124 32312	   	178.08	ACR|2VULN|2DMG|1AART|1CDMG	14DMG|2CGEN|3RCR|5LHND|6aVULN|7CDMG|8AART|9LWND
147	41126 23135	   	178.08	ACR|3VULN|3DMG|1DUR	147DMG|2ERES|3RCR|5TLV|68aVULN|9DUR
148	41126 23141	   	178.08	ACR|3VULN|3DMG|1ASPD	147DMG|2ERES|3RCR|5TLV|689VULN|aASPD
149	41126 23143	   	178.08	ACR|3VULN|3DMG|1DUR	147DMG|2ERES|3RCR|5TLV|689VULN|aDUR
150	52212 56121	   	178.02	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1CDMG|2SELL|3FEWX|45VULN|6RCR|7AART|8RMIN|9aDMG
151	52212 56221	   	178.02	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1CDMG|2SELL|3FEWX|45VULN|6RCR|7AART|8CGEN|9aDMG
152	41124 32512	   	177.98	ACR|2VULN|2DMG|1AART|1CDMG	14DMG|2ERES|3RCR|5LHND|6aVULN|7CDMG|8AART|9LWND
153	42113 31451	   	177.98	ACR|2VULN|2DMG|1AART|1CDMG	16DMG|2CGEN|3RCR|4AIRHEA|5CDMG|79VULN|8AART|aLIT
154	42113 31452	   	177.98	ACR|2VULN|2DMG|1AART|1CDMG	16DMG|2CGEN|3RCR|4AIRHEA|5CDMG|79VULN|8AART|aLHND
155	42113 31453	   	177.98	ACR|2VULN|2DMG|1AART|1CDMG	16DMG|2aCGEN|3RCR|4AIRHEA|5CDMG|79VULN|8AART
156	42124 32332	   	177.98	ACR|2VULN|2DMG|1AART|1CDMG	14DMG|2CGEN|3RCR|5LHND|6aVULN|7CDMG|8AART|9LEGI
157	42124 32352	   	177.98	ACR|2VULN|2DMG|1AART|1CDMG	14DMG|2CGEN|3RCR|5LHND|6aVULN|7CDMG|8AART|9DUST
158	41113 31451	   	177.88	ACR|2VULN|2DMG|1AART|1CDMG	16DMG|2ERES|3RCR|4AIRHEA|5CDMG|79VULN|8AART|aLIT
159	41113 31452	   	177.88	ACR|2VULN|2DMG|1AART|1CDMG	16DMG|2ERES|3RCR|4AIRHEA|5CDMG|79VULN|8AART|aLHND
160	41113 31453	   	177.88	ACR|2VULN|2DMG|1AART|1CDMG	16DMG|2ERES|3RCR|4AIRHEA|5CDMG|79VULN|8AART|aCGEN
161	41124 32532	   	177.88	ACR|2DMG|2VULN|1AART|1CDMG	14DMG|2ERES|3RCR|5LHND|6aVULN|7CDMG|8AART|9LEGI
162	42322 53133	   	177.86	DCR|3VULN|3DMG|1DUR	137DMG|23CGEN|3BPWR|4ERES|58aVULN|6RCR|9DUR
163	42124 32231	   	177.84	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	14DMG|2CGEN|3RCR|5LHND|6VULN|7CDMG|8ASPD|9AART|aZMB
164	41352 53133	   	177.76	DCR|3VULN|3DMG|1DUR	137DMG|23ERES|3BPWR|48aVULN|5CGEN|6RCR|9DUR
165	22113 34321	   	177.76	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	12FEWX|3ZMB|46VULN|5ASPD|7AART|8RCR|9aDMG
166	42131 22126	 * 	177.68	ACR|3DMG|2VULN|2ZMB|1ASPD	18aDMG|28CGEN|3RCR|47ZMB|5FEWX|68VULN|8BPWR|9ASPD
167	53161 11352	 * 	177.58	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG|1DUR	1CDMG|29DMG|3LSRICY|4RCR|5VULN|69ASPD|7DUR|89CGEN|9BPWR|aAART
168	56211 23421	 * 	177.48	DCR|2VULN|2DMG|1AART|2CDMG	19CDMG|2LWND|3AART|49VULN|5MBVNT|6CGEN|7MLV|89DMG|9BPWR|aRCR
169	42125 21124	 * 	177.45	ACR|3DMG|1AART|1VULN|3DUR	148DMG|28CGEN|3RCR|5ERES|6VULN|789DUR|8BPWR|aAART
170	22312 53266	   	177.29	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	12FEWX|3ASPD|45VULN|6RCR|7aDMG|8DUR|9AART
171	41126 21124	   	177.25	ACR|3DMG|1AART|1VULN|3DUR	148DMG|28ERES|3RCR|5TLV|6VULN|789DUR|8BPWR|aAART
