0	Index      	 *	Score 	Summary	Detail	
1	31332 45323	 * 	203.11	DCR|2VULN|2DMG|3CDMG|1AART|2ZMB|1DUR	1RCVC|248CDMG|34DMG|48BPWR|58ZMB|68VULN|7AART|9DUR|aRCR
27	42353 11123	   	189.26	DCR|2VULN|2DMG|1AART|3CDMG|1ASPD	127CDMG|37DMG|4RMIN|5AART|67VULN|7BPWR|8ASPD|9ERES|aRCR
28	34231 42323	   	189.22	DCR|4VULN|2DMG|2ASPD|1ZMB	1RCVC|2LEGI|39ASPD|4579VULN|69DMG|8RCR|9BPWR|aZMB
29	46113 31351	 * 	189.11	DCR|2VULN|2DMG|2AART|1CDMG	1CDMG|24DMG|35VULN|6RCR|7LIT|89AART|aRCVC
30	46113 31352	   	189.11	DCR|2VULN|2DMG|2AART|1CDMG	1CDMG|24DMG|35VULN|6RCR|7LIT|89AART|aBEXP
31	46113 31353	   	189.11	DCR|2VULN|2DMG|2AART|1CDMG	1CDMG|24DMG|35VULN|6RCR|7LIT|89AART|aLHND
32	46113 35122	 * 	189.08	DCR|4VULN|2DMG|2CDMG|1SELL	19CDMG|24DMG|359aVULN|6RCR|79DUST|8SELL|9BPWR
33	31343 32516	 * 	188.78	DCR|3VULN|1AART|1DMG|1CDMG|1FLTHEA	1RCVC|2CDMG|3DMG|458VULN|6RCR|7LHND|9AART|aFLTHEA
34	31343 33516	   	188.78	DCR|3VULN|1AART|1DMG|1CDMG|1FLTHEA	1RCVC|2CDMG|3DMG|458VULN|6RCR|7LWND|9AART|aFLTHEA
35	24131 42421	   	188.60	DCR|5VULN|2DMG|1ZMB	19BEXP|2RMIN|34579VULN|69DMG|8RCR|9BPWR|aZMB
36	46113 34112	   	187.97	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1CDMG|24DMG|35VULN|6RCR|7ZMB|8ERES|9AART|aLWND
37	46113 34113	   	187.97	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1CDMG|24DMG|35VULN|6RCR|7ZMB|8ERES|9AART|aCGEN
38	46113 34211	   	187.97	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1CDMG|24DMG|35VULN|6RCR|7ZMB|8CGEN|9AART|aERES
39	46113 34111	   	187.87	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1CDMG|24DMG|35VULN|6RCR|7ZMB|8aERES|9AART
40	46113 32123	 * 	186.19	DCR|3VULN|2DMG|2CDMG|1ZMB|1SELL	19CDMG|24DMG|359VULN|6RCR|79LHND|8SELL|9BPWR|aZMB
41	46113 33123	 * 	186.19	DCR|3VULN|2DMG|2CDMG|1ZMB|1SELL	19CDMG|24DMG|359VULN|6RCR|79LWND|8SELL|9BPWR|aZMB
42	31233 42321	 * 	186.04	DCR|3VULN|3DMG|2CDMG|1SELL	1RCVC|29CDMG|3SELL|4LWND|579VULN|69aDMG|8RCR|9BPWR
43	31253 42321	 * 	186.04	DCR|3VULN|3DMG|2CDMG|1SELL	1RCVC|29CDMG|3SELL|4LHND|579VULN|69aDMG|8RCR|9BPWR
44	31343 35513	   	186.03	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2CDMG|3DMG|458VULN|6RCR|7DUST|9AART|aZMB
45	46113 35123	 * 	185.99	DCR|3VULN|2DMG|2CDMG|1ZMB|1SELL	19CDMG|24DMG|359VULN|6RCR|79DUST|8SELL|9BPWR|aZMB
46	31223 42421	 * 	185.94	DCR|3VULN|3DMG|2CDMG|1SELL	1RCVC|29CDMG|3SELL|4DUST|579VULN|69aDMG|8RCR|9BPWR
47	31353 11322	 * 	185.77	4VULN|3DMG|2AART|3CDMG	1RCVC|278CDMG|378DMG|4RMIN|59AART|678aVULN|78BPWR
48	42322 45323	   	185.42	DCR|2VULN|3CDMG|1AART|1DMG|2ZMB|1DUR	128CDMG|3DMG|4RCVC|58ZMB|68VULN|7AART|8BPWR|9DUR|aRCR
49	34231 42326	   	185.15	DCR|4VULN|2DMG|2ASPD|1DUR	1RCVC|2LEGI|39ASPD|4579VULN|69DMG|8RCR|9BPWR|aDUR
50	41113 31541	   	184.86	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1CDMG|2DUR|3TLV|4DMG|5ZMB|6RCR|79VULN|8AART|aASPD
51	46113 31314	   	184.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|24DMG|35VULN|6RCR|7LIT|8AART|9CGEN|aDUR
52	46113 31334	   	184.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|24DMG|35VULN|6RCR|7LIT|8AART|9MLV|aDUR
53	46113 31322	   	184.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|24DMG|35VULN|6RCR|7LIT|8AART|9DUST|aDUR
54	46113 31362	   	184.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|24DMG|35VULN|6RCR|7LIT|8AART|9MBVNT|aDUR
55	31233 42322	 * 	184.48	DCR|4VULN|2DMG|2CDMG|1SELL	1RCVC|29CDMG|3SELL|4LWND|579aVULN|69DMG|8RCR|9BPWR
56	31253 42322	 * 	184.48	DCR|4VULN|2DMG|2CDMG|1SELL	1RCVC|29CDMG|3SELL|4LHND|579aVULN|69DMG|8RCR|9BPWR
57	31223 42422	 * 	184.38	DCR|4VULN|2DMG|2CDMG|1SELL	1RCVC|29CDMG|3SELL|4DUST|579aVULN|69DMG|8RCR|9BPWR
58	46213 21512	 * 	184.05	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2DMG|3ERES|4RCR|5ZMB|678VULN|9AART|aLWND
59	46213 21513	   	184.05	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2DMG|3ERES|4RCR|5ZMB|678VULN|9AART|aCGEN
60	46213 21511	   	183.95	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2DMG|3aERES|4RCR|5ZMB|678VULN|9AART
61	42343 34212	   	183.73	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB|1DUR	12CDMG|3DMG|45VULN|6RCR|7ZMB|8CGEN|9AART|aDUR
62	42353 13212	   	183.73	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB|1DUR	12CDMG|3DMG|4RMIN|5AART|69VULN|7RCR|8ZMB|aDUR
63	42413 21121	 * 	183.45	ACR|3VULN|3CDMG|1DMG|2ZMB|1DUR|1SELL	129CDMG|3DUR|4RCR|59ZMB|679VULN|8SELL|9BPWR|aDMG
64	41113 21515	   	183.37	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2DUR|3TLV|4DMG|5ZMB|678VULN|9AART|aRCR
65	42233 42326	 * 	183.36	DCR|3VULN|2DMG|3CDMG|1ASPD|1SELL	129CDMG|3SELL|4LWND|579VULN|69DMG|8RCR|9BPWR|aASPD
66	21313 61431	 * 	183.33	ACR|3VULN|2DMG|1AART|1DUR	1BEXP|2LEGI|359VULN|4RCR|68DMG|7DUR|aAART
67	22313 65531	   	183.33	ACR|3VULN|2DMG|1AART|1DUR	1BEXP|2DUR|359VULN|4RCR|67DMG|8DUST|aAART
68	41613 31513	   	183.31	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1CDMG|29DUR|3CGEN|4DMG|5ZMB|6RCR|7aVULN|8AART
69	41413 31513	   	183.21	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1CDMG|29DUR|3ERES|4DMG|5ZMB|6RCR|7aVULN|8AART
70	31241 42321	 * 	182.62	DCR|3DMG|2VULN|2CDMG|2DUR|1SELL	1RCVC|29CDMG|3SELL|47VULN|59DUR|69aDMG|8RCR|9BPWR
71	31241 42322	 * 	182.62	DCR|3VULN|2DMG|2CDMG|2DUR|1SELL	1RCVC|29CDMG|3SELL|47aVULN|59DUR|69DMG|8RCR|9BPWR
72	31343 31355	   	182.53	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	1RCVC|2CDMG|3DMG|45VULN|6RCR|7LIT|89AART|aZMB
73	22313 22425	 * 	182.19	ACR|4VULN|1DMG|2CDMG|2DUR	17BEXP|2aDUR|3578VULN|4RCR|67CDMG|7BPWR|9DMG
74	46113 32126	 * 	182.12	DCR|3VULN|2DMG|2CDMG|1DUR|1SELL	19CDMG|24DMG|359VULN|6RCR|79LHND|8SELL|9BPWR|aDUR
75	46113 33126	 * 	182.12	DCR|3VULN|2DMG|2CDMG|1DUR|1SELL	19CDMG|24DMG|359VULN|6RCR|79LWND|8SELL|9BPWR|aDUR
76	31343 35512	   	181.97	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2CDMG|3DMG|458VULN|6RCR|7DUST|9AART|aDUR
77	42343 31326	 * 	181.94	DCR|3VULN|1AART|1DMG|2CDMG	12CDMG|3DMG|45aVULN|6RCR|7LIT|8AART|9DUST
78	42332 25253	   	181.47	DCR|2DMG|3CDMG|1AART|1VULN|1ZMB|1ASPD	124CDMG|34DMG|4BPWR|5ZMB|6ASPD|7AART|8VULN|9MLV|aRCR
79	42343 32512	   	181.44	DCR|3VULN|1AART|1DMG|2CDMG	12CDMG|3DMG|458VULN|6RCR|7LHND|9AART|aRCVC
80	42343 32513	   	181.44	DCR|3VULN|1AART|1DMG|2CDMG	12CDMG|3DMG|458VULN|6RCR|7LHND|9AART|aDMSP
81	42343 33512	   	181.44	DCR|3VULN|1AART|1DMG|2CDMG	12CDMG|3DMG|458VULN|6RCR|7LWND|9AART|aRCVC
82	42343 33513	   	181.44	DCR|3VULN|1AART|1DMG|2CDMG	12CDMG|3DMG|458VULN|6RCR|7LWND|9AART|aDMSP
83	31233 42323	 * 	181.39	DCR|3VULN|2DMG|2CDMG|1ZMB|1SELL	1RCVC|29CDMG|3SELL|4LWND|579VULN|69DMG|8RCR|9BPWR|aZMB
84	31253 42323	 * 	181.39	DCR|3VULN|2DMG|2CDMG|1ZMB|1SELL	1RCVC|29CDMG|3SELL|4LHND|579VULN|69DMG|8RCR|9BPWR|aZMB
85	42332 25223	   	181.37	DCR|2DMG|3CDMG|1AART|1VULN|1ZMB|1ASPD	124CDMG|34DMG|4BPWR|5ZMB|6ASPD|7AART|8VULN|9ERES|aRCR
86	42343 32511	   	181.34	DCR|3VULN|1AART|2CDMG|1DMG	12CDMG|3DMG|458VULN|6RCR|7LHND|9AART|aERES
87	42343 33511	   	181.34	DCR|3VULN|1AART|2CDMG|1DMG	12CDMG|3DMG|458VULN|6RCR|7LWND|9AART|aERES
88	31223 42423	 * 	181.29	DCR|3VULN|2DMG|2CDMG|1ZMB|1SELL	1RCVC|29CDMG|3SELL|4DUST|579VULN|69DMG|8RCR|9BPWR|aZMB
89	22313 25255	 * 	181.18	ACR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	1BEXP|2DUR|35VULN|4RCR|6CDMG|78DMG|9SELL|aAART
90	42343 34213	   	180.64	DCR|2VULN|1AART|1DMG|2CDMG|2ZMB	12CDMG|3DMG|45VULN|6RCR|7aZMB|8CGEN|9AART
91	42353 13213	   	180.64	DCR|2VULN|1AART|1DMG|2CDMG|2ZMB	12CDMG|3DMG|4RMIN|5AART|69VULN|7RCR|8aZMB
92	21313 25541	   	180.59	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|2LEGI|359VULN|4RCR|6CDMG|7DMG|8AART|aASPD
93	52123 24733	   	180.48	DCR|2VULN|2DMG|1AART|2CDMG	1aLIT|29DMG|3MBVNT|4BELT|5aCDMG|6AART|7aVULN|8RCR|aBPWR
94	24331 42421	   	180.42	DCR|4VULN|3DMG	19BEXP|23RMIN|4579VULN|69aDMG|8RCR|9BPWR
95	46113 31152	 * 	179.92	DCR|3DMG|2VULN|1CDMG|1ZMB	1CDMG|24aDMG|35VULN|6RCR|7LIT|8LHND|9ZMB
96	46113 31612	   	179.92	DCR|3DMG|2VULN|1CDMG|1ZMB	1CDMG|24aDMG|35VULN|6RCR|7LIT|8ZMB|9FEWX
97	21313 61531	 * 	179.84	ACR|4VULN|1AART|1DMG|1DUR	1BEXP|2LEGI|3589VULN|4RCR|6DMG|7DUR|aAART
98	46113 32225	   	179.82	DCR|3DMG|2VULN|1CDMG|1ZMB	1CDMG|249DMG|35VULN|6RCR|7LHND|8TLV|aZMB
99	46113 33225	   	179.82	DCR|3DMG|2VULN|1CDMG|1ZMB	1CDMG|249DMG|35VULN|6RCR|7LWND|8TLV|aZMB
100	46113 34323	   	179.82	DCR|3VULN|2DMG|1CDMG|1ZMB	1CDMG|24DMG|35aVULN|6RCR|7ZMB|8AIRHEL|9RCVC
101	22313 25225	 * 	179.17	ACR|3VULN|2DMG|1CDMG|2DUR	1BEXP|2aDUR|359VULN|4RCR|6CDMG|78DMG
102	31332 42635	 * 	179.03	DCR|3DMG|2VULN|2CDMG|1ZMB	1RCVC|24CDMG|34aDMG|4BPWR|5ZMB|67VULN|8TLV|9RCR
103	41613 31521	   	178.82	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1CDMG|2DUR|3CGEN|4DMG|5ZMB|6RCR|7VULN|89AART|aASPD
104	41113 31521	   	178.72	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1CDMG|2DUR|3TLV|4DMG|5ZMB|6RCR|7VULN|89AART|aASPD
105	41413 31521	   	178.72	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1CDMG|2DUR|3ERES|4DMG|5ZMB|6RCR|7VULN|89AART|aASPD
106	21313 61423	   	178.67	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1BEXP|2LEGI|35VULN|4RCR|68DMG|7DUR|9ZMB|aAART
107	31353 11314	   	178.60	3VULN|3DMG|2AART|3CDMG|1DUR	1RCVC|278CDMG|378DMG|4RMIN|5aAART|678VULN|78BPWR|9DUR
108	31353 11323	   	178.60	3VULN|3DMG|2AART|3CDMG|1ASPD	1RCVC|278CDMG|378DMG|4RMIN|59AART|678VULN|78BPWR|aASPD
109	42322 45333	   	178.48	DCR|2VULN|3CDMG|1AART|1DMG|2ZMB	128CDMG|3DMG|4RCVC|58ZMB|68VULN|7AART|8BPWR|9LHND|aRCR
110	42322 45313	   	178.38	DCR|2VULN|3CDMG|1AART|1DMG|2ZMB	128CDMG|3DMG|4RCVC|58ZMB|68VULN|7AART|8BPWR|9DUST|aRCR
111	21313 11363	   	178.29	ACR|3VULN|2DMG|1AART	168BEXP|2LEGI|35aVULN|4RCR|7AART|9aDMG|aBPWR
112	34231 42324	   	178.22	DCR|4VULN|2DMG|2ASPD	1RCVC|2LEGI|39ASPD|4579VULN|69DMG|8RCR|9BPWR|aLWND
113	31343 34522	   	178.14	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD|1DUR	1RCVC|2CDMG|39DMG|45VULN|6RCR|7ZMB|8DUR|aASPD
114	34231 42325	   	178.12	DCR|4VULN|2DMG|2ASPD	1RCVC|2LEGI|39ASPD|4579VULN|69DMG|8RCR|9BPWR|aDUST
115	41613 31533	   	178.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2DUR|3CGEN|4DMG|5ZMB|6RCR|7aVULN|8AART|9RCVC
116	14413 21512	   	177.97	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1CGEN|2ASPD|3CDMG|4RCR|5ZMB|678VULN|9AART|aDUR
117	31241 42323	   	177.96	DCR|2VULN|2DMG|2CDMG|2DUR|1ZMB|1SELL	1RCVC|29CDMG|3SELL|47VULN|59DUR|69DMG|8RCR|9BPWR|aZMB
118	41113 31542	   	177.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2DUR|3TLV|4DMG|5ZMB|6RCR|79VULN|8AART|aRCVC
119	41413 31533	   	177.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2DUR|3ERES|4DMG|5ZMB|6RCR|7aVULN|8AART|9RCVC
120	45113 31531	   	177.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2LHND|3TLV|4DMG|5ZMB|6RCR|79VULN|8AART|aASPD
121	42343 31351	 * 	177.84	DCR|2VULN|2AART|1DMG|2CDMG	12CDMG|3DMG|45VULN|6RCR|7LIT|89AART|aRCVC
122	42343 31352	   	177.84	DCR|2VULN|2AART|1DMG|2CDMG	12CDMG|3DMG|45VULN|6RCR|7LIT|89AART|aBEXP
123	42343 31353	   	177.84	DCR|2VULN|2AART|1DMG|2CDMG	12CDMG|3DMG|45VULN|6RCR|7LIT|89AART|aLHND
124	41113 31543	   	177.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2DUR|3TLV|4DMG|5ZMB|6RCR|79VULN|8AART|aERES
125	43113 31531	   	177.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2LEGI|3TLV|4DMG|5ZMB|6RCR|79VULN|8AART|aASPD
126	43113 31535	   	177.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2LEGI|3TLV|4DMG|5ZMB|6RCR|79VULN|8AART|aDUR
127	46113 31313	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|35VULN|6RCR|7LIT|8AART|9CGEN|aLWND
128	46113 31315	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|35VULN|6RCR|7LIT|8AART|9CGEN|aRMIN
129	46113 31316	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|35VULN|6RCR|7LIT|8AART|9aCGEN
130	46113 31333	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|35VULN|6RCR|7LIT|8AART|9MLV|aLWND
131	46113 31335	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|35VULN|6RCR|7LIT|8AART|9MLV|aRMIN
132	46113 31336	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|35VULN|6RCR|7LIT|8AART|9MLV|aCGEN
133	24131 42422	   	177.59	DCR|5VULN|2DMG	19BEXP|2RMIN|34579VULN|69DMG|8RCR|9BPWR|aCGEN
134	24131 42423	   	177.59	DCR|5VULN|2DMG	19BEXP|2RMIN|34579VULN|69DMG|8RCR|9BPWR|aDMSP
135	24331 42422	   	177.59	DCR|5VULN|2DMG	19BEXP|23RMIN|4579aVULN|69DMG|8RCR|9BPWR
136	46213 21111	   	177.59	ACR|3VULN|2DMG|1CDMG|1ZMB|1SELL	1CDMG|2aDMG|3ERES|4RCR|5ZMB|679VULN|8SELL
137	46213 24111	 * 	177.59	ACR|3DMG|2VULN|1CDMG|1ZMB|1SELL	1CDMG|27aDMG|3ERES|4RCR|5ZMB|69VULN|8SELL
138	46213 24112	   	177.59	ACR|3VULN|2DMG|1CDMG|1ZMB|1SELL	1CDMG|27DMG|3ERES|4RCR|5ZMB|69aVULN|8SELL
139	42353 13232	   	177.59	DCR|2AART|1VULN|1DMG|2CDMG|1ZMB|1DUR	12CDMG|3DMG|4RMIN|59AART|6VULN|7RCR|8ZMB|aDUR
140	46113 31312	   	177.56	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|35VULN|6RCR|7LIT|8AART|9CGEN|aDUST
141	46113 31323	   	177.56	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|35VULN|6RCR|7LIT|8AART|9DUST|aBELT
142	46113 31324	   	177.56	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|35VULN|6RCR|7LIT|8AART|9DUST|aLHND
143	46113 31332	   	177.56	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|35VULN|6RCR|7LIT|8AART|9MLV|aDUST
144	46113 31343	   	177.56	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|35VULN|6RCR|7LIT|8AART|9ERES|aLWND
145	46113 31363	   	177.56	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|35VULN|6RCR|7LIT|8AART|9MBVNT|aLHND
146	46113 31364	   	177.56	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|35VULN|6RCR|7aLIT|8AART|9MBVNT
147	31343 34523	   	177.52	DCR|2VULN|2DMG|2CDMG|1ZMB|1DUR	1RCVC|2aCDMG|39DMG|45VULN|6RCR|7ZMB|8DUR
148	31333 33456	   	177.49	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1RCVC|24CDMG|34DMG|4BPWR|57LWND|6RCR|8AART|9ZMB|aVULN
149	46113 31321	   	177.46	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|35VULN|6RCR|7LIT|8AART|9aDUST
150	46113 31325	   	177.46	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|35VULN|6RCR|7LIT|8AART|9DUST|aLEGI
151	46113 31342	   	177.46	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|35VULN|6RCR|7LIT|8AART|9ERES|aDUST
152	46113 31361	   	177.46	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|35VULN|6RCR|7LIT|8AART|9MBVNT|aDUST
153	31343 34212	   	177.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2CDMG|3DMG|45VULN|6RCR|7ZMB|8CGEN|9AART|aDUR
154	31353 13212	   	177.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2CDMG|3DMG|4RMIN|5AART|69VULN|7RCR|8ZMB|aDUR
155	31413 21121	 * 	177.41	ACR|3VULN|1DMG|2CDMG|2ZMB|1DUR|1SELL	1RCVC|29CDMG|3DUR|4RCR|59ZMB|679VULN|8SELL|9BPWR|aDMG
156	31413 21514	 * 	177.34	ACR|3VULN|1AART|2CDMG|1ZMB|1DUR	1RCVC|2aCDMG|3DUR|4RCR|5ZMB|678VULN|9AART
157	42413 21512	   	177.34	ACR|3VULN|1AART|2CDMG|1ZMB|1DUR	12CDMG|3DUR|4RCR|5ZMB|678VULN|9AART|aRCVC
158	42413 21513	   	177.34	ACR|3VULN|1AART|2CDMG|1ZMB|1DUR	12CDMG|3DUR|4RCR|5ZMB|678VULN|9AART|aDMSP
159	22313 66136	   	177.33	ACR|4VULN|1DMG|1CDMG|1ASPD|1DUR	1BEXP|2DUR|358aVULN|4RCR|6DMG|7ASPD|9CDMG
160	31233 42326	 * 	177.32	DCR|3VULN|2DMG|2CDMG|1DUR|1SELL	1RCVC|29CDMG|3SELL|4LWND|579VULN|69DMG|8RCR|9BPWR|aDUR
161	31253 42326	 * 	177.32	DCR|3VULN|2DMG|2CDMG|1DUR|1SELL	1RCVC|29CDMG|3SELL|4LHND|579VULN|69DMG|8RCR|9BPWR|aDUR
162	42413 21511	   	177.24	ACR|3VULN|1AART|2CDMG|1ZMB|1DUR	12CDMG|3DUR|4RCR|5ZMB|678VULN|9AART|aERES
163	23141 42335	 * 	177.22	DCR|4VULN|1AART|1DMG|1DUR	1BEXP|24CGEN|3457VULN|4BPWR|6DMG|8RCR|9DUR|aAART
164	41113 31525	   	177.07	DCR|2AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	1CDMG|2aDUR|3TLV|4DMG|5ZMB|6RCR|7VULN|89AART
165	46113 32612	   	177.06	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|24DMG|35VULN|6RCR|7LHND|8aRCVC|9AART
