0	Index      	 *	Score 	Summary	Detail	
1	15616 13232	 * 	209.07	DCR|3DMG|2VULN|1AART|2CDMG|1DUR	1aVULN|25CDMG|359DMG|4AART|5BPWR|6RCR|7LIT|8DUR
38	61326 22532	   	190.62	ACR|2VULN|2AART|1DMG|1CDMG|1ASPD|1DUR	1RCR|2DUR|3DMG|4ASPD|56VULN|7CDMG|89AART|aCGEN
39	61326 22533	   	190.62	ACR|2VULN|2AART|1DMG|1CDMG|1ASPD|1DUR	1RCR|2DUR|3DMG|4ASPD|56VULN|7CDMG|89AART|aBEXP
40	61316 26131	 * 	190.41	ACR|5VULN|1DMG|1CDMG|1DUR	1RCR|2DUR|3DMG|4MLV|5678aVULN|9CDMG
41	61332 31535	 * 	190.28	ACR|3DMG|2AART|1CDMG|1ZMB|1DUR	1RCR|2DUR|34aDMG|5LWND|6CDMG|7ZMB|89AART
42	61321 42312	 * 	190.21	ACR|3VULN|3ASPD|1DMG|3DUR|1ZMB	1RCR|29aDUR|3DMG|49aASPD|5LWND|6ZMB|7RMIN|89aVULN|9aBPWR
43	61533 23236	   	190.05	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB|1DUR	1RCR|2DUR|3CANSTR|4DMG|59VULN|6aCDMG|7AART|8ZMB
44	61321 24341	 * 	189.42	ACR|3VULN|2DMG|2ZMB|1DUR|1ASPD	1RCR|2DUR|3aDMG|4ASPD|5LWND|68aVULN|7BEXP|9aZMB|aBPWR
45	14342 32215	   	189.05	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	157VULN|2RCR|3RMIN|45LHND|5BPWR|6CDMG|8ZMB|9AART|aDMG
46	61336 12113	   	188.78	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCR|2DUR|34DMG|5RCVC|68VULN|7ZMB|9BEXP|aAART
47	61336 12153	   	188.78	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCR|2DUR|34DMG|5RCVC|68VULN|7ZMB|9FEWX|aAART
48	16411 13322	   	188.20	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	14VULN|2AART|3CDMG|5ASPD|6RCR|7LIT|8BEXP|9aDMG
49	16412 13232	   	188.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	14VULN|2AART|3CDMG|5MLV|6RCR|7LIT|8DUR|9aDMG
50	61332 12312	 * 	187.94	ACR|3VULN|2DMG|3DUR|1ZMB	1RCR|29aDUR|34DMG|59aLWND|6FEWX|7ZMB|89aVULN|9aBPWR
51	61332 42312	   	187.94	ACR|3VULN|2DMG|3DUR|1ZMB	1RCR|29aDUR|34DMG|59aLWND|6LHND|7ZMB|89aVULN|9aBPWR
52	61333 42312	   	187.94	ACR|3VULN|2DMG|3DUR|1ZMB	1RCR|29aDUR|34DMG|59aBEXP|6LHND|7ZMB|89aVULN|9aBPWR
53	16421 33335	   	187.91	DCR|2AART|2VULN|2DMG|1CDMG	17VULN|29AART|3CDMG|4FEWX|5CGEN|6aDMG|8RCR
54	16114 13335	   	187.81	DCR|2AART|2VULN|2DMG|1CDMG	17VULN|29AART|3FEWX|4aDMG|5TLV|6CDMG|8RCR
55	12336 25433	 * 	187.73	ACR|4VULN|1AART|1DMG|2DUR	1567VULN|27BEXP|3RCR|47DUR|7BPWR|8ERES|9DMG|aAART
56	61332 31142	 * 	187.63	ACR|3DMG|3ZMB|2CDMG|3DUR	1RCR|29aDUR|349DMG|5LWND|6aCDMG|79aZMB|8RPLT|9aBPWR
57	61333 31142	   	187.63	ACR|3DMG|3ZMB|2CDMG|3DUR	1RCR|29aDUR|349DMG|5BEXP|6aCDMG|79aZMB|8RPLT|9aBPWR
58	16113 13322	   	187.47	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17VULN|2AART|3FEWX|4aDMG|5ZMB|6CDMG|8RCR|9LIT
59	16113 13341	   	187.47	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17VULN|2AART|3FEWX|49DMG|5ZMB|6CDMG|8RCR|aLIT
60	16113 13342	   	187.47	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17VULN|2AART|3FEWX|49DMG|5ZMB|6CDMG|8RCR|aCGEN
61	16113 13343	   	187.47	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17VULN|2AART|3FEWX|49DMG|5ZMB|6CDMG|8RCR|aBEXP
62	16113 13344	   	187.47	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17VULN|2AART|3FEWX|49DMG|5ZMB|6CDMG|8RCR|aMLV
63	16613 13341	   	187.47	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17VULN|2AART|3LHND|49DMG|5ZMB|6CDMG|8RCR|aLIT
64	16613 13342	   	187.47	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17VULN|2AART|3LHND|49DMG|5ZMB|6CDMG|8RCR|aCGEN
65	16613 13343	   	187.47	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17VULN|2AART|3LHND|49DMG|5ZMB|6CDMG|8RCR|aBEXP
66	16113 13346	   	187.37	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17VULN|2AART|3FEWX|49DMG|5ZMB|6CDMG|8RCR|aERES
67	61334 12312	   	187.33	ACR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	1RCR|25DUR|34DMG|6VULN|7ZMB|8LIT|9CDMG|aAART
68	61316 26113	   	187.14	ACR|4VULN|1AART|1DMG|1DUR	1RCR|2DUR|3DMG|4MLV|5678VULN|9BEXP|aAART
69	63332 12163	   	186.90	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB|1SELL	1RCR|28VULN|3RMIN|4DMG|5SELL|6CDMG|7ZMB|9aAART
70	15616 12232	   	186.83	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	1VULN|25CDMG|35DMG|4AART|5BPWR|6RCR|7CGEN|8LWND|9DUR|aZMB
71	61316 26313	   	186.69	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2DUR|3DMG|4MLV|567VULN|8LIT|9CDMG|aAART
72	15616 12222	   	186.48	DCR|2VULN|2DMG|1AART|2CDMG	1aVULN|25CDMG|35DMG|4AART|5BPWR|6RCR|7CGEN|8LWND|9LIT
73	61334 14131	   	186.37	ACR|3VULN|2DMG|1CDMG|2DUR	1RCR|25DUR|34DMG|68aVULN|7MLV|9CDMG
74	15613 32522	   	186.32	DCR|3DMG|2VULN|1AART|1CDMG	19VULN|2CDMG|368DMG|4AART|59BEXP|79CGEN|9BPWR|aRCR
75	15613 53322	   	186.27	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17VULN|2CDMG|3aDMG|4AART|5BEXP|6ZMB|8RCR|9LIT
76	15613 31522	   	186.12	DCR|3DMG|2VULN|1AART|1CDMG	19VULN|2CDMG|368DMG|4AART|59BEXP|79ERES|9BPWR|aRCR
77	61316 43333	   	185.87	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCR|2DUR|39DMG|4MLV|58VULN|6ZMB|7NUKE|aAART
78	44334 22312	   	185.54	ACR|3VULN|2DMG|3DUR|1ZMB	19aFEWX|2RCR|34DMG|59aDUR|6LHND|7ZMB|89aVULN|9aBPWR
79	16613 13322	 * 	185.53	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	17aVULN|2AART|3LHND|4DMG|5ZMB|6CDMG|8RCR|9LIT
80	61334 12133	   	185.53	ACR|2VULN|2DMG|3DUR|1CDMG|1ZMB	1RCR|25aDUR|34DMG|68VULN|7ZMB|9CDMG
81	61326 22513	   	185.39	ACR|2VULN|1AART|1DMG|2CDMG|1DUR|1ASPD	1RCR|2DUR|3DMG|4ASPD|56VULN|7aCDMG|8AART|9ERES
82	16313 11345	   	185.33	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2AART|37DUST|49aDMG|5ZMB|6CDMG|8RCR
83	63532 12521	   	185.29	ACR|2VULN|2DMG|1AART|2ASPD	1RCR|29VULN|3AIRHEL|49DMG|59ASPD|6RCVC|7MBVNT|8AART|9BPWR|aLHND
84	63532 12522	   	185.29	ACR|2VULN|2DMG|1AART|2ASPD	1RCR|29VULN|3AIRHEL|49DMG|59ASPD|6RCVC|7MBVNT|8AART|9BPWR|aFEWX
85	63532 12523	   	185.29	ACR|2VULN|2DMG|1AART|2ASPD	1RCR|29VULN|3AIRHEL|49DMG|59ASPD|6RCVC|7MBVNT|8AART|9BPWR|aDMSP
86	63532 12524	   	185.19	ACR|2VULN|2DMG|1AART|2ASPD	1RCR|29VULN|3AIRHEL|49DMG|59ASPD|6RCVC|7MBVNT|8AART|9BPWR|aDUST
87	44336 32333	   	185.18	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1FEWX|2RCR|34DMG|58VULN|6DUR|7ZMB|9RCVC|aAART
88	11263 41136	 * 	185.01	DCR|3VULN|2DMG|1AART|1ASPD	169VULN|2RPLT|3ASPD|4MLV|56DMG|6BPWR|7RCR|8RCVC|aAART
89	61342 22113	   	184.95	ACR|2DMG|1AART|1VULN|2CDMG|2DUR	1RCR|28DUR|38DMG|4LHND|5AIRHEL|68CDMG|7RCVC|8BPWR|9VULN|aAART
90	11113 41136	   	184.91	DCR|3VULN|2DMG|1AART|1ASPD	169VULN|2RPLT|3TLV|4ASPD|56DMG|6BPWR|7RCR|8RCVC|aAART
91	11263 43233	   	184.86	DCR|4VULN|3DMG|1ASPD	168aVULN|2RPLT|3ASPD|4MLV|567DMG|6BPWR|9RCR
92	61336 12312	   	184.84	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1RCR|2DUR|34DMG|5RCVC|6VULN|7ZMB|8LIT|9CDMG|aAART
93	15613 32335	 * 	184.78	DCR|3DMG|2AART|1VULN|1CDMG	1VULN|2CDMG|36aDMG|49AART|5BEXP|7CGEN|8RCR
94	11113 43233	   	184.76	DCR|4VULN|3DMG|1ASPD	168aVULN|2RPLT|3TLV|4ASPD|567DMG|6BPWR|9RCR
95	15616 13331	   	184.54	DCR|3DMG|1AART|1VULN|2CDMG	1VULN|25CDMG|359DMG|4AART|5BPWR|6RCR|7LIT|8aBEXP
96	15616 13332	   	184.54	DCR|3DMG|1AART|1VULN|2CDMG	1VULN|25CDMG|359DMG|4AART|5BPWR|6RCR|7LIT|8BEXP|aLHND
97	15616 13333	   	184.54	DCR|3DMG|1AART|1VULN|2CDMG	1VULN|25CDMG|359DMG|4AART|5BPWR|6RCR|7LIT|8BEXP|aMLV
98	61336 12133	   	184.52	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	1RCR|2aDUR|34DMG|5RCVC|68VULN|7ZMB|9CDMG
99	61336 12231	   	184.52	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	1RCR|28DUR|34DMG|5RCVC|6aVULN|7ZMB|9CDMG
100	14332 12163	   	184.50	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB|1SELL	18VULN|2RCR|3RMIN|4DMG|5SELL|6CDMG|7ZMB|9aAART
101	61326 12522	   	184.47	ACR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	1RCR|26DUR|3aDMG|4ASPD|5VULN|7CDMG|8AART|9LIT
102	15616 12122	   	184.44	DCR|3DMG|1AART|1VULN|2CDMG	1VULN|25CDMG|35aDMG|4AART|5BPWR|6RCR|7CGEN|8DUST|9LIT
103	15616 13312	   	184.44	DCR|3DMG|1AART|1VULN|2CDMG	1VULN|25CDMG|35aDMG|4AART|5BPWR|6RCR|7LIT|8BEXP|9ERES
104	16461 32332	   	184.29	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2AART|3CDMG|4RCR|5CGEN|69aDMG|7LIT|8DUR
105	61334 23213	 * 	184.28	ACR|2VULN|2DMG|1AART|3DUR	1RCR|259DUR|34DMG|6DMSP|79LIT|89VULN|9BPWR|aAART
106	61342 23431	   	184.18	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1RCR|2DUR|3DMG|4LHND|5AIRHEL|6CDMG|7aAART|89VULN
107	61533 23631	   	184.18	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1RCR|2DUR|3CANSTR|4DMG|59VULN|6CDMG|7aAART|8LHND
108	63534 23331	   	184.18	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1RCR|29VULN|3AIRHEL|4DMG|5LHND|6CDMG|7aAART|8DUR
109	63536 23331	   	184.18	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1RCR|29VULN|3AIRHEL|4DMG|5LWND|6CDMG|7aAART|8DUR
110	61322 15411	   	184.14	ACR|3DMG|3ZMB|1CDMG|2DUR|1ASPD	1RCR|2aDUR|37aDMG|4ASPD|5CDMG|6MBVNT|89aZMB|aBPWR
111	61533 23421	   	184.08	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1RCR|2DUR|3CANSTR|4DMG|58VULN|6CDMG|7aAART|9DUST
112	61316 26332	   	184.04	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1RCR|2DUR|3DMG|4MLV|567VULN|8LIT|9ZMB|aAART
113	61336 14131	   	183.88	ACR|3VULN|2DMG|1CDMG|1DUR	1RCR|2DUR|34DMG|5RCVC|68aVULN|7MLV|9CDMG
114	16441 13222	   	183.87	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD|1DUR	1VULN|2AART|35CDMG|4ASPD|6RCR|7LIT|8DUR|9aDMG
115	16243 42223	   	183.85	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1aVULN|2AART|3MLV|4aDUR|5ZMB|6LIT|7RPLT|8aDMG|9RCR|aBPWR
116	44332 32316	   	183.77	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	19FEWX|2RCR|34DMG|59LWND|6DUR|7ZMB|89VULN|9BPWR|aAART
117	15616 12333	 * 	183.77	DCR|2DMG|1AART|3CDMG|1VULN|1ASPD	1VULN|25aCDMG|35DMG|4AART|5BPWR|6RCR|7CGEN|8RCVC|9ASPD
118	16613 13336	   	183.76	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	17VULN|2AART|3LHND|4DMG|5ZMB|6CDMG|8RCR|9DUR|aASPD
119	61533 23231	   	183.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RCR|2DUR|3CANSTR|4DMG|59VULN|6CDMG|7AART|8ZMB|aLHND
120	61533 23233	   	183.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RCR|2DUR|3CANSTR|4DMG|59VULN|6CDMG|7AART|8ZMB|aRMIN
121	61533 23234	   	183.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RCR|2DUR|3CANSTR|4DMG|59VULN|6CDMG|7AART|8ZMB|aCGEN
122	61533 23235	   	183.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RCR|2DUR|3CANSTR|4DMG|59VULN|6CDMG|7AART|8ZMB|aLWND
123	61334 12114	   	183.72	ACR|3DMG|2VULN|2DUR|1ZMB	1RCR|25DUR|34aDMG|68VULN|7ZMB|9BEXP
124	63222 31633	 * 	183.69	ACR|3VULN|2DMG|1AART	1RCR|289VULN|3LWND|4RPLT|58ERES|68DMG|7RMIN|8BPWR|aAART
125	15616 11333	   	183.67	DCR|2DMG|1AART|3CDMG|1VULN|1ASPD	1VULN|25aCDMG|35DMG|4AART|5BPWR|6RCR|7ERES|8RCVC|9ASPD
126	61533 23232	   	183.64	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RCR|2DUR|3CANSTR|4DMG|59VULN|6CDMG|7AART|8ZMB|aERES
127	61334 12122	   	183.62	ACR|3VULN|2DMG|2DUR|1ZMB	1RCR|25DUR|34DMG|68aVULN|7ZMB|9ERES
128	63622 31633	   	183.59	ACR|3VULN|2DMG|1AART	1RCR|289VULN|3LEGI|4RPLT|58ERES|68DMG|7RMIN|8BPWR|aAART
129	61346 34312	   	183.57	ACR|3VULN|2DMG|3DUR|1ASPD	1RCR|269DUR|39DMG|4LHND|5MBVNT|7ASPD|89aVULN|9BPWR
130	61362 54312	   	183.57	ACR|3VULN|2DMG|3DUR|1ASPD	1RCR|249DUR|39DMG|5LWND|6MBVNT|7ASPD|89aVULN|9BPWR
131	61363 54312	   	183.57	ACR|3VULN|2DMG|3DUR|1ASPD	1RCR|249DUR|39DMG|5BEXP|6MBVNT|7ASPD|89aVULN|9BPWR
132	61332 54317	 * 	183.57	ACR|3DMG|2VULN|3DUR|1ASPD	1RCR|29aDUR|349DMG|5LWND|6MBVNT|7ASPD|89VULN|9BPWR
133	61332 54372	   	183.57	ACR|3DMG|2VULN|3DUR|1ASPD	1RCR|29aDUR|34aDMG|5LWND|6MBVNT|7ASPD|8aVULN|aBPWR
134	61333 54317	   	183.57	ACR|3DMG|2VULN|3DUR|1ASPD	1RCR|29aDUR|349DMG|5BEXP|6MBVNT|7ASPD|89VULN|9BPWR
135	16443 33322	   	183.40	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	17VULN|2AART|3CDMG|4ASPD|5BEXP|6aDMG|8RCR|9LIT
136	61333 31561	   	183.24	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1RCR|2DUR|34DMG|5BEXP|6CDMG|7ZMB|8AART|9RPLT|aVULN
137	61322 11838	   	183.17	ACR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	1RCR|28DUR|3DMG|4ASPD|5CDMG|6MBVNT|79VULN|aAART
138	16633 13343	   	183.13	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB|1ASPD	17VULN|2AART|3LHND|4ASPD|5ZMB|6aCDMG|8RCR|9DMG
139	61326 41231	   	183.04	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB|1DUR	1RCR|2DUR|3DMG|49ASPD|5aVULN|6ZMB|7DUST|8AART
140	12312 31535	   	182.95	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB	15VULN|25BEXP|3RCR|4NUKE|5BPWR|6CDMG|7ZMB|89AART|aDMG
141	14532 12521	   	182.89	ACR|2VULN|2DMG|1AART|2ASPD	19VULN|2RCR|3AIRHEL|49DMG|59ASPD|6RCVC|7MBVNT|8AART|9BPWR|aLHND
142	14532 12522	   	182.89	ACR|2VULN|2DMG|1AART|2ASPD	19VULN|2RCR|3AIRHEL|49DMG|59ASPD|6RCVC|7MBVNT|8AART|9BPWR|aFEWX
143	14532 12523	   	182.89	ACR|2VULN|2DMG|1AART|2ASPD	19VULN|2RCR|3AIRHEL|49DMG|59ASPD|6RCVC|7MBVNT|8AART|9BPWR|aDMSP
144	61316 26133	   	182.88	ACR|4VULN|1DMG|1CDMG|2DUR	1RCR|2aDUR|3DMG|4MLV|5678VULN|9CDMG
145	61316 26231	   	182.88	ACR|4VULN|1DMG|1CDMG|2DUR	1RCR|28DUR|3DMG|4MLV|567aVULN|9CDMG
146	61316 16131	   	182.88	ACR|4VULN|1DMG|1CDMG|2DUR	1RCR|26DUR|3DMG|4MLV|578aVULN|9CDMG
147	61326 23522	   	182.87	ACR|2VULN|2DMG|1AART|1ASPD|1DUR|1SELL	1RCR|2DUR|3aDMG|4ASPD|56VULN|7SELL|8AART|9LIT
148	12336 22543	   	182.84	ACR|3VULN|1AART|1DMG|1CDMG|1DUR|1SELL	156VULN|2BEXP|3RCR|4DUR|7SELL|8AART|9DMG|aCDMG
149	14532 12524	   	182.79	ACR|2VULN|2DMG|1AART|2ASPD	19VULN|2RCR|3AIRHEL|49DMG|59ASPD|6RCVC|7MBVNT|8AART|9BPWR|aDUST
150	15616 13223	   	182.77	DCR|2DMG|1AART|1VULN|2CDMG|1DUR|1ASPD	1VULN|25CDMG|35DMG|4AART|5BPWR|6RCR|7LIT|8DUR|9ASPD|aFEWX
151	44336 12131	   	182.74	ACR|3VULN|2DMG|1CDMG|1ZMB	16FEWX|2RCR|34DMG|58aVULN|7ZMB|9CDMG
152	15611 13222	   	182.67	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD|1DUR	1VULN|25CDMG|3aDMG|4AART|6RCR|7LIT|8DUR|9ASPD
153	15616 13221	   	182.67	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD|1DUR	1VULN|25CDMG|35DMG|4AART|5BPWR|6RCR|7LIT|8DUR|9ASPD|aLEGI
154	61366 12131	   	182.59	ACR|3VULN|1DMG|1CDMG|2DUR|1ZMB	1RCR|24DUR|3DMG|5RCVC|68aVULN|7ZMB|9CDMG
155	63322 12165	   	182.39	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1SELL	1RCR|28VULN|3RMIN|4ASPD|5SELL|6CDMG|7ZMB|9AART|aDMG
156	63332 12161	   	182.39	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|1SELL	1RCR|28VULN|3RMIN|4DMG|5SELL|6CDMG|7ZMB|9AART|aDUR
157	63332 12162	   	182.39	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1SELL	1RCR|28VULN|3RMIN|4DMG|5SELL|6CDMG|7ZMB|9AART|aASPD
158	63334 32613	 * 	182.28	ACR|3DMG|2VULN|2ZMB|1ASPD	1RCR|29VULN|3RMIN|49aDMG|5DUST|6ASPD|79ZMB|8LEGI|9BPWR
