0	Index      	 *	Score 	Summary	Detail	
1	11442 32343	 * 	197.67	ACR|4VULN|1AART|1DMG|2CDMG	1LHND|26CDMG|3RCVC|4RCR|569aVULN|6BPWR|7DMG|8AART
16	11611 51334	   	179.96	ACR|3VULN|1AART|1DMG|2CDMG	1LHND|26CDMG|3DMG|4AART|5RCR|7MBVNT|89aVULN
17	31442 33243	   	178.00	ACR|4VULN|1AART|2CDMG	1DUST|26CDMG|3RCVC|4RCR|569aVULN|6BPWR|7AART|8ERES
18	11442 32253	   	177.11	ACR|3VULN|1DMG|2CDMG|1ZMB|1ASPD	1LHND|26CDMG|3RCVC|4RCR|568VULN|6BPWR|7DMG|9ZMB|aASPD
19	31442 33343	 * 	176.98	ACR|3VULN|3CDMG|1AART|1ASPD	1DUST|26aCDMG|3RCVC|4RCR|569VULN|6BPWR|7AART|8ASPD
20	11611 31552	 * 	175.78	ACR|2VULN|2DMG|1AART|1CDMG	19LHND|2CDMG|39DMG|4AART|5RCR|6BELT|79VULN|8RPLT|9BPWR|aERES
21	11611 31553	   	175.78	ACR|2VULN|2DMG|1AART|1CDMG	19LHND|2CDMG|39DMG|4AART|5RCR|6BELT|79VULN|8RPLT|9BPWR|aDUST
22	31442 33242	   	175.35	ACR|3VULN|2AART|2CDMG	1DUST|26CDMG|3RCVC|4RCR|569VULN|6BPWR|7aAART|8ERES
23	11644 33332	 * 	175.12	DCR|2DMG|1AART|2FLTHEA|1CDMG|1ZMB|1DUR	18LHND|2CDMG|38DMG|4ZMB|5DUR|68FLTHEA|7RCR|8BPWR|9AART|aCGEN
24	11644 33333	   	175.02	DCR|2DMG|1AART|2FLTHEA|1CDMG|1ZMB|1DUR	18LHND|2CDMG|38DMG|4ZMB|5DUR|68FLTHEA|7RCR|8BPWR|9AART|aERES
25	31442 33141	   	175.01	ACR|3VULN|1AART|2CDMG|1ZMB	1DUST|26CDMG|3RCVC|4RCR|569VULN|6BPWR|7AART|8ZMB|aRPLT
26	31442 33142	   	175.01	ACR|3VULN|1AART|2CDMG|1ZMB	1DUST|26CDMG|3RCVC|4RCR|569VULN|6BPWR|7AART|8ZMB|aDMSP
27	31442 33163	   	175.01	ACR|3VULN|1AART|2CDMG|1ZMB	1DUST|26CDMG|3RCVC|4RCR|56aVULN|6BPWR|7AART|8ZMB|9CGEN
28	31442 33133	   	174.91	ACR|3VULN|1AART|2CDMG|1ZMB	1DUST|26CDMG|3RCVC|4RCR|56aVULN|6BPWR|7AART|8ZMB|9ERES
29	11622 63511	   	174.86	DCR|2VULN|2DMG|1AART|1CDMG	147LHND|2CDMG|37DMG|5AART|67VULN|7BPWR|8RCR|9FEWX|aCGEN
30	11442 32321	   	174.85	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1LHND|26CDMG|3RCVC|4RCR|56VULN|6BPWR|7DMG|8AART|9DUR|aCGEN
31	11442 32325	   	174.85	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1LHND|26CDMG|3RCVC|4RCR|56VULN|6BPWR|7DMG|8AART|9DUR|aMLV
32	11442 32326	   	174.85	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1LHND|26CDMG|3RCVC|4RCR|56VULN|6BPWR|7DMG|8AART|9DUR|aRMIN
33	11622 63512	   	174.76	DCR|2VULN|2DMG|1AART|1CDMG	147LHND|2CDMG|37DMG|5AART|67VULN|7BPWR|8RCR|9FEWX|aDUST
34	11622 63513	   	174.76	DCR|2VULN|2DMG|1AART|1CDMG	147LHND|2CDMG|37DMG|5AART|67VULN|7BPWR|8RCR|9FEWX|aTLV
35	11622 63531	   	174.76	DCR|2VULN|2DMG|1AART|1CDMG	147LHND|2CDMG|37DMG|5AART|67VULN|7BPWR|8RCR|9ERES|aRMIN
36	11622 63532	   	174.76	DCR|2VULN|2DMG|1AART|1CDMG	147LHND|2CDMG|37DMG|5AART|67VULN|7BPWR|8RCR|9ERES|aRPLT
37	11442 32322	   	174.75	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1LHND|26CDMG|3RCVC|4RCR|56VULN|6BPWR|7DMG|8AART|9DUR|aDUST
38	11442 32323	   	174.75	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1LHND|26CDMG|3RCVC|4RCR|56VULN|6BPWR|7DMG|8AART|9DUR|aTLV
39	11442 32324	   	174.75	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1LHND|26CDMG|3RCVC|4RCR|56VULN|6BPWR|7DMG|8AART|9DUR|aERES
40	11611 21334	   	173.65	ACR|3VULN|1AART|1DMG|1CDMG	16LHND|2CDMG|3DMG|4AART|5RCR|7MBVNT|89aVULN
41	11442 32212	   	173.26	ACR|4VULN|1DMG|2CDMG	1LHND|26CDMG|3RCVC|4RCR|5689VULN|6BPWR|7DMG|aLIT
42	11442 32213	   	173.26	ACR|4VULN|1DMG|2CDMG	1LHND|26CDMG|3RCVC|4RCR|5689VULN|6BPWR|7DMG|aFEWX
43	11442 32214	   	173.26	ACR|4VULN|1DMG|2CDMG	1LHND|26CDMG|3RCVC|4RCR|5689VULN|6BPWR|7DMG|aMGNSTR
44	31442 33123	   	173.23	ACR|2VULN|1AART|2CDMG|1ZMB|1DUR|1ASPD	1DUST|26CDMG|3RCVC|4RCR|56VULN|6BPWR|7AART|8ZMB|9DUR|aASPD
45	11442 32216	   	173.16	ACR|4VULN|1DMG|2CDMG	1LHND|26CDMG|3RCVC|4RCR|5689VULN|6BPWR|7DMG|aERES
46	31442 32212	   	173.16	ACR|4VULN|1DMG|2CDMG	1DUST|26CDMG|3RCVC|4RCR|5689VULN|6BPWR|7DMG|aLIT
47	31442 32213	   	173.16	ACR|4VULN|1DMG|2CDMG	1DUST|26CDMG|3RCVC|4RCR|5689VULN|6BPWR|7DMG|aFEWX
48	31442 32214	   	173.16	ACR|4VULN|1DMG|2CDMG	1DUST|26CDMG|3RCVC|4RCR|5689VULN|6BPWR|7DMG|aMGNSTR
49	31442 32216	   	173.06	ACR|4VULN|1DMG|2CDMG	1DUST|26CDMG|3RCVC|4RCR|5689VULN|6BPWR|7DMG|aERES
50	31442 32236	   	172.92	ACR|4VULN|1DMG|2CDMG|1SELL	1DUST|26CDMG|3RCVC|4RCR|568aVULN|6BPWR|7DMG|9SELL
51	11611 35741	 * 	171.55	ACR|3DMG|2AART|2CDMG	18LHND|28CDMG|38aDMG|49AART|5RCR|6BELT|7MBVNT|8BPWR
52	11611 16316	   	171.25	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1LHND|27CDMG|3DMG|4AART|5RCR|6DUST|8aVULN|9DUR
53	11611 51317	   	171.25	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1LHND|26CDMG|3DMG|4AART|5RCR|7MBVNT|8aVULN|9DUR
54	11611 55333	   	171.25	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1LHND|26CDMG|3DMG|4AART|5RCR|7DUR|8aVULN|9ERES
55	11611 16333	   	171.25	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	1LHND|27CDMG|3DMG|4AART|5RCR|6DUST|89VULN|aASPD
56	11412 63533	 * 	171.03	DCR|3VULN|1AART|2ZMB|1CDMG	17LHND|2CDMG|3RCVC|47ZMB|5AART|67aVULN|7BPWR|8RCR|9ERES
57	31442 33341	   	170.94	ACR|3VULN|1AART|2CDMG|1ASPD	1DUST|26CDMG|3RCVC|4RCR|569VULN|6BPWR|7AART|8ASPD|aRPLT
58	31442 33342	   	170.94	ACR|3VULN|1AART|2CDMG|1ASPD	1DUST|26CDMG|3RCVC|4RCR|569VULN|6BPWR|7AART|8ASPD|aDMSP
59	31442 33363	   	170.94	ACR|3VULN|1AART|2CDMG|1ASPD	1DUST|26CDMG|3RCVC|4RCR|56aVULN|6BPWR|7AART|8ASPD|9CGEN
60	31442 33333	   	170.84	ACR|3VULN|1AART|2CDMG|1ASPD	1DUST|26CDMG|3RCVC|4RCR|56aVULN|6BPWR|7AART|8ASPD|9ERES
61	11442 32251	   	170.17	ACR|3VULN|1DMG|2CDMG|1ZMB	1LHND|26CDMG|3RCVC|4RCR|568VULN|6BPWR|7DMG|9ZMB|aLWND
62	11442 32252	   	170.17	ACR|3VULN|1DMG|2CDMG|1ZMB	1aLHND|26CDMG|3RCVC|4RCR|568VULN|6BPWR|7DMG|9ZMB
63	13355 25312	   	170.07	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1LHND|2DUR|3ASPD|4LSRHEA|5RCR|69VULN|7AART|8CDMG|aDMG
64	31442 32251	   	170.07	ACR|3VULN|1DMG|2CDMG|1ZMB	1DUST|26CDMG|3RCVC|4RCR|568VULN|6BPWR|7DMG|9ZMB|aLWND
65	31442 32252	   	170.07	ACR|3VULN|1DMG|2CDMG|1ZMB	1DUST|26CDMG|3RCVC|4RCR|568VULN|6BPWR|7DMG|9ZMB|aLHND
66	31442 32253	   	170.07	ACR|3VULN|1DMG|2CDMG|1ZMB	1DUST|26CDMG|3RCVC|4RCR|568VULN|6BPWR|7DMG|9ZMB|aCGEN
67	61332 34342	 * 	169.96	DCR|2VULN|2DMG|1AART|2ASPD	17DMG|24MLV|37ASPD|5AART|67BEXP|7BPWR|89VULN|aRCR
68	11611 31116	   	169.54	ACR|2AART|2VULN|1DMG|1CDMG	1LHND|2CDMG|3DMG|4aAART|5RCR|6BELT|79VULN|8FEWX
69	11611 63331	   	169.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|2CDMG|3DMG|4AART|5RCR|6MLV|7ZMB|89VULN|aCGEN
70	11611 63335	   	169.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|2CDMG|3DMG|4AART|5RCR|6aMLV|7ZMB|89VULN
71	11611 63336	   	169.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|2CDMG|3DMG|4AART|5RCR|6MLV|7ZMB|89VULN|aFEWX
72	11611 26143	   	169.10	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	16LHND|2CDMG|3aDMG|4AART|5RCR|7CGEN|8ZMB|9VULN
73	11611 11653	   	169.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|2CDMG|3DMG|4AART|5RCR|6DUST|7FEWX|8ZMB|9aVULN
74	11611 63332	   	169.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|2CDMG|3DMG|4AART|5RCR|6MLV|7ZMB|89VULN|aDUST
75	11611 63333	   	169.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|2CDMG|3DMG|4AART|5RCR|6MLV|7ZMB|89VULN|aTLV
76	11611 63334	   	169.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|2CDMG|3DMG|4AART|5RCR|6MLV|7ZMB|89VULN|aERES
77	11611 63353	   	169.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|2CDMG|3DMG|4AART|5RCR|6MLV|7ZMB|8aVULN|9NUKE
78	31442 33323	 * 	168.84	ACR|2VULN|1AART|2CDMG|2ASPD|1DUR	1DUST|26CDMG|3RCVC|4RCR|56VULN|6BPWR|7AART|8aASPD|9DUR
79	31442 33522	   	168.31	ACR|2VULN|1AART|1DMG|2CDMG	1DUST|26CDMG|3RCVC|4RCR|56VULN|6BPWR|7AART|8MGNSTR|9TLV|aDMG
80	33151 43163	 * 	168.21	DCR|2VULN|1AART|1DMG|3DUR|1ASPD	18DUST|238DUR|4LWND|5ASPD|6RCR|78VULN|8BPWR|9DMG|aAART
81	31646 33332	   	167.98	DCR|2DMG|1AART|2FLTHEA|1CDMG|1ZMB	18DUST|2CDMG|38DMG|4ZMB|5LWND|68FLTHEA|7RCR|8BPWR|9AART|aCGEN
82	16323 16431	   	167.95	DCR|2VULN|2DMG|1AART|1ASPD	1aLHND|2ASPD|3BELT|49VULN|5AART|67DMG|8RCR
83	16323 16432	   	167.95	DCR|2VULN|2DMG|1AART|1ASPD	1LHND|2ASPD|3BELT|49VULN|5AART|67DMG|8RCR|aCGEN
84	16323 16433	   	167.95	DCR|2VULN|2DMG|1AART|1ASPD	1LHND|2ASPD|3BELT|49VULN|5AART|67DMG|8RCR|aLIT
85	11442 32311	   	167.91	ACR|2VULN|1AART|1DMG|2CDMG	1LHND|26CDMG|3RCVC|4RCR|56VULN|6BPWR|7DMG|8AART|9FEWX|aCGEN
86	11442 32315	   	167.91	ACR|2VULN|1AART|1DMG|2CDMG	1LHND|26CDMG|3RCVC|4RCR|56VULN|6BPWR|7DMG|8AART|9FEWX|aMLV
87	11442 32316	   	167.91	ACR|2VULN|1AART|1DMG|2CDMG	1LHND|26CDMG|3RCVC|4RCR|56VULN|6BPWR|7DMG|8AART|9FEWX|aRMIN
88	11442 32351	   	167.91	ACR|2VULN|1AART|1DMG|2CDMG	1LHND|26CDMG|3RCVC|4RCR|56VULN|6BPWR|7DMG|8AART|9BEXP|aCGEN
89	11442 32361	   	167.91	ACR|2VULN|1AART|1DMG|2CDMG	1LHND|26CDMG|3RCVC|4RCR|56VULN|6BPWR|7DMG|8AART|9CGEN|aRMIN
90	11442 32362	   	167.91	ACR|2VULN|1AART|1DMG|2CDMG	1LHND|26CDMG|3RCVC|4RCR|56VULN|6BPWR|7DMG|8AART|9CGEN|aRPLT
91	31646 33333	   	167.88	DCR|2DMG|1AART|2FLTHEA|1CDMG|1ZMB	18DUST|2CDMG|38DMG|4ZMB|5LWND|68FLTHEA|7RCR|8BPWR|9AART|aERES
92	11442 32312	   	167.81	ACR|2VULN|1AART|1DMG|2CDMG	1LHND|26CDMG|3RCVC|4RCR|56VULN|6BPWR|7DMG|8AART|9FEWX|aDUST
93	11442 32313	   	167.81	ACR|2VULN|1AART|1DMG|2CDMG	1LHND|26CDMG|3RCVC|4RCR|56VULN|6BPWR|7DMG|8AART|9FEWX|aTLV
94	11442 32314	   	167.81	ACR|2VULN|1AART|1DMG|2CDMG	1LHND|26CDMG|3RCVC|4RCR|56VULN|6BPWR|7DMG|8AART|9FEWX|aERES
95	11442 32331	   	167.81	ACR|2VULN|1AART|1DMG|2CDMG	1LHND|26CDMG|3RCVC|4RCR|56VULN|6BPWR|7DMG|8AART|9ERES|aRMIN
96	11442 32332	   	167.81	ACR|2VULN|1AART|1DMG|2CDMG	1LHND|26CDMG|3RCVC|4RCR|56VULN|6BPWR|7DMG|8AART|9ERES|aRPLT
97	11442 32334	   	167.81	ACR|2VULN|1AART|1DMG|2CDMG	1LHND|26CDMG|3RCVC|4RCR|56VULN|6BPWR|7DMG|8AART|9ERES|aLIT
98	11442 32336	   	167.81	ACR|2VULN|1AART|1DMG|2CDMG	1LHND|26CDMG|3RCVC|4RCR|56VULN|6BPWR|7DMG|8AART|9ERES|aLWND
99	11442 32352	   	167.81	ACR|2VULN|1AART|1DMG|2CDMG	1LHND|26CDMG|3RCVC|4RCR|56VULN|6BPWR|7DMG|8AART|9BEXP|aDUST
100	11442 32353	   	167.81	ACR|2VULN|1AART|1DMG|2CDMG	1LHND|26CDMG|3RCVC|4RCR|56VULN|6BPWR|7DMG|8AART|9BEXP|aTLV
