0	Index      	 *	Score 	Summary	Detail	
1	31353 15323	 * 	215.61	ACR|3DMG|2VULN|3ZMB|1AART|2DUR	16aDMG|2aVULN|3LWND|46DUR|5RCR|6aBPWR|78aZMB|9AART
21	31353 15226	   	198.02	ACR|3DMG|2VULN|1AART|2DUR|1ZMB	168DMG|2aVULN|3LWND|46DUR|5RCR|6BPWR|7ZMB|9AART
22	31353 53223	   	197.58	ACR|3DMG|2VULN|1AART|2ASPD	18aDMG|2aVULN|3LWND|4DUR|5RCR|6aASPD|7RCVC|9AART|aBPWR
23	31533 53223	   	197.58	ACR|3DMG|2VULN|1AART|2ASPD	18aDMG|2aVULN|3DUR|4LWND|5RCR|6aASPD|7RCVC|9AART|aBPWR
24	23424 12116	 * 	197.12	DCR|3VULN|3DMG|2CDMG|2DUR	18DUR|259DMG|3RCVC|48CDMG|678VULN|8BPWR|aRCR
25	33434 12116	   	197.12	DCR|3VULN|3DMG|2CDMG|2DUR	189DMG|24DUR|3RCVC|58CDMG|678VULN|8BPWR|aRCR
26	33424 12136	   	197.12	DCR|3VULN|3DMG|2CDMG|2DUR	158DMG|29DUR|3RCVC|48CDMG|678VULN|8BPWR|aRCR
27	33433 12116	   	197.12	DCR|3VULN|3DMG|2CDMG|2DUR	189DMG|24DUR|3RCVC|578VULN|68CDMG|8BPWR|aRCR
28	31353 33323	   	196.76	ACR|2VULN|2DMG|3ZMB|1AART	1aDMG|2aVULN|3LWND|4DUR|5RCR|68aZMB|7RCVC|9AART|aBPWR
29	31533 33323	   	196.76	ACR|2VULN|2DMG|3ZMB|1AART	1aDMG|2aVULN|3DUR|4LWND|5RCR|68aZMB|7RCVC|9AART|aBPWR
30	31353 36223	   	196.68	ACR|3DMG|2VULN|1AART|2ZMB	18aDMG|2aVULN|3LWND|4DUR|5RCR|6aZMB|7DMSP|9AART|aBPWR
31	31533 36223	   	196.68	ACR|3DMG|2VULN|1AART|2ZMB	18aDMG|2aVULN|3DUR|4LWND|5RCR|6aZMB|7DMSP|9AART|aBPWR
32	31353 56333	   	195.42	ACR|2VULN|2DMG|1AART|2ASPD|2DUR|1ZMB	17DMG|27VULN|3LWND|49DUR|5RCR|67ASPD|7BPWR|8ZMB|aAART
33	31533 56333	   	195.42	ACR|2VULN|2DMG|1AART|2ASPD|2DUR|1ZMB	17DMG|27VULN|39DUR|4LWND|5RCR|67ASPD|7BPWR|8ZMB|aAART
34	31253 52331	   	195.38	ACR|3DMG|2VULN|1AART|2ASPD	18aDMG|28VULN|3BEXP|4DUR|5RCR|68ASPD|7RMIN|8BPWR|9AART
35	31253 56221	   	195.38	ACR|3DMG|2VULN|1AART|2ASPD	178DMG|27VULN|3BEXP|4DUR|5RCR|67ASPD|7BPWR|9AART|aLHND
36	31253 56222	   	195.38	ACR|3DMG|2VULN|1AART|2ASPD	178DMG|27VULN|3BEXP|4DUR|5RCR|67ASPD|7BPWR|9AART|aCGEN
37	31353 56221	   	195.38	ACR|3DMG|2VULN|1AART|2ASPD	178DMG|27VULN|3LWND|4DUR|5RCR|67ASPD|7BPWR|9AART|aLHND
38	31353 56222	   	195.38	ACR|3DMG|2VULN|1AART|2ASPD	178DMG|27VULN|3LWND|4DUR|5RCR|67ASPD|7BPWR|9AART|aCGEN
39	31533 56221	   	195.38	ACR|3DMG|2VULN|1AART|2ASPD	178DMG|27VULN|3DUR|4LWND|5RCR|67ASPD|7BPWR|9AART|aLHND
40	31533 56222	   	195.38	ACR|3DMG|2VULN|1AART|2ASPD	178DMG|27VULN|3DUR|4LWND|5RCR|67ASPD|7BPWR|9AART|aCGEN
41	31653 35333	   	195.32	ACR|2VULN|2DMG|1AART|2ASPD|2DUR|1ZMB	18DMG|28VULN|3LEGI|49DUR|5RCR|6ZMB|78ASPD|8BPWR|aAART
42	31253 56223	   	195.28	ACR|3DMG|2VULN|1AART|2ASPD	178DMG|27VULN|3BEXP|4DUR|5RCR|67ASPD|7BPWR|9AART|aERES
43	31353 56223	   	195.28	ACR|3DMG|2VULN|1AART|2ASPD	178DMG|27VULN|3LWND|4DUR|5RCR|67ASPD|7BPWR|9AART|aERES
44	31533 56223	   	195.28	ACR|3DMG|2VULN|1AART|2ASPD	178DMG|27VULN|3DUR|4LWND|5RCR|67ASPD|7BPWR|9AART|aERES
45	34331 12333	 * 	195.12	DCR|3DMG|2VULN|1AART|1CDMG	18aDMG|2DMSP|3MLV|4CDMG|5AART|6RCR|79VULN
46	34531 12333	   	195.12	DCR|3DMG|2VULN|1AART|1CDMG	18aDMG|2DMSP|3CGEN|4CDMG|5AART|6RCR|79VULN
47	34131 12333	   	195.02	DCR|3DMG|2VULN|1AART|1CDMG	18aDMG|2DMSP|3TLV|4CDMG|5AART|6RCR|79VULN
48	34631 12333	   	195.02	DCR|3DMG|2VULN|1AART|1CDMG	18aDMG|2DMSP|3ERES|4CDMG|5AART|6RCR|79VULN
49	31633 13113	 * 	194.85	ACR|3VULN|2DMG|1AART|2CDMG	1aDMG|26aVULN|3LEGI|46LWND|5RCR|6aBPWR|7MLV|8aCDMG|9AART
50	31253 56233	   	194.78	ACR|3DMG|2VULN|1AART|2ASPD	178DMG|27VULN|3BEXP|4DUR|5RCR|67ASPD|7BPWR|9FEWX|aAART
51	31353 56233	   	194.78	ACR|3DMG|2VULN|1AART|2ASPD	178DMG|27VULN|3LWND|4DUR|5RCR|67ASPD|7BPWR|9FEWX|aAART
52	31533 56233	   	194.78	ACR|3DMG|2VULN|1AART|2ASPD	178DMG|27VULN|3DUR|4LWND|5RCR|67ASPD|7BPWR|9FEWX|aAART
53	31633 63113	 * 	194.75	ACR|3DMG|2VULN|1AART|2CDMG	16aDMG|2aVULN|3LEGI|4LWND|5RCR|7MLV|8aCDMG|9AART|aBPWR
54	31633 53213	   	194.65	ACR|3DMG|2VULN|1AART|2CDMG	18aDMG|2aVULN|3LEGI|4LWND|5RCR|6ERES|7aCDMG|9AART|aBPWR
55	31353 36323	   	194.56	ACR|2VULN|2DMG|3ZMB|1AART	1aDMG|2aVULN|3LWND|4DUR|5RCR|68aZMB|7DMSP|9AART|aBPWR
56	31533 36323	   	194.56	ACR|2VULN|2DMG|3ZMB|1AART	1aDMG|2aVULN|3DUR|4LWND|5RCR|68aZMB|7DMSP|9AART|aBPWR
57	33563 12116	   	193.71	DCR|3VULN|3DMG|2CDMG|2DUR	189DMG|23DUR|4DMSP|578VULN|68CDMG|8BPWR|aRCR
58	34433 12116	   	193.71	DCR|3VULN|3DMG|2CDMG|2DUR	189DMG|2DMSP|34DUR|578VULN|68CDMG|8BPWR|aRCR
59	31233 12333	   	193.56	ACR|3DMG|2VULN|1AART|2DUR	168DMG|28VULN|3BEXP|46LWND|5RCR|68BPWR|78DUR|9ASPD|aAART
60	31253 15143	   	193.48	ACR|3DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	169DMG|2VULN|3BEXP|46DUR|5RCR|6BPWR|7ZMB|8CDMG|aAART
61	31353 15143	   	193.48	ACR|3DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	169DMG|2VULN|3LWND|46DUR|5RCR|6BPWR|7ZMB|8CDMG|aAART
62	31233 62333	   	193.46	ACR|3DMG|2VULN|1AART|2DUR	168DMG|28VULN|3BEXP|4LWND|5RCR|78DUR|8BPWR|9ASPD|aAART
63	31253 11333	   	193.36	ACR|3DMG|2VULN|1AART|2DUR	168DMG|28VULN|3BEXP|46DUR|5RCR|68BPWR|78DUST|9ASPD|aAART
64	31353 11333	   	193.36	ACR|3DMG|2VULN|1AART|2DUR	168DMG|28VULN|3LWND|46DUR|5RCR|68BPWR|78DUST|9ASPD|aAART
65	23524 12162	 * 	192.88	DCR|3VULN|2DMG|2CDMG|3DUR|1ZMB	138DUR|25DMG|48CDMG|678VULN|8BPWR|9ZMB|aRCR
66	31353 56122	   	192.77	ACR|2VULN|2DMG|1AART|1CDMG|2ASPD	17DMG|27VULN|3LWND|4DUR|5RCR|67ASPD|7BPWR|8CDMG|9CGEN|aAART
67	31533 56122	   	192.77	ACR|2VULN|2DMG|1AART|1CDMG|2ASPD	17DMG|27VULN|3DUR|4LWND|5RCR|67ASPD|7BPWR|8CDMG|9CGEN|aAART
68	31533 15226	   	192.73	ACR|3DMG|2VULN|1AART|1ZMB	168DMG|2aVULN|3DUR|46LWND|5RCR|6BPWR|7ZMB|9AART
69	33463 12116	   	191.82	DCR|3VULN|3DMG|2CDMG	189DMG|2DUR|3RCVC|4DMSP|578VULN|68CDMG|8BPWR|aRCR
70	31253 52333	   	191.17	ACR|2VULN|2DMG|2AART|2ASPD	18DMG|28VULN|3BEXP|4DUR|5RCR|68ASPD|7RMIN|8BPWR|9aAART
71	31253 56332	   	190.72	ACR|2VULN|2DMG|1AART|2ASPD|1ZMB	17DMG|27VULN|3aBEXP|4DUR|5RCR|67ASPD|7BPWR|8ZMB|9AART
72	34331 12332	   	190.47	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	18DMG|2DMSP|3MLV|4CDMG|5AART|6RCR|79VULN|aZMB
73	34531 12332	   	190.47	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	18DMG|2DMSP|3CGEN|4CDMG|5AART|6RCR|79VULN|aZMB
74	34131 12332	   	190.37	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	18DMG|2DMSP|3TLV|4CDMG|5AART|6RCR|79VULN|aZMB
75	34631 12332	   	190.37	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	18DMG|2DMSP|3ERES|4CDMG|5AART|6RCR|79VULN|aZMB
76	31633 15223	   	189.74	ACR|3DMG|2VULN|1AART|2ZMB	18aDMG|26VULN|3LEGI|46aLWND|5RCR|6aBPWR|7aZMB|9AART
77	31633 14213	   	188.54	ACR|3VULN|2DMG|1AART|1CDMG	1aDMG|26aVULN|3LEGI|46LWND|5RCR|6aBPWR|7CDMG|8aMLV|9AART
78	31633 64213	   	188.44	ACR|3DMG|2VULN|1AART|1CDMG	16aDMG|2aVULN|3LEGI|4LWND|5RCR|7CDMG|8aMLV|9AART|aBPWR
79	31633 14613	   	188.34	ACR|3VULN|2DMG|1AART|1CDMG	1aDMG|26aVULN|3LEGI|46LWND|5RCR|6aBPWR|7CDMG|8aTLV|9AART
80	31533 15143	   	188.19	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	169DMG|2VULN|3DUR|46LWND|5RCR|6BPWR|7ZMB|8CDMG|aAART
81	31653 34223	   	188.10	ACR|3DMG|1AART|1VULN|3DUR|2ZMB	18aDMG|2VULN|3LEGI|47aDUR|5RCR|6aZMB|9AART|aBPWR
82	31533 11333	   	188.06	ACR|3DMG|2VULN|1AART	168DMG|28VULN|3DUR|46LWND|5RCR|68BPWR|78DUST|9ASPD|aAART
83	31353 56332	   	187.87	ACR|3VULN|2DMG|2ASPD|2DUR|1ZMB	17DMG|27aVULN|3LWND|49DUR|5RCR|67ASPD|7BPWR|8ZMB
84	31533 56332	   	187.87	ACR|3VULN|2DMG|2ASPD|2DUR|1ZMB	17DMG|27aVULN|39DUR|4LWND|5RCR|67ASPD|7BPWR|8ZMB
85	31653 35332	   	187.77	ACR|3VULN|2DMG|2ASPD|2DUR|1ZMB	18DMG|28aVULN|3LEGI|49DUR|5RCR|6ZMB|78ASPD|8BPWR
86	31633 15323	   	187.62	ACR|2VULN|2DMG|3ZMB|1AART	1aDMG|26VULN|3LEGI|46aLWND|5RCR|6aBPWR|78aZMB|9AART
87	31253 56232	 * 	187.23	ACR|3VULN|3DMG|2ASPD	178DMG|27aVULN|3BEXP|4DUR|5RCR|67ASPD|7BPWR|9FEWX
88	31353 56232	   	187.23	ACR|3VULN|3DMG|2ASPD	178DMG|27aVULN|3LWND|4DUR|5RCR|67ASPD|7BPWR|9FEWX
89	31533 56232	   	187.23	ACR|3VULN|3DMG|2ASPD	178DMG|27aVULN|3DUR|4LWND|5RCR|67ASPD|7BPWR|9FEWX
90	31253 13226	   	186.92	ACR|3DMG|2VULN|1AART|2DUR	168DMG|2aVULN|3BEXP|46DUR|5RCR|6BPWR|7ERES|9AART
91	31653 13225	   	186.82	ACR|3VULN|2DMG|1AART|2DUR	18DMG|26aVULN|3LEGI|46DUR|5RCR|6BPWR|7ERES|9AART
92	31353 15325	   	186.22	ACR|2VULN|2DMG|1AART|2ZMB|2DUR	16DMG|2aVULN|3LWND|46DUR|5RCR|6BPWR|78ZMB|9AART
93	31233 12332	   	186.01	ACR|3VULN|3DMG|2DUR	168DMG|28aVULN|3BEXP|46LWND|5RCR|68BPWR|78DUR|9ASPD
94	31653 34323	   	185.98	ACR|2DMG|3ZMB|1AART|1VULN|3DUR	1aDMG|2VULN|3LEGI|47aDUR|5RCR|68aZMB|9AART|aBPWR
95	31233 62332	   	185.91	ACR|3VULN|3DMG|2DUR	168DMG|28aVULN|3BEXP|4LWND|5RCR|78DUR|8BPWR|9ASPD
96	34331 11663	 * 	185.88	DCR|2VULN|2DMG|1AART|2CDMG	1aDMG|2DMSP|3MLV|4aCDMG|5AART|6RCR|7FEWX|8DUST|9aVULN|aBPWR
97	31253 11332	   	185.81	ACR|3VULN|3DMG|2DUR	168DMG|28aVULN|3BEXP|46DUR|5RCR|68BPWR|78DUST|9ASPD
98	31353 11332	   	185.81	ACR|3VULN|3DMG|2DUR	168DMG|28aVULN|3LWND|46DUR|5RCR|68BPWR|78DUST|9ASPD
99	31233 15226	   	185.79	ACR|3DMG|2VULN|1AART|1ZMB	168DMG|2aVULN|3BEXP|46LWND|5RCR|6BPWR|7ZMB|9AART
100	34131 11663	   	185.78	DCR|2VULN|2DMG|1AART|2CDMG	1aDMG|2DMSP|3TLV|4aCDMG|5AART|6RCR|7FEWX|8DUST|9aVULN|aBPWR
101	31233 65226	   	185.69	ACR|3DMG|2VULN|1AART|1ZMB	168DMG|2aVULN|3BEXP|4LWND|5RCR|7ZMB|9AART
102	31633 15225	   	185.69	ACR|3VULN|2DMG|1AART|1ZMB	18DMG|26aVULN|3LEGI|46LWND|5RCR|6BPWR|7ZMB|9AART
