0	Index      	 *	Score 	Summary	Detail	
1	62513 32163	 * 	387.70	ACR|4VULN|1MDPS|1DUR|1AART	1369VULN|2RCR|4DUR|5AART|7RAT|8LWND|aMDPS
29	62511 22325	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	137VULN|2RCR|4DUR|5TLV|6FEWX|8BEXP|9MDPS|aDUST
30	62511 22326	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	137VULN|2RCR|4DUR|5TLV|6FEWX|8BEXP|9MDPS|aLHND
31	62511 22521	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	137VULN|2RCR|4DUR|5TLV|6FEWX|8LHND|9MDPS|aLWND
32	62511 22522	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	137VULN|2RCR|4DUR|5TLV|6FEWX|8LHND|9MDPS|aLIT
33	62511 22523	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	137VULN|2RCR|4DUR|5TLV|6FEWX|8LHND|9MDPS|aSNITOX
34	62511 23321	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	138VULN|2RCR|4DUR|5TLV|6FEWX|7BEXP|9MDPS|aLWND
35	62511 23322	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	138VULN|2RCR|4DUR|5TLV|6FEWX|7BEXP|9MDPS|aLIT
36	62511 23323	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	138VULN|2RCR|4DUR|5TLV|6FEWX|7BEXP|9MDPS|aSNITOX
37	62511 23325	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	138VULN|2RCR|4DUR|5TLV|6FEWX|7BEXP|9MDPS|aDUST
38	62511 23326	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	138VULN|2RCR|4DUR|5TLV|6FEWX|7BEXP|9MDPS|aLHND
39	62513 32263	   	361.13	ACR|3VULN|1MDPS|2DUR|1AART	136VULN|2RCR|48DUR|5AART|7RAT|9LWND|aMDPS
40	62511 32321	   	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	137VULN|2RCR|4DUR|5TLV|6DUST|8BEXP|9MDPS|aLWND
41	62511 32322	   	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	137VULN|2RCR|4DUR|5TLV|6DUST|8BEXP|9MDPS|aLIT
42	62511 32323	   	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	137VULN|2RCR|4DUR|5TLV|6DUST|8BEXP|9MDPS|aSNITOX
43	62511 32325	   	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	137VULN|2RCR|4DUR|5TLV|6aDUST|8BEXP|9MDPS
44	62511 32326	   	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	137VULN|2RCR|4DUR|5TLV|6DUST|8BEXP|9MDPS|aBOSS
45	62511 32521	   	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	137VULN|2RCR|4DUR|5TLV|6DUST|8LHND|9MDPS|aLWND
46	62511 32522	   	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	137VULN|2RCR|4DUR|5TLV|6DUST|8LHND|9MDPS|aLIT
47	62511 32523	   	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	137VULN|2RCR|4DUR|5TLV|6DUST|8LHND|9MDPS|aSNITOX
48	62511 33321	   	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	138VULN|2RCR|4DUR|5TLV|6DUST|7BEXP|9MDPS|aLWND
49	62511 33322	   	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	138VULN|2RCR|4DUR|5TLV|6DUST|7BEXP|9MDPS|aLIT
50	62511 33323	   	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	138VULN|2RCR|4DUR|5TLV|6DUST|7BEXP|9MDPS|aSNITOX
51	62511 33325	   	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	138VULN|2RCR|4DUR|5TLV|6aDUST|7BEXP|9MDPS
52	62511 33326	   	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	138VULN|2RCR|4DUR|5TLV|6DUST|7BEXP|9MDPS|aBOSS
53	62513 14331	   	361.03	ACR|3VULN|1MDPS|2DUR|1AART	139VULN|2RCR|49DUR|5AART|6VENTOX|7ASPD|89DUST|9BPWR|aMDPS
54	62513 24211	 * 	358.30	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR|1AART	13VULN|2RCR|4DUR|5AART|6CDMG|7TLV|8MDPS|9RPLT|aLIT
55	62513 24212	   	358.30	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR|1AART	13VULN|2RCR|4DUR|5AART|6CDMG|7TLV|8MDPS|9RPLT|aSPLJET
56	62513 24213	   	358.30	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR|1AART	13VULN|2RCR|4DUR|5AART|6CDMG|7TLV|8MDPS|9RPLT|aZMB
57	62513 24221	   	358.30	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR|1AART	13VULN|2RCR|4DUR|5AART|6CDMG|7TLV|8MDPS|9AME|aDUST
58	62513 24222	   	358.30	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR|1AART	13VULN|2RCR|4DUR|5AART|6CDMG|7TLV|8MDPS|9AME|aZMB
59	62513 24223	   	358.30	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR|1AART	13VULN|2RCR|4DUR|5AART|6CDMG|7TLV|8MDPS|9AME|aRCVC
60	62513 24231	   	358.30	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR|1AART	13VULN|2RCR|4DUR|5AART|6CDMG|7TLV|8MDPS|9NUKE|aDUST
61	62513 24232	   	358.30	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR|1AART	13VULN|2RCR|4DUR|5AART|6CDMG|7TLV|8MDPS|9NUKE|aZMB
62	62513 24233	   	358.30	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR|1AART	13VULN|2RCR|4DUR|5AART|6CDMG|7TLV|8MDPS|9NUKE|aRCVC
