0	Index      	 *	Score 	Summary	Detail	
1	14141 11821	 * 	387.28	DCR|3VULN|1MDPS|2DUR	17DUR|27LSRHEA|3MBVNT|4RPLT|567VULN|7BPWR|8RCR|9BBNT|aMDPS
15	33241 11632	   	371.00	DCR|2VULN|1MDPS|2CDMG|1DUR	14VULN|29CDMG|3DUR|5DUST|6LIT|7BEXP|8RCR|aMDPS
16	33241 51632	   	371.00	DCR|2VULN|1MDPS|2CDMG|1DUR	14VULN|29CDMG|3DUR|5DUST|6BOSS|7BEXP|8RCR|aMDPS
17	13214 35221	   	371.00	DCR|2VULN|1MDPS|1CDMG|2DUR	13DUR|2CDMG|4FLTARM|58VULN|6LIT|7RCR|9MDPS|aLHND
18	13214 35222	   	371.00	DCR|2VULN|1MDPS|1CDMG|2DUR	13DUR|2CDMG|4FLTARM|58VULN|6LIT|7RCR|9MDPS|aLEGI
19	13214 35223	   	371.00	DCR|2VULN|1MDPS|1CDMG|2DUR	13DUR|2CDMG|4FLTARM|58VULN|6LIT|7RCR|9MDPS|aBBNT
20	13214 35224	 * 	371.00	DCR|2VULN|1MDPS|3DUR|1CDMG	13aDUR|2CDMG|4FLTARM|58VULN|6LIT|7RCR|9MDPS
21	13214 35225	   	371.00	DCR|3VULN|1MDPS|1CDMG|2DUR	13DUR|2CDMG|4FLTARM|58aVULN|6LIT|7RCR|9MDPS
22	33211 35221	   	370.90	DCR|2VULN|1MDPS|2CDMG|1DUR	18VULN|25CDMG|3DUR|4MSLREG|6LIT|7RCR|9MDPS|aLHND
23	33211 35222	   	370.90	DCR|2VULN|1MDPS|2CDMG|1DUR	18VULN|25CDMG|3DUR|4MSLREG|6LIT|7RCR|9MDPS|aLEGI
24	33211 35223	   	370.90	DCR|2VULN|1MDPS|2CDMG|1DUR	18VULN|25CDMG|3DUR|4MSLREG|6LIT|7RCR|9MDPS|aBBNT
25	33211 35224	 * 	370.90	DCR|2VULN|1MDPS|2CDMG|2DUR	18VULN|25CDMG|3aDUR|4MSLREG|6LIT|7RCR|9MDPS
26	33211 35225	 * 	370.90	DCR|3VULN|1MDPS|2CDMG|1DUR	18aVULN|25CDMG|3DUR|4MSLREG|6LIT|7RCR|9MDPS
27	33221 45221	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	18VULN|2CDMG|36DUR|4LIT|5MSLREG|7RCR|9MDPS|aLHND
28	33221 45222	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	18VULN|2CDMG|36DUR|4LIT|5MSLREG|7RCR|9MDPS|aLEGI
29	33221 45223	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	18VULN|2CDMG|36DUR|4LIT|5MSLREG|7RCR|9MDPS|aBBNT
30	33221 45224	   	370.90	DCR|2VULN|1MDPS|3DUR|1CDMG	18VULN|2CDMG|36aDUR|4LIT|5MSLREG|7RCR|9MDPS
31	33221 45225	   	370.90	DCR|3VULN|1MDPS|1CDMG|2DUR	18aVULN|2CDMG|36DUR|4LIT|5MSLREG|7RCR|9MDPS
32	33226 45221	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	18VULN|2CDMG|36DUR|4LIT|5BLAICY|7RCR|9MDPS|aLHND
33	33226 45222	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	18VULN|2CDMG|36DUR|4LIT|5BLAICY|7RCR|9MDPS|aLEGI
34	33226 45223	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	18VULN|2CDMG|36DUR|4LIT|5BLAICY|7RCR|9MDPS|aBBNT
35	33251 35221	   	370.90	DCR|2VULN|1MDPS|2CDMG|1DUR	18VULN|25CDMG|3DUR|4BLAICY|6LIT|7RCR|9MDPS|aLHND
36	33251 35222	   	370.90	DCR|2VULN|1MDPS|2CDMG|1DUR	18VULN|25CDMG|3DUR|4BLAICY|6LIT|7RCR|9MDPS|aLEGI
37	33251 35223	   	370.90	DCR|2VULN|1MDPS|2CDMG|1DUR	18VULN|25CDMG|3DUR|4BLAICY|6LIT|7RCR|9MDPS|aBBNT
38	33251 35224	   	370.90	DCR|2VULN|1MDPS|2CDMG|2DUR	18VULN|25CDMG|3aDUR|4BLAICY|6LIT|7RCR|9MDPS
39	33251 35225	   	370.90	DCR|3VULN|1MDPS|2CDMG|1DUR	18aVULN|25CDMG|3DUR|4BLAICY|6LIT|7RCR|9MDPS
40	33311 45221	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	18VULN|2CDMG|3BOSS|46DUR|5MSLREG|7RCR|9MDPS|aLHND
41	33311 45222	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	18VULN|2CDMG|3BOSS|46DUR|5MSLREG|7RCR|9MDPS|aLEGI
42	33311 45223	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	18VULN|2CDMG|3BOSS|46DUR|5MSLREG|7RCR|9MDPS|aBBNT
43	33311 45224	   	370.90	DCR|2VULN|1MDPS|3DUR|1CDMG	18VULN|2CDMG|3BOSS|46aDUR|5MSLREG|7RCR|9MDPS
44	33311 45225	   	370.90	DCR|3VULN|1MDPS|1CDMG|2DUR	18aVULN|2CDMG|3BOSS|46DUR|5MSLREG|7RCR|9MDPS
45	33316 45221	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	18VULN|2CDMG|3BOSS|46DUR|5BLAICY|7RCR|9MDPS|aLHND
46	33316 45222	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	18VULN|2CDMG|3BOSS|46DUR|5BLAICY|7RCR|9MDPS|aLEGI
47	33316 45223	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	18VULN|2CDMG|3BOSS|46DUR|5BLAICY|7RCR|9MDPS|aBBNT
48	34622 23613	 * 	367.74	DCR|5VULN|1DMG|1DUR	12489VULN|2BPWR|3DMG|5BEXP|6DUR|7FEWX|aRCR
49	33521 65232	   	364.80	DCR|1MDPS|1VULN|1CDMG|1TLV|1DMG|1DUR|1AART	1VULN|2CDMG|3TLV|4DUR|5DMG|6AART|7RCR|8DLOT|9LHND|aMDPS
50	33521 65222	   	364.70	DCR|1MDPS|1VULN|1CDMG|1TLV|1DMG|1DUR|1AART	1VULN|2CDMG|3TLV|4DUR|5DMG|6AART|7RCR|8DLOT|9DUST|aMDPS
51	33521 11632	 * 	363.70	DCR|1MDPS|1VULN|2CDMG|1TLV|1DMG|1DUR	1VULN|29CDMG|3TLV|4DUR|5DMG|6LIT|7BEXP|8RCR|aMDPS
52	13521 62222	   	363.70	DCR|1MDPS|1VULN|1CDMG|2DUR|1TLV|1DMG	14DUR|2CDMG|3TLV|5BEXP|6BOSS|7RCR|8VULN|9DMG|aMDPS
53	13522 62422	   	363.70	DCR|1MDPS|1VULN|1CDMG|2DUR|1TLV|1DMG	14DUR|2CDMG|3TLV|5LWND|6BOSS|7RCR|8VULN|9DMG|aMDPS
54	13523 62222	   	363.70	DCR|1MDPS|1VULN|1CDMG|2DUR|1TLV|1DMG	14DUR|2CDMG|3TLV|5FEWX|6BOSS|7RCR|8VULN|9DMG|aMDPS
55	34611 33321	 * 	360.32	DCR|4VULN|1TLV|1DMG|1DUR	1278VULN|2BPWR|3DMG|4TLV|5RMIN|6BBNT|9RCR|aDUR
56	34624 13321	   	360.32	DCR|4VULN|1TLV|1DMG|1DUR	1246VULN|2BPWR|3DMG|5TLV|7MLV|8BBNT|9RCR|aDUR
57	34613 43321	   	360.22	DCR|4VULN|1TLV|1DMG|1DUR	1278VULN|2BPWR|3DMG|4TLV|5TBNT|6AME|9RCR|aDUR
58	14141 11848	 * 	360.03	DCR|5VULN|2DUR	17DUR|27LSRHEA|3MBVNT|4RPLT|5679aVULN|7BPWR|8RCR
59	33235 14315	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	16VULN|2CDMG|3DUR|4BEXP|5BBNT|7RCR|8DMSP|9BOSS|aMDPS
60	33241 11662	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	14VULN|2CDMG|3DUR|5DUST|6LIT|79BEXP|8RCR|aMDPS
61	33242 11641	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	14VULN|2CDMG|3DUR|5LWND|6LIT|7BEXP|8RCR|9MDPS|aAAC
62	33242 11642	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR|1MSE	14VULN|2CDMG|3DUR|5LWND|6LIT|7BEXP|8RCR|9MDPS|aMSE
63	33242 11643	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	14VULN|2CDMG|3DUR|5LWND|6LIT|7BEXP|8RCR|9MDPS|aERES
64	33242 34315	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	14VULN|2CDMG|3DUR|5LWND|6TBNT|7RCR|8DMSP|9BOSS|aMDPS
65	13314 35221	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2CDMG|3RCVC|4FLTARM|58VULN|6LIT|7RCR|9MDPS|aLHND
66	13314 35222	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2CDMG|3RCVC|4FLTARM|58VULN|6LIT|7RCR|9MDPS|aLEGI
67	13314 35223	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2CDMG|3RCVC|4FLTARM|58VULN|6LIT|7RCR|9MDPS|aBBNT
68	13314 35224	   	358.54	DCR|2VULN|1MDPS|1CDMG|2DUR	1aDUR|2CDMG|3RCVC|4FLTARM|58VULN|6LIT|7RCR|9MDPS
69	13314 35225	   	358.54	DCR|3VULN|1MDPS|1CDMG|1DUR	1DUR|2CDMG|3RCVC|4FLTARM|58aVULN|6LIT|7RCR|9MDPS
70	33241 11641	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	14VULN|2CDMG|3DUR|5DUST|6LIT|7BEXP|8RCR|9MDPS|aAAC
71	33241 11642	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR|1MSE	14VULN|2CDMG|3DUR|5DUST|6LIT|7BEXP|8RCR|9MDPS|aMSE
72	33241 11643	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	14VULN|2CDMG|3DUR|5DUST|6LIT|7BEXP|8RCR|9MDPS|aERES
73	33235 14431	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR|1MSE	16VULN|2CDMG|3DUR|4BEXP|5BBNT|7RCR|8AIRARM|9MSE|aMDPS
74	33242 34431	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR|1MSE	14VULN|2CDMG|3DUR|5LWND|6TBNT|7RCR|8AIRARM|9MSE|aMDPS
75	33242 34132	 * 	358.18	DCR|3VULN|2TLV|2CDMG|1DUR	14aVULN|2aCDMG|3DUR|5LWND|6TBNT|7RCR|8aTLV|9BELT|aBPWR
