0	Index      	 *	Score 	Summary	Detail	
1	51634 73243	 * 	387.28	DCR|3VULN|1MDPS|2DUR	17AIRBOS|2FEWX|37DUR|4MBVNT|567VULN|7BPWR|8RCR|9LSRICY|aMDPS
34	31622 21235	   	362.23	ACR|3VULN|1MDPS|1CDMG|1DUR	1DUST|2DUR|367VULN|4RCR|5CDMG|8LHND|9MDPS|aBEXP
35	31622 21236	   	362.23	ACR|3VULN|1MDPS|1CDMG|1DUR	1DUST|2DUR|367VULN|4RCR|5CDMG|8LHND|9MDPS|aBBNT
36	31622 21331	   	362.23	ACR|3VULN|1MDPS|1CDMG|1DUR	1DUST|2DUR|367VULN|4RCR|5CDMG|8LWND|9MDPS|aRMIN
37	31622 21332	   	362.23	ACR|3VULN|1MDPS|1CDMG|1DUR	1DUST|2DUR|367VULN|4RCR|5CDMG|8LWND|9MDPS|aLHND
38	31622 21333	   	362.23	ACR|3VULN|1MDPS|1CDMG|1DUR	1DUST|2DUR|367VULN|4RCR|5CDMG|8LWND|9MDPS|aAAC
39	31622 21335	   	362.23	ACR|3VULN|1MDPS|1CDMG|1DUR	1aDUST|2DUR|367VULN|4RCR|5CDMG|8LWND|9MDPS
40	31622 21336	   	362.23	ACR|3VULN|1MDPS|1CDMG|1DUR	1DUST|2DUR|367VULN|4RCR|5CDMG|8LWND|9MDPS|aBBNT
41	31622 21611	   	362.23	ACR|3VULN|1MDPS|1CDMG|1DUR	1DUST|2DUR|367VULN|4RCR|5CDMG|8RCVC|9TBNT|aMDPS
42	31622 23354	   	362.23	ACR|3VULN|1MDPS|1CDMG|1DUR	1DUST|2DUR|369VULN|4RCR|5CDMG|7FEWX|8ERES|aMDPS
43	36411 31515	 * 	362.14	DCR|DCR|1MDPS|1CDMG|1TLV|1DUR|1AART	1DUST|2MBVNT|3DUR|4TLV|5ZMB|68RCR|7AART|9CDMG|aMDPS
