0	Index      	 *	Score 	Summary	Detail	
1	12133 22256	 * 	351.16	ACR|2VULN|1MDPS|1TLV|1DMG|1DUR|1AART	1ZMB|2LWND|38VULN|4AART|5RCR|6DUR|7TLV|9DMG|aMDPS
18	24222 33141	 * 	329.88	DCR|1MDPS|1VULN|2CDMG|2DUR	1BOSS|2LIT|35DUR|45CDMG|5BPWR|6VULN|7LHND|8RCR|9MDPS|aLWND
19	24222 33142	   	329.88	DCR|1MDPS|1VULN|2CDMG|2DUR	1BOSS|2LIT|35DUR|45CDMG|5BPWR|6VULN|7LHND|8RCR|9MDPS|aTBNT
20	24222 33143	   	329.88	DCR|1MDPS|1VULN|2CDMG|2DUR	1BOSS|2LIT|35DUR|45CDMG|5BPWR|6VULN|7LHND|8RCR|9MDPS|aDMSP
21	24222 33144	   	329.88	DCR|1MDPS|1VULN|2CDMG|2DUR	1BOSS|2LIT|35DUR|45CDMG|5BPWR|6VULN|7LHND|8RCR|9MDPS|aCGEN
22	24222 33145	   	329.88	DCR|1MDPS|1VULN|2CDMG|2DUR	1BOSS|2LIT|35DUR|45CDMG|5BPWR|6VULN|7aLHND|8RCR|9MDPS
23	24222 33146	   	329.88	DCR|1MDPS|1VULN|2CDMG|2DUR	1BOSS|2LIT|35DUR|45CDMG|5BPWR|6VULN|7LHND|8RCR|9MDPS|aBASARM
24	24222 34141	   	329.88	DCR|1MDPS|1VULN|2CDMG|2DUR	1BOSS|2LIT|35DUR|45CDMG|5BPWR|6VULN|7aLWND|8RCR|9MDPS
25	24222 34142	   	329.88	DCR|1MDPS|1VULN|2CDMG|2DUR	1BOSS|2LIT|35DUR|45CDMG|5BPWR|6VULN|7LWND|8RCR|9MDPS|aAETHUN
26	24222 34143	   	329.88	DCR|1MDPS|1VULN|2CDMG|2DUR	1BOSS|2LIT|35DUR|45CDMG|5BPWR|6VULN|7LWND|8RCR|9MDPS|aASPD
27	24222 32141	   	329.78	DCR|1MDPS|1VULN|2CDMG|2DUR	1BOSS|2LIT|35DUR|45CDMG|5BPWR|6VULN|7DUST|8RCR|9MDPS|aLWND
28	24222 32142	   	329.78	DCR|1MDPS|1VULN|2CDMG|2DUR	1BOSS|2LIT|35DUR|45CDMG|5BPWR|6VULN|7DUST|8RCR|9MDPS|aTBNT
29	24222 32143	   	329.78	DCR|1MDPS|1VULN|2CDMG|2DUR	1BOSS|2LIT|35DUR|45CDMG|5BPWR|6VULN|7DUST|8RCR|9MDPS|aLEGI
30	24222 32144	   	329.78	DCR|1MDPS|1VULN|2CDMG|2DUR	1BOSS|2LIT|35DUR|45CDMG|5BPWR|6VULN|7DUST|8RCR|9MDPS|aCGEN
31	24222 32145	   	329.78	DCR|1MDPS|1VULN|2CDMG|2DUR	1BOSS|2LIT|35DUR|45CDMG|5BPWR|6VULN|7DUST|8RCR|9MDPS|aLHND
32	24222 32146	   	329.78	DCR|1MDPS|1VULN|2CDMG|2DUR	1BOSS|2LIT|35DUR|45CDMG|5BPWR|6VULN|7DUST|8RCR|9MDPS|aRMIN
33	13151 43224	 * 	328.64	DCR|3VULN|1CDMG|1TLV|1DUR	1ZMB|2FEWX|389VULN|4ERES|5DUR|6CDMG|7TLV|aRCR
34	32655 31132	 * 	325.33	DCR|DCR|2VULN|1MDPS|1DUR|1AART	1FLTHEA|2MDPS|3LWND|4aVULN|5AART|6TBNT|7DUR|89RCR
35	12133 23356	   	324.96	ACR|2VULN|1MDPS|1DMG|1DUR|1AART	1ZMB|2LWND|37VULN|4AART|5RCR|6DUR|8CGEN|9DMG|aMDPS
36	36233 24331	   	323.64	DCR|1MDPS|1VULN|1TLV|1DMG|1DUR	1FLTHEA|2FEWX|3DMG|4VULN|5TLV|6DUR|7BOSS|8DUST|9RCR|aMDPS
37	36233 62121	   	323.64	DCR|1MDPS|1VULN|1TLV|1DMG|1DUR	1FLTHEA|2FEWX|3DMG|4VULN|5TLV|6LWND|7DUR|8RCR|9MDPS|aASPD
38	36233 62122	   	323.64	DCR|1MDPS|1VULN|1TLV|1DMG|1DUR	1FLTHEA|2FEWX|3DMG|4VULN|5TLV|6LWND|7DUR|8RCR|9MDPS|aDUST
39	36233 62123	   	323.64	DCR|1MDPS|1VULN|1TLV|1DMG|1DUR	1FLTHEA|2FEWX|3DMG|4VULN|5TLV|6LWND|7DUR|8RCR|9MDPS|aDMSP
40	36233 62124	   	323.64	DCR|1MDPS|1VULN|1TLV|1DMG|1DUR	1FLTHEA|2FEWX|3DMG|4VULN|5TLV|6LWND|7DUR|8RCR|9MDPS|aBBNT
41	36233 62125	   	323.64	DCR|1MDPS|1VULN|1TLV|1DMG|1DUR	1FLTHEA|2FEWX|3DMG|4VULN|5TLV|6LWND|7DUR|8RCR|9MDPS|aAEWIND
42	36233 62126	   	323.64	DCR|1MDPS|1VULN|1TLV|1DMG|1DUR	1FLTHEA|2FEWX|3DMG|4VULN|5TLV|6LWND|7DUR|8RCR|9MDPS|aBASICY
43	24225 31325	 * 	322.60	3VULN|1MDPS|1CDMG|1DMG|1DUR	1BOSS|2LIT|3DUR|4CDMG|5DMG|679VULN|8LWND|aMDPS
44	24225 31152	   	322.50	3VULN|1MDPS|1CDMG|1DMG|1DUR	1BOSS|2LIT|3DUR|4CDMG|5DMG|679VULN|8AEWIND|aMDPS
45	34213 44231	 * 	322.19	DCR|2MDPS|1VULN|1CDMG|1DUR	1FLTHEA|2AEBURN|3DUR|4BOSS|5ZMB|6RCR|7CDMG|8aMDPS|9VULN
46	65252 23132	 * 	321.20	DCR|3VULN|1MDPS|1TLV|1DMG|1DUR	1MDPS|2FRZARM|347VULN|5DUST|6DUR|8RCR|9TLV|aDMG
