0	Index      	 *	Score 	Summary	Detail	
1	22323 63553	 * 	268.89	橙橙2伤害1易伤1攻速	14金币生成2攻速3挖尘5最后敌人6a核78伤害9易伤
18	13236 11356	   	247.42	橙橙1易伤1伤害1全技能	1赏金邻近2全技能3基地爆炸4易伤57金币生成6伤害8a核9低血量敌人
19	13133 11346	   	247.32	橙橙1易伤1伤害1全技能	1赏金邻近2全技能37金币生成4基地爆炸5挖青6伤害8a核9易伤
20	13133 15346	   	247.32	橙橙1易伤1伤害1全技能	1赏金邻近2全技能3金币生成47基地爆炸5挖青6伤害8a核9易伤
21	13153 11346	   	247.32	橙橙1易伤1伤害1全技能	1赏金邻近2全技能37金币生成4敌人爆炸5挖青6伤害8a核9易伤
22	13224 33346	   	247.32	橙橙1易伤1伤害1全技能	1赏金邻近2全技能3基地爆炸4等级5掉矿6伤害7金币生成8a核9易伤
23	23242 47462	   	247.07	橙橙1易伤1伤害1全技能1策反	1金币生成2低血量敌人3加一4全技能5伤害6策反7易伤8a核9技能
24	43242 47462	   	247.07	橙橙1易伤1伤害1全技能1策反	1等级2低血量敌人3加一4全技能5伤害6策反7易伤8a核9技能
25	11462 41337	   	245.86	橙橙1易伤1伤害	1赏金邻近2技能点3加一4时间5伤害6易伤7a核8基地爆炸9寒冰对甲
26	23233 24681	 * 	245.83	紫橙2易伤1矿等1攻速1卖塔	1金币生成2低血量敌人3加一4卖塔5a核69易伤7矿等8攻速
27	24233 24141	 * 	245.73	紫橙2易伤1矿等1攻速1卖塔	1金币生成2挖青3加一4卖塔5a核68易伤7矿等9攻速
28	24233 24681	 * 	245.73	紫橙2易伤1矿等1攻速1卖塔	1金币生成2挖青3加一4卖塔5a核69易伤7矿等8攻速
29	23211 44117	 * 	243.80	橙橙2易伤	1金币生成2低血量敌人3加一4最后敌人58易伤6雷电7a核9等级
30	23211 48717	   	243.80	橙橙2易伤	1金币生成2低血量敌人3加一4最后敌人57易伤6雷电8a核9等级
31	23274 44117	   	243.80	橙橙2易伤	1金币生成2低血量敌人3加一48易伤5最后敌人6雷电7a核9等级
32	26241 44117	   	243.80	橙橙2易伤	1金币生成2最后敌人3加一4低血量敌人58易伤6雷电7a核9等级
33	43211 44827	   	243.80	橙橙2易伤	1等级2低血量敌人3加一4最后敌人58易伤6雷电7a核9金币生成
34	43211 44837	   	243.80	橙橙2易伤	1等级2低血量敌人3加一4最后敌人58易伤6雷电7a核9随机矿
35	22314 61353	   	243.70	橙橙1易伤2攻速	1金币生成28攻速3挖尘4最后敌人5立即金币6a核7技能9易伤
36	22323 61353	   	243.70	橙橙1易伤2攻速	14金币生成28攻速3挖尘5最后敌人6a核7技能9易伤
37	22323 61543	   	243.70	橙橙1易伤2攻速	14金币生成29攻速3挖尘5最后敌人6a核7技能8易伤
38	34231 44117	   	243.60	橙橙2易伤	1掉矿2挖青3加一4低血量敌人58易伤6雷电7a核9等级
39	22613 61343	   	243.60	橙橙1易伤2攻速	1金币生成28攻速3激光减费4易伤5最后敌人6a核7技能9挖尘
40	14232 32222	 * 	242.49	橙3易伤2伤害1暴击1攻速1卖塔	1赏金邻近269易伤3攻速4低血量敌人56伤害6序列升级7卖塔8暴击a核
41	14232 33132	 * 	241.54	橙3易伤2伤害2攻速	1赏金邻近269易伤39攻速4低血量敌人56伤害69序列升级79技能点8双倍矿a核
42	14232 33322	   	241.44	橙3易伤2伤害2攻速	1赏金邻近269易伤38攻速4低血量敌人56伤害6序列升级7技能点a核
43	22361 31346	   	240.80	橙橙1易伤1攻速1全技能	1金币生成2攻速35挖尘4全技能6低血量敌人7赏金邻近8a核9易伤
