0	Index      	 *	Score 	Summary	Detail	
1	23111 41223	 * 	271.45	DCR|DCR|2VULN|1DMG|1MLV	1TBNT|2ERES|3MDPS|4ASPD|5MLV|6DMG|7aRCR|89VULN
49	24131 51253	   	249.63	DCR|DCR|2VULN|1DUR|1AAC	1TBNT|2BEXP|38VULN|4ASPD|5AAC|6DUR|7aRCR|9LHND
50	24131 51623	   	249.53	DCR|DCR|2VULN|1DUR|1AAC	1TBNT|2BEXP|39VULN|4ASPD|5AAC|6DUR|7aRCR|8AETHUN
51	24131 61223	   	249.53	DCR|DCR|2VULN|1DUR|1AAC	1TBNT|2BEXP|38VULN|4ASPD|5AAC|6AETHUN|7aRCR|9DUR
52	11342 31423	   	249.00	DCR|DCR|2VULN|1DMG	1FEWX|29DUST|3aVULN|4DMG|5RCVC|68RCR|7RAT
53	61342 31423	   	249.00	DCR|DCR|2VULN|1DMG	1BEXP|29DUST|3aVULN|4DMG|5RCVC|68RCR|7RAT
54	11343 31423	   	248.90	DCR|DCR|2VULN|1DMG	1FEWX|29DUST|3aVULN|4DMG|5AEFRZ|68RCR|7RAT
55	11345 31423	   	248.90	DCR|DCR|2VULN|1DMG	1FEWX|29DUST|3aVULN|4DMG|5AEBURN|68RCR|7RAT
56	61343 31423	   	248.90	DCR|DCR|2VULN|1DMG	1BEXP|29DUST|3aVULN|4DMG|5AEFRZ|68RCR|7RAT
57	23146 41223	   	248.80	DCR|DCR|2VULN|1DMG|1AAC	1TBNT|2ERES|3MDPS|4AAC|5AME|6DMG|7aRCR|89VULN
58	43225 23122	 * 	246.98	DCR|3VULN|3TLV|2DMG	14aTLV|2MGNSTR|36aVULN|5RAT|7CGEN|8RCR|9aDMG|aBPWR
59	43235 33122	   	246.98	DCR|3VULN|3TLV|2DMG	16aTLV|2MGNSTR|34aVULN|5RAT|7CGEN|8RCR|9aDMG|aBPWR
60	52222 53511	 * 	245.84	DCR|3VULN|1FLTARM|1TLV|1DUR|1CDMG	1BOSS|2DUR|3FLTARM|4CDMG|5BELT|678VULN|9TLV|aRCR
61	24141 41212	 * 	245.43	DCR|3VULN|2DMG|2MLV|1DUR	1TBNT|29BEXP|389VULN|4DUR|5aMLV|69DMG|7RCR|9BPWR
62	43236 62221	   	245.22	DCR|4VULN|1TLV|1DMG|1AART	1TLV|2MGNSTR|3467VULN|5AART|8BEXP|9RCR|aDMG
63	23111 41253	   	245.14	DCR|DCR|1VULN|1DMG|1MLV	1TBNT|2ERES|3MDPS|4ASPD|5MLV|6DMG|7aRCR|8VULN|9AEFRZ
64	23111 41653	   	245.14	DCR|DCR|1VULN|1DMG|1MLV	1TBNT|2ERES|3MDPS|4ASPD|5MLV|6DMG|7aRCR|8AEWIND|9VULN
65	43236 62321	   	245.12	DCR|4VULN|1TLV|1DMG|1AART	1TLV|2MGNSTR|3467VULN|5AART|8DUST|9RCR|aDMG
66	35114 12325	   	244.21	DCR|DCR|1FLTARM|1DMG|1AART|1CDMG|1AAC	1CGEN|2AAC|3LEGI|4CDMG|5TBNT|6DMG|7AART|8aRCR|9FLTARM
67	35116 12325	   	244.21	DCR|DCR|1FLTARM|1DMG|1AART|1CDMG|1AAC	1CGEN|2AAC|3LEGI|4CDMG|5BBNT|6DMG|7AART|8aRCR|9FLTARM
68	11342 35143	   	243.39	DCR|DCR|1VULN|1DMG|1DUR	1FEWX|2DUST|3VULN|4DMG|5RCVC|6aRCR|7TBNT|8ASPD|9DUR
69	11343 35143	   	243.29	DCR|DCR|1VULN|1DMG|1DUR	1FEWX|2DUST|3VULN|4DMG|5AEFRZ|6aRCR|7TBNT|8ASPD|9DUR
70	15223 22342	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1FEWX|2LWND|3TBNT|4VULN|5BEXP|6DUR|79RCR|8TLV|aRMIN
71	15223 22343	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1FEWX|2LWND|3TBNT|4VULN|5BEXP|6DUR|79RCR|8TLV|aRCVC
72	15243 32342	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1FEWX|2LWND|3TBNT|4DUR|5BEXP|6VULN|79RCR|8TLV|aRMIN
73	15243 32343	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1FEWX|2LWND|3TBNT|4DUR|5BEXP|6VULN|79RCR|8TLV|aRCVC
74	65223 22342	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1BEXP|2LWND|3TBNT|4VULN|5FEWX|6DUR|79RCR|8TLV|aRMIN
75	65223 22343	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1BEXP|2LWND|3TBNT|4VULN|5FEWX|6DUR|79RCR|8TLV|aRCVC
76	24126 61433	   	242.59	DCR|DCR|2VULN|1DUR	1TBNT|2BEXP|34VULN|5MBVNT|6DUR|7aRCR|8DMSP|9LWND
77	24126 61443	   	242.59	DCR|DCR|2VULN|1DUR	1TBNT|2BEXP|34VULN|5MBVNT|6DUR|7aRCR|8DMSP|9LHND
78	24142 31433	   	242.59	DCR|DCR|2VULN|1DUR	1TBNT|2BEXP|36VULN|4DUR|5MBVNT|7aRCR|8DMSP|9LWND
79	24142 31443	   	242.59	DCR|DCR|2VULN|1DUR	1TBNT|2BEXP|36VULN|4DUR|5MBVNT|7aRCR|8DMSP|9LHND
80	24142 31833	   	242.59	DCR|DCR|2VULN|1DUR	1TBNT|28BEXP|36VULN|4DUR|5MBVNT|7aRCR|9LWND
81	24142 31843	   	242.59	DCR|DCR|2VULN|1DUR	1TBNT|28BEXP|36VULN|4DUR|5MBVNT|7aRCR|9LHND
82	24152 31253	   	242.59	DCR|DCR|2VULN|1DUR	1TBNT|26BEXP|38VULN|4LHND|5MBVNT|7aRCR|9DUR
83	64222 31253	   	242.59	DCR|DCR|2VULN|1DUR	16BEXP|2LHND|3TBNT|48VULN|5MBVNT|7aRCR|9DUR
84	65222 31253	   	242.59	DCR|DCR|2VULN|1DUR	16BEXP|2LWND|3TBNT|48VULN|5MBVNT|7aRCR|9DUR
85	15223 22341	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1FEWX|2LWND|3TBNT|4VULN|5BEXP|6DUR|79RCR|8TLV|aMDPS
86	15223 22346	   	242.59	DCR|DCR|1VULN|1TLV|1DUR|1MSE	1FEWX|2LWND|3TBNT|4VULN|5BEXP|6DUR|79RCR|8TLV|aMSE
87	15243 32341	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1FEWX|2LWND|3TBNT|4DUR|5BEXP|6VULN|79RCR|8TLV|aMDPS
88	24143 12342	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1TBNT|2BEXP|3VULN|4DUR|5FEWX|6DUST|79RCR|8TLV|aRMIN
89	32223 33631	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG	1CGEN|2FEWX|3TLV|4MBVNT|5RMIN|6VULN|79RCR|8LSRICY|aCDMG
90	32633 12344	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2FEWX|3DUR|4RMIN|5MDPS|6BBNT|79RCR|8TLV|aVULN
91	65223 22341	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1BEXP|2LWND|3TBNT|4VULN|5FEWX|6DUR|79RCR|8TLV|aMDPS
92	24142 31163	   	242.49	DCR|DCR|2VULN|1DUR	1TBNT|2BEXP|36VULN|4DUR|5MBVNT|7aRCR|8FEWX|9AEFRZ
93	24142 31183	   	242.49	DCR|DCR|2VULN|1DUR	1TBNT|2BEXP|36VULN|4DUR|5MBVNT|7aRCR|8FEWX|9AEWIND
94	24142 31483	   	242.49	DCR|DCR|2VULN|1DUR	1TBNT|2BEXP|36VULN|4DUR|5MBVNT|7aRCR|8DMSP|9AETHUN
95	24142 31633	   	242.49	DCR|DCR|2VULN|1DUR	1TBNT|2BEXP|36VULN|4DUR|5MBVNT|7aRCR|8AEPOI|9LWND
96	24142 31643	   	242.49	DCR|DCR|2VULN|1DUR	1TBNT|2BEXP|36VULN|4DUR|5MBVNT|7aRCR|8AEPOI|9LHND
97	11243 22344	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	15FEWX|2DUST|3TBNT|4DUR|6MDPS|79RCR|8TLV|aVULN
98	22531 22344	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1TBNT|2AEBURN|3FEWX|4DUR|5BEXP|6MDPS|79RCR|8TLV|aVULN
99	24143 12341	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1TBNT|2BEXP|3VULN|4DUR|5FEWX|6DUST|79RCR|8TLV|aMDPS
100	24162 11253	   	242.39	DCR|DCR|2VULN|1DUR	1TBNT|2BEXP|38VULN|46DUST|5MBVNT|7aRCR|9DUR
101	61222 11253	   	242.39	DCR|DCR|2VULN|1DUR	1BEXP|26DUST|3TBNT|48VULN|5MBVNT|7aRCR|9DUR
102	43233 21434	 * 	241.49	ACR|DCR|2VULN|1TLV|1DMG	1TLV|2MGNSTR|34VULN|5aRCR|6BELT|7DMG|8RAT|9LIT
