0	Index      	 *	Score 	Summary	Detail	
1	15322 13266	 * 	258.10	DCR|DCR|2VULN|1MLV|1CDMG	1BEXP|2MDPS|35VULN|4CDMG|6ERES|79RCR|8BLASTR|aMLV
25	31621 22441	 * 	236.65	DCR|DCR|1VULN|1DMG|1CDMG	1RAT|25RMIN|3ZMB|4DMG|6CDMG|7VULN|89RCR|aDMSP
26	31621 22442	   	236.65	DCR|DCR|1VULN|1DMG|1CDMG	1RAT|25RMIN|3ZMB|4DMG|6CDMG|7VULN|89RCR|aBEXP
27	32522 22441	   	236.65	DCR|DCR|1VULN|1DMG|1CDMG	13RAT|2DMG|4ZMB|5CGEN|6CDMG|7VULN|89RCR|aDMSP
28	32522 22442	   	236.65	DCR|DCR|1VULN|1DMG|1CDMG	13RAT|2DMG|4ZMB|5CGEN|6CDMG|7VULN|89RCR|aBEXP
29	31621 22443	   	236.55	DCR|DCR|1VULN|1DMG|1CDMG	1RAT|25RMIN|3ZMB|4DMG|6CDMG|7VULN|89RCR|aAEBURN
30	32522 22443	   	236.55	DCR|DCR|1VULN|1DMG|1CDMG	13RAT|2DMG|4ZMB|5CGEN|6CDMG|7VULN|89RCR|aAEBURN
31	32612 22441	   	236.55	DCR|DCR|1VULN|1DMG|1CDMG	1RAT|2DMG|3ZMB|4AEBURN|5CGEN|6CDMG|7VULN|89RCR|aDMSP
32	32612 22442	   	236.55	DCR|DCR|1VULN|1DMG|1CDMG	1RAT|2DMG|3ZMB|4AEBURN|5CGEN|6CDMG|7VULN|89RCR|aBEXP
33	42452 12222	   	236.55	DCR|DCR|1VULN|1DMG|1DUR	1SPLREG|2LIT|3DUR|4DMSP|5BELT|67RCR|8ZMB|9VULN|aDMG
34	32612 22443	   	236.45	DCR|DCR|1VULN|1DMG|1CDMG	1RAT|2DMG|3ZMB|4aAEBURN|5CGEN|6CDMG|7VULN|89RCR
35	26423 12331	 * 	236.07	ACR|DCR|1VULN|1TLV|1DUR|1AART|1CDMG	1CGEN|2DMSP|3VULN|48RCR|5CDMG|6AART|7TBNT|9DUR|aTLV
36	52215 25312	   	235.98	DCR|DCR|1VULN|1FLTARM	1LIT|2ERES|3RCVC|4VULN|5CGEN|6ASPD|79RCR|8FLTARM|aBELT
37	52235 25312	   	235.98	DCR|DCR|1VULN|1FLTARM	1LIT|2ERES|3RCVC|4CGEN|5VULN|6ASPD|79RCR|8FLTARM|aBELT
38	24423 12331	   	235.97	ACR|DCR|1VULN|1TLV|1DUR|1AART|1CDMG	1CGEN|2AEFRZ|3VULN|48RCR|5CDMG|6AART|7TBNT|9DUR|aTLV
39	52215 25311	   	235.88	DCR|DCR|1VULN|1FLTARM	1LIT|2ERES|3RCVC|4VULN|5CGEN|6ASPD|79RCR|8FLTARM|aFLTFST
40	52215 25313	   	235.88	DCR|DCR|1VULN|1FLTARM|1MSE	1LIT|2ERES|3RCVC|4VULN|5CGEN|6ASPD|79RCR|8FLTARM|aMSE
41	52235 25311	   	235.88	DCR|DCR|1VULN|1FLTARM	1LIT|2ERES|3RCVC|4CGEN|5VULN|6ASPD|79RCR|8FLTARM|aFLTFST
42	52235 25313	   	235.88	DCR|DCR|1VULN|1FLTARM|1MSE	1LIT|2ERES|3RCVC|4CGEN|5VULN|6ASPD|79RCR|8FLTARM|aMSE
43	23253 43361	 * 	235.07	ACR|DCR|2VULN|1TLV|1AART	1CGEN|2LHND|38RCR|4BELT|57VULN|6RPLT|9TLV|aAART
44	63434 26311	 * 	233.95	DCR|2VULN|2DMG|2DUR|1TLV|1AAC	1LEGI|2AAC|3MBVNT|4aVULN|5TLV|6RPLT|7aDMG|8aDUR|9RCR|aBPWR
45	33212 61222	 * 	233.68	DCR|DCR|2TLV|1FLTARM	19RAT|2MDPS|39LHND|4CGEN|5FLTARM|6aRCR|79TLV|8RCVC|9BPWR
46	33212 62522	   	233.68	DCR|DCR|2TLV|1FLTARM	19RAT|2MDPS|39LHND|47CGEN|5FLTARM|6aRCR|89TLV|9BPWR
47	33512 62522	   	233.68	DCR|DCR|2TLV|1FLTARM	19RAT|2MDPS|39BEXP|47CGEN|5FLTARM|6aRCR|89TLV|9BPWR
48	33212 63522	   	233.58	DCR|DCR|2TLV|1FLTARM	19RAT|2MDPS|3LHND|49CGEN|5FLTARM|6aRCR|7AEFBLL|89TLV|9BPWR
49	33512 63522	   	233.58	DCR|DCR|2TLV|1FLTARM	19RAT|2MDPS|3BEXP|49CGEN|5FLTARM|6aRCR|7AEFBLL|89TLV|9BPWR
50	33212 61212	   	233.48	DCR|DCR|2TLV|1FLTARM	1RAT|2MDPS|3LHND|4CGEN|5FLTARM|6aRCR|79TLV|8RCVC
51	33212 62512	   	233.48	DCR|DCR|2TLV|1FLTARM	1RAT|2MDPS|3LHND|47CGEN|5FLTARM|6aRCR|89TLV
52	33512 62512	   	233.48	DCR|DCR|2TLV|1FLTARM	1RAT|2MDPS|3BEXP|47CGEN|5FLTARM|6aRCR|89TLV
53	33212 61312	   	233.38	DCR|DCR|2TLV|1FLTARM	1RAT|2MDPS|3LHND|4CGEN|5FLTARM|6aRCR|79TLV|8AEFRZ
54	33212 63512	   	233.38	DCR|DCR|2TLV|1FLTARM	1RAT|2MDPS|3LHND|4CGEN|5FLTARM|6aRCR|7AEFBLL|89TLV
55	33512 63512	   	233.38	DCR|DCR|2TLV|1FLTARM	1RAT|2MDPS|3BEXP|4CGEN|5FLTARM|6aRCR|7AEFBLL|89TLV
56	32224 61232	   	233.07	DCR|2VULN|1TLV|1DMG|1MLV|1DUR|1CDMG	1RAT|2DMG|3DUR|49VULN|5CDMG|6MLV|7RCR|8AME|aTLV
57	32224 61332	   	233.07	DCR|2VULN|1TLV|1DMG|1MLV|1DUR|1CDMG	1RAT|2DMG|3DUR|49VULN|5CDMG|6MLV|7RCR|8ERES|aTLV
58	21346 32136	   	232.42	DCR|DCR|2DUR|2CDMG|1MLV	1CGEN|29DUR|3LHND|46CDMG|5MLV|7AEFBLL|8aRCR
59	33432 63342	   	231.89	DCR|DCR|1VULN|1MLV|1DUR	1RAT|2MDPS|3MLV|4AIRARM|5DUST|6aRCR|7DUR|8VULN|9CGEN
60	33432 65232	   	231.89	DCR|DCR|1VULN|1MLV|1DUR	1RAT|2MDPS|3MLV|4AIRARM|5DUST|6aRCR|7RMIN|8DUR|9VULN
61	42322 14353	 * 	231.47	DCR|4VULN|1TLV|1DMG	1SPLREG|23LIT|4DMG|5TLV|679aVULN|8RCR
62	32224 34136	 * 	231.09	DCR|3VULN|2DMG|1DUR|1CDMG	1RAT|28DMG|3DUR|479VULN|5CDMG|6RMIN|aRCR
63	32233 24542	 * 	230.87	DCR|3DUR|1VULN|1TLV|1DMG|1MLV|1AAC	1RAT|2DMG|358DUR|4TLV|6VULN|7MLV|9RCR|aAAC
64	21451 43312	   	230.66	DCR|DCR|1TLV|1DMG|1DUR	1CGEN|2DUR|3MSLFST|4DMG|57LIT|6TLV|89RCR|aBELT
65	21451 43311	   	230.56	DCR|DCR|1TLV|1DMG|1DUR	1CGEN|2DUR|3MSLFST|4DMG|57LIT|6TLV|89RCR|aTSLFST
66	21451 43313	   	230.56	DCR|DCR|1TLV|1DMG|1DUR|1MSE	1CGEN|2DUR|3MSLFST|4DMG|57LIT|6TLV|89RCR|aMSE
67	22341 61216	   	230.24	DCR|DCR|1VULN|1DUR|1CDMG	1CGEN|2FEWX|3LHND|4CDMG|59DMSP|6VULN|7aRCR|8DUR
68	22343 61216	   	230.24	DCR|DCR|1VULN|1DUR|1CDMG	1CGEN|2FEWX|35LHND|4CDMG|6VULN|7aRCR|8DUR|9DMSP
69	26431 11216	   	230.24	DCR|DCR|1VULN|1DUR|1CDMG	1CGEN|29DMSP|3VULN|4CDMG|5BEXP|6LHND|7aRCR|8DUR
70	22342 61216	   	230.14	DCR|DCR|1VULN|1DUR|1CDMG	1CGEN|2FEWX|3LHND|4CDMG|5AEBURN|6VULN|7aRCR|8DUR|9DMSP
71	24431 11216	   	230.14	DCR|DCR|1VULN|1DUR|1CDMG	1CGEN|2AEFRZ|3VULN|4CDMG|5BEXP|6LHND|7aRCR|8DUR|9DMSP
72	41516 31312	   	229.99	DCR|DCR|2DUR|1TLV	1SPLREG|2CGEN|3LIT|4TLV|57DUR|6ASPD|89RCR|aBELT
73	21411 41315	   	229.99	DCR|DCR|2DUR|1TLV	1CGEN|27DUR|3MSLFST|4ZMB|5LIT|6TLV|89RCR|aASPD
74	16241 34553	   	229.94	DCR|DCR|1VULN|1DUR|1CDMG	1BEXP|2MBVNT|3ERES|4MSLREG|5DUR|68RCR|7ZMB|9CDMG|aVULN
75	12643 23261	   	229.89	DCR|DCR|1VULN|1DUR|1CDMG|1SELL	1BEXP|2CGEN|3SELL|4VULN|5DUR|6LHND|79RCR|8BLASTR|aCDMG
76	41516 31311	   	229.89	DCR|DCR|2DUR|1TLV	1SPLREG|2CGEN|3LIT|4TLV|57DUR|6ASPD|89RCR|aTSLFST
77	41516 31313	   	229.89	DCR|DCR|2DUR|1TLV|1MSE	1SPLREG|2CGEN|3LIT|4TLV|57DUR|6ASPD|89RCR|aMSE
78	11643 23261	   	229.79	DCR|DCR|1VULN|1DUR|1CDMG|1SELL	1BEXP|2ERES|3SELL|4VULN|5DUR|6LHND|79RCR|8BLASTR|aCDMG
79	32224 61231	   	229.00	DCR|3VULN|1DMG|1MLV|1DUR|1CDMG	1RAT|2DMG|3DUR|49aVULN|5CDMG|6MLV|7RCR|8AME
80	32224 61331	   	229.00	DCR|3VULN|1DMG|1MLV|1DUR|1CDMG	1RAT|2DMG|3DUR|49aVULN|5CDMG|6MLV|7RCR|8ERES
81	12641 11226	   	229.00	DCR|DCR|1VULN|2DUR|1SELL	19BEXP|29CGEN|3SELL|4VULN|5DMSP|6LHND|7aRCR|89DUR|9BPWR
82	22641 11226	   	229.00	DCR|DCR|1VULN|2DUR|1SELL	19CGEN|29FEWX|3SELL|4VULN|5DMSP|6LHND|7aRCR|89DUR|9BPWR
83	23643 21226	   	229.00	DCR|DCR|1VULN|2DUR|1SELL	19CGEN|29LHND|3SELL|4VULN|5RCVC|6FEWX|7aRCR|89DUR|9BPWR
84	31113 32352	   	228.84	DCR|DCR|1VULN|2DUR	1RAT|2RMIN|3ERES|4BBNT|56DUR|7aRCR|8VULN|9VENTOX
85	42153 23252	 * 	228.84	DCR|DCR|1VULN|1TLV	1SPLREG|2LIT|3DUST|4DMSP|5SNIFST|6LWND|7TLV|89RCR|aVULN
86	11641 11226	   	228.80	DCR|DCR|1VULN|2DUR|1SELL	19BEXP|29ERES|3SELL|4VULN|5DMSP|6LHND|7aRCR|89DUR|9BPWR
87	16241 34548	   	228.74	DCR|DCR|1VULN|2DUR	1BEXP|2MBVNT|3ERES|4MSLREG|59DUR|68RCR|7ZMB|aVULN
88	41512 12314	   	228.54	DCR|DCR|1TLV|1DUR|1NUKE	1SPLREG|2CGEN|3LIT|4TLV|5BELT|67RCR|8DUR|9ASPD|aNUKE
89	23253 43362	   	228.36	ACR|DCR|2VULN|1TLV	1CGEN|2LHND|38RCR|4BELT|57VULN|6RPLT|9TLV|aASPD
