0	Index      	 *	Score 	Summary	Detail	
1	32631 26531	 * 	266.69	DCR|DCR|2DMG|1VULN|2DUR	1AEFBLL|2aDUR|3FLTHEA|4VULN|5aZMB|68RCR|7LIT|9aDMG|aBPWR
30	32313 46215	   	244.34	DCR|DCR|1VULN|2DUR|1MLV	1AEFBLL|23DUR|4ERES|5VENICY|68RCR|7VULN|9FRZARM|aMLV
31	32313 46226	   	244.34	DCR|DCR|1VULN|2DUR|1MLV	1AEFBLL|23DUR|4ERES|5VENICY|68RCR|7VULN|9BEXP|aMLV
32	13222 54123	   	243.74	DCR|3VULN|2DMG|1TLV|1AART	14aVULN|2aFEWX|3RPLT|5ERES|6RCR|7TLV|8AART|9aDMG|aBPWR
33	15222 54123	   	243.74	DCR|3VULN|2DMG|1TLV|1AART	14aVULN|2aLHND|3RPLT|5ERES|6RCR|7TLV|8AART|9aDMG|aBPWR
34	11112 23613	   	243.64	DCR|3VULN|2DMG|1TLV|1DUR	127VULN|2BPWR|3DUR|4LHND|59DMG|6TLV|8RCR|aRCVC
35	11112 23614	   	243.64	DCR|3VULN|2DMG|1TLV|1DUR	127VULN|2BPWR|3DUR|4aLHND|59DMG|6TLV|8RCR
36	11112 23615	   	243.64	DCR|3VULN|2DMG|1TLV|1DUR	127VULN|2BPWR|3DUR|4LHND|59DMG|6TLV|8RCR|aLIT
37	11625 23613	   	243.64	DCR|3VULN|2DMG|1TLV|1DUR	123VULN|23BPWR|4DUR|59DMG|6LHND|7TLV|8RCR|aRCVC
38	11142 23613	   	243.54	DCR|3VULN|2DMG|1TLV|1DUR	127VULN|2BPWR|3DUR|4DUST|59DMG|6TLV|8RCR|aRCVC
39	11142 23614	   	243.54	DCR|3VULN|2DMG|1TLV|1DUR	127VULN|2BPWR|3DUR|4DUST|59DMG|6TLV|8RCR|aLHND
40	11622 25242	 * 	243.54	DCR|3VULN|3DUR|1TLV|1CDMG	123VULN|23BPWR|47aDUR|5CDMG|6TLV|8LHND|9RCR
41	11625 33613	   	243.54	DCR|3VULN|2DMG|1TLV|1DUR	123VULN|23BPWR|4DUR|59DMG|6DUST|7TLV|8RCR|aRCVC
42	63243 23613	   	243.54	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|29DMG|347VULN|5DUST|6TLV|8RCR|aRCVC
43	63223 23615	   	243.54	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|29DMG|37aVULN|4DMSP|5DUST|6TLV|8RCR
44	11112 23612	   	243.54	DCR|3VULN|2DMG|1TLV|1DUR	127VULN|2BPWR|3DUR|4LHND|59DMG|6TLV|8RCR|aBBNT
45	11625 23612	   	243.54	DCR|3VULN|2DMG|1TLV|1DUR	123VULN|23BPWR|4DUR|59DMG|6LHND|7TLV|8RCR|aBBNT
46	43114 23361	   	243.47	DCR|2VULN|3DMG|1TLV|2CDMG|1MSE	127DMG|37CDMG|47VULN|5BELT|6MDPS|7BPWR|8TLV|9RCR|aMSE
47	43114 23362	   	243.47	DCR|2VULN|3DMG|1TLV|2CDMG	127DMG|37CDMG|47VULN|5BELT|6MDPS|7BPWR|8TLV|9RCR|aBBNT
48	11142 23612	   	243.44	DCR|3VULN|2DMG|1TLV|1DUR	127VULN|2BPWR|3DUR|4DUST|59DMG|6TLV|8RCR|aBBNT
49	11625 33612	   	243.44	DCR|3VULN|2DMG|1TLV|1DUR	123VULN|23BPWR|4DUR|59DMG|6DUST|7TLV|8RCR|aBBNT
50	63241 21531	   	243.44	DCR|3VULN|2DMG|1TLV|1DUR|1NUKE	1DUR|26DMG|346VULN|5NUKE|6BPWR|7BBNT|8RCR|9TBNT|aTLV
51	63243 23612	   	243.44	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|29DMG|347VULN|5DUST|6TLV|8RCR|aBBNT
52	11621 21153	 * 	243.11	DCR|4VULN|3DUR|1DMG	1237VULN|237BPWR|467DUR|57LIT|8LWND|9DMG|aRCR
53	11621 21353	   	243.11	DCR|4VULN|3DUR|1DMG	1237VULN|237BPWR|467DUR|57LIT|8BEXP|9DMG|aRCR
54	11621 21433	   	243.11	DCR|4VULN|3DUR|1DMG	1237VULN|237BPWR|467DUR|57LIT|8DMG|9LWND|aRCR
55	11621 21653	   	243.11	DCR|4VULN|3DUR|1DMG	1237VULN|237BPWR|467DUR|57LIT|8FEWX|9DMG|aRCR
56	11623 31153	   	243.11	DCR|4VULN|3DUR|1DMG	1237VULN|237BPWR|457DUR|67LIT|8LWND|9DMG|aRCR
57	11623 31353	   	243.11	DCR|4VULN|3DUR|1DMG	1237VULN|237BPWR|457DUR|67LIT|8BEXP|9DMG|aRCR
58	11623 31433	   	243.11	DCR|4VULN|3DUR|1DMG	1237VULN|237BPWR|457DUR|67LIT|8DMG|9LWND|aRCR
59	11623 31653	   	243.11	DCR|4VULN|3DUR|1DMG	1237VULN|237BPWR|457DUR|67LIT|8FEWX|9DMG|aRCR
60	11621 21553	   	243.01	DCR|4VULN|3DUR|1DMG	1237VULN|237BPWR|467DUR|57LIT|8DUST|9DMG|aRCR
61	11623 31553	   	243.01	DCR|4VULN|3DUR|1DMG	1237VULN|237BPWR|457DUR|67LIT|8DUST|9DMG|aRCR
62	13222 52266	   	242.59	DCR|DCR|2VULN|1AART	14VULN|27FEWX|3RPLT|5ERES|6aRCR|8AEFRZ|9AART
63	32631 26511	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1AEFBLL|2DUR|3FLTHEA|4VULN|59ZMB|68RCR|7LIT|aTLV
64	32313 46231	   	242.39	DCR|DCR|1VULN|2DUR|1CDMG	1AEFBLL|23DUR|4ERES|5VENICY|68RCR|7VULN|9CDMG|aRMIN
65	32313 46233	   	242.39	DCR|DCR|1VULN|2DUR|1CDMG	1AEFBLL|23DUR|4ERES|5VENICY|68RCR|7VULN|9CDMG|aFEWX
66	32313 46236	   	242.39	DCR|DCR|1VULN|2DUR|1CDMG	1AEFBLL|23DUR|4ERES|5VENICY|68RCR|7VULN|9CDMG|aMGNSTR
67	32313 46253	   	242.39	DCR|DCR|1VULN|2DUR|1AART	1AEFBLL|23DUR|4ERES|5VENICY|68RCR|7VULN|9BOSS|aAART
68	32313 46234	   	242.29	DCR|DCR|1VULN|2DUR|1CDMG	1AEFBLL|23DUR|4ERES|5VENICY|68RCR|7VULN|9CDMG|aBBNT
69	32313 46235	   	242.29	DCR|DCR|1VULN|2DUR|1CDMG	1AEFBLL|23DUR|4aERES|5VENICY|68RCR|7VULN|9CDMG
70	11312 26243	 * 	241.95	DCR|5VULN|1TLV|1AART	12467VULN|24BPWR|3BBNT|5ZMB|8RCR|9TLV|aAART
71	11324 26243	   	241.95	DCR|5VULN|1TLV|1AART	12567VULN|2BPWR|3BBNT|4CGEN|8RCR|9TLV|aAART
72	11332 26243	   	241.95	DCR|5VULN|1TLV|1AART	12467VULN|2BPWR|3BBNT|5ZMB|8RCR|9TLV|aAART
73	63252 21122	   	241.66	DCR|3VULN|1TLV|1DMG|1MLV|1DUR	1DUR|2DMG|38aVULN|4BEXP|5RPLT|6TLV|7MLV|9RCR
74	14423 21143	 * 	241.29	DCR|3VULN|2MLV|2CDMG|2ASPD|1AART	14aVULN|2MDPS|39CDMG|5aMLV|6aASPD|7RCR|8AART|aBPWR
75	11112 23646	   	239.70	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	127VULN|2BPWR|3DUR|49LHND|5DMG|6TLV|8RCR|aCDMG
76	11112 23656	   	239.60	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	127VULN|2BPWR|3DUR|4LHND|5DMG|6TLV|8RCR|9AEPOI|aCDMG
77	11112 23666	   	239.60	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	127VULN|2BPWR|3DUR|4LHND|5DMG|6TLV|8RCR|9AEBURN|aCDMG
78	11112 23625	   	239.46	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1SELL	127VULN|2BPWR|3DUR|4LHND|5DMG|6TLV|8RCR|9SELL|aCDMG
79	13222 51562	 * 	239.40	DCR|4VULN|2MLV|1TLV	1479VULN|2FEWX|3RPLT|59ERES|6RCR|89MLV|9BPWR|aTLV
80	11312 26241	 * 	238.63	DCR|5VULN|2TLV	12467VULN|24BPWR|3BBNT|5ZMB|8RCR|9aTLV
81	11324 26241	   	238.63	DCR|5VULN|2TLV	12567VULN|2BPWR|3BBNT|4CGEN|8RCR|9aTLV
82	11332 26241	   	238.63	DCR|5VULN|2TLV	12467VULN|2BPWR|3BBNT|5ZMB|8RCR|9aTLV
83	11112 23636	   	238.51	DCR|3VULN|2DUR|1TLV|1DMG	127VULN|2BPWR|3aDUR|4LHND|5DMG|6TLV|8RCR|9LWND
84	11112 23641	   	238.51	DCR|3VULN|2DUR|1TLV|1DMG	127VULN|2BPWR|3aDUR|49LHND|5DMG|6TLV|8RCR
85	11142 23631	   	238.41	DCR|3VULN|2DUR|1TLV|1DMG	127VULN|2BPWR|3aDUR|4DUST|5DMG|6TLV|8RCR|9LWND
86	11142 23641	   	238.41	DCR|3VULN|2DUR|1TLV|1DMG	127VULN|2BPWR|3aDUR|4DUST|5DMG|6TLV|8RCR|9LHND
87	11625 33631	   	238.41	DCR|3VULN|2DUR|1TLV|1DMG	123VULN|23BPWR|4aDUR|5DMG|6DUST|7TLV|8RCR|9LWND
88	63243 23631	   	238.41	DCR|3VULN|2DUR|1TLV|1DMG	1aDUR|2DMG|347VULN|5DUST|6TLV|8RCR|9LWND
89	11112 23651	   	238.41	DCR|3VULN|2DUR|1TLV|1DMG	127VULN|2BPWR|3aDUR|4LHND|5DMG|6TLV|8RCR|9AEPOI
90	11112 23661	   	238.41	DCR|3VULN|2DUR|1TLV|1DMG	127VULN|2BPWR|3aDUR|4LHND|5DMG|6TLV|8RCR|9AEBURN
91	11142 23624	   	238.16	DCR|3VULN|2DUR|1TLV|1DMG|1SELL	127VULN|2BPWR|3aDUR|4DUST|5DMG|6TLV|8RCR|9SELL
92	22133 56232	 * 	238.03	ACR|DCR|1VULN|1TLV|1MLV|1AART|1CDMG	1RAT|2BASICY|3TLV|48RCR|5AART|6BELT|7VULN|9CDMG|aMLV
93	45222 42311	   	237.65	DCR|DCR|2DMG|1MLV|1CDMG	19DMG|2BELT|3DUST|4LWND|5CDMG|68RCR|7CGEN|aMLV
94	11622 35242	   	237.40	DCR|3VULN|3DUR|1DMG|1CDMG	123VULN|23BPWR|47aDUR|5CDMG|6DMG|8LHND|9RCR
95	11112 21612	   	237.16	DCR|2VULN|3DMG|1TLV|1DUR	12VULN|2BPWR|3DUR|4LHND|579DMG|6TLV|8RCR|aRMIN
96	11112 21613	   	237.16	DCR|2VULN|3DMG|1TLV|1DUR	12VULN|2BPWR|3DUR|4LHND|579DMG|6TLV|8RCR|aLWND
97	11112 21614	   	237.16	DCR|2VULN|3DMG|1TLV|1DUR	12VULN|2BPWR|3DUR|4LHND|579DMG|6TLV|8RCR|aFEWX
98	11112 21615	   	237.16	DCR|2VULN|3DMG|1TLV|1DUR	12VULN|2BPWR|3DUR|4LHND|579DMG|6TLV|8RCR|aBEXP
99	63252 21222	   	237.11	DCR|2VULN|2DMG|1TLV|1MLV|1DUR	1DUR|28DMG|3aVULN|4BEXP|5RPLT|6TLV|7MLV|9RCR
100	51221 25162	   	237.11	DCR|2VULN|2DMG|2DUR|1MLV|1CDMG|1AAC	1AAC|2aDUR|36VULN|4DMSP|56DMG|6BPWR|7MLV|8CDMG|9RCR
101	11112 21611	   	237.06	DCR|2VULN|3DMG|1TLV|1DUR	12VULN|2BPWR|3DUR|4LHND|579DMG|6TLV|8RCR|aDUST
102	11112 21616	   	237.06	DCR|2VULN|3DMG|1TLV|1DUR	12VULN|2BPWR|3DUR|4LHND|579DMG|6TLV|8RCR|aTBNT
103	11142 21614	   	237.06	DCR|2VULN|3DMG|1TLV|1DUR	12VULN|2BPWR|3DUR|4DUST|579DMG|6TLV|8RCR|aFEWX
104	11142 21615	   	237.06	DCR|2VULN|3DMG|1TLV|1DUR	12VULN|2BPWR|3DUR|4DUST|579DMG|6TLV|8RCR|aBELT
105	43213 22512	   	237.01	DCR|2VULN|2DMG|1TLV|1MLV|1DUR	12DMG|3FEWX|4MLV|5DUR|6LSRICY|7TLV|8RCR|9aVULN
106	43513 22512	   	237.01	DCR|2VULN|2DMG|1TLV|1MLV|1DUR	12DMG|3LHND|4MLV|5DUR|6LSRICY|7TLV|8RCR|9aVULN
107	63412 22512	   	237.01	DCR|2VULN|2DMG|1TLV|1MLV|1DUR	1DUR|25DMG|3MLV|4LHND|6LSRICY|7TLV|8RCR|9aVULN
108	43212 23165	   	237.01	DCR|2VULN|2DMG|1TLV|1MLV|1CDMG	12DMG|3FEWX|4MLV|5CDMG|6TLV|7BBNT|89VULN|aRCR
109	63221 25162	   	237.01	DCR|2VULN|2DMG|2DUR|1MLV|1CDMG|1NUKE	1aDUR|26DMG|36VULN|4DMSP|5NUKE|6BPWR|7MLV|8CDMG|9RCR
110	61112 23513	   	236.98	DCR|DCR|1VULN|1DUR|1AART	1DUR|2FLTFST|3VULN|4BELT|5DUST|6AART|7aRCR|8LWND|9ASPD
111	11142 21611	   	236.96	DCR|2VULN|3DMG|1TLV|1DUR	12VULN|2BPWR|3DUR|4aDUST|579DMG|6TLV|8RCR
112	11142 21612	   	236.96	DCR|2VULN|3DMG|1TLV|1DUR	12VULN|2BPWR|3DUR|4DUST|579DMG|6TLV|8RCR|aAETHUN
113	11142 21616	   	236.96	DCR|2VULN|3DMG|1TLV|1DUR	12VULN|2BPWR|3DUR|4DUST|579DMG|6TLV|8RCR|aBBNT
114	63243 21611	   	236.96	DCR|2VULN|3DMG|1TLV|1DUR	1DUR|279DMG|34VULN|5aDUST|6TLV|8RCR
115	63243 21612	   	236.96	DCR|2VULN|3DMG|1TLV|1DUR	1DUR|279DMG|34VULN|5DUST|6TLV|8RCR|aAETHUN
116	66233 32413	   	236.93	DCR|3VULN|2DMG|2DUR	1aDUR|2ERES|39aVULN|4RAT|5ASPD|6DMSP|7aDMG|8RCR|aBPWR
117	43313 12662	 * 	236.91	DCR|2VULN|2DMG|2AART|1MLV|1CDMG	12DMG|39AART|4TBNT|5CDMG|6RCR|78VULN|aMLV
118	61112 23213	   	236.88	DCR|DCR|1VULN|1DUR|1AART	1DUR|2FLTFST|3VULN|4BELT|5DUST|6AART|7aRCR|8ASPD|9AETHUN
119	61112 23613	   	236.88	DCR|DCR|1VULN|1DUR|1AART	1DUR|2FLTFST|3VULN|4BELT|5DUST|6AART|7aRCR|8LEGI|9ASPD
120	15423 12313	 * 	236.83	DCR|3VULN|3TLV|1AART|1CDMG	178VULN|278LHND|3ZMB|4AART|5LWND|678TLV|78BPWR|9CDMG|aRCR
121	63233 12413	   	236.83	DCR|3VULN|2DMG|2DUR	1aDUR|27DMG|39aVULN|4RAT|5ASPD|6aAME|8RCR|aBPWR
122	51241 21531	   	236.83	DCR|3VULN|2DMG|2DUR|1AAC	1AAC|2aDUR|346VULN|56DMG|6BPWR|7BBNT|8RCR|9ASPD
123	32333 13251	 * 	236.73	ACR|DCR|1VULN|2DUR|1TLV|1MLV	1AEFBLL|23DUR|48RCR|5VULN|6MLV|7CANTOX|9BOSS|aTLV
