0	Index      	 *	Score 	Summary	Detail	
1	11646 12323	 * 	282.62	DCR|DCR|2VULN|1DMG|2CDMG|1DUR	16VULN|2BBNT|3VENFST|4DUR|5DMG|78CDMG|9aRCR
16	16511 22423	   	268.79	DCR|DCR|2VULN|1TLV|1CDMG	18VULN|2ZMB|3TBNT|4SPLJET|5CGEN|6TLV|7CDMG|9aRCR
17	12416 13223	   	268.69	DCR|DCR|2VULN|1TLV|1CDMG|1AAC	13VULN|2AAC|4ERES|5TLV|6BBNT|7LSRHEA|8CDMG|9aRCR
18	12513 42423	 * 	268.69	DCR|DCR|2VULN|2DUR|1CDMG|1AAC	18VULN|2AAC|3TBNT|4SPLJET|5CDMG|67DUR|9aRCR
19	16416 13223	   	268.69	DCR|DCR|2VULN|1TLV|1CDMG	13VULN|2ZMB|4ERES|5TLV|6BBNT|7LSRHEA|8CDMG|9aRCR
20	15261 23126	   	266.88	DCR|DCR|3VULN|1MLV|1AAC	15aVULN|2RPLT|3RAT|4AAC|68RCR|7MLV|9FEWX
21	15261 23136	   	266.88	DCR|DCR|3VULN|1MLV|1AAC	15aVULN|2RPLT|3RAT|4AAC|68RCR|7MLV|9LHND
22	16423 12423	   	264.73	DCR|DCR|3VULN|1CDMG	138VULN|2ZMB|4TBNT|5LWND|6SNITOX|7CDMG|9aRCR
23	12423 12423	   	264.63	DCR|DCR|3VULN|1CDMG|1AAC	138VULN|2AAC|4TBNT|5DUST|6SNITOX|7CDMG|9aRCR
24	12512 12423	   	264.63	DCR|DCR|3VULN|1CDMG|1AAC	168VULN|2AAC|3TBNT|4SPLJET|5DUST|7CDMG|9aRCR
25	12513 35423	   	264.63	DCR|DCR|3VULN|1CDMG|1AAC	178VULN|2AAC|3TBNT|4SPLJET|5CDMG|6DUST|9aRCR
26	12522 12423	   	264.63	DCR|DCR|3VULN|1CDMG|1AAC	168VULN|2AAC|3TBNT|4DUST|5SNITOX|7CDMG|9aRCR
27	12553 12423	   	264.63	DCR|DCR|3VULN|1CDMG|1AAC	148VULN|2AAC|3TBNT|5DUST|6SNITOX|7CDMG|9aRCR
28	16512 12423	   	264.63	DCR|DCR|3VULN|1CDMG	168VULN|2ZMB|3TBNT|4SPLJET|5DUST|7CDMG|9aRCR
29	22523 38724	 * 	264.61	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1MBVNT|2MLV|3VULN|4TLV|5BBNT|6RPLT|7BEXP|89RCR|aDMG
30	28223 38724	   	264.61	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1MBVNT|2VULN|3MLV|4TLV|5BBNT|6RPLT|7BEXP|89RCR|aDMG
31	22574 23111	   	264.46	DCR|DCR|2VULN|1DMG|1MLV|1SELL	1MBVNT|2MLV|3aVULN|4DMG|5RAT|6SELL|78RCR|9RPLT
32	22574 23127	   	264.46	DCR|DCR|2VULN|1DMG|1MLV|1SELL	1MBVNT|2MLV|3aVULN|4DMG|5RAT|6SELL|78RCR|9FEWX
33	22574 23181	   	264.46	DCR|DCR|2VULN|1DMG|1MLV|1SELL	1MBVNT|2MLV|3aVULN|4DMG|5RAT|6SELL|78RCR|9LIT
34	28274 23111	   	264.46	DCR|DCR|2VULN|1DMG|1MLV|1SELL	1MBVNT|2aVULN|3MLV|4DMG|5RAT|6SELL|78RCR|9RPLT
35	28274 23127	   	264.46	DCR|DCR|2VULN|1DMG|1MLV|1SELL	1MBVNT|2aVULN|3MLV|4DMG|5RAT|6SELL|78RCR|9FEWX
36	28274 23181	   	264.46	DCR|DCR|2VULN|1DMG|1MLV|1SELL	1MBVNT|2aVULN|3MLV|4DMG|5RAT|6SELL|78RCR|9LIT
37	22574 23137	   	264.36	DCR|DCR|2VULN|1DMG|1MLV|1SELL	1MBVNT|2MLV|3aVULN|4DMG|5RAT|6SELL|78RCR|9DUST
38	22574 23147	   	264.36	DCR|DCR|2VULN|1DMG|1MLV|1SELL	1MBVNT|2MLV|3aVULN|4DMG|5RAT|6SELL|78RCR|9LEGI
39	28274 23137	   	264.36	DCR|DCR|2VULN|1DMG|1MLV|1SELL	1MBVNT|2aVULN|3MLV|4DMG|5RAT|6SELL|78RCR|9DUST
40	28274 23147	   	264.36	DCR|DCR|2VULN|1DMG|1MLV|1SELL	1MBVNT|2aVULN|3MLV|4DMG|5RAT|6SELL|78RCR|9LEGI
41	45212 32523	 * 	263.65	DCR|DCR|2DMG|1TLV|1MLV|1CDMG	1TLV|2SNIFST|3BBNT|48DMG|5AETHUN|6MLV|7CDMG|9aRCR
42	28227 33331	 * 	263.19	DCR|2VULN|3DMG|2TLV|1MLV|1DUR	1MBVNT|27VULN|3MLV|47TLV|579DMG|6RMIN|7BPWR|8RCR|aDUR
43	28276 33331	   	263.19	DCR|2VULN|3DMG|2TLV|1MLV|1DUR	1MBVNT|27VULN|3MLV|479DMG|57TLV|6RMIN|7BPWR|8RCR|aDUR
44	15223 25163	   	262.85	DCR|DCR|2VULN|1DMG|1CDMG	14VULN|2RPLT|34RAT|4BPWR|5DMG|68RCR|7ERES|9VENTOX|aCDMG
45	28482 31534	   	262.85	DCR|DCR|2VULN|2CDMG|1AART	1MBVNT|29VULN|39LWND|4AART|5LHND|6aRCR|7RAT|89CDMG|9BPWR
46	28542 31534	   	262.85	DCR|DCR|2VULN|2CDMG|1AART	1MBVNT|29VULN|39FEWX|4LWND|5AART|6aRCR|7RAT|89CDMG|9BPWR
47	11666 12123	   	262.65	DCR|DCR|2VULN|1DMG|1CDMG	16VULN|2BBNT|3VENFST|48LWND|5DMG|7CDMG|9aRCR
48	11666 12223	   	262.65	DCR|DCR|2VULN|1DMG|1CDMG	16VULN|2BBNT|3VENFST|4LWND|5DMG|7CDMG|8RCVC|9aRCR
49	23416 63183	   	262.65	DCR|DCR|2VULN|1DMG|1DUR|1AAC	1MBVNT|2VENFST|3RPLT|45VULN|6aRCR|7DUR|8DMG|9AAC
50	11624 42323	   	262.55	DCR|DCR|2VULN|2CDMG|1DUR	14VULN|2BBNT|34VENFST|4BPWR|5DUR|6ZMB|78CDMG|9aRCR
51	11626 42323	   	262.55	DCR|DCR|2VULN|2CDMG|1DUR|1AAC	14VULN|2BBNT|34VENFST|4BPWR|5AAC|6DUR|78CDMG|9aRCR
52	12421 12323	   	262.55	DCR|DCR|2VULN|2CDMG|1DUR|1AAC	13VULN|2AAC|4TBNT|5DUR|6SNITOX|78CDMG|9aRCR
53	12513 45323	   	262.55	DCR|DCR|2VULN|2CDMG|1DUR|1AAC	17VULN|2AAC|3TBNT|4SPLJET|58CDMG|6DUR|9aRCR
54	12516 12323	   	262.55	DCR|DCR|2VULN|2CDMG|1DUR|1AAC	16VULN|2AAC|3TBNT|4SPLJET|5DUR|78CDMG|9aRCR
55	12551 12323	   	262.55	DCR|DCR|2VULN|2CDMG|1DUR|1AAC	14VULN|2AAC|3TBNT|5DUR|6SNITOX|78CDMG|9aRCR
56	16421 12323	   	262.55	DCR|DCR|2VULN|2CDMG|1DUR	13VULN|2ZMB|4TBNT|5DUR|6SNITOX|78CDMG|9aRCR
57	16516 12323	   	262.55	DCR|DCR|2VULN|2CDMG|1DUR	16VULN|2ZMB|3TBNT|4SPLJET|5DUR|78CDMG|9aRCR
58	16551 12323	   	262.55	DCR|DCR|2VULN|2CDMG|1DUR	14VULN|2ZMB|3TBNT|5DUR|6SNITOX|78CDMG|9aRCR
59	11431 12423	   	262.45	DCR|DCR|2VULN|1DMG|1CDMG	18VULN|2BBNT|34DUST|5DMG|6SNITOX|7CDMG|9aRCR
60	11644 12323	   	262.45	DCR|DCR|2VULN|2CDMG|1DUR|1NUKE	16VULN|2BBNT|3VENFST|4DUR|5NUKE|78CDMG|9aRCR
61	11251 13423	   	262.41	DCR|DCR|2VULN|1DMG|1DUR|1SELL	18VULN|2BBNT|3DMSP|4DUR|5DMG|6SNITOX|7SELL|9aRCR
62	12155 23623	 * 	261.46	DCR|DCR|2VULN|2AAC|1DMG	14VULN|2aAAC|3RPLT|5MDPS|6TBNT|7DMG|89RCR
63	28227 33345	 * 	259.99	DCR|2VULN|2DMG|2TLV|2DUR|1MLV	1MBVNT|27VULN|3MLV|47TLV|57DMG|6RMIN|7BPWR|8RCR|9aDUR
64	22372 64713	   	258.99	DCR|DCR|1VULN|1DMG|1MLV|1AART	1MBVNT|2MLV|3LWND|4DMG|5SPLREG|6ASPD|7VULN|8aRCR|9AART
65	22272 64713	   	258.89	DCR|DCR|1VULN|1DMG|1MLV|1AART	1MBVNT|2MLV|3LEGI|4DMG|5SPLREG|6ASPD|7VULN|8aRCR|9AART
66	22578 33334	 * 	258.60	DCR|2VULN|2DMG|3MLV|1TLV|1AART	1MBVNT|267MLV|37VULN|47DMG|5AART|7BPWR|8TLV|9BOSS|aRCR
67	28278 33334	   	258.60	DCR|2VULN|2DMG|3MLV|1TLV|1AART	1MBVNT|27VULN|367MLV|47DMG|5AART|7BPWR|8TLV|9BOSS|aRCR
68	22578 33324	   	258.50	DCR|2VULN|2DMG|3MLV|1TLV|1AART	1MBVNT|267MLV|37VULN|47DMG|5AART|7BPWR|8TLV|9BBNT|aRCR
69	22578 33344	   	258.50	DCR|2VULN|2DMG|3MLV|1TLV|1AART	1MBVNT|267MLV|37VULN|47DMG|5AART|7BPWR|8TLV|9TBNT|aRCR
70	28278 33324	   	258.50	DCR|2VULN|2DMG|3MLV|1TLV|1AART	1MBVNT|27VULN|367MLV|47DMG|5AART|7BPWR|8TLV|9BBNT|aRCR
71	28278 33344	   	258.50	DCR|2VULN|2DMG|3MLV|1TLV|1AART	1MBVNT|27VULN|367MLV|47DMG|5AART|7BPWR|8TLV|9TBNT|aRCR
72	15261 23163	   	258.39	DCR|DCR|2VULN|1MLV|1CDMG|1AAC	15VULN|2RPLT|3RAT|4AAC|68RCR|7MLV|9VENTOX|aCDMG
73	22524 88122	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1AAC|1CDMG	1MBVNT|2MLV|3VULN|4TLV|5RAT|6CDMG|7aRCR|8AAC|9LIT
74	28224 88122	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1AAC|1CDMG	1MBVNT|2VULN|3MLV|4TLV|5RAT|6CDMG|7aRCR|8AAC|9LIT
75	26524 83322	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1MBVNT|2ZMB|3VULN|4TLV|5RAT|6CDMG|7aRCR|8MLV|9LIT
76	12513 53423	   	258.19	DCR|DCR|2VULN|1MLV|1CDMG|1AAC	18VULN|2AAC|3TBNT|4SPLJET|5CDMG|6CGEN|7MLV|9aRCR
77	22523 38723	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1MBVNT|2MLV|3VULN|4TLV|5BBNT|6RPLT|7BEXP|89RCR|aAAC
78	22533 63541	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1AART	1MBVNT|2MLV|3VULN|4BEXP|5RPLT|69RCR|7AART|8AEBURN|aTLV
79	22813 63541	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1AART	1MBVNT|2MLV|3BEXP|4VULN|5RPLT|69RCR|7AART|8AEBURN|aTLV
80	27213 63541	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1AART	1MBVNT|2BEXP|3MLV|4VULN|5RPLT|69RCR|7AART|8AEBURN|aTLV
81	28223 38723	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1MBVNT|2VULN|3MLV|4TLV|5BBNT|6RPLT|7BEXP|89RCR|aAAC
82	28233 63541	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1AART	1MBVNT|2VULN|3MLV|4BEXP|5RPLT|69RCR|7AART|8AEBURN|aTLV
83	15242 33126	   	258.12	DCR|DCR|3VULN	16aVULN|2RPLT|3RAT|4ASPD|5ERES|78RCR|9FEWX
84	15242 33136	   	258.12	DCR|DCR|3VULN	16aVULN|2RPLT|3RAT|4ASPD|5ERES|78RCR|9LHND
85	15135 23622	   	257.92	DCR|DCR|3VULN|1NUKE	13aVULN|2RPLT|3BPWR|4ASPD|5MDPS|6TBNT|7NUKE|89RCR
86	28225 43333	 * 	257.40	DCR|4VULN|2TLV|1DMG|1MLV	1MBVNT|267aVULN|3MLV|47TLV|57DUST|7BPWR|8RCR|9DMG
87	13616 22321	 * 	256.99	ACR|DCR|2VULN|2AART|1DMG|1MLV	19VULN|25LIT|3MLV|47RCR|68AART|aDMG
88	28542 38434	   	256.54	DCR|DCR|2VULN|1AART|1CDMG	1MBVNT|29VULN|39FEWX|4LWND|5AART|6aRCR|7CDMG|89RAT|9BPWR
89	11251 12323	   	256.41	DCR|DCR|1VULN|1DMG|2CDMG|1DUR	1VULN|2BBNT|3DMSP|4DUR|5DMG|6SNITOX|78CDMG|9aRCR
90	27422 38424	   	256.34	DCR|DCR|2VULN|1AART|1CDMG	1MBVNT|2BEXP|3LWND|48VULN|5AART|6aRCR|7CDMG|9RAT
91	28328 22624	   	256.34	DCR|DCR|2VULN|1AART|1CDMG	1MBVNT|24VULN|3BEXP|5AART|6CDMG|7aRCR|8LHND|9RAT
92	28328 22824	   	256.34	DCR|DCR|2VULN|1AART|1CDMG	1MBVNT|24VULN|3BEXP|5AART|6CDMG|7aRCR|8LWND|9RAT
93	28342 38424	   	256.34	DCR|DCR|2VULN|1AART|1CDMG	1MBVNT|28VULN|3BEXP|4LWND|5AART|6aRCR|7CDMG|9RAT
94	28372 38424	   	256.34	DCR|DCR|2VULN|1AART|1CDMG	1MBVNT|28VULN|3BEXP|4AART|5LHND|6aRCR|7CDMG|9RAT
95	28374 22624	   	256.34	DCR|DCR|2VULN|1AART|1CDMG	1MBVNT|25VULN|3BEXP|4AART|6CDMG|7aRCR|8LHND|9RAT
96	28374 22824	   	256.34	DCR|DCR|2VULN|1AART|1CDMG	1MBVNT|25VULN|3BEXP|4AART|6CDMG|7aRCR|8LWND|9RAT
97	28428 22624	   	256.34	DCR|DCR|2VULN|1AART|1CDMG	1MBVNT|24VULN|3LWND|5AART|6CDMG|7aRCR|8LHND|9RAT
98	28482 38424	   	256.34	DCR|DCR|2VULN|1AART|1CDMG	1MBVNT|28VULN|3LWND|4AART|5LHND|6aRCR|7CDMG|9RAT
99	28484 22624	   	256.34	DCR|DCR|2VULN|1AART|1CDMG	1MBVNT|25VULN|3LWND|4AART|6CDMG|7aRCR|8LHND|9RAT
100	11241 12423	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	18VULN|2BBNT|3DMSP|4ZMB|5DUR|6SNITOX|7CDMG|9aRCR
101	12221 12423	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG|1AAC	18VULN|2AAC|3DMSP|4TBNT|5DUR|6SNITOX|7CDMG|9aRCR
102	16221 12423	   	256.24	DCR|DCR|2VULN|1DUR|1CDMG	18VULN|2ZMB|3DMSP|4TBNT|5DUR|6SNITOX|7CDMG|9aRCR
103	28373 38424	   	256.24	DCR|DCR|2VULN|1AART|1CDMG	1MBVNT|28VULN|3BEXP|4AART|5AETHUN|6aRCR|7CDMG|9RAT
104	28483 31544	   	256.24	DCR|DCR|2VULN|1AART|1CDMG	1MBVNT|29VULN|3LWND|4AART|5AETHUN|6aRCR|7RAT|8CDMG
105	28483 38424	   	256.24	DCR|DCR|2VULN|1AART|1CDMG	1MBVNT|28VULN|3LWND|4AART|5AETHUN|6aRCR|7CDMG|9RAT
106	12142 43613	   	256.24	DCR|DCR|1VULN|1TLV|1AART|1CDMG|1AAC	1VULN|2AAC|3RPLT|4CDMG|5BLASTR|6TLV|7AETHUN|8aRCR|9AART
107	11622 22223	   	256.14	DCR|DCR|2VULN|1DUR|1CDMG|1AAC	14VULN|2BBNT|34VENFST|4BPWR|5AEPOI|6AAC|7DUR|8CDMG|9aRCR
108	11626 22223	   	256.14	DCR|DCR|2VULN|1DUR|1CDMG|1AAC	14VULN|2BBNT|34VENFST|4BPWR|5AAC|6AEBURN|7DUR|8CDMG|9aRCR
109	12513 25423	   	256.14	DCR|DCR|2VULN|1DUR|1CDMG|1AAC	18VULN|2AAC|3TBNT|4SPLJET|5CDMG|6AEWIND|7DUR|9aRCR
110	12626 33353	 * 	256.13	DCR|3VULN|2DMG|2TLV|1MLV|1AAC	17aVULN|2AAC|3LHND|47TLV|57DMG|6RMIN|7BPWR|8RCR|9MLV
111	28227 33313	   	256.03	DCR|3VULN|2DMG|2TLV|1MLV	1MBVNT|27aVULN|3MLV|47TLV|57DMG|6RMIN|7BPWR|8RCR|9CGEN
112	28227 33322	   	256.03	DCR|3VULN|2DMG|2TLV|1MLV	1MBVNT|27aVULN|3MLV|47TLV|57DMG|6RMIN|7BPWR|8RCR|9LIT
113	28276 33313	   	256.03	DCR|3VULN|2DMG|2TLV|1MLV	1MBVNT|27aVULN|3MLV|47DMG|57TLV|6RMIN|7BPWR|8RCR|9CGEN
114	28276 33322	   	256.03	DCR|3VULN|2DMG|2TLV|1MLV	1MBVNT|27aVULN|3MLV|47DMG|57TLV|6RMIN|7BPWR|8RCR|9LIT
115	28227 33335	 * 	256.00	DCR|2VULN|3DMG|3TLV|1MLV	1MBVNT|27VULN|3MLV|47aTLV|579DMG|6RMIN|7BPWR|8RCR
116	14323 37722	   	255.14	DCR|DCR|2VULN|1TLV	1aVULN|2CGEN|3FEWX|4TLV|5BBNT|6MBVNT|7RPLT|89RCR
117	21343 67722	   	255.14	DCR|DCR|2VULN|1TLV	1MBVNT|2TBNT|3CGEN|4aVULN|5FEWX|6TLV|7RPLT|89RCR
118	26524 23111	   	255.00	DCR|DCR|2VULN|1TLV|1SELL	1MBVNT|2ZMB|3aVULN|4TLV|5RAT|6SELL|78RCR|9RPLT
119	26524 23127	   	255.00	DCR|DCR|2VULN|1TLV|1SELL	1MBVNT|2ZMB|3aVULN|4TLV|5RAT|6SELL|78RCR|9FEWX
120	26524 23181	   	255.00	DCR|DCR|2VULN|1TLV|1SELL	1MBVNT|2ZMB|3aVULN|4TLV|5RAT|6SELL|78RCR|9LIT
121	26524 23137	   	254.90	DCR|DCR|2VULN|1TLV|1SELL	1MBVNT|2ZMB|3aVULN|4TLV|5RAT|6SELL|78RCR|9DUST
122	26524 23147	   	254.90	DCR|DCR|2VULN|1TLV|1SELL	1MBVNT|2ZMB|3aVULN|4TLV|5RAT|6SELL|78RCR|9LEGI
