0	Index      	 *	Score 	Summary	Detail	
1	36334 75441	 * 	264.50	DCR|4VULN|3DUR|2MLV|1AART	13aDUR|279aVULN|4MBVNT|5aMLV|6RCR|8AART|aBPWR
24	12325 51336	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1MDPS|2VULN|3AEPOI|4TLV|5BELT|69RCR|7LEGI|8DUR|aAEWIND
25	12325 51532	   	242.39	DCR|DCR|1VULN|1TLV|1CDMG	1MDPS|2VULN|3AEPOI|4TLV|5BELT|69RCR|7LEGI|8DUST|aCDMG
26	21332 15421	 * 	238.41	DCR|DCR|2AART|1TLV|1MLV|1SELL	1CGEN|27AART|3MLV|4TLV|5SELL|69RCR|8VENFST|aRAT
27	21332 15422	 * 	238.41	DCR|DCR|2AART|1TLV|1MLV|1SELL	1aCGEN|27AART|3MLV|4TLV|5SELL|69RCR|8VENFST
28	21332 15426	 * 	238.41	DCR|DCR|2AART|1TLV|1MLV|1SELL	1CGEN|27AART|3MLV|4TLV|5SELL|69RCR|8VENFST|aLIT
29	21332 15621	 * 	238.41	DCR|DCR|2AART|1TLV|1MLV|1SELL	1CGEN|27AART|3MLV|4TLV|5SELL|69RCR|8LSRHEA|aRAT
30	21332 15622	 * 	238.41	DCR|DCR|2AART|1TLV|1MLV|1SELL	1aCGEN|27AART|3MLV|4TLV|5SELL|69RCR|8LSRHEA
31	21332 15626	 * 	238.41	DCR|DCR|2AART|1TLV|1MLV|1SELL	1CGEN|27AART|3MLV|4TLV|5SELL|69RCR|8LSRHEA|aLIT
32	21332 15424	 * 	238.31	DCR|DCR|2AART|1TLV|1MLV|1SELL	1CGEN|27AART|3MLV|4TLV|5SELL|69RCR|8VENFST|aDUST
33	21332 15425	 * 	238.31	DCR|DCR|2AART|1TLV|1MLV|1SELL	1CGEN|27AART|3MLV|4TLV|5SELL|69RCR|8VENFST|aERES
34	21332 15624	 * 	238.31	DCR|DCR|2AART|1TLV|1MLV|1SELL	1CGEN|27AART|3MLV|4TLV|5SELL|69RCR|8LSRHEA|aDUST
35	21332 15625	 * 	238.31	DCR|DCR|2AART|1TLV|1MLV|1SELL	1CGEN|27AART|3MLV|4TLV|5SELL|69RCR|8LSRHEA|aERES
36	32334 76464	   	237.55	DCR|DCR|3DUR|1MLV|1AAC	137DUR|2LHND|4MBVNT|5MLV|68RCR|9RAT|aAAC
37	32334 76482	   	237.45	DCR|DCR|3DUR|1MLV|1AAC	137DUR|2LHND|4MBVNT|5MLV|68RCR|9TBNT|aAAC
38	12212 25643	   	236.98	DCR|DCR|1VULN|1DUR|1CDMG	1MDPS|2VULN|3CDMG|4BELT|5VENICY|6aRCR|7DUR|8ASPD|9LWND
39	12212 25653	   	236.98	DCR|DCR|1VULN|1DUR|1CDMG	1MDPS|2VULN|3CDMG|4BELT|5VENICY|6aRCR|7DUR|8ASPD|9BEXP
40	33651 62313	 * 	236.55	DCR|DCR|1VULN|1DMG|1DUR	1DUR|2RMIN|3RAT|4BOSS|5RPLT|6AIRARM|78RCR|9VULN|aDMG
41	21242 64123	   	236.21	DCR|DCR|1VULN|1DMG|1AART|1SELL	1CGEN|2AART|3RAT|4DUST|5DMG|6ERES|7aRCR|8SELL|9VULN
42	21412 64123	   	236.21	DCR|DCR|1VULN|1DMG|1AART|1SELL	1CGEN|2AART|3DUST|4RAT|5DMG|6ERES|7aRCR|8SELL|9VULN
43	32334 76437	 * 	236.19	DCR|DCR|3DUR|2MLV	137DUR|2LHND|4MBVNT|5aMLV|68RCR|9LWND
44	32334 76462	   	236.19	DCR|DCR|3DUR|2MLV	137DUR|2LHND|4MBVNT|5aMLV|68RCR|9RAT
45	12631 33414	 * 	235.97	ACR|DCR|2VULN|1DUR|1AART|1CDMG	1MDPS|26VULN|3aRCR|4DUR|5CGEN|7CDMG|8AART|9ERES
46	12325 55333	   	235.88	DCR|DCR|1VULN|1TLV	1MDPS|2VULN|3AEPOI|4TLV|5BELT|69RCR|7FEWX|8CGEN|aASPD
47	36334 73111	 * 	234.54	DCR|3DUR|2DMG|1VULN|2MLV|1CDMG	139DUR|2VULN|4MBVNT|59MLV|6RCR|79DMG|8BBNT|9BPWR|aCDMG
48	32331 76415	   	234.50	DCR|DCR|3DUR|1TLV	137DUR|2LHND|4MBVNT|5CGEN|68RCR|9RCVC|aTLV
49	32331 76445	   	234.50	DCR|DCR|3DUR|1TLV	137DUR|29LHND|4MBVNT|5CGEN|68RCR|aTLV
