0	Index      	 *	Score 	Summary	Detail	
1	13282 32353	 * 	283.93	ACR|DCR|2VULN|2DMG|1MLV|1CDMG	17TLV|2CDMG|3MBVNT|4aRCR|57VULN|67DMG|7BPWR|8MLV|9CGEN
33	22321 34355	   	257.25	DCR|DCR|2VULN|1CDMG	17VULN|2ERES|34DUST|5CGEN|6LIT|89RCR|aCDMG
34	22341 31355	   	257.25	DCR|DCR|2VULN|1CDMG	14VULN|2ERES|37DUST|5CGEN|6LIT|89RCR|aCDMG
35	22341 32355	   	257.25	DCR|DCR|2VULN|1CDMG	14VULN|27ERES|3DUST|5CGEN|6LIT|89RCR|aCDMG
36	22313 34355	   	257.15	DCR|DCR|2VULN|1CDMG	17VULN|24ERES|3DUST|5AME|6LIT|89RCR|aCDMG
37	22323 34355	   	257.15	DCR|DCR|2VULN|1CDMG	17VULN|2ERES|34DUST|5AME|6LIT|89RCR|aCDMG
38	22343 31355	   	257.15	DCR|DCR|2VULN|1CDMG	14VULN|2ERES|37DUST|5AME|6LIT|89RCR|aCDMG
39	22343 32355	   	257.15	DCR|DCR|2VULN|1CDMG	14VULN|27ERES|3DUST|5AME|6LIT|89RCR|aCDMG
40	33222 26511	 * 	256.29	DCR|DCR|3ASPD|2MLV	1BELT|26MLV|3TBNT|4DMSP|568ASPD|6BPWR|7MDPS|9aRCR
41	35121 23134	   	255.74	ACR|DCR|2VULN|1MLV|1ASPD|1RPLT	1BELT|2aRCR|3FEWX|45VULN|6ASPD|7RPLT|8MLV|9AME
42	13282 12473	   	255.02	ACR|DCR|2VULN|1DMG|2CDMG	17TLV|27CDMG|3MBVNT|4aRCR|57VULN|6RMIN|7BPWR|8ERES|9DMG
43	13282 12773	   	255.02	ACR|DCR|2VULN|1DMG|2CDMG	17TLV|27CDMG|3MBVNT|4aRCR|57VULN|6RMIN|7BPWR|8AME|9DMG
44	13284 42473	   	255.02	ACR|DCR|2VULN|1DMG|2CDMG	17TLV|27CDMG|3MBVNT|4aRCR|5RMIN|67VULN|7BPWR|8ERES|9DMG
45	13284 42773	   	255.02	ACR|DCR|2VULN|1DMG|2CDMG	17TLV|27CDMG|3MBVNT|4aRCR|5RMIN|67VULN|7BPWR|8AME|9DMG
46	13282 34813	   	254.92	ACR|DCR|2VULN|1DMG|2CDMG	1TLV|28CDMG|3MBVNT|4aRCR|57VULN|6DMG|9LHND
47	13282 34873	   	254.92	ACR|DCR|2VULN|1DMG|2CDMG	1TLV|28CDMG|3MBVNT|4aRCR|57VULN|6DMG|9BEXP
48	13288 24621	 * 	254.65	ACR|DCR|2VULN|2ASPD|1CDMG	1TLV|2CDMG|3MBVNT|46RCR|57ASPD|8aVULN|9LIT
