0	Index      	 *	Score 	Summary	Detail	
1	43131 26352	 * 	275.80	ACR|DCR|2VULN|1DMG|1MLV|1ASPD|1RPLT	1TSLARM|28RCR|3RPLT|49VULN|5FEWX|6DMG|7MLV|aASPD
29	12211 62321	 * 	253.31	DCR|DCR|2VULN|1RPLT|1SELL	1LWND|2SELL|3FEWX|4TBNT|5RPLT|67VULN|8aRCR|9BBNT
30	12243 34321	 * 	253.31	DCR|DCR|2VULN|1RPLT|1SELL	1LWND|2SELL|3FEWX|45VULN|6RPLT|7BBNT|8aRCR|9TBNT
31	12252 62321	 * 	253.31	DCR|DCR|2VULN|1RPLT|1SELL	1LWND|2SELL|3FEWX|4RPLT|5TBNT|67VULN|8aRCR|9BBNT
32	12322 63321	 * 	253.31	DCR|DCR|2VULN|1RPLT|1SELL	1LWND|2SELL|34VULN|5TBNT|6BEXP|7RPLT|8aRCR|9BBNT
33	12324 63321	 * 	253.31	DCR|DCR|2VULN|1RPLT|1SELL	1LWND|2SELL|34VULN|5BBNT|6BEXP|7RPLT|8aRCR|9TBNT
34	12333 34321	 * 	253.31	DCR|DCR|2VULN|1RPLT|1SELL	1LWND|2SELL|35VULN|4FEWX|6RPLT|7BBNT|8aRCR|9TBNT
35	22111 62321	 * 	253.31	DCR|DCR|2VULN|1RPLT|1SELL	1FEWX|2SELL|3LWND|4TBNT|5RPLT|67VULN|8aRCR|9BBNT
36	22143 34321	 * 	253.31	DCR|DCR|2VULN|1RPLT|1SELL	1FEWX|2SELL|3LWND|45VULN|6RPLT|7BBNT|8aRCR|9TBNT
37	22152 62321	 * 	253.31	DCR|DCR|2VULN|1RPLT|1SELL	1FEWX|2SELL|3LWND|4RPLT|5TBNT|67VULN|8aRCR|9BBNT
38	12321 34321	 * 	253.21	DCR|DCR|2VULN|1RPLT|1SELL	1LWND|2SELL|34VULN|5DUST|6RPLT|7BBNT|8aRCR|9TBNT
39	12361 32321	 * 	253.21	DCR|DCR|2VULN|1RPLT|1SELL	1LWND|2SELL|37VULN|4BBNT|5RPLT|6DUST|8aRCR|9TBNT
40	21215 28542	 * 	252.36	DCR|DCR|2MLV|1DMG|1CDMG	1FEWX|2RCVC|3MBVNT|48MLV|5CDMG|6CGEN|79RCR|aDMG
41	23413 44321	 * 	251.21	DCR|DCR|1VULN|1DMG|1CDMG	1FEWX|2CDMG|3DMG|4AME|5VULN|69RCR|7MDPS|8TBNT|aAAC
42	23413 44322	   	251.21	DCR|DCR|1VULN|1DMG|1CDMG	1aFEWX|2CDMG|3DMG|4AME|5VULN|69RCR|7MDPS|8TBNT
43	23413 44323	   	251.21	DCR|DCR|1VULN|1DMG|1CDMG	1FEWX|2CDMG|3DMG|4AME|5VULN|69RCR|7MDPS|8TBNT|aCGEN
44	63161 11326	   	250.68	ACR|DCR|3VULN|1CDMG	1LIT|2CDMG|36RCR|4RCVC|5AELOIC|7TLV|89aVULN
45	43131 33352	   	250.56	ACR|DCR|2VULN|2ASPD|1RPLT	1TSLARM|28RCR|3RPLT|49VULN|5FEWX|6aASPD|7ERES
46	43131 26315	   	249.60	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1RPLT	1TSLARM|28RCR|3RPLT|4VULN|5FEWX|6DMG|7MLV|9LWND|aASPD
47	43131 26331	   	249.60	ACR|DCR|1VULN|1DMG|1MLV|1CDMG|1RPLT	1TSLARM|28RCR|3RPLT|4VULN|5FEWX|6DMG|7MLV|9CGEN|aCDMG
48	43131 26341	   	249.60	ACR|DCR|1VULN|1DMG|1MLV|1CDMG|1RPLT	1TSLARM|28RCR|3RPLT|4VULN|5FEWX|6DMG|7MLV|9RMIN|aCDMG
49	43133 26331	   	249.50	ACR|DCR|1VULN|1DMG|1MLV|1CDMG|1RPLT	1TSLARM|28RCR|3RPLT|4VULN|5DUST|6DMG|7MLV|9CGEN|aCDMG
50	43133 26341	   	249.50	ACR|DCR|1VULN|1DMG|1MLV|1CDMG|1RPLT	1TSLARM|28RCR|3RPLT|4VULN|5DUST|6DMG|7MLV|9RMIN|aCDMG
51	22523 26533	   	248.97	DCR|DCR|1VULN|1ASPD|1AART|1SELL	1FEWX|2SELL|3ASPD|4MBVNT|5DUR|6CGEN|7VULN|8aRCR|9AART
52	21215 28844	   	248.68	DCR|DCR|1VULN|1MLV|1CDMG	1FEWX|2RCVC|3MBVNT|4MLV|5CDMG|6CGEN|79RCR|8AELOIC|aVULN
53	63161 11321	   	248.61	ACR|DCR|2VULN|1DMG|1CDMG	1LIT|2CDMG|36RCR|4RCVC|5AELOIC|7TLV|89VULN|aDMG
54	63161 16333	   	248.61	ACR|DCR|2VULN|1DMG|1CDMG	1LIT|2CDMG|36RCR|4RCVC|5AELOIC|7CGEN|8aVULN|9DMG
55	63161 14321	   	248.36	ACR|DCR|2VULN|1DMG|1CDMG|1ZMB	1LIT|2CDMG|36RCR|4RCVC|5AELOIC|7ZMB|89VULN|aDMG
56	12313 44325	   	247.07	DCR|DCR|1VULN|1DMG|1AART|1SELL	1LWND|2SELL|3VULN|4TLV|5DMG|69RCR|7MDPS|8TBNT|aAART
57	43356 13112	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3RMIN|47aVULN|5AART|6FEWX|9CGEN
58	43356 13122	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3RMIN|47aVULN|5AART|6FEWX|9BBNT
59	43356 13131	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3RMIN|479VULN|5AART|6FEWX|aLWND
60	43356 13133	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3RMIN|479VULN|5AART|6FEWX|aBEXP
61	43366 33112	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3RMIN|4LWND|5AART|67aVULN|9CGEN
62	43366 33131	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3RMIN|4aLWND|5AART|679VULN
63	43521 13112	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|47aVULN|5TLV|6BEXP|9CGEN
64	43521 13122	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|47aVULN|5TLV|6BEXP|9BBNT
65	43521 13131	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|479VULN|5TLV|6BEXP|aLWND
66	43521 13133	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|479VULN|5TLV|6aBEXP
67	43521 13135	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|479VULN|5TLV|6BEXP|aBELT
68	43521 13136	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|479VULN|5TLV|6BEXP|aBBNT
69	43521 13613	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|2aRCR|3AART|478VULN|5TLV|6BEXP|9LIT
70	43521 43112	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|46aVULN|5TLV|7BEXP|9CGEN
71	43521 43122	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|46aVULN|5TLV|7BEXP|9BBNT
72	43521 43131	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|469VULN|5TLV|7BEXP|aLWND
73	43521 43133	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|469VULN|5TLV|7aBEXP
74	43521 63112	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|47aVULN|5TLV|6LHND|9CGEN
75	43521 63131	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|479VULN|5TLV|6LHND|aLWND
76	43521 63133	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|479VULN|5TLV|6LHND|aBEXP
77	43522 43132	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|47aVULN|5LWND|6CGEN|9RMIN
78	43522 53112	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|47aVULN|5LWND|6RMIN|9CGEN
79	43522 53131	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|479VULN|5aLWND|6RMIN
80	43531 33112	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|4BEXP|5TLV|67aVULN|9CGEN
81	43531 33122	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|4BEXP|5TLV|67aVULN|9BBNT
82	43531 33131	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|4BEXP|5TLV|679VULN|aLWND
83	43531 33133	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|4aBEXP|5TLV|679VULN
84	43531 33135	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|4BEXP|5TLV|679VULN|aBELT
85	43531 33136	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|4BEXP|5TLV|679VULN|aBBNT
86	43531 33613	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|2aRCR|3AART|4BEXP|5TLV|678VULN|9LIT
87	43626 33132	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3BEXP|4CGEN|5AART|67aVULN|9RMIN
88	43636 33112	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3BEXP|4RMIN|5AART|67aVULN|9CGEN
89	43636 33122	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3BEXP|4RMIN|5AART|67aVULN|9BBNT
90	43636 33131	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3BEXP|4RMIN|5AART|679VULN|aLWND
91	43636 33133	   	246.69	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3aBEXP|4RMIN|5AART|679VULN
92	43326 33112	   	246.59	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3RMIN|4DUST|5AART|67aVULN|9CGEN
93	43326 33122	   	246.59	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3RMIN|4DUST|5AART|67aVULN|9BBNT
94	43326 33131	   	246.59	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3RMIN|4DUST|5AART|679VULN|aLWND
95	43326 33133	   	246.59	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3RMIN|4DUST|5AART|679VULN|aBEXP
96	43356 13132	   	246.59	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3RMIN|479VULN|5AART|6FEWX|aERES
97	43366 33132	   	246.59	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3RMIN|4LWND|5AART|679VULN|aSPLREG
98	43521 13132	   	246.59	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|479VULN|5TLV|6BEXP|aERES
99	43521 13134	   	246.59	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|479VULN|5TLV|6BEXP|aBASICY
100	43521 41112	   	246.59	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|46aVULN|5TLV|7LEGI|9CGEN
101	43521 41131	   	246.59	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|469VULN|5TLV|7LEGI|aLWND
102	43521 41133	   	246.59	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|469VULN|5TLV|7LEGI|aBEXP
103	43521 43132	   	246.59	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|469VULN|5TLV|7BEXP|aERES
104	43521 63132	   	246.59	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|479VULN|5TLV|6LHND|aERES
105	43522 53132	   	246.59	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|479VULN|5LWND|6RMIN|aSPLREG
106	43531 33132	   	246.59	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|4BEXP|5TLV|679VULN|aERES
107	43531 33134	   	246.59	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|4BEXP|5TLV|679VULN|aBASICY
108	43636 33132	   	246.59	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3BEXP|4RMIN|5AART|679VULN|aERES
109	63161 12513	   	246.51	ACR|DCR|2VULN|1CDMG|1AART	1LIT|2CDMG|36RCR|4RCVC|5AELOIC|7AART|8aVULN|9DUR
110	43326 33132	   	246.49	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3RMIN|4DUST|5AART|679VULN|aERES
111	43326 33136	   	246.49	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3RMIN|4DUST|5AART|679VULN|aLSRREG
112	43521 41132	   	246.49	ACR|DCR|3VULN|1AART	1TSLARM|28RCR|3AART|469VULN|5TLV|7LEGI|aERES
113	21351 24321	   	245.96	DCR|DCR|1VULN|1DMG	1FEWX|2RCVC|3VULN|4MBVNT|5TBNT|6DUR|7DMG|8aRCR|9BBNT
