0	Index      	 *	Score 	Summary	Detail	
1	23521 11366	 * 	280.91	ACR|DCR|4VULN|2DUR|1RPLT	1RPLT|2579VULN|3aRCR|47DUR|67BEXP|7BPWR|8ERES
24	53112 64261	   	258.55	DCR|DCR|2VULN|2DUR	1LIT|28DUR|3BELT|4aVULN|5LSRHEA|6MBVNT|79RCR
25	51216 33336	   	257.55	DCR|DCR|2VULN|1CDMG	1LIT|2FEWX|3CDMG|47VULN|5LWND|6TLV|8aRCR|9LHND
26	23521 32356	   	255.00	ACR|DCR|3VULN|1RPLT	1RPLT|256VULN|3aRCR|4DUR|79LHND|8ERES
27	23521 13166	   	254.90	ACR|DCR|3VULN|1RPLT	1RPLT|257VULN|3aRCR|4DUR|6BEXP|8AELOIC|9ERES
28	23521 21366	   	254.90	ACR|DCR|3VULN|1RPLT	1RPLT|259VULN|3aRCR|4DUR|6RCVC|7DUST|8ERES
29	23521 31166	   	254.80	ACR|DCR|3VULN|1RPLT	1RPLT|256VULN|3aRCR|4DUR|7DUST|8AELOIC|9ERES
30	11353 42333	 * 	254.65	ACR|DCR|2VULN|2ASPD|1CDMG	1CGEN|2TBNT|37VULN|49RCR|5MDPS|6CDMG|8aASPD
31	22232 23263	   	254.01	ACR|DCR|1VULN|1DMG|1MLV|1AART|1RPLT	1RPLT|2DMG|3MLV|48RCR|5BBNT|6VULN|7DUR|9TBNT|aAART
32	22232 62226	   	253.53	ACR|DCR|2DMG|1VULN|1MLV|1RPLT	1RPLT|27DMG|3MLV|48RCR|5BBNT|6MDPS|9BEXP|aVULN
33	22232 62242	   	253.53	ACR|DCR|2DMG|1VULN|1MLV|1RPLT	1RPLT|27DMG|3MLV|48RCR|5BBNT|6MDPS|9RCVC|aVULN
34	22132 21232	 * 	253.02	ACR|DCR|2VULN|1DMG|1RPLT	1RPLT|2DMG|39RMIN|48RCR|5BBNT|6aVULN|7DUR
35	22232 62243	 * 	252.80	ACR|DCR|3DMG|2MLV|1RPLT	1RPLT|27aDMG|3aMLV|48RCR|5BBNT|6MDPS|9RCVC|aBPWR
36	52111 45321	   	252.20	DCR|DCR|2VULN	1LIT|2LHND|3BELT|47VULN|5DUR|68RCR|9RMIN|aTLV
37	52111 45323	   	252.20	DCR|DCR|2VULN	1LIT|2LHND|3BELT|47VULN|5DUR|68RCR|9RMIN|aBEXP
38	52111 45332	   	252.20	DCR|DCR|2VULN	1LIT|29LHND|3BELT|47VULN|5DUR|68RCR|aBEXP
39	52111 43316	   	252.10	DCR|DCR|2VULN	17LIT|2LHND|3BELT|4aVULN|5DUR|68RCR|9DUST
40	52111 45312	   	252.10	DCR|DCR|2VULN	1LIT|2LHND|3BELT|47VULN|5DUR|68RCR|9DUST|aAAC
41	52111 45322	   	252.10	DCR|DCR|2VULN|1MSE	1LIT|2LHND|3BELT|47VULN|5DUR|68RCR|9RMIN|aMSE
42	52111 45333	   	252.10	DCR|DCR|2VULN	1LIT|29LHND|3BELT|47VULN|5DUR|68RCR|aERES
43	53112 64461	   	252.00	DCR|DCR|2VULN	18LIT|2DUR|3BELT|4aVULN|5LSRHEA|6MBVNT|79RCR
44	53433 34331	   	252.00	DCR|DCR|2VULN	1LIT|2DUR|3NUKE|46VULN|5TLV|79RCR|8BELT|aMBVNT
45	53433 34332	   	252.00	DCR|DCR|2VULN|1SELL	1LIT|2DUR|3NUKE|46VULN|5TLV|79RCR|8BELT|aSELL
46	53433 34333	   	252.00	DCR|DCR|2VULN	1LIT|2DUR|3NUKE|46VULN|5TLV|79RCR|8BELT|aDUST
47	52111 45311	   	252.00	DCR|DCR|2VULN	1LIT|2LHND|3BELT|47VULN|5DUR|68RCR|9aDUST
48	52111 45313	   	252.00	DCR|DCR|2VULN	1LIT|2LHND|3BELT|47VULN|5DUR|68RCR|9DUST|aERES
49	11353 42334	   	251.85	ACR|DCR|2VULN|1ASPD|1CDMG|1RPLT	1CGEN|2TBNT|37VULN|49RCR|5MDPS|6CDMG|8ASPD|aRPLT
