0	Index      	 *	Score 	Summary	Detail	
1	41543 22123	 * 	281.73	DCR|DCR|2VULN|1DMG|1RPLT	1RPLT|2DMSP|3aVULN|4DMG|5AME|6LSRHEA|78RCR|9DUR
15	33647 12824	   	263.76	DCR|DCR|2VULN|1DMG	1BBNT|2RMIN|3MBVNT|4MDPS|59VULN|6LWND|78RCR|aDMG
16	33647 22824	   	263.76	DCR|DCR|2VULN|1DMG	1BBNT|2RMIN|3MBVNT|4MDPS|59VULN|6BEXP|78RCR|aDMG
17	32125 31434	   	262.74	DCR|DCR|2DMG|1MLV|1ASPD	1BBNT|2CGEN|3BEXP|4ASPD|5DUR|6MLV|79DMG|8aRCR
18	41543 22121	   	262.07	DCR|DCR|1VULN|1DMG|2DUR|1RPLT	1RPLT|2DMSP|3VULN|4DMG|5AME|6LSRHEA|78RCR|9aDUR
19	12543 22142	 * 	261.92	DCR|DCR|2MLV|1DMG|1ASPD|1RPLT	1aMLV|2RPLT|3CGEN|4DMG|5AME|6LSRHEA|78RCR|9ASPD
20	41625 32123	   	261.76	DCR|DCR|2VULN|1RPLT	1RPLT|2DMSP|3TLV|4TSLARM|5aVULN|68RCR|7AAC|9DUR
21	62324 32512	   	261.42	DCR|DCR|2VULN|1RPLT|1ZMB	1ERES|2RPLT|3aVULN|4ZMB|5FEWX|68RCR|7MDPS|9DUR
22	33641 22812	   	261.23	DCR|DCR|2VULN|1MLV	1BBNT|2RMIN|3MBVNT|4MDPS|5LWND|6aVULN|78RCR|9MLV
23	33647 12812	   	261.23	DCR|DCR|2VULN|1MLV	1BBNT|2RMIN|3MBVNT|4MDPS|5aVULN|6LWND|78RCR|9MLV
24	26113 51145	   	261.13	DCR|DCR|2VULN|1MLV	1DUST|23VULN|4MBVNT|5BEXP|6MDPS|7aRCR|8MLV|9RMIN
25	26152 31145	   	261.13	DCR|DCR|2VULN|1MLV	1DUST|23VULN|4FEWX|5MDPS|6MBVNT|7aRCR|8MLV|9RMIN
26	26111 51145	   	261.03	DCR|DCR|2VULN|1MLV	1DUST|23VULN|4MBVNT|5LEGI|6MDPS|7aRCR|8MLV|9RMIN
27	32125 31414	   	260.76	DCR|DCR|2MLV|1DMG|1ASPD	1BBNT|2CGEN|3BEXP|4ASPD|5DUR|69MLV|7DMG|8aRCR
28	12632 24226	 * 	260.44	DCR|3VULN|2MLV|2ASPD|1CDMG|1RPLT	17MLV|2RPLT|37FEWX|4CDMG|589VULN|67ASPD|7BPWR|aRCR
29	12324 32523	 * 	260.15	DCR|DCR|2MLV|1VULN|1RPLT|1ZMB	1aMLV|2RPLT|3VULN|4ZMB|5FEWX|68RCR|7MDPS|9LWND
30	12324 32533	 * 	260.05	DCR|DCR|2MLV|1VULN|1RPLT|1ZMB	1aMLV|2RPLT|3VULN|4ZMB|5FEWX|68RCR|7MDPS|9DUST
31	12324 32515	   	259.40	DCR|DCR|1VULN|1MLV|2DUR|1RPLT|1ZMB	1MLV|2RPLT|3VULN|4ZMB|5FEWX|68RCR|7MDPS|9aDUR
32	11513 51145	 * 	258.84	DCR|DCR|2MLV|1VULN	18MLV|2DUR|3RMIN|4MBVNT|5DUST|6MDPS|7aRCR|9VULN
33	33641 22835	   	258.75	DCR|DCR|2VULN|2DUR	1BBNT|2RMIN|3MBVNT|4MDPS|5aLWND|6aVULN|78RCR|9aDUR|aBPWR
34	12122 32146	   	258.44	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1MLV|2RPLT|3RMIN|4TLV|5BASHEA|68RCR|7AAC|9ASPD|aVULN
35	51132 21153	   	258.34	DCR|DCR|1VULN|2AART|1CDMG|1RPLT	1BEXP|2LHND|3VULN|4CDMG|56AART|79RCR|8AME|aRPLT
36	52132 21153	   	258.34	DCR|DCR|1VULN|2AART|1CDMG|1RPLT	1BEXP|2LWND|3VULN|4CDMG|56AART|79RCR|8AME|aRPLT
37	12122 34146	   	258.19	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT|1ZMB	1MLV|2RPLT|3RMIN|4TLV|5BASHEA|68RCR|7ZMB|9ASPD|aVULN
38	33641 22826	   	257.35	DCR|DCR|2VULN|1CDMG	1BBNT|2RMIN|3MBVNT|4MDPS|5LWND|69VULN|78RCR|aCDMG
39	33641 22827	   	257.35	DCR|DCR|2VULN|1ASPD	1BBNT|2RMIN|3MBVNT|4MDPS|5LWND|69VULN|78RCR|aASPD
40	33641 22872	   	257.35	DCR|DCR|2VULN|1ASPD	1BBNT|2RMIN|3MBVNT|4MDPS|5LWND|6aVULN|78RCR|9ASPD
41	41543 22131	   	255.52	DCR|DCR|1VULN|1DMG|1RPLT	1RPLT|2DMSP|3VULN|4DMG|5AME|6LSRHEA|78RCR|9LHND|aDUR
42	41543 22122	   	255.42	DCR|DCR|1VULN|1DMG|1RPLT	1RPLT|2DMSP|3VULN|4DMG|5AME|6LSRHEA|78RCR|9DUR|aBASICY
43	62543 22123	   	255.42	DCR|DCR|1VULN|1DMG|1RPLT	1ERES|2RPLT|3CGEN|4DMG|5AME|6LSRHEA|78RCR|9DUR|aVULN
44	33647 22814	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	1BBNT|2RMIN|3MBVNT|4MDPS|5VULN|6BEXP|78RCR|9MLV|aDMG
45	13123 12446	   	254.99	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2BELT|3VULN|4MSLTOX|5BBNT|6MBVNT|7DMG|8aRCR|9DLOT
46	13124 12446	   	254.99	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2BELT|3VULN|4MSLTOX|5TBNT|6MBVNT|7DMG|8aRCR|9DLOT
47	51132 21152	 * 	254.82	DCR|DCR|1VULN|3AART|1CDMG	1BEXP|2LHND|3VULN|4CDMG|56aAART|79RCR|8AME
48	52132 21152	   	254.82	DCR|DCR|1VULN|3AART|1CDMG	1BEXP|2LWND|3VULN|4CDMG|56aAART|79RCR|8AME
49	32122 31434	   	254.43	DCR|DCR|2DMG|1MLV|1ASPD	1BBNT|2CGEN|3BEXP|4ASPD|5LWND|6MLV|79DMG|8aRCR
50	32123 31434	   	254.43	DCR|DCR|2DMG|1MLV|1ASPD	1BBNT|2CGEN|3BEXP|4ASPD|5LHND|6MLV|79DMG|8aRCR
51	33122 41434	   	254.43	DCR|DCR|2DMG|1MLV|1ASPD	1BBNT|2RMIN|3BEXP|4ASPD|5LWND|6MLV|79DMG|8aRCR
52	33123 41434	   	254.43	DCR|DCR|2DMG|1MLV|1ASPD	1BBNT|2RMIN|3BEXP|4ASPD|5LHND|6MLV|79DMG|8aRCR
53	34122 31434	   	254.43	DCR|DCR|2DMG|1MLV|1ASPD	1BBNT|2TLV|3BEXP|4ASPD|5LWND|6MLV|79DMG|8aRCR
54	34123 31434	   	254.43	DCR|DCR|2DMG|1MLV|1ASPD	1BBNT|2TLV|3BEXP|4ASPD|5LHND|6MLV|79DMG|8aRCR
55	31314 31434	   	254.43	DCR|DCR|2DMG|1MLV|1ASPD	1BBNT|2LWND|3FEWX|49DMG|5TLV|6MLV|7ASPD|8aRCR
56	22234 31434	   	254.33	DCR|DCR|2DMG|1MLV|1ASPD	1DUST|2LWND|39DMG|4BBNT|5TLV|6MLV|7ASPD|8aRCR
57	12213 33172	   	253.56	DCR|DCR|2MLV|1DMG|2RPLT	14MLV|25RPLT|3DMSP|4BPWR|6aRCR|7LIT|8MBVNT|9DMG
58	12213 65172	   	253.56	DCR|DCR|2MLV|1DMG|2RPLT	14MLV|25RPLT|3DMSP|4BPWR|6LIT|7aRCR|8MBVNT|9DMG
59	11234 21421	 * 	253.52	DCR|DCR|2MLV|2CDMG|2DUR|1ZMB	19MLV|29DUR|3ZMB|4DMSP|58TLV|69CDMG|7aRCR|9BPWR
60	62324 32522	   	253.11	DCR|DCR|2VULN|1RPLT|1ZMB	1ERES|2RPLT|3aVULN|4ZMB|5FEWX|68RCR|7MDPS|9LWND
61	12522 32123	   	253.09	DCR|DCR|1VULN|1MLV|1RPLT	1MLV|2RPLT|3CGEN|4TLV|5SNITOX|68RCR|7AAC|9DUR|aVULN
62	62324 32532	   	253.01	DCR|DCR|2VULN|1RPLT|1ZMB	1ERES|2RPLT|3aVULN|4ZMB|5FEWX|68RCR|7MDPS|9DUST
63	12324 32511	   	252.85	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MLV|2RPLT|3VULN|4ZMB|5FEWX|68RCR|7MDPS|9DUR|aAAC
64	12324 32516	   	252.85	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MLV|2RPLT|3VULN|4ZMB|5FEWX|68RCR|7MDPS|9DUR|aLHND
65	12324 32525	   	252.85	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MLV|2RPLT|3VULN|4ZMB|5FEWX|68RCR|7MDPS|9LWND|aDUR
66	12522 34123	   	252.85	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MLV|2RPLT|3CGEN|4TLV|5SNITOX|68RCR|7ZMB|9DUR|aVULN
67	12324 32514	   	252.75	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MLV|2RPLT|3VULN|4ZMB|5FEWX|68RCR|7MDPS|9DUR|aTSLFST
68	12324 32535	   	252.75	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MLV|2RPLT|3VULN|4ZMB|5FEWX|68RCR|7MDPS|9DUST|aDUR
69	62324 32513	   	252.75	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1ERES|2RPLT|3VULN|4ZMB|5FEWX|68RCR|7MDPS|9DUR|aMLV
70	32122 31414	   	252.46	DCR|DCR|2MLV|1DMG|1ASPD	1BBNT|2CGEN|3BEXP|4ASPD|5LWND|69MLV|7DMG|8aRCR
71	32123 31414	   	252.46	DCR|DCR|2MLV|1DMG|1ASPD	1BBNT|2CGEN|3BEXP|4ASPD|5LHND|69MLV|7DMG|8aRCR
72	33122 41414	   	252.46	DCR|DCR|2MLV|1DMG|1ASPD	1BBNT|2RMIN|3BEXP|4ASPD|5LWND|69MLV|7DMG|8aRCR
73	33123 41414	   	252.46	DCR|DCR|2MLV|1DMG|1ASPD	1BBNT|2RMIN|3BEXP|4ASPD|5LHND|69MLV|7DMG|8aRCR
74	34122 31414	   	252.46	DCR|DCR|2MLV|1DMG|1ASPD	1BBNT|2TLV|3BEXP|4ASPD|5LWND|69MLV|7DMG|8aRCR
75	34123 31414	   	252.46	DCR|DCR|2MLV|1DMG|1ASPD	1BBNT|2TLV|3BEXP|4ASPD|5LHND|69MLV|7DMG|8aRCR
76	31314 31414	   	252.46	DCR|DCR|2MLV|1DMG|1ASPD	1BBNT|2LWND|3FEWX|4DMG|5TLV|69MLV|7ASPD|8aRCR
77	41543 22113	   	252.41	DCR|DCR|1VULN|1DMG|2RPLT	1aRPLT|2DMSP|3VULN|4DMG|5AME|6LSRHEA|78RCR|9RCVC
78	22234 31414	   	252.36	DCR|DCR|2MLV|1DMG|1ASPD	1DUST|2LWND|3DMG|4BBNT|5TLV|69MLV|7ASPD|8aRCR
79	33641 22825	   	252.00	DCR|DCR|2VULN	1BBNT|2RMIN|3MBVNT|4MDPS|5LWND|69VULN|78RCR|aDUR
80	26114 48135	 * 	251.83	DCR|4VULN|2DMG|1MLV	1aDUST|238aVULN|4MBVNT|5MLV|6AME|7RCR|9aDMG|aBPWR
