0	Index      	 *	Score 	Summary	Detail	Bounty	
1	23431 34224	 * 	302.81	橙5易伤2等级3时间	1479a易伤267时间37等级5双倍矿7序列升级8核	6
26	24323 15252	   	281.52	橙3易伤2等级2伤害2雷电	13a易伤2双倍矿3a序列升级48等级5a伤害6全技能7a雷电9核	7
27	23523 62423	   	280.39	橙4易伤2时间1等级2暴击	167a易伤2攻速3加一47暴击57时间7序列升级8核9等级	1
28	25252 14223	   	278.91	橙5易伤2等级1伤害	14579易伤247基地爆炸3双倍矿47序列升级67等级8核a伤害	1
29	22332 14242	   	278.81	橙5易伤2等级1伤害	13457易伤279低血量敌人67等级7序列升级8核a伤害	2
30	21332 14243	   	278.61	橙5易伤2等级1伤害	13457易伤2挖青67等级7序列升级8核9低血量敌人a伤害	2
31	21332 14262	   	278.61	橙5易伤2等级1伤害	13457易伤2挖青67等级7序列升级8核9立即金币a伤害	2
32	25321 34128	 * 	278.61	橙5易伤3等级3雷电	13689易伤2随机矿489雷电5加一789等级89序列升级a核	10
33	21332 56232	   	278.51	橙5易伤2等级1伤害	13456易伤2挖青79等级8核a伤害	2
34	25226 43221	   	277.55	橙5易伤3时间1伤害	13679易伤2随机矿456时间6序列升级8核a伤害	2
35	25316 43221	   	277.55	橙5易伤3时间1伤害	13679易伤2随机矿456时间6序列升级8核a伤害	4
36	25326 43221	   	277.55	橙5易伤3时间1伤害	13679易伤2随机矿456时间6序列升级8核a伤害	3
37	23131 62122	 * 	277.13	橙3易伤2伤害2时间1等级	147易伤27时间3攻速5等级67伤害7序列升级8立即金币9敌人爆炸a核	4
38	23413 42221	   	276.72	橙4易伤2等级1伤害1时间	1569易伤2时间39等级489金币生成7核9序列升级a伤害	10
39	23435 42221	   	276.72	橙4易伤2等级1伤害1时间	1469易伤2时间39等级589金币生成7核9序列升级a伤害	10
40	23431 62152	   	275.39	橙4易伤2时间1等级2雷电	149a易伤29时间3等级5双倍矿6攻速7核89雷电9序列升级	10
41	25252 14221	   	275.10	橙5易伤2等级1时间	14579易伤247基地爆炸3双倍矿47序列升级67等级8核a时间	1
42	22332 14241	   	275.00	橙5易伤2等级1时间	13457易伤279低血量敌人67等级7序列升级8核a时间	2
43	22433 42511	   	274.90	橙5易伤2等级2攻速	1569a易伤2低血量敌人3a等级4a攻速7核8额外掉落a序列升级	10
44	21332 14261	   	274.80	橙5易伤2等级1时间	13457易伤2挖青67等级7序列升级8核9立即金币a时间	2
45	21332 14231	   	274.70	橙5易伤3等级1时间	13457易伤2挖青679等级7序列升级8核a时间	2
46	21332 56231	   	274.70	橙5易伤2等级1时间	13456易伤2挖青79等级8核a时间	2
47	23423 42512	 * 	274.63	5易伤3伤害3时间1等级	1578a易伤28a时间3等级4雷电68a伤害8a序列升级9全技能	3
48	23431 25162	   	274.42	橙4易伤2等级1时间	1478易伤2时间35等级6全技能9攻速a核	4
49	23323 46353	   	273.81	橙3易伤3时间2伤害	157易伤278时间3金币生成4雷电67伤害7序列升级9全技能a核	3
50	23323 46353	   	273.81	橙3易伤3时间2伤害	157易伤278时间3矿等4雷电67伤害7序列升级9全技能a核	2
51	23123 46353	   	273.71	橙3易伤3时间2伤害	157易伤278时间3掉矿4雷电67伤害7序列升级9全技能a核	2
52	23121 52622	   	273.66	橙4易伤3时间3暴击	1678易伤278时间3攻速4低血量敌人578暴击78序列升级9赏金塔a核	5
53	23121 62622	   	273.66	橙4易伤3时间3暴击	1678易伤278时间3攻速4低血量敌人578暴击78序列升级9赏金塔a核	6
54	23124 62622	   	273.66	橙4易伤3时间3暴击	1578易伤278时间3攻速4低血量敌人678暴击78序列升级9赏金塔a核	5
55	23133 62622	   	273.66	橙4易伤3时间3暴击	1478易伤278时间3攻速5敌人爆炸678暴击78序列升级9赏金塔a核	5
56	23151 52622	   	273.66	橙4易伤3时间3暴击	1678易伤278时间3攻速4最后敌人578暴击78序列升级9赏金塔a核	5
57	23151 62622	   	273.66	橙4易伤3时间3暴击	1678易伤278时间3攻速4最后敌人578暴击78序列升级9赏金塔a核	6
58	23224 62622	   	273.56	橙4易伤3时间3暴击	1378易伤2攻速478时间5挖青678暴击78序列升级9赏金塔a核	1
59	21123 52622	   	273.56	橙4易伤3时间3暴击	1678易伤2挖青3攻速478暴击578时间78序列升级9赏金塔a核	3
60	23132 62622	   	273.56	橙4易伤3时间3暴击	1478易伤278时间3攻速5挖尘678暴击78序列升级9赏金塔a核	5
61	23141 52622	   	273.56	橙4易伤3时间3暴击	1678易伤278时间3攻速4挖尘578暴击78序列升级9赏金塔a核	5
62	23141 62622	   	273.56	橙4易伤3时间3暴击	1678易伤278时间3攻速4挖尘578暴击78序列升级9赏金塔a核	6
63	34131 52622	   	273.56	橙4易伤3时间3暴击	178时间2挖青3攻速4678易伤578暴击78序列升级9赏金塔a核	5
64	34131 62622	   	273.56	橙4易伤3时间3暴击	178时间2挖青3攻速4678易伤578暴击78序列升级9赏金塔a核	6
65	21423 41512	   	273.41	橙3易伤3伤害1等级3雷电	158易伤2挖青3等级478雷电689伤害8序列升级a核	3
66	23426 21613	   	273.25	橙3易伤2等级2伤害1时间	18a易伤2时间38等级49低血量敌人5基地爆炸6核78伤害8序列升级	10
67	23214 14412	   	273.23	橙4易伤2等级2雷电	135a易伤2攻速4立即金币6a等级7核8a雷电9全技能a序列升级	1
68	23443 21613	   	273.15	橙3易伤2等级2伤害1时间	18a易伤2时间38等级4挖尘59低血量敌人6核78伤害8序列升级	10
69	23431 34261	   	273.07	橙3易伤2等级3时间	147易伤267时间37等级5双倍矿7序列升级8核9立即金币a全技能	6
70	36332 14221	   	273.07	橙3易伤2等级3时间	137时间24立即金币579易伤67等级7序列升级8核a全技能	2
71	36362 14221	   	273.07	橙3易伤2等级3时间	137时间2立即金币4双倍矿579易伤67等级7序列升级8核a全技能	2
72	23142 34121	   	272.87	橙3易伤2等级3时间	189易伤269时间3掉矿4全技能5挖尘79等级9序列升级a核	2
