0	Index      	 *	Score 	Summary	Detail	
1	21432 64131	 * 	279.13	DCR|DCR|2VULN|2TLV|1CDMG	1aVULN|24TLV|3CDMG|5TBNT|67RCR|8ZMB|9AETHUN
59	21262 13552	   	255.94	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2TLV|3BOSS|4AME|5DMSP|6DMG|7ASPD|8FRZFST|9aRCR
60	51324 23322	   	255.14	DCR|DCR|1VULN|1FLTARM|1TLV	1DUST|2TLV|3FEWX|47LIT|5MBVNT|6aRCR|8FLTARM|9VULN
61	51324 24322	   	255.04	DCR|DCR|1VULN|1FLTARM|1TLV	17DUST|2TLV|3FEWX|4LIT|5MBVNT|6aRCR|8FLTARM|9VULN
62	21613 26513	   	254.98	DCR|DCR|2TLV|1VULN|1MLV	1VULN|23TLV|4MBVNT|5BOSS|6aRCR|7MLV|8RPLT|9FRZARM
63	21614 26513	   	254.98	DCR|DCR|2TLV|1VULN|1MLV	1VULN|23TLV|4MBVNT|5LIT|6aRCR|7MLV|8RPLT|9FRZARM
64	21613 21523	   	254.88	DCR|DCR|2TLV|1VULN|1MLV	1VULN|23TLV|4MBVNT|5BOSS|6aRCR|7SPLARM|8RPLT|9MLV
65	21613 23442	   	254.88	DCR|DCR|2TLV|1VULN|1MLV	1VULN|23TLV|4MBVNT|5BOSS|6aRCR|7DMSP|8MLV|9SPLREG
66	21614 21523	   	254.88	DCR|DCR|2TLV|1VULN|1MLV	1VULN|23TLV|4MBVNT|5LIT|6aRCR|7SPLARM|8RPLT|9MLV
67	21614 23442	   	254.88	DCR|DCR|2TLV|1VULN|1MLV	1VULN|23TLV|4MBVNT|5LIT|6aRCR|7DMSP|8MLV|9SPLREG
68	21613 28442	   	254.78	DCR|DCR|2TLV|1VULN|1MLV	1VULN|23TLV|4MBVNT|5BOSS|6aRCR|7AEPOI|8MLV|9SPLREG
69	21614 28442	   	254.78	DCR|DCR|2TLV|1VULN|1MLV	1VULN|23TLV|4MBVNT|5LIT|6aRCR|7AEPOI|8MLV|9SPLREG
70	21432 64113	   	253.02	DCR|DCR|2TLV|1VULN|1CDMG	1VULN|24TLV|3CDMG|5TBNT|67RCR|8ZMB|9CGEN|aLIT
71	21432 64311	   	253.02	DCR|DCR|2TLV|1VULN|1CDMG	1VULN|24TLV|3CDMG|5TBNT|67RCR|8RAT|9CGEN|aBEXP
72	21612 47413	   	253.02	DCR|DCR|2TLV|1VULN|1DUR	1VULN|23TLV|4MBVNT|5ZMB|6RCVC|7aRCR|8RPLT|9DUR
73	21613 24312	   	253.02	DCR|DCR|2TLV|1VULN|1DUR	1VULN|23TLV|4MBVNT|5BOSS|6aRCR|7DUR|8LWND|9VENTOX
74	21613 25512	   	253.02	DCR|DCR|2TLV|1VULN|1DUR	1VULN|23TLV|4MBVNT|5BOSS|6aRCR|7LHND|8DUR|9VENTOX
75	21613 27512	   	253.02	DCR|DCR|2TLV|1VULN|1DUR	1VULN|23TLV|4MBVNT|5BOSS|6aRCR|7FEWX|8DUR|9VENTOX
76	21614 24312	   	253.02	DCR|DCR|2TLV|1VULN|1DUR	1VULN|23TLV|4MBVNT|5LIT|6aRCR|7DUR|8LWND|9VENTOX
77	21614 25512	   	253.02	DCR|DCR|2TLV|1VULN|1DUR	1VULN|23TLV|4MBVNT|5LIT|6aRCR|7LHND|8DUR|9VENTOX
78	21614 27512	   	253.02	DCR|DCR|2TLV|1VULN|1DUR	1VULN|23TLV|4MBVNT|5LIT|6aRCR|7FEWX|8DUR|9VENTOX
79	21432 64111	   	252.92	DCR|DCR|2TLV|1VULN|1CDMG	1VULN|24TLV|3CDMG|5TBNT|67RCR|8ZMB|9CGEN|aAME
80	21432 64112	   	252.92	DCR|DCR|2TLV|1VULN|1CDMG	1VULN|24TLV|3CDMG|5TBNT|67RCR|8ZMB|9CGEN|aSNITOX
81	21432 64133	   	252.92	DCR|DCR|2TLV|1VULN|1CDMG	1VULN|24TLV|3CDMG|5TBNT|67RCR|8ZMB|9AETHUN|aFEWX
82	21432 64211	   	252.92	DCR|DCR|2TLV|1VULN|1CDMG	1VULN|24TLV|3CDMG|5TBNT|67RCR|8BASICY|9CGEN|aLIT
83	21432 64213	   	252.92	DCR|DCR|2TLV|1VULN|1CDMG	1VULN|24TLV|3CDMG|5TBNT|67RCR|8BASICY|9aCGEN
84	21432 64312	   	252.92	DCR|DCR|2TLV|1VULN|1CDMG	1VULN|24TLV|3CDMG|5TBNT|67RCR|8RAT|9CGEN|aMBVNT
85	21432 64313	   	252.92	DCR|DCR|2TLV|1VULN|1CDMG	1VULN|24TLV|3CDMG|5TBNT|67RCR|8RAT|9CGEN|aERES
86	21613 24863	   	252.92	DCR|DCR|2TLV|1VULN|1DUR	1VULN|23TLV|4MBVNT|5BOSS|6aRCR|7DUR|8RPLT|9FLTFST
87	21432 64132	   	252.82	DCR|DCR|2TLV|1VULN|1CDMG	1VULN|24TLV|3CDMG|5TBNT|67RCR|8ZMB|9AETHUN|aMDPS
88	21432 64212	   	252.82	DCR|DCR|2TLV|1VULN|1CDMG	1VULN|24TLV|3CDMG|5TBNT|67RCR|8BASICY|9CGEN|aDUST
89	21432 64221	   	252.82	DCR|DCR|2TLV|1VULN|1CDMG	1VULN|24TLV|3CDMG|5TBNT|67RCR|8BASICY|9AME|aLIT
90	21432 64223	   	252.82	DCR|DCR|2TLV|1VULN|1CDMG	1VULN|24TLV|3CDMG|5TBNT|67RCR|8BASICY|9AME|aCGEN
91	21613 22241	   	252.78	DCR|DCR|2TLV|1VULN|1DUR|1SELL	1VULN|23TLV|4MBVNT|5BOSS|6aRCR|7SELL|8RMIN|9DUR
92	21614 22241	   	252.78	DCR|DCR|2TLV|1VULN|1DUR|1SELL	1VULN|23TLV|4MBVNT|5LIT|6aRCR|7SELL|8RMIN|9DUR
93	21432 64222	   	252.72	DCR|DCR|2TLV|1VULN|1CDMG	1VULN|24TLV|3CDMG|5TBNT|67RCR|8BASICY|9AME|aDUST
94	43212 31562	   	251.48	DCR|DCR|2VULN|1MLV|1AAC	1MDPS|2CANSTR|34VULN|5LIT|6AAC|7MLV|8aRCR|9ASPD
95	21617 74323	 * 	250.75	DCR|2VULN|3TLV|2DMG|2DUR	15VULN|235TLV|4MBVNT|5BPWR|6aDMG|79DUR|8RCR
96	23223 65522	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1VULN|2BBNT|3CDMG|4AEWIND|5DMG|6aRCR|7DUR|8LWND|9FEWX
97	21421 41334	 * 	250.05	DCR|3VULN|3DUR|1TLV|2CDMG	19aVULN|2TLV|3aCDMG|4LIT|5RAT|6RCR|78aDUR|aBPWR
98	23221 46122	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1VULN|2BBNT|3CDMG|4AEWIND|5DUST|6DUR|7aRCR|8LWND|9DMG
99	23223 65222	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1VULN|2BBNT|3CDMG|4AEWIND|5DMG|6aRCR|7DUR|8DUST|9LHND
100	23223 65512	   	250.00	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1VULN|2BBNT|3CDMG|4AEWIND|5DMG|6aRCR|7DUR|8LWND|9DUST
101	32162 43152	   	249.63	DCR|DCR|2VULN|1DUR	1ZMB|2DMSP|38VULN|4FLTHEA|5ASPD|6DUR|7LIT|9aRCR
102	32431 21152	 * 	249.20	DCR|DCR|1VULN|2DUR|1DMG	1ZMB|2DMSP|35LIT|45DUR|5BPWR|6FRZARM|7VULN|8DMG|9aRCR
