0	Index      	 *	Score 	Summary	Detail	
1	25711 22132	 * 	262.65	DCR|DCR|2VULN|1DMG|1AART	1MBVNT|2RPLT|3LIT|4ERES|5DMG|67RCR|8AART|9aVULN
58	35625 13312	   	242.04	DCR|2VULN|2TLV|2MLV|1DMG|1DUR	1BBNT|2AETHUN|38VULN|48MLV|5AME|6DUR|78TLV|8BPWR|9RCR|aDMG
59	13451 32243	   	241.44	DCR|3VULN|3DUR|2DMG	169DUR|2RPLT|359VULN|49DMG|7TBNT|8RCR|9BPWR|aCGEN
60	13522 62242	   	241.44	DCR|3VULN|3DUR|2DMG	159DUR|2RPLT|3RCVC|49DMG|69aVULN|7TBNT|8RCR|9BPWR
61	13451 32241	   	241.34	DCR|3VULN|3DUR|2DMG	169DUR|2RPLT|359VULN|49DMG|7TBNT|8RCR|9BPWR|aAEFBLL
62	25711 22231	 * 	240.39	DCR|DCR|2DMG|1VULN	1MBVNT|2RPLT|3LIT|4ERES|58DMG|67RCR|9BEXP|aVULN
63	25711 22248	   	240.39	DCR|DCR|2DMG|1VULN	1MBVNT|2RPLT|3LIT|4ERES|58DMG|67RCR|9CGEN|aVULN
64	25711 22261	   	240.29	DCR|DCR|2DMG|1VULN	1MBVNT|2RPLT|3LIT|4ERES|58DMG|67RCR|9BBNT|aVULN
65	25711 22271	   	240.29	DCR|DCR|2DMG|1VULN	1MBVNT|2RPLT|3LIT|4ERES|58DMG|67RCR|9AETHUN|aVULN
66	27143 38643	   	240.01	DCR|2VULN|1TLV|1DMG|1MLV|1DUR|1AAC	1MBVNT|2ASPD|34VULN|5MLV|6DMG|7RCR|8TLV|9DUR|aAAC
67	13243 32241	 * 	239.94	DCR|3DUR|2TLV|1VULN|2MLV|1DMG	149DUR|2RPLT|3DMG|59TLV|69MLV|7TBNT|8RCR|9BPWR|aVULN
68	25714 22253	 * 	239.45	DCR|DCR|1FLTARM|1DMG|1MLV	1MBVNT|2RPLT|3LIT|4ERES|5ASPD|67RCR|8DMG|9MLV|aFLTARM
69	25714 22741	   	238.93	DCR|DCR|1VULN|1MLV|1DUR	1MBVNT|2RPLT|3LIT|4ERES|5ASPD|67RCR|8DUR|9VULN|aMLV
70	27142 44258	   	238.70	DCR|4VULN|2DUR|1AART|2ASPD	1MBVNT|27ASPD|3478VULN|57DUR|6AART|7BPWR|9BEXP|aRCR
71	27143 38642	   	238.65	DCR|2VULN|2MLV|1TLV|1DMG|1DUR	1MBVNT|2ASPD|34VULN|5aMLV|6DMG|7RCR|8TLV|9DUR
72	13243 34613	 * 	238.53	DCR|3DMG|3DUR|1TLV|2CDMG|1MLV	149DUR|2RPLT|39aDMG|5TLV|6MLV|7RCR|89CDMG|9BPWR
73	25711 22441	   	238.40	DCR|DCR|1VULN|1DMG|1MLV	1MBVNT|2RPLT|3LIT|4ERES|5DMG|67RCR|8BEXP|9VULN|aMLV
74	32366 21621	   	238.20	DCR|DCR|1VULN|1DMG|1MLV	1BBNT|2ZMB|3DMG|4MLV|5ERES|6CANARM|79RCR|8AEFBLL|aVULN
75	41326 12316	   	237.60	DCR|DCR|1TLV|1DMG|1DUR	1MDPS|2BEXP|3DMG|4DUR|5ASPD|6LIT|7aRCR|8FEWX|9TLV
76	45211 11235	 * 	237.03	DCR|3VULN|3TLV|2MLV	1MDPS|239TLV|39BPWR|4RPLT|579VULN|6TBNT|89MLV|aRCR
77	41225 52321	 * 	237.02	DCR|3VULN|2FLTARM|1MLV	1MDPS|2BEXP|356VULN|45FLTARM|5BPWR|7ASPD|8LWND|9RCR|aMLV
78	25714 22137	   	236.98	DCR|DCR|1VULN|1DUR|1AART	1MBVNT|2RPLT|3LIT|4ERES|5ASPD|67RCR|8AART|9VULN|aDUR
79	23334 12384	   	236.55	DCR|DCR|1VULN|1DMG|1DUR	1MBVNT|2LWND|3FEWX|4BEXP|5DUR|6LIT|7aRCR|8VULN|9DMG
80	25711 22133	   	236.45	DCR|DCR|1VULN|1DMG|1AART	1MBVNT|2RPLT|3LIT|4ERES|5DMG|67RCR|8AART|9VULN|aRAT
81	25711 22135	   	236.45	DCR|DCR|1VULN|1DMG|1AART	1MBVNT|2RPLT|3LIT|4ERES|5DMG|67RCR|8AART|9VULN|aLWND
82	25711 22136	   	236.45	DCR|DCR|1VULN|1DMG|1AART	1MBVNT|2RPLT|3LIT|4ERES|5DMG|67RCR|8AART|9VULN|aCGEN
83	25711 22142	   	236.45	DCR|DCR|1VULN|1DMG|1AART	1MBVNT|2RPLT|3LIT|4ERES|5DMG|67RCR|8AART|9BEXP|aVULN
84	25711 22446	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1MBVNT|2RPLT|3LIT|4ERES|5DMG|67RCR|8BEXP|9VULN|aDUR
85	25711 22447	   	236.45	DCR|DCR|1VULN|1DMG|1CDMG	1MBVNT|2RPLT|3LIT|4ERES|5DMG|67RCR|8BEXP|9VULN|aCDMG
86	25711 22742	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1MBVNT|2aRPLT|3LIT|4ERES|5DMG|67RCR|8DUR|9VULN
87	25711 22743	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1MBVNT|2RPLT|3LIT|4ERES|5DMG|67RCR|8DUR|9VULN|aLWND
88	23134 12384	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1MBVNT|2LWND|3DUST|4BEXP|5DUR|6LIT|7aRCR|8VULN|9DMG
89	25711 22131	   	236.35	DCR|DCR|1VULN|1DMG|1AART|1MSE	1MBVNT|2RPLT|3LIT|4ERES|5DMG|67RCR|8AART|9VULN|aMSE
90	25711 22134	   	236.35	DCR|DCR|1VULN|1DMG|1AART	1MBVNT|2RPLT|3LIT|4aERES|5DMG|67RCR|8AART|9VULN
91	25711 22138	   	236.35	DCR|DCR|1VULN|1DMG|1AART	1MBVNT|2RPLT|3LIT|4ERES|5DMG|67RCR|8AART|9VULN|aAEFBLL
92	25711 22154	   	236.35	DCR|DCR|1VULN|1DMG|1AART	1MBVNT|2RPLT|3LIT|4ERES|5DMG|67RCR|8AART|9AME|aVULN
93	25711 22182	   	236.35	DCR|DCR|1VULN|1DMG|1AART	1MBVNT|2RPLT|3LIT|4ERES|5DMG|67RCR|8AART|9DUST|aVULN
94	25711 22711	   	236.35	DCR|DCR|1VULN|1DMG|1DUR	1MBVNT|2RPLT|3LIT|4ERES|5DMG|67RCR|8DUR|9AEFBLL|aVULN
95	25711 22744	   	236.35	DCR|DCR|1VULN|1DMG|1DUR	1MBVNT|2RPLT|3LIT|4ERES|5DMG|67RCR|8DUR|9VULN|aMDPS
96	32333 51622	   	236.25	DCR|DCR|1VULN|1DMG|1AAC	1BBNT|2ZMB|3DMG|4AEFRZ|5MGNBOS|6VULN|79RCR|8AEFBLL|aAAC
97	32333 51623	   	236.25	DCR|DCR|1VULN|1DMG|1AART	1BBNT|2ZMB|3DMG|4AEFRZ|5MGNBOS|6VULN|79RCR|8AEFBLL|aAART
98	32333 51624	   	236.25	DCR|DCR|1VULN|1DMG|1DUR	1BBNT|2ZMB|3DMG|4AEFRZ|5MGNBOS|6VULN|79RCR|8AEFBLL|aDUR
99	32433 51622	   	236.25	DCR|DCR|1VULN|1DMG|1AAC	1BBNT|2ZMB|3AEBURN|4DMG|5MGNBOS|6VULN|79RCR|8AEFBLL|aAAC
100	32433 51623	   	236.25	DCR|DCR|1VULN|1DMG|1AART	1BBNT|2ZMB|3AEBURN|4DMG|5MGNBOS|6VULN|79RCR|8AEFBLL|aAART
101	32633 51622	   	236.25	DCR|DCR|1VULN|1DMG|1AAC	1BBNT|2ZMB|3AEFRZ|4DMG|5MGNBOS|6VULN|79RCR|8AEFBLL|aAAC
102	32633 51623	   	236.25	DCR|DCR|1VULN|1DMG|1AART	1BBNT|2ZMB|3AEFRZ|4DMG|5MGNBOS|6VULN|79RCR|8AEFBLL|aAART
103	36211 42316	   	236.25	DCR|DCR|1VULN|1DMG|2ASPD	1BBNT|2BOSS|3DMG|46ASPD|5DUST|7aRCR|8VULN|9AME
104	62235 12216	   	235.98	DCR|DCR|1VULN|1TLV|1AAC	1AAC|2ASPD|3VULN|4FEWX|5LIT|6MDPS|7aRCR|8LWND|9TLV
105	44611 21121	   	235.88	DCR|DCR|2VULN	1MDPS|2ZMB|3ASPD|4MGNBOS|5aVULN|68BEXP|79RCR
106	61312 12354	   	235.80	DCR|DCR|2DMG|1AAC|1DUR|1AART	1AAC|23DMG|4BOSS|5DUR|6FEWX|7AART|8aRCR|9RAT
107	61332 12354	   	235.80	DCR|DCR|2DMG|1AART|1DUR|1AAC	1AAC|23DMG|4LIT|5DUR|6FEWX|7AART|8aRCR|9RAT
108	25714 22423	   	235.78	DCR|DCR|1VULN|1TLV	1MBVNT|2RPLT|3LIT|4ERES|5ASPD|67RCR|8TLV|9BBNT|aVULN
109	27715 22423	   	235.78	DCR|DCR|1VULN|1TLV	1MBVNT|2ASPD|3ERES|4BOSS|5RPLT|67RCR|8TLV|9BBNT|aVULN
110	25711 22264	 * 	234.40	DCR|DCR|2DMG|1TLV	1MBVNT|2RPLT|3LIT|4ERES|58DMG|67RCR|9BBNT|aTLV
111	32364 24321	 * 	234.36	ACR|DCR|2DMG|1VULN|2MLV	1BBNT|2ZMB|36DMG|46MLV|59RCR|6BPWR|7AIRARM|8ERES|aVULN
112	32364 25321	   	234.36	ACR|DCR|2DMG|1VULN|2MLV	1BBNT|2ZMB|36DMG|46MLV|59RCR|6BPWR|7LSRREG|8ERES|aVULN
113	25711 22122	   	234.26	DCR|DCR|1DMG|1MSLTOX|1DUR|1AART	1MBVNT|2RPLT|3LIT|4ERES|5DMG|67RCR|8AART|9MSLTOX|aDUR
114	14233 14234	 * 	233.85	DCR|2VULN|2DMG|2DUR|1TLV	17DUR|2BBNT|37DMG|47VULN|5MDPS|6AETHUN|7BPWR|8BEXP|9RCR|aTLV
115	13243 34623	   	233.07	DCR|1VULN|2DUR|1TLV|1DMG|1MLV|1CDMG|1AAC	14DUR|2RPLT|3DMG|5TLV|6MLV|7RCR|8CDMG|9VULN|aAAC
