0	Index      	 *	Score 	Summary	Detail	
1	11313 13434	 * 	290.93	DCR|DCR|3VULN|2DUR|2ASPD	1aDUR|2ERES|36aVULN|4AETHUN|5RCVC|78RCR|9aASPD|aBPWR
35	13321 63462	   	271.95	DCR|DCR|1VULN|2DUR|1MLV|1AART|1AAC	14DUR|25LWND|3VULN|6MLV|78RCR|9AART|aAAC
36	11313 13464	   	271.85	DCR|DCR|2VULN|1MLV|1DUR|1AART	1DUR|2ERES|36VULN|4AETHUN|5RCVC|78RCR|9AART|aMLV
37	12235 13424	   	271.75	DCR|DCR|2VULN|1MLV|1DUR|1CDMG	1DUR|23DUST|4MLV|56VULN|78RCR|9AEBURN|aCDMG
38	12235 13434	   	271.75	DCR|DCR|2VULN|1MLV|1DUR|1CDMG	1DUR|23DUST|4MLV|56VULN|78RCR|9AEFRZ|aCDMG
39	15323 13423	   	270.75	DCR|DCR|2VULN|2DUR|1MLV	14DUR|2LHND|36VULN|5CGEN|78RCR|9BBNT|aMLV
40	13321 63415	   	270.75	DCR|DCR|1VULN|2DUR|1TLV|1MLV	14DUR|25LWND|3VULN|6MLV|78RCR|9FRZFST|aTLV
41	12235 13416	   	270.55	DCR|DCR|2VULN|2DUR|1MLV	1aDUR|23DUST|4MLV|56VULN|78RCR|9FRZFST
42	12235 33415	 * 	270.39	DCR|DCR|1VULN|2MLV|1TLV|1DUR	1DUR|23DUST|46MLV|5VULN|78RCR|9FRZFST|aTLV
43	15333 13462	   	270.09	DCR|DCR|2VULN|1DUR|1AART|1AAC	1DUR|2LHND|36VULN|4RCVC|5CGEN|78RCR|9AART|aAAC
44	11313 13462	   	269.89	DCR|DCR|2VULN|1DUR|1AART|1AAC	1DUR|2ERES|36VULN|4AETHUN|5RCVC|78RCR|9AART|aAAC
45	11316 13462	   	269.79	DCR|DCR|2VULN|1DUR|1AART|1AAC	1DUR|2ERES|36VULN|4AETHUN|5AEFBLL|78RCR|9AART|aAAC
46	11326 13415	   	268.89	DCR|DCR|2VULN|1TLV|1DUR	1DUR|2ERES|36VULN|4CGEN|5RMIN|78RCR|9VENTOX|aTLV
47	13326 13453	   	268.89	DCR|DCR|2VULN|2DUR|1CDMG	14DUR|2LWND|36VULN|5RMIN|78RCR|9RPLT|aCDMG
48	13336 13415	   	268.89	DCR|DCR|2VULN|1TLV|1DUR	1DUR|2LWND|36VULN|4RCVC|5RMIN|78RCR|9CANTOX|aTLV
49	15323 13461	   	268.89	DCR|DCR|2VULN|2DUR|1AART	14DUR|2LHND|36VULN|5CGEN|78RCR|9AART|aFEWX
50	15333 13415	   	268.89	DCR|DCR|2VULN|1TLV|1DUR	1DUR|2LHND|36VULN|4RCVC|5CGEN|78RCR|9FRZFST|aTLV
51	23326 13453	   	268.89	DCR|DCR|2VULN|1TLV|1CDMG	1DUST|2TLV|36VULN|4CGEN|5RMIN|78RCR|9RPLT|aCDMG
52	13326 13424	   	268.79	DCR|DCR|2VULN|2DUR|1CDMG	14DUR|2LWND|36VULN|5RMIN|78RCR|9AEBURN|aCDMG
53	13326 13434	   	268.79	DCR|DCR|2VULN|2DUR|1CDMG	14DUR|2LWND|36VULN|5RMIN|78RCR|9AEFRZ|aCDMG
54	15323 13463	   	268.79	DCR|DCR|2VULN|2DUR|1AART	14DUR|2LHND|36VULN|5CGEN|78RCR|9AART|aBBNT
55	23315 13461	   	268.79	DCR|DCR|2VULN|1TLV|1AART	1DUST|2TLV|35VULN|4AEWIND|6LWND|78RCR|9AART|aFEWX
56	23326 13424	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1DUST|2TLV|36VULN|4CGEN|5RMIN|78RCR|9BBNT|aDUR
57	11313 13415	   	268.69	DCR|DCR|2VULN|1TLV|1DUR	1DUR|2ERES|36VULN|4AETHUN|5RCVC|78RCR|9SPLARM|aTLV
58	11313 53434	   	268.69	DCR|DCR|2VULN|2DUR|2ASPD	1aDUR|26ERES|3aVULN|4AETHUN|5RCVC|78RCR|9aASPD|aBPWR
59	23315 13424	   	268.69	DCR|DCR|2VULN|1TLV|1CDMG	1DUST|2TLV|35VULN|4AEWIND|6LWND|78RCR|9AEBURN|aCDMG
60	23315 13434	   	268.69	DCR|DCR|2VULN|1TLV|1CDMG	1DUST|2TLV|35VULN|4AEWIND|6LWND|78RCR|9AEFRZ|aCDMG
61	23315 13463	   	268.69	DCR|DCR|2VULN|1TLV|1AART	1DUST|2TLV|35VULN|4AEWIND|6LWND|78RCR|9AART|aBBNT
62	23315 42412	   	268.69	DCR|DCR|2VULN|1TLV|1DUR	1DUST|2TLV|35VULN|4AEWIND|68RCR|7DUR|9FRZFST|aCGEN
63	23315 42413	   	268.69	DCR|DCR|2VULN|1TLV|1DUR	1DUST|2TLV|35VULN|4AEWIND|68RCR|7DUR|9FRZFST|aRPLT
64	23315 42422	   	268.69	DCR|DCR|2VULN|1TLV|1DUR	1DUST|2TLV|35VULN|4AEWIND|68RCR|7DUR|9AEBURN|aRMIN
65	23315 42423	   	268.69	DCR|DCR|2VULN|1TLV|1DUR	1DUST|2TLV|35VULN|4AEWIND|68RCR|7DUR|9AEBURN|aRAT
66	23315 42432	   	268.69	DCR|DCR|2VULN|1TLV|1DUR	1DUST|2TLV|35VULN|4AEWIND|68RCR|7DUR|9AEFRZ|aRMIN
67	23315 42433	   	268.69	DCR|DCR|2VULN|1TLV|1DUR	1DUST|2TLV|35VULN|4AEWIND|68RCR|7DUR|9AEFRZ|aRAT
68	11316 13415	   	268.59	DCR|DCR|2VULN|1TLV|1DUR	1DUR|2ERES|36VULN|4AETHUN|5AEFBLL|78RCR|9SPLARM|aTLV
69	11316 13434	   	268.59	DCR|DCR|2VULN|2DUR|2ASPD	1aDUR|2aERES|36VULN|4AETHUN|5AEFBLL|78RCR|9aASPD|aBPWR
70	23315 42411	   	268.59	DCR|DCR|2VULN|1TLV|1DUR	1DUST|2TLV|35VULN|4AEWIND|68RCR|7DUR|9FRZFST|aERES
71	13326 13416	 * 	266.59	DCR|DCR|2VULN|3DUR	14aDUR|2LWND|36VULN|5RMIN|78RCR|9CANTOX
72	15323 13416	   	266.59	DCR|DCR|2VULN|3DUR	14aDUR|2LHND|36VULN|5CGEN|78RCR|9FRZFST
73	15323 13424	   	266.59	DCR|DCR|2VULN|3DUR	14aDUR|2LHND|36VULN|5CGEN|78RCR|9BBNT
74	23326 13415	 * 	265.58	DCR|DCR|2VULN|2TLV	1DUST|2aTLV|36VULN|4CGEN|5RMIN|78RCR|9VENTOX
75	23315 13415	   	265.38	DCR|DCR|2VULN|2TLV	1DUST|2aTLV|35VULN|4AEWIND|6LWND|78RCR|9FRZFST
76	13321 63441	   	265.23	DCR|DCR|1VULN|2DUR|1MLV|1CDMG	14DUR|25LWND|3VULN|6MLV|78RCR|9ASPD|aCDMG
77	12235 13443	   	265.13	DCR|DCR|2VULN|1MLV|1DUR	1DUR|23DUST|4MLV|56VULN|78RCR|9ASPD|aLHND
78	12235 33441	   	264.87	DCR|DCR|1VULN|2MLV|1DUR|1CDMG	1DUR|23DUST|46MLV|5VULN|78RCR|9ASPD|aCDMG
79	11326 13411	   	264.83	DCR|DCR|3VULN|1DUR	1DUR|2ERES|36aVULN|4CGEN|5RMIN|78RCR|9VENTOX
80	61313 13434	   	264.83	DCR|DCR|3VULN|2ASPD	1aLWND|2ERES|36aVULN|4AETHUN|5RCVC|78RCR|9aASPD|aBPWR
81	21313 13434	   	264.63	DCR|DCR|3VULN|2ASPD	1aDUST|2ERES|36aVULN|4AETHUN|5RCVC|78RCR|9aASPD|aBPWR
82	13321 63421	   	264.61	DCR|DCR|1VULN|2DUR|1DMG|1MLV	14DUR|25LWND|3VULN|6MLV|78RCR|9AEBURN|aDMG
83	13321 63431	   	264.61	DCR|DCR|1VULN|2DUR|1DMG|1MLV	14DUR|25LWND|3VULN|6MLV|78RCR|9AEFRZ|aDMG
84	22535 13421	   	264.51	DCR|DCR|2VULN|1DMG|1MLV	12DUST|3FEWX|4MLV|56VULN|78RCR|9AEBURN|aDMG
85	22535 13431	   	264.51	DCR|DCR|2VULN|1DMG|1MLV	12DUST|3FEWX|4MLV|56VULN|78RCR|9AEFRZ|aDMG
86	13324 63421	   	264.51	DCR|DCR|1VULN|2DUR|1DMG|1MLV	14DUR|2LWND|3VULN|5AEPOI|6MLV|78RCR|9AEBURN|aDMG
87	13324 63431	   	264.51	DCR|DCR|1VULN|2DUR|1DMG|1MLV	14DUR|2LWND|3VULN|5AEPOI|6MLV|78RCR|9AEFRZ|aDMG
88	23343 31626	   	264.51	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1NUKE	1DUST|2TLV|3VULN|4DMG|5NUKE|6MLV|7ERES|8aRCR|9RPLT
89	23363 31626	   	264.51	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1NUKE	1DUST|2TLV|3VULN|4NUKE|5DMG|6MLV|7ERES|8aRCR|9RPLT
90	12235 33461	 * 	264.35	DCR|DCR|1VULN|2MLV|1DMG|1DUR	1DUR|23DUST|46MLV|5VULN|78RCR|9DMSP|aDMG
91	12235 33421	   	264.25	DCR|DCR|1VULN|2MLV|1DMG|1DUR	1DUR|23DUST|46MLV|5VULN|78RCR|9AEBURN|aDMG
92	12235 33431	   	264.25	DCR|DCR|1VULN|2MLV|1DMG|1DUR	1DUR|23DUST|46MLV|5VULN|78RCR|9AEFRZ|aDMG
93	12435 33421	   	264.25	DCR|DCR|1VULN|2MLV|1DMG|1DUR	1DUR|2DUST|39AEBURN|46MLV|5VULN|78RCR|aDMG
94	12435 33431	   	264.25	DCR|DCR|1VULN|2MLV|1DMG|1DUR	1DUR|2DUST|3AEBURN|46MLV|5VULN|78RCR|9AEFRZ|aDMG
95	13336 13441	   	263.38	DCR|DCR|2VULN|1DUR|1CDMG	1DUR|2LWND|36VULN|4RCVC|5RMIN|78RCR|9ASPD|aCDMG
96	15333 13431	   	263.38	DCR|DCR|2VULN|1DUR|1CDMG	1DUR|2LHND|36VULN|4RCVC|5CGEN|78RCR|9ASPD|aCDMG
97	11326 13431	   	263.28	DCR|DCR|2VULN|1DUR|1CDMG	1DUR|2ERES|36VULN|4CGEN|5RMIN|78RCR|9ASPD|aCDMG
98	11313 13431	   	263.18	DCR|DCR|2VULN|1DUR|1CDMG	1DUR|2ERES|36VULN|4AETHUN|5RCVC|78RCR|9ASPD|aCDMG
99	11415 13431	   	263.18	DCR|DCR|2VULN|1DUR|1CDMG	1DUR|2ERES|3FEWX|4AEWIND|56VULN|78RCR|9ASPD|aCDMG
100	11515 13431	   	263.18	DCR|DCR|2VULN|1DUR|1CDMG	1DUR|2ERES|3LHND|4AEWIND|56VULN|78RCR|9ASPD|aCDMG
101	11316 13431	   	263.08	DCR|DCR|2VULN|1DUR|1CDMG	1DUR|2ERES|36VULN|4AETHUN|5AEFBLL|78RCR|9ASPD|aCDMG
102	13336 13461	   	262.85	DCR|DCR|2VULN|1DMG|1DUR	1DUR|2LWND|36VULN|4RCVC|5RMIN|78RCR|9DMSP|aDMG
103	11326 13461	   	262.75	DCR|DCR|2VULN|1DMG|1DUR	1DUR|2ERES|36VULN|4CGEN|5RMIN|78RCR|9DMSP|aDMG
104	13336 13421	   	262.75	DCR|DCR|2VULN|1DMG|1DUR	1DUR|2LWND|36VULN|4RCVC|5RMIN|78RCR|9AEBURN|aDMG
105	13336 13431	   	262.75	DCR|DCR|2VULN|1DMG|1DUR	1DUR|2LWND|36VULN|4RCVC|5RMIN|78RCR|9AEFRZ|aDMG
106	15336 13421	   	262.75	DCR|DCR|2VULN|1DMG|1DUR	1DUR|2LHND|36VULN|4RCVC|5RMIN|78RCR|9AEBURN|aDMG
107	15336 13431	   	262.75	DCR|DCR|2VULN|1DMG|1DUR	1DUR|2LHND|36VULN|4RCVC|5RMIN|78RCR|9AEFRZ|aDMG
108	13321 63442	   	262.59	DCR|DCR|1VULN|2DUR|1MLV|1NUKE	14DUR|25LWND|3VULN|6MLV|78RCR|9ASPD|aNUKE
109	23316 42421	   	262.45	DCR|DCR|1VULN|1TLV|1DMG|1DUR	15DUST|2TLV|3VULN|4AEWIND|68RCR|7DUR|9AEBURN|aDMG
110	23316 42431	   	262.45	DCR|DCR|1VULN|1TLV|1DMG|1DUR	15DUST|2TLV|3VULN|4AEWIND|68RCR|7DUR|9AEFRZ|aDMG
111	12235 33442	   	262.22	DCR|DCR|1VULN|2MLV|1DUR|1NUKE	1DUR|23DUST|46MLV|5VULN|78RCR|9ASPD|aNUKE
112	13326 13443	   	262.18	DCR|DCR|2VULN|2DUR	14DUR|2LWND|36VULN|5RMIN|78RCR|9ASPD|aLHND
113	15323 13435	   	262.18	DCR|DCR|2VULN|2DUR	14DUR|2LHND|36VULN|5CGEN|78RCR|9ASPD|aRAT
114	23326 13433	   	262.18	DCR|DCR|2VULN|1TLV	1DUST|2TLV|36VULN|4CGEN|5RMIN|78RCR|9ASPD|aLHND
115	23326 13435	   	262.18	DCR|DCR|2VULN|1TLV	1DUST|2TLV|36VULN|4CGEN|5RMIN|78RCR|9ASPD|aRAT
116	23326 13436	   	262.18	DCR|DCR|2VULN|1TLV	1DUST|2TLV|36VULN|4CGEN|5RMIN|78RCR|9ASPD|aBEXP
117	15323 13433	   	262.08	DCR|DCR|2VULN|2DUR	14DUR|2LHND|36VULN|5CGEN|78RCR|9ASPD|aLEGI
118	15323 13434	   	262.08	DCR|DCR|2VULN|2DUR	14DUR|2LHND|36VULN|5CGEN|78RCR|9ASPD|aFLTHEA
119	15323 13436	   	262.08	DCR|DCR|2VULN|2DUR|1MSE	14DUR|2LHND|36VULN|5CGEN|78RCR|9ASPD|aMSE
120	23326 13434	   	262.08	DCR|DCR|2VULN|1TLV	1DUST|2TLV|36VULN|4CGEN|5RMIN|78RCR|9ASPD|aLSRHEA
121	23315 13443	   	261.98	DCR|DCR|2VULN|1TLV	1DUST|2TLV|35VULN|4AEWIND|6LWND|78RCR|9ASPD|aLEGI
