0	Index      	 *	Score 	Summary	Detail	
1	12512 22442	 * 	252.58	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1BELT|2CDMG|3DLOT|4BBNT|5VULN|6ASPD|78RCR|9DUR|aMLV
64	33342 15111	 * 	228.24	DCR|2VULN|3DUR|1TLV|1CDMG	1AETHUN|28VULN|3CDMG|479DUR|5ASPD|6RCR|aTLV
65	54312 36321	 * 	228.13	DCR|3VULN|2FLTARM|1DUR	17ERES|237VULN|4BEXP|5CGEN|67FLTARM|7BPWR|8RAT|9RCR|aDUR
66	34231 23562	   	226.15	DCR|3VULN|1TLV|1DMG|1DUR	1AETHUN|2aFEWX|3DUR|47aVULN|5DMG|6RCR|8TLV|9aRAT|aBPWR
67	34231 23553	   	225.95	DCR|3VULN|1TLV|1DMG|1DUR	1AETHUN|2FEWX|3DUR|47aVULN|5DMG|6RCR|8TLV|9LWND
68	33335 22243	   	225.85	DCR|3VULN|1TLV|1DMG|1CDMG	1AETHUN|24aVULN|3CDMG|5MBVNT|6BOSS|7TLV|8DMG|9RCR
69	55123 32532	   	225.46	DCR|2VULN|2DUR|1TLV|1MLV|1AART	1ERES|2AART|3aAME|4TLV|5LWND|6aDUR|7RCR|8MLV|9aVULN|aBPWR
70	25332 26331	 * 	225.15	DCR|4VULN|1TLV|1DUR	16BEXP|2DUR|3LWND|458aVULN|7RCR|9TLV
71	25332 36331	   	225.15	DCR|4VULN|1TLV|1DUR	1BEXP|2DUR|36LWND|458aVULN|7RCR|9TLV
72	26131 26331	   	225.15	DCR|4VULN|1TLV|1DUR	16BEXP|2LWND|348aVULN|5DUR|7RCR|9TLV
73	26131 36331	   	225.15	DCR|4VULN|1TLV|1DUR	1BEXP|26LWND|348aVULN|5DUR|7RCR|9TLV
74	26232 26331	   	225.15	DCR|4VULN|1TLV|1DUR	16BEXP|2LWND|3DUR|458aVULN|7RCR|9TLV
75	26232 36331	   	225.15	DCR|4VULN|1TLV|1DUR	1BEXP|26LWND|3DUR|458aVULN|7RCR|9TLV
76	25332 46331	   	225.05	DCR|4VULN|1TLV|1DUR	1BEXP|2DUR|3LWND|458aVULN|6AEBURN|7RCR|9TLV
77	26131 46331	   	225.05	DCR|4VULN|1TLV|1DUR	1BEXP|2LWND|348aVULN|5DUR|6AEBURN|7RCR|9TLV
78	26232 46331	   	225.05	DCR|4VULN|1TLV|1DUR	1BEXP|2LWND|3DUR|458aVULN|6AEBURN|7RCR|9TLV
79	33335 22341	   	224.95	DCR|4VULN|1TLV|1CDMG	1AETHUN|249aVULN|3CDMG|5MBVNT|6BOSS|7TLV|8RCR
80	33335 33133	   	224.95	DCR|4VULN|1TLV|1CDMG	1AETHUN|2489VULN|3CDMG|5MBVNT|6BEXP|7RCR|aTLV
81	33345 15132	   	224.95	DCR|4VULN|2DUR|1CDMG|1AAC	1AETHUN|289aVULN|3CDMG|47DUR|5AAC|6RCR
82	52331 65313	   	224.95	DCR|4VULN|1TLV|1DUR	1ERES|2FEWX|3567VULN|4CANARM|8RCR|9TLV|aDUR
83	41132 13661	   	224.89	DCR|DCR|1VULN|1MLV|2SELL	17SELL|2DUST|3LWND|4VULN|5ASPD|6aRCR|8RAT|9MLV
84	33611 48824	 * 	223.36	DCR|2VULN|2DMG|1TLV|1MLV	1AETHUN|2aVULN|3DUST|4MBVNT|5aDMG|6MLV|7TLV|8aBEXP|9RCR|aBPWR
85	12512 22213	   	223.33	DCR|DCR|1VULN|1CDMG	1BELT|2CDMG|3DLOT|4BBNT|5VULN|6ASPD|7aRCR|8RMIN|9RPLT
86	12512 22411	   	223.33	DCR|DCR|1VULN|1CDMG	1BELT|2CDMG|3DLOT|4BBNT|5VULN|6ASPD|78RCR|9LHND|aRMIN
87	12512 22413	   	223.33	DCR|DCR|1VULN|1CDMG	1BELT|2CDMG|3DLOT|4BBNT|5VULN|6ASPD|78RCR|9LHND|aZMB
88	12512 22415	   	223.33	DCR|DCR|1VULN|1CDMG	1BELT|2CDMG|3DLOT|4BBNT|5VULN|6ASPD|78RCR|9aLHND
89	12512 22416	   	223.33	DCR|DCR|1VULN|1CDMG	1BELT|2CDMG|3DLOT|4BBNT|5VULN|6ASPD|78RCR|9LHND|aBEXP
90	12512 22461	   	223.33	DCR|DCR|1VULN|1CDMG	1BELT|2CDMG|3DLOT|4BBNT|5VULN|6ASPD|78RCR|9BEXP|aRMIN
91	12512 22463	   	223.33	DCR|DCR|1VULN|1CDMG	1BELT|2CDMG|3DLOT|4BBNT|5VULN|6ASPD|78RCR|9BEXP|aZMB
92	12512 22313	   	223.23	DCR|DCR|1VULN|1CDMG	1BELT|2CDMG|3DLOT|4BBNT|5VULN|6ASPD|7aRCR|8ERES|9RPLT
93	12512 22414	   	223.23	DCR|DCR|1VULN|1CDMG	1BELT|2CDMG|3DLOT|4BBNT|5VULN|6ASPD|78RCR|9LHND|aMDPS
94	12512 22421	   	223.23	DCR|DCR|1VULN|1CDMG	1BELT|2CDMG|3DLOT|4BBNT|5VULN|6ASPD|78RCR|9DUST|aRMIN
95	12512 22423	   	223.23	DCR|DCR|1VULN|1CDMG	1BELT|2CDMG|3DLOT|4BBNT|5VULN|6ASPD|78RCR|9DUST|aZMB
96	12512 22425	   	223.23	DCR|DCR|1VULN|1CDMG	1BELT|2CDMG|3DLOT|4BBNT|5VULN|6ASPD|78RCR|9DUST|aLHND
97	12512 22432	   	223.23	DCR|DCR|1VULN|1CDMG	1BELT|2CDMG|3DLOT|4BBNT|5VULN|6ASPD|78RCR|9TBNT|aZMB
98	12512 22433	   	223.23	DCR|DCR|1VULN|1CDMG	1BELT|2CDMG|3DLOT|4BBNT|5VULN|6ASPD|78RCR|9TBNT|aCGEN
99	12512 22434	   	223.23	DCR|DCR|1VULN|1CDMG	1BELT|2CDMG|3DLOT|4BBNT|5VULN|6ASPD|78RCR|9TBNT|aBEXP
100	42526 11222	   	223.21	DCR|2VULN|2DMG|1TLV|1MLV|1AAC|1SELL	1SELL|2TLV|3BOSS|4AAC|56VULN|7RCR|89DMG|aMLV
101	45232 23226	   	223.18	DCR|DCR|1VULN|1DUR|1SELL	1SELL|24RAT|3DUR|5LIT|69RCR|7VULN|8TBNT|aASPD
102	12512 22424	   	223.13	DCR|DCR|1VULN|1CDMG	1BELT|2CDMG|3DLOT|4BBNT|5VULN|6ASPD|78RCR|9DUST|aMDPS
103	12512 22426	   	223.13	DCR|DCR|1VULN|1CDMG	1BELT|2CDMG|3DLOT|4BBNT|5VULN|6ASPD|78RCR|9DUST|aERES
104	12512 22431	   	223.13	DCR|DCR|1VULN|1CDMG	1BELT|2CDMG|3DLOT|4BBNT|5VULN|6ASPD|78RCR|9TBNT|aMBVNT
105	12512 22435	   	223.13	DCR|DCR|1VULN|1CDMG	1BELT|2CDMG|3DLOT|4BBNT|5VULN|6ASPD|78RCR|9TBNT|aMULHEA
106	35115 54313	   	223.05	DCR|DCR|1FLTARM|1TLV	1AETHUN|2MBVNT|37RCVC|4TLV|5RAT|68RCR|9BEXP|aFLTARM
107	41332 13121	   	222.94	DCR|DCR|1VULN|1DUR|2SELL	17SELL|2DUST|3DUR|4VULN|5ASPD|6aRCR|8CGEN|9RAT
108	41332 13611	   	222.94	DCR|DCR|1VULN|1DUR|2SELL	17SELL|2DUST|3DUR|4VULN|5ASPD|6aRCR|8RAT|9RMIN
109	42142 12421	 * 	222.90	DCR|2VULN|2TLV|1DMG|1MLV|1SELL	1SELL|23TLV|4DMG|5RPLT|6aVULN|7RCR|8MLV|9ASPD
110	41332 13651	   	222.84	DCR|DCR|1VULN|1DUR|2SELL	17SELL|2DUST|3DUR|4VULN|5ASPD|6aRCR|8RAT|9ERES
