0	Index      	 *	Score 	Summary	Detail	
1	34213 11462	 * 	282.54	DCR|DCR|1VULN|1FLTARM|1TLV|1CDMG|1DUR	1LIT|2CDMG|3ERES|4VULN|5CGEN|6FLTARM|79RCR|8TLV|aDUR
23	52231 11263	   	258.39	DCR|DCR|1VULN|1FLTARM|1MLV|1CDMG	1CGEN|2CDMG|3VULN|4LIT|5MLV|6FLTARM|79RCR|8RMIN|aRCVC
24	52231 11265	   	258.39	DCR|DCR|1VULN|1FLTARM|1MLV|1CDMG	1CGEN|2CDMG|3VULN|4LIT|5MLV|6FLTARM|79RCR|8RMIN|aBEXP
25	52231 11266	   	258.39	DCR|DCR|1VULN|1FLTARM|1MLV|1CDMG	1CGEN|2CDMG|3VULN|4LIT|5MLV|6FLTARM|79RCR|8RMIN|aRAT
26	34211 11261	   	258.29	DCR|DCR|1VULN|1FLTARM|1MLV|1CDMG	1LIT|2CDMG|3ERES|4VULN|5MLV|6FLTARM|79RCR|8RMIN|aCGEN
27	34211 11263	   	258.29	DCR|DCR|1VULN|1FLTARM|1MLV|1CDMG	1LIT|2CDMG|3ERES|4VULN|5MLV|6FLTARM|79RCR|8RMIN|aFEWX
28	34211 11265	   	258.29	DCR|DCR|1VULN|1FLTARM|1MLV|1CDMG	1LIT|2CDMG|3ERES|4VULN|5MLV|6FLTARM|79RCR|8RMIN|aBEXP
29	34211 11266	   	258.29	DCR|DCR|1VULN|1FLTARM|1MLV|1CDMG	1LIT|2CDMG|3ERES|4VULN|5MLV|6FLTARM|79RCR|8RMIN|aRAT
30	34213 11264	   	258.29	DCR|DCR|1VULN|1FLTARM|1MLV|1CDMG	1LIT|2CDMG|3ERES|4VULN|5CGEN|6FLTARM|79RCR|8RMIN|aMLV
31	12226 25462	 * 	258.19	DCR|DCR|2VULN|1MLV|1CDMG	1MLV|2CDMG|39VULN|4BELT|5MBVNT|6LHND|7ERES|8aRCR
32	12226 35462	   	258.19	DCR|DCR|2VULN|1MLV|1CDMG	1MLV|2CDMG|39VULN|4BELT|5MBVNT|6LWND|7ERES|8aRCR
33	31411 11264	   	256.69	DCR|DCR|1VULN|2MLV|1FLTARM|1SELL	1LIT|2ERES|3SELL|4VULN|5aMLV|6FLTARM|79RCR|8RMIN
34	34213 11262	   	256.34	DCR|DCR|1VULN|1FLTARM|1CDMG|1DUR	1LIT|2CDMG|3ERES|4VULN|5CGEN|6FLTARM|79RCR|8RMIN|aDUR
35	35522 11261	 * 	255.10	DCR|DCR|2VULN|1FLTARM|1SELL	1LIT|2LWND|3SELL|46VULN|5FLTARM|79RCR|8RMIN|aCGEN
36	35522 11263	 * 	255.10	DCR|DCR|2VULN|1FLTARM|1SELL	1LIT|2LWND|3SELL|46VULN|5FLTARM|79RCR|8RMIN|aFEWX
37	36522 11261	 * 	255.10	DCR|DCR|2VULN|1FLTARM|1SELL	1LIT|2BEXP|3SELL|46VULN|5FLTARM|79RCR|8RMIN|aCGEN
38	36522 11263	 * 	255.10	DCR|DCR|2VULN|1FLTARM|1SELL	1LIT|2BEXP|3SELL|46VULN|5FLTARM|79RCR|8RMIN|aFEWX
39	32522 11261	 * 	255.00	DCR|DCR|2VULN|1FLTARM|1SELL	1LIT|2DUST|3SELL|46VULN|5FLTARM|79RCR|8RMIN|aCGEN
40	32522 11263	 * 	255.00	DCR|DCR|2VULN|1FLTARM|1SELL	1LIT|2DUST|3SELL|46VULN|5FLTARM|79RCR|8RMIN|aFEWX
41	31413 11461	   	255.00	DCR|DCR|1VULN|1FLTARM|1TLV|1SELL	1LIT|2ERES|3SELL|4VULN|5aCGEN|6FLTARM|79RCR|8TLV
42	31413 11463	   	255.00	DCR|DCR|1VULN|1FLTARM|1TLV|1SELL	1LIT|2ERES|3SELL|4VULN|5CGEN|6FLTARM|79RCR|8TLV|aRCVC
43	32522 11266	 * 	254.90	DCR|DCR|2VULN|1FLTARM|1SELL	1LIT|2DUST|3SELL|46VULN|5FLTARM|79RCR|8RMIN|aTBNT
44	34213 11266	   	253.69	DCR|DCR|1VULN|1FLTARM|1CDMG|1NUKE	1LIT|2CDMG|3ERES|4VULN|5CGEN|6FLTARM|79RCR|8RMIN|aNUKE
