0	Index      	 *	Score 	Summary	Detail	
1	62287 41343	 * 	282.62	DCR|DCR|1VULN|1TLV|1DMG|2CDMG|1AART	1DMG|2VULN|3MBVNT|4MDPS|5AART|6aRCR|78CDMG|9TLV
13	63121 32314	   	257.27	DCR|2VULN|2DMG|1TLV|2CDMG|1MLV|1DUR	17DMG|2BOSS|37VULN|4MLV|5TLV|67CDMG|7BPWR|8RCR|9RAT|aDUR
14	63121 32361	   	257.27	DCR|2VULN|2DMG|1TLV|2CDMG|1MLV|1AAC	17DMG|2BOSS|37VULN|4MLV|5TLV|67CDMG|7BPWR|8RCR|9LIT|aAAC
15	62111 34315	 * 	257.09	DCR|3VULN|3DMG|3DUR	16aDMG|29aVULN|35aDUR|4RCVC|7TBNT|8RCR|aBPWR
16	22433 37172	 * 	257.01	ACR|DCR|3VULN|1TLV|1DUR	1MBVNT|2aRCR|3AEFBLL|456VULN|7DUR|8RAT|9TLV
17	22533 37172	   	257.01	ACR|DCR|3VULN|1TLV|1DUR	1MBVNT|2aRCR|3AEWIND|456VULN|7DUR|8RAT|9TLV
18	22633 37172	   	257.01	ACR|DCR|3VULN|1TLV|1DUR	1MBVNT|2aRCR|3AEBURN|456VULN|7DUR|8RAT|9TLV
19	23244 25323	 * 	256.19	DCR|2VULN|2FLTARM|2DMG|1TLV	1MBVNT|27FLTARM|3MDPS|47VULN|57DMG|6BELT|7BPWR|8FEWX|9TLV|aRCR
20	22241 11323	 * 	256.13	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1AART|1CDMG	1MBVNT|2aRCR|3DMG|4AART|5TLV|6BEXP|7CDMG|8VULN|9DUR
21	22241 45313	   	256.13	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1AART|1CDMG	1MBVNT|2aRCR|3DMG|4AART|5TLV|6CDMG|7DUR|8VULN|9BEXP
22	22241 45323	   	256.13	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1AART|1CDMG	1MBVNT|2aRCR|3DMG|4AART|5TLV|6CDMG|7DUR|8VULN|9LHND
23	22241 81313	   	256.13	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1AART|1CDMG	1MBVNT|2aRCR|3DMG|4AART|5TLV|6DUR|7CDMG|8VULN|9BEXP
24	22241 81323	   	256.13	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1AART|1CDMG	1MBVNT|2aRCR|3DMG|4AART|5TLV|6DUR|7CDMG|8VULN|9LHND
25	22246 45313	   	256.13	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1AART|1CDMG	1MBVNT|2aRCR|3DMG|4AART|5CDMG|6TLV|7DUR|8VULN|9BEXP
26	22246 45323	   	256.13	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1AART|1CDMG	1MBVNT|2aRCR|3DMG|4AART|5CDMG|6TLV|7DUR|8VULN|9LHND
27	22246 26153	   	256.03	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1AART|1CDMG	1MBVNT|2aRCR|3DMG|4AART|5CDMG|6DUR|7VULN|8AETHUN|9TLV
28	22246 26243	   	256.03	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1AART|1CDMG	1MBVNT|2aRCR|3DMG|4AART|5CDMG|6DUR|7VULN|8DUST|9TLV
29	63121 32313	   	255.91	DCR|2VULN|2DMG|2MLV|1TLV|2CDMG	17DMG|2BOSS|37VULN|4aMLV|5TLV|67CDMG|7BPWR|8RCR|9RAT
30	63121 32322	   	255.91	DCR|2VULN|2DMG|2MLV|1TLV|2CDMG	17DMG|2aBOSS|37VULN|49MLV|5TLV|67CDMG|7BPWR|8RCR
31	63121 32324	   	255.91	DCR|2VULN|2DMG|2MLV|1TLV|2CDMG	17DMG|2BOSS|37VULN|49MLV|5TLV|67CDMG|7BPWR|8RCR|aCGEN
32	63121 32346	   	255.91	DCR|2VULN|2DMG|2MLV|1TLV|2CDMG	17DMG|2BOSS|37VULN|4aMLV|5TLV|67CDMG|7BPWR|8RCR|9BEXP
33	63121 32354	   	255.91	DCR|2VULN|2DMG|2MLV|1TLV|2CDMG	17DMG|2BOSS|37VULN|4aMLV|5TLV|67CDMG|7BPWR|8RCR|9CGEN
34	63121 32321	   	255.81	DCR|2VULN|2DMG|2MLV|1TLV|2CDMG	17DMG|2BOSS|37VULN|49MLV|5TLV|67CDMG|7BPWR|8RCR|aBBNT
35	63121 32323	   	255.81	DCR|2VULN|2DMG|2MLV|1TLV|2CDMG	17DMG|2BOSS|37VULN|49MLV|5TLV|67CDMG|7BPWR|8RCR|aAEFRZ
36	63121 32336	   	255.81	DCR|2VULN|2DMG|2MLV|1TLV|2CDMG	17DMG|2BOSS|37VULN|4aMLV|5TLV|67CDMG|7BPWR|8RCR|9DUST
37	23111 43858	 * 	254.80	DCR|DCR|1VULN|1TLV|1FLTARM|1SELL	1MBVNT|2FLTARM|3TBNT|4TLV|5RMIN|6aRCR|7SELL|8VULN|9ERES
38	23225 21175	 * 	252.95	DCR|3FLTARM|2VULN|2MLV|1AART	1MBVNT|25aFLTARM|3MDPS|45ERES|5aBPWR|6aMLV|7RCR|8AART|9aVULN
