0	Index      	 *	Score 	Summary	Detail	
1	24631 61312	 * 	206.19	ACR|2VULN|3AART|2BEXP|1ASPD	1DUST|29BEXP|368AART|4RCR|5ASPD|7aVULN
26	15336 14741	   	193.86	ACR|1BASARM|3BEXP|1DMG	1MDPS|2ZMB|3MBVNT|4RCR|5TLV|69aBEXP|7BASARM|8DMG
27	24631 62112	   	192.96	ACR|2BEXP|2AART|1ASPD|1DMG|1CDMG	1DUST|28BEXP|36AART|4RCR|5ASPD|7DMG|9CDMG|aRPLT
28	24631 62113	   	192.96	ACR|2BEXP|2AART|1ASPD|1DMG|1CDMG	1DUST|28BEXP|36AART|4RCR|5ASPD|7DMG|9CDMG|aCGEN
29	24631 62331	   	191.48	ACR|2AART|1VULN|1ASPD|1DMG|1BEXP|1AAC	1DUST|2BEXP|36AART|4RCR|5ASPD|7DMG|8TLV|9AAC|aVULN
30	15125 34471	   	191.24	ACR|1BASARM|2BEXP|1DMG|1CDMG	1MDPS|2ZMB|39BEXP|4MBVNT|5RCR|6TLV|7BASARM|8CDMG|aDMG
31	15125 44441	   	191.24	ACR|1BASARM|2BEXP|1DMG|1CDMG	1MDPS|2ZMB|39BEXP|4MBVNT|5RCR|6AME|7BASARM|8CDMG|aDMG
32	16525 44441	   	191.24	ACR|1BASARM|2BEXP|1DMG|1CDMG	1MDPS|29BEXP|3ZMB|4MBVNT|5RCR|6AME|7BASARM|8CDMG|aDMG
33	12125 24441	   	191.14	ACR|1BASARM|2BEXP|1DMG|1CDMG	1MDPS|2AME|39BEXP|4MBVNT|5RCR|6AAC|7BASARM|8CDMG|aDMG
34	24636 13223	 * 	190.39	ACR|2DMG|2BEXP|2AART|1CDMG	1DUST|26BEXP|39AART|4RCR|5MSLTOX|78DMG|aCDMG
35	15338 13363	 * 	189.93	ACR|1BASARM|2VULN|1AART|1CDMG	1MDPS|2ZMB|3MBVNT|4RCR|5DMSP|6BASARM|7aVULN|8AART|9CDMG
36	15338 13372	   	189.93	ACR|1BASARM|2BEXP|1VULN|1AART	1MDPS|2ZMB|3MBVNT|4RCR|5DMSP|6BASARM|7VULN|8AART|9aBEXP
37	12371 17261	 * 	189.93	ACR|1BASARM|2BEXP|1VULN|1ASPD	1MDPS|2AME|3MBVNT|4ASPD|5RCR|6aBEXP|7VULN|8BELT|9BASARM
38	12338 14468	   	189.71	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1MDPS|2AME|3MBVNT|4RCR|5ZMB|6BEXP|7BASARM|8CDMG|9DMG|aAAC
39	15333 14468	   	189.71	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1MDPS|2ZMB|3MBVNT|4RCR|5AME|6BEXP|7BASARM|8CDMG|9DMG|aAAC
40	21631 32563	 * 	189.62	ACR|2ASPD|1VULN|1DMG|1AART|1CDMG	1DUST|26LWND|3AART|4RCR|5aASPD|7DMG|8VULN|9CDMG
41	21631 12563	   	189.52	ACR|2ASPD|1VULN|1DMG|1AART|1CDMG	16DUST|2LWND|3AART|4RCR|5aASPD|7DMG|8VULN|9CDMG
42	15125 34741	   	188.86	ACR|1BASARM|3BEXP|1DMG	1MDPS|2ZMB|39aBEXP|4MBVNT|5RCR|6TLV|7BASARM|8DMG
43	15125 44741	   	188.86	ACR|1BASARM|3BEXP|1DMG	1MDPS|2ZMB|39aBEXP|4MBVNT|5RCR|6AME|7BASARM|8DMG
44	24631 61311	   	188.60	ACR|3AART|2BEXP|1VULN|1ASPD	1DUST|29BEXP|368AART|4RCR|5ASPD|7VULN|aLIT
45	24631 61331	   	188.60	ACR|3AART|1VULN|2BEXP|1ASPD	1DUST|2aBEXP|368AART|4RCR|5ASPD|7VULN|9LWND
46	26631 61311	   	188.60	ACR|3AART|1VULN|2BEXP|1ASPD	1DUST|2DUR|368AART|4RCR|5ASPD|7VULN|9aBEXP
47	24631 61322	   	188.50	ACR|3AART|1VULN|2BEXP|1ASPD	1DUST|2aBEXP|368AART|4RCR|5ASPD|7VULN|9ERES
48	12338 14712	   	188.40	ACR|1BASARM|1DMG|1BEXP|1VULN|1AAC	1MDPS|2AME|3MBVNT|4RCR|5ZMB|6BEXP|7BASARM|8DMG|9AAC|aVULN
49	15333 14712	   	188.40	ACR|1BASARM|1DMG|1BEXP|1VULN|1AAC	1MDPS|2ZMB|3MBVNT|4RCR|5AME|6BEXP|7BASARM|8DMG|9AAC|aVULN
50	15336 14712	   	188.40	ACR|1BASARM|1DMG|1BEXP|1VULN|1AAC	1MDPS|2ZMB|3MBVNT|4RCR|5TLV|6BEXP|7BASARM|8DMG|9AAC|aVULN
51	24636 13221	 * 	188.00	ACR|3BEXP|2DMG|2AART	1DUST|26aBEXP|39AART|4RCR|5MSLTOX|78DMG
52	15338 13513	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1MDPS|2ZMB|3MBVNT|4RCR|5DMSP|6BASARM|7VULN|8ASPD|9DUR|aDMG
53	15338 13523	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1MDPS|2ZMB|3MBVNT|4RCR|5DMSP|6BASARM|7VULN|8ASPD|9LHND|aDMG
54	15331 18338	   	187.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2ZMB|3MBVNT|4RCR|5DMG|6BEXP|7FEWX|8DUR|9ASPD|aBASARM
55	12338 14754	   	187.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2AME|3MBVNT|4RCR|5ZMB|6BEXP|7BASARM|8DMG|9DUR|aASPD
56	12338 14762	   	187.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2AME|3MBVNT|4RCR|5ZMB|6BEXP|7BASARM|8DMG|9LIT|aASPD
57	12338 14784	   	187.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2AME|3MBVNT|4RCR|5ZMB|6BEXP|7BASARM|8DMG|9FEWX|aASPD
58	12338 44744	   	187.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2AME|3MBVNT|4RCR|5ZMB|6DUR|7BASARM|8DMG|9BEXP|aASPD
59	15333 14754	   	187.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2ZMB|3MBVNT|4RCR|5AME|6BEXP|7BASARM|8DMG|9DUR|aASPD
60	15333 14762	   	187.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2ZMB|3MBVNT|4RCR|5AME|6BEXP|7BASARM|8DMG|9LIT|aASPD
61	15333 14784	   	187.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2ZMB|3MBVNT|4RCR|5AME|6BEXP|7BASARM|8DMG|9FEWX|aASPD
62	15333 44744	   	187.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2ZMB|3MBVNT|4RCR|5AME|6DUR|7BASARM|8DMG|9BEXP|aASPD
63	15334 13638	   	187.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2ZMB|3MBVNT|4RCR|5FEWX|6DUST|7BEXP|8DMG|9ASPD|aBASARM
64	15334 34744	   	187.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2ZMB|3MBVNT|4RCR|5FEWX|6TLV|7BASARM|8DMG|9BEXP|aASPD
65	15334 44744	   	187.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2ZMB|3MBVNT|4RCR|5FEWX|6AME|7BASARM|8DMG|9BEXP|aASPD
66	15336 44744	   	187.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2ZMB|3MBVNT|4RCR|5TLV|6DUR|7BASARM|8DMG|9BEXP|aASPD
67	12338 14734	   	187.72	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2AME|3MBVNT|4RCR|5ZMB|6BEXP|7BASARM|8DMG|9DUST|aASPD
68	15332 34744	   	187.72	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2ZMB|3MBVNT|4RCR|5LEGI|6TLV|7BASARM|8DMG|9BEXP|aASPD
69	15332 44744	   	187.72	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2ZMB|3MBVNT|4RCR|5LEGI|6AME|7BASARM|8DMG|9BEXP|aASPD
70	15333 14734	   	187.72	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2ZMB|3MBVNT|4RCR|5AME|6BEXP|7BASARM|8DMG|9DUST|aASPD
71	15336 14734	   	187.72	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2ZMB|3MBVNT|4RCR|5TLV|6BEXP|7BASARM|8DMG|9DUST|aASPD
72	34213 31447	 * 	186.54	ACR|1BASARM|2VULN|1DMG|1BEXP	19DUR|2BEXP|3DMG|4ERES|5RCR|68VULN|7MBVNT|aBASARM
73	34213 31467	   	186.44	ACR|1BASARM|2VULN|1DMG|1BEXP	1DUR|2BEXP|3DMG|4ERES|5RCR|68VULN|7MBVNT|9AEMAG|aBASARM
74	24631 12234	 * 	186.27	ACR|3DMG|1ASPD|1AART|1BEXP	168DUST|2BEXP|3AART|4RCR|5ASPD|79aDMG
75	24636 13222	 * 	186.02	ACR|2DMG|3AART|2BEXP	1DUST|26BEXP|39aAART|4RCR|5MSLTOX|78DMG
76	24631 11331	   	185.76	ACR|2VULN|2AART|1ASPD|1BEXP|1AAC	16DUST|2BEXP|38AART|4RCR|5ASPD|7aVULN|9AAC
77	24631 61231	   	185.76	ACR|2VULN|2AART|1ASPD|1BEXP|1AAC	18DUST|2BEXP|36AART|4RCR|5ASPD|7aVULN|9AAC
78	24631 12153	 * 	185.55	ACR|2ASPD|2BEXP|1DMG|1AART	16DUST|28BEXP|3AART|4RCR|5aASPD|7DMG|9RPLT
79	12338 14751	   	185.34	ACR|1BASARM|2DMG|1BEXP	1MDPS|2AME|3MBVNT|4RCR|5ZMB|6BEXP|7BASARM|8aDMG|9DUR
80	12338 14781	   	185.34	ACR|1BASARM|2DMG|1BEXP	1MDPS|2AME|3MBVNT|4RCR|5ZMB|6BEXP|7BASARM|8aDMG|9FEWX
81	12338 44741	   	185.34	ACR|1BASARM|2DMG|1BEXP	1MDPS|2AME|3MBVNT|4RCR|5ZMB|6DUR|7BASARM|8aDMG|9BEXP
82	15333 14751	   	185.34	ACR|1BASARM|2DMG|1BEXP	1MDPS|2ZMB|3MBVNT|4RCR|5AME|6BEXP|7BASARM|8aDMG|9DUR
83	15333 14781	   	185.34	ACR|1BASARM|2DMG|1BEXP	1MDPS|2ZMB|3MBVNT|4RCR|5AME|6BEXP|7BASARM|8aDMG|9FEWX
84	15333 44741	   	185.34	ACR|1BASARM|2DMG|1BEXP	1MDPS|2ZMB|3MBVNT|4RCR|5AME|6DUR|7BASARM|8aDMG|9BEXP
85	15334 34741	   	185.34	ACR|1BASARM|2DMG|1BEXP	1MDPS|2ZMB|3MBVNT|4RCR|5FEWX|6TLV|7BASARM|8aDMG|9BEXP
86	15334 44741	   	185.34	ACR|1BASARM|2DMG|1BEXP	1MDPS|2ZMB|3MBVNT|4RCR|5FEWX|6AME|7BASARM|8aDMG|9BEXP
87	15336 44741	   	185.34	ACR|1BASARM|2DMG|1BEXP	1MDPS|2ZMB|3MBVNT|4RCR|5TLV|6DUR|7BASARM|8aDMG|9BEXP
88	15338 11152	   	185.34	ACR|1BASARM|2DMG|1AART	1MDPS|2ZMB|3MBVNT|4RCR|5DMSP|6BASARM|7aDMG|8TLV|9AART
89	15338 11352	   	185.34	ACR|1BASARM|2DMG|1AART	1MDPS|2ZMB|3MBVNT|4RCR|5DMSP|6BASARM|7aDMG|8ERES|9AART
90	15338 11452	   	185.34	ACR|1BASARM|2DMG|1AART	1MDPS|2ZMB|3MBVNT|4RCR|5DMSP|6BASARM|7aDMG|8AAC|9AART
91	15338 15212	   	185.34	ACR|1BASARM|2DMG|1AART	1MDPS|2ZMB|3MBVNT|4RCR|5DMSP|6BASARM|7AART|8ERES|9aDMG
92	15338 15312	   	185.34	ACR|1BASARM|2DMG|1AART	1MDPS|2ZMB|3MBVNT|4RCR|5DMSP|6BASARM|7AART|8TLV|9aDMG
93	12125 24711	   	185.34	ACR|1BASARM|2BEXP|1DMG|2AAC	1MDPS|2AME|3aBEXP|4MBVNT|5RCR|69AAC|7BASARM|8DMG
94	12338 14731	   	185.24	ACR|1BASARM|2DMG|1BEXP	1MDPS|2AME|3MBVNT|4RCR|5ZMB|6BEXP|7BASARM|8aDMG|9DUST
95	15332 34741	   	185.24	ACR|1BASARM|2DMG|1BEXP	1MDPS|2ZMB|3MBVNT|4RCR|5LEGI|6TLV|7BASARM|8aDMG|9BEXP
96	15332 44741	   	185.24	ACR|1BASARM|2DMG|1BEXP	1MDPS|2ZMB|3MBVNT|4RCR|5LEGI|6AME|7BASARM|8aDMG|9BEXP
97	15333 14731	   	185.24	ACR|1BASARM|2DMG|1BEXP	1MDPS|2ZMB|3MBVNT|4RCR|5AME|6BEXP|7BASARM|8aDMG|9DUST
98	15336 14731	   	185.24	ACR|1BASARM|2DMG|1BEXP	1MDPS|2ZMB|3MBVNT|4RCR|5TLV|6BEXP|7BASARM|8aDMG|9DUST
99	15338 13334	   	184.71	ACR|1BASARM|1VULN|1AART|1CDMG|1AAC	1MDPS|2ZMB|3MBVNT|4RCR|5DMSP|6BASARM|7VULN|8AART|9AAC|aCDMG
100	12338 14457	   	184.49	ACR|1BASARM|2BEXP|1CDMG|1AAC	1MDPS|2AME|3MBVNT|4RCR|5ZMB|6aBEXP|7BASARM|8CDMG|9AAC
101	15333 14457	   	184.49	ACR|1BASARM|2BEXP|1CDMG|1AAC	1MDPS|2ZMB|3MBVNT|4RCR|5AME|6aBEXP|7BASARM|8CDMG|9AAC
102	21631 32163	   	184.47	ACR|2ASPD|1DMG|1BEXP|1CDMG|1AART	1DUST|26LWND|3AART|4RCR|5aASPD|7DMG|8BEXP|9CDMG
103	21631 32166	   	184.47	ACR|2DMG|1ASPD|1BEXP|1CDMG|1AART	1DUST|26LWND|3AART|4RCR|5ASPD|7aDMG|8BEXP|9CDMG
104	21631 12163	   	184.37	ACR|2ASPD|1DMG|1BEXP|1CDMG|1AART	16DUST|2LWND|3AART|4RCR|5aASPD|7DMG|8BEXP|9CDMG
105	21631 12166	   	184.37	ACR|2DMG|1ASPD|1BEXP|1CDMG|1AART	16DUST|2LWND|3AART|4RCR|5ASPD|7aDMG|8BEXP|9CDMG
106	26631 12163	   	184.37	ACR|2ASPD|1DMG|1BEXP|1CDMG|1AART	16DUST|2DUR|3AART|4RCR|5aASPD|7DMG|8BEXP|9CDMG
107	24631 12161	   	184.22	ACR|2BEXP|1ASPD|1DMG|1VULN|1AART	16DUST|28BEXP|3AART|4RCR|5ASPD|7DMG|9LHND|aVULN
108	12125 24451	   	184.15	ACR|1BASARM|1DMG|1BEXP|1CDMG|2AAC	1MDPS|2AME|3BEXP|4MBVNT|5RCR|69AAC|7BASARM|8CDMG|aDMG
109	24631 12123	   	184.12	ACR|2BEXP|1ASPD|1DMG|1VULN|1AART	16DUST|28BEXP|3AART|4RCR|5ASPD|7DMG|9TLV|aVULN
110	24631 12133	   	184.12	ACR|2BEXP|1ASPD|1DMG|1VULN|1AART	16DUST|28BEXP|3AART|4RCR|5ASPD|7DMG|9AME|aVULN
111	24631 53233	 * 	183.96	ACR|2VULN|1ASPD|1DMG|1BEXP|1AART	1DUST|2BEXP|3AART|4RCR|5ASPD|6AIRHEL|7aVULN|8CGEN|9DMG
112	24631 53333	   	183.96	ACR|2VULN|1ASPD|1DMG|1BEXP|1AART	1DUST|2BEXP|3AART|4RCR|5ASPD|6AIRHEL|7aVULN|8ZMB|9DMG
113	15338 13312	   	183.57	ACR|1BASARM|1VULN|1DMG|1AART	1MDPS|2ZMB|3MBVNT|4RCR|5DMSP|6BASARM|7VULN|8AART|9RCVC|aDMG
114	15125 34712	   	183.40	ACR|1BASARM|1DMG|1BEXP|1VULN|1AAC	1MDPS|2ZMB|3BEXP|4MBVNT|5RCR|6TLV|7BASARM|8DMG|9AAC|aVULN
115	15125 44712	   	183.40	ACR|1BASARM|1DMG|1BEXP|1VULN|1AAC	1MDPS|2ZMB|3BEXP|4MBVNT|5RCR|6AME|7BASARM|8DMG|9AAC|aVULN
116	12338 14456	   	183.30	ACR|1BASARM|1BEXP|1CDMG|1AART|1AAC	1MDPS|2AME|3MBVNT|4RCR|5ZMB|6BEXP|7BASARM|8CDMG|9AAC|aAART
117	15333 14456	   	183.30	ACR|1BASARM|1BEXP|1CDMG|1AART|1AAC	1MDPS|2ZMB|3MBVNT|4RCR|5AME|6BEXP|7BASARM|8CDMG|9AAC|aAART
118	24633 32431	   	183.28	ACR|2AART|1VULN|1ASPD|1DMG|1BEXP	1DUST|2BEXP|39AART|4RCR|5BELT|6FEWX|7DMG|8ASPD|aVULN
119	24631 62223	   	183.08	ACR|2AART|1VULN|1ASPD|1DMG|1BEXP	18DUST|2BEXP|36AART|4RCR|5ASPD|7DMG|9TLV|aVULN
120	24631 62233	   	183.08	ACR|2AART|1VULN|1ASPD|1DMG|1BEXP	18DUST|2BEXP|36AART|4RCR|5ASPD|7DMG|9AME|aVULN
121	13525 34744	   	182.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2FEWX|3ZMB|4MBVNT|5RCR|6TLV|7BASARM|8DMG|9BEXP|aASPD
122	13525 44744	   	182.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2FEWX|3ZMB|4MBVNT|5RCR|6AME|7BASARM|8DMG|9BEXP|aASPD
123	15345 34744	   	182.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2ZMB|3MBVNT|4LHND|5RCR|6TLV|7BASARM|8DMG|9BEXP|aASPD
124	15345 44744	   	182.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2ZMB|3MBVNT|4LHND|5RCR|6AME|7BASARM|8DMG|9BEXP|aASPD
125	15338 13321	   	182.81	ACR|1BASARM|1VULN|1DMG|1AART	1MDPS|2ZMB|3MBVNT|4RCR|5DMSP|6BASARM|7VULN|8AART|9DMG|aLHND
126	15338 13322	   	182.81	ACR|1BASARM|1VULN|1DMG|1AART	1MDPS|2ZMB|3MBVNT|4RCR|5DMSP|6BASARM|7VULN|8AART|9DMG|aDUR
127	15338 13323	   	182.81	ACR|1BASARM|1VULN|1DMG|1AART	1MDPS|2ZMB|3MBVNT|4RCR|5DMSP|6BASARM|7VULN|8AART|9DMG|aLWND
128	15338 13328	   	182.81	ACR|1BASARM|1VULN|1DMG|1AART	1MDPS|2ZMB|3MBVNT|4RCR|5DMSP|6BASARM|7VULN|8AART|9DMG|aFEWX
129	15338 15423	   	182.81	ACR|1BASARM|1DMG|1VULN|1AART	1MDPS|2ZMB|3MBVNT|4RCR|5DMSP|6BASARM|7AART|8LHND|9DMG|aVULN
130	15338 18323	   	182.81	ACR|1BASARM|1DMG|1VULN|1AART	1MDPS|2ZMB|3MBVNT|4RCR|5DMSP|6BASARM|7LHND|8AART|9DMG|aVULN
131	35133 53512	   	182.75	ACR|1BASARM|3BEXP|1CDMG	1DUR|2CGEN|3ZMB|478BEXP|5RCR|6CDMG|9LWND|aBASARM
132	12125 24722	   	182.72	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2AME|3BEXP|4MBVNT|5RCR|6AAC|7BASARM|8DMG|9LIT|aASPD
133	15125 34734	   	182.72	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2ZMB|3BEXP|4MBVNT|5RCR|6TLV|7BASARM|8DMG|9DUST|aASPD
134	15125 44734	   	182.72	ACR|1BASARM|1ASPD|1DMG|1BEXP	1MDPS|2ZMB|3BEXP|4MBVNT|5RCR|6AME|7BASARM|8DMG|9DUST|aASPD
135	15338 13326	   	182.71	ACR|1BASARM|1VULN|1DMG|1AART	1MDPS|2ZMB|3MBVNT|4RCR|5DMSP|6BASARM|7VULN|8AART|9DMG|aLSRICY
136	15338 13327	   	182.71	ACR|1BASARM|1VULN|1DMG|1AART	1MDPS|2ZMB|3MBVNT|4RCR|5DMSP|6BASARM|7VULN|8AART|9DMG|aAIRARM
137	35233 53512	   	182.65	ACR|1BASARM|3BEXP|1CDMG	1DUR|2CGEN|3AAC|478BEXP|5RCR|6CDMG|9LWND|aBASARM
138	12331 25354	   	182.61	ACR|1BASARM|1DMG|1VULN|1AART	1MDPS|2AME|3MBVNT|4RCR|5DMG|6ERES|7CGEN|8AART|9BASARM|aVULN
139	12338 14724	   	182.59	ACR|1BASARM|2BEXP|1DMG	1MDPS|2AME|3MBVNT|4RCR|5ZMB|6aBEXP|7BASARM|8DMG|9CGEN
140	12338 14742	   	182.59	ACR|1BASARM|2BEXP|1DMG	1MDPS|2AME|3MBVNT|4RCR|5ZMB|69BEXP|7BASARM|8DMG|aRPLT
141	12338 14743	   	182.59	ACR|1BASARM|2BEXP|1DMG	1MDPS|2AME|3MBVNT|4RCR|5ZMB|69BEXP|7BASARM|8DMG|aDUR
142	12338 14746	   	182.59	ACR|1BASARM|2BEXP|1DMG	1MDPS|2AME|3MBVNT|4RCR|5ZMB|69BEXP|7BASARM|8DMG|aLHND
143	12338 14748	   	182.59	ACR|1BASARM|2BEXP|1DMG	1MDPS|2AME|3MBVNT|4RCR|5ZMB|69BEXP|7BASARM|8DMG|aMLV
144	15333 14724	   	182.59	ACR|1BASARM|2BEXP|1DMG	1MDPS|2ZMB|3MBVNT|4RCR|5AME|6aBEXP|7BASARM|8DMG|9CGEN
145	15333 14742	   	182.59	ACR|1BASARM|2BEXP|1DMG	1MDPS|2ZMB|3MBVNT|4RCR|5AME|69BEXP|7BASARM|8DMG|aRPLT
146	15333 14743	   	182.59	ACR|1BASARM|2BEXP|1DMG	1MDPS|2ZMB|3MBVNT|4RCR|5AME|69BEXP|7BASARM|8DMG|aDUR
147	15333 14746	   	182.59	ACR|1BASARM|2BEXP|1DMG	1MDPS|2ZMB|3MBVNT|4RCR|5AME|69BEXP|7BASARM|8DMG|aLHND
148	15333 14748	   	182.59	ACR|1BASARM|2BEXP|1DMG	1MDPS|2ZMB|3MBVNT|4RCR|5AME|69BEXP|7BASARM|8DMG|aMLV
149	15336 14724	   	182.59	ACR|1BASARM|2BEXP|1DMG	1MDPS|2ZMB|3MBVNT|4RCR|5TLV|6aBEXP|7BASARM|8DMG|9CGEN
150	15336 14742	   	182.59	ACR|1BASARM|2BEXP|1DMG	1MDPS|2ZMB|3MBVNT|4RCR|5TLV|69BEXP|7BASARM|8DMG|aRPLT
151	15336 14743	   	182.59	ACR|1BASARM|2BEXP|1DMG	1MDPS|2ZMB|3MBVNT|4RCR|5TLV|69BEXP|7BASARM|8DMG|aDUR
152	33613 53512	   	182.55	ACR|1BASARM|3BEXP|1CDMG	1DUR|2AAC|378BEXP|4ERES|5RCR|6CDMG|9LWND|aBASARM
153	34313 53512	   	182.55	ACR|1BASARM|3BEXP|1CDMG	1DUR|278BEXP|3AAC|4ERES|5RCR|6CDMG|9LWND|aBASARM
154	65333 31354	   	182.55	ACR|1BASARM|2VULN|1BEXP|1AART	1FEWX|2CGEN|3NUKE|4BEXP|5RCR|6aVULN|7MBVNT|8AART|9BASARM
