0	Index      	 *	Score 	Summary	Detail	
1	11216 43123	 * 	215.34	ACR|1BASARM|2DMG|1VULN|1AART|1BEXP	13ERES|2LWND|4RCR|5BEXP|69DMG|7VULN|8BASARM|aAART
22	13411 52125	   	187.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1ERES|2ASPD|3CGEN|4RCR|5FEWX|6LWND|7TLV|8BASARM|9DMG|aCDMG
23	13412 22125	   	187.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1ERES|2ASPD|3CGEN|4RCR|5LHND|6FEWX|7TLV|8BASARM|9DMG|aCDMG
24	13412 52125	   	187.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1ERES|2ASPD|3CGEN|4RCR|5LHND|6LWND|7TLV|8BASARM|9DMG|aCDMG
25	13415 22125	   	187.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1ERES|2ASPD|3CGEN|4RCR|5LWND|6FEWX|7TLV|8BASARM|9DMG|aCDMG
26	13151 13131	 * 	187.88	DCR|3ASPD|2DMG|2BEXP|1VULN	139ERES|239ASPD|39BPWR|48BEXP|5RPLT|6VULN|79DMG|aRCR
27	11211 43116	   	187.82	ACR|1BASARM|1VULN|1ASPD|1DMG	13ERES|2LWND|4RCR|5FEWX|6DMG|7VULN|8BASARM|9SPLARM|aASPD
28	11211 43135	   	187.82	ACR|1BASARM|1VULN|1ASPD|1DMG	139ERES|2LWND|4RCR|5FEWX|6DMG|7VULN|8BASARM|aASPD
29	13411 12125	   	187.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1ERES|2ASPD|3CGEN|4RCR|5FEWX|6DUST|7TLV|8BASARM|9DMG|aCDMG
30	13412 12125	   	187.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1ERES|2ASPD|3CGEN|4RCR|5LHND|6DUST|7TLV|8BASARM|9DMG|aCDMG
31	13415 12125	   	187.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1ERES|2ASPD|3CGEN|4RCR|5LWND|6DUST|7TLV|8BASARM|9DMG|aCDMG
32	13611 62125	   	187.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1ERES|2ASPD|3TLV|4RCR|5FEWX|6AME|7DUR|8BASARM|9DMG|aCDMG
33	13612 62125	   	187.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1ERES|2ASPD|3TLV|4RCR|5LHND|6AME|7DUR|8BASARM|9DMG|aCDMG
34	15211 43135	   	187.82	ACR|1BASARM|1VULN|1ASPD|1DMG	139ERES|2LHND|4RCR|5FEWX|6DMG|7VULN|8BASARM|aASPD
35	16212 43135	   	187.72	ACR|1BASARM|1VULN|1ASPD|1DMG	139ERES|2DUST|4RCR|5LHND|6DMG|7VULN|8BASARM|aASPD
36	13416 33215	 * 	187.35	ACR|3ASPD|1BASARM	1ERES|27aASPD|3CGEN|4RCR|5SNIFST|6FEWX|8BASARM|9MDPS
37	11215 13211	   	186.72	ACR|1BASARM|2ASPD|1AART	139ERES|259LWND|4RCR|69ASPD|7AART|8RCVC|9BPWR|aBASARM
38	13416 33243	   	185.44	ACR|1BASARM|2ASPD|1BEXP	1ERES|27ASPD|3CGEN|4RCR|5SNIFST|6FEWX|8BASARM|9RPLT|aBEXP
39	11211 43122	   	185.44	ACR|1BASARM|2DMG|1VULN	13ERES|2LWND|4RCR|5FEWX|69DMG|7VULN|8BASARM|aCGEN
40	11211 43126	   	185.44	ACR|1BASARM|2DMG|1VULN	13ERES|2LWND|4RCR|5FEWX|69DMG|7VULN|8BASARM|aRMIN
41	11212 43122	   	185.44	ACR|1BASARM|2DMG|1VULN	13ERES|2LWND|4RCR|5LHND|69DMG|7VULN|8BASARM|aCGEN
42	11212 43123	   	185.44	ACR|1BASARM|2DMG|1VULN	13ERES|2LWND|4RCR|5LHND|69DMG|7VULN|8BASARM|aDUR
43	11212 43126	   	185.44	ACR|1BASARM|2DMG|1VULN	13ERES|2LWND|4RCR|5LHND|69DMG|7VULN|8BASARM|aRMIN
44	15211 43122	   	185.44	ACR|1BASARM|2DMG|1VULN	13ERES|2LHND|4RCR|5FEWX|69DMG|7VULN|8BASARM|aCGEN
45	15211 43126	   	185.44	ACR|1BASARM|2DMG|1VULN	13ERES|2LHND|4RCR|5FEWX|69DMG|7VULN|8BASARM|aRMIN
46	15215 43122	   	185.44	ACR|1BASARM|2DMG|1VULN	13ERES|2LHND|4RCR|5LWND|69DMG|7VULN|8BASARM|aCGEN
47	15215 43123	   	185.44	ACR|1BASARM|2DMG|1VULN	13ERES|2LHND|4RCR|5LWND|69DMG|7VULN|8BASARM|aDUR
