0	Index      	 *	Score 	Summary	Detail	
1	63336 11316	 * 	231.38	ACR|3DMG|1BASARM|1VULN|1ASPD	1LHND|2VULN|3RCR|4FEWX|5ASPD|69aDMG|7ERES|8BASARM
18	63336 11325	   	212.69	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1LHND|2VULN|3RCR|4FEWX|5ASPD|6DMG|7ERES|8BASARM|9MDPS|aAART
19	13234 26316	   	212.60	ACR|2VULN|1BASARM|2BEXP|1DMG|1AAC	17BEXP|27VULN|3LHND|4FEWX|5RCR|67TLV|7BPWR|8BASARM|9DMG|aAAC
20	63336 11353	   	211.09	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1LHND|2VULN|3RCR|4FEWX|5ASPD|6DMG|7ERES|8BASARM|9BEXP|aRCVC
21	63331 53316	   	210.31	ACR|3DMG|1BASARM|1VULN	1LHND|2VULN|3RCR|4FEWX|5AME|6RMIN|79aDMG|8BASARM
22	63333 13316	   	210.31	ACR|3DMG|1BASARM|1VULN	1LHND|2VULN|3RCR|4FEWX|5ERES|69aDMG|7ZMB|8BASARM
23	63333 52316	   	210.31	ACR|3DMG|1BASARM|1VULN	1LHND|2VULN|3RCR|4FEWX|5ERES|6RMIN|79aDMG|8BASARM
24	63343 13316	   	210.21	ACR|3DMG|1BASARM|1VULN	1LHND|2VULN|3RCR|4DUST|5ERES|69aDMG|7ZMB|8BASARM
25	63336 11335	   	209.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1LHND|2VULN|3RCR|4FEWX|5ASPD|6DMG|7ERES|8BASARM|9DUR|aBEXP
26	63336 11352	   	209.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1LHND|2VULN|3RCR|4FEWX|5ASPD|6DMG|7ERES|8BASARM|9BEXP|aCGEN
27	63336 16331	   	207.87	ACR|1BASARM|2VULN|1ASPD|1DMG	1LHND|2aVULN|3RCR|4FEWX|5ASPD|6DMG|7CGEN|8BASARM|9DUR
28	63336 43331	   	207.87	ACR|1BASARM|2VULN|1ASPD|1DMG	1LHND|2aVULN|3RCR|4FEWX|5ASPD|6MLV|7DMG|8BASARM|9DUR
29	63322 34324	   	207.77	ACR|1BASARM|2VULN|1ASPD|1DMG	14LHND|29VULN|3RCR|5ERES|6ASPD|7RMIN|8BASARM|aDMG
30	63336 11331	   	207.77	ACR|1BASARM|2VULN|1ASPD|1DMG	1LHND|2aVULN|3RCR|4FEWX|5ASPD|6DMG|7ERES|8BASARM|9DUR
31	63346 11331	   	207.67	ACR|1BASARM|2VULN|1ASPD|1DMG	1LHND|2aVULN|3RCR|4DUST|5ASPD|6DMG|7ERES|8BASARM|9DUR
32	63341 53313	   	207.21	ACR|1BASARM|2DMG|1VULN|1BEXP	1LHND|2VULN|3RCR|4DUST|5AME|6RMIN|79DMG|8BASARM|aBEXP
33	63343 52313	   	207.21	ACR|1BASARM|2DMG|1VULN|1BEXP	1LHND|2VULN|3RCR|4DUST|5ERES|6RMIN|79DMG|8BASARM|aBEXP
34	63336 12362	 * 	206.33	ACR|3BEXP|2ASPD|1VULN|1DMG	1aLHND|2VULN|3RCR|4aFEWX|59ASPD|6DMG|78aBEXP|aBPWR
35	63336 12363	   	206.13	ACR|3BEXP|2ASPD|1VULN|1DMG	1LHND|2VULN|3RCR|4FEWX|59ASPD|6DMG|78aBEXP
36	15112 33335	   	206.02	DCR|1BASARM|2ASPD|1VULN|1DMG|1AART|1BEXP	1BEXP|26ASPD|3FEWX|4DMG|5ERES|7VULN|8BASARM|9AART|aRCR
37	63333 13356	   	205.37	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1LHND|2VULN|3RCR|4FEWX|5ERES|6DMG|7ZMB|8BASARM|9BEXP|aAART
38	63331 53315	   	205.29	ACR|1BASARM|2VULN|2DMG	1LHND|2aVULN|3RCR|4FEWX|5AME|6RMIN|79DMG|8BASARM
39	63333 13315	   	205.29	ACR|1BASARM|2VULN|2DMG	1LHND|2aVULN|3RCR|4FEWX|5ERES|69DMG|7ZMB|8BASARM
40	63333 52315	   	205.29	ACR|1BASARM|2VULN|2DMG	1LHND|2aVULN|3RCR|4FEWX|5ERES|6RMIN|79DMG|8BASARM
41	63334 23253	 * 	205.29	ACR|2VULN|1BASARM|2ASPD	1LHND|27VULN|3RCR|4FEWX|5MDPS|6CGEN|8BASARM|9aASPD
42	63343 13315	   	205.19	ACR|1BASARM|2VULN|2DMG	1LHND|2aVULN|3RCR|4DUST|5ERES|69DMG|7ZMB|8BASARM
43	13253 26261	 * 	205.12	ACR|2BASARM|3VULN|2BEXP	19BEXP|29aVULN|3LHND|4MDPS|5RCR|6CGEN|7RCVC|89BASARM|9BPWR
44	63361 34321	   	204.45	ACR|1BASARM|2VULN|1ASPD|1AART	15LHND|29VULN|3RCR|4MLV|6ASPD|7RMIN|8BASARM|aAART
45	63363 34321	   	204.45	ACR|1BASARM|2VULN|1ASPD|1AART	1LHND|29VULN|3RCR|45MLV|6ASPD|7RMIN|8BASARM|aAART
46	63322 34321	   	204.35	ACR|1BASARM|2VULN|1ASPD|1AART	14LHND|29VULN|3RCR|5ERES|6ASPD|7RMIN|8BASARM|aAART
47	13234 26312	   	204.29	ACR|2VULN|1BASARM|2BEXP|1DMG	17BEXP|27VULN|3LHND|4FEWX|5RCR|67TLV|7BPWR|8BASARM|9DMG|aLWND
48	13234 26313	   	204.29	ACR|2VULN|1BASARM|2BEXP|1DMG	17BEXP|27VULN|3LHND|4FEWX|5RCR|67TLV|7BPWR|8BASARM|9DMG|aRPLT
49	13234 26315	   	204.29	ACR|2VULN|1BASARM|2BEXP|1DMG	17BEXP|27VULN|3aLHND|4FEWX|5RCR|67TLV|7BPWR|8BASARM|9DMG
50	13244 26312	   	204.19	ACR|2VULN|1BASARM|2BEXP|1DMG	17BEXP|27VULN|3LHND|4DUST|5RCR|67TLV|7BPWR|8BASARM|9DMG|aLWND
51	13244 26313	   	204.19	ACR|2VULN|1BASARM|2BEXP|1DMG	17BEXP|27VULN|3LHND|4DUST|5RCR|67TLV|7BPWR|8BASARM|9DMG|aRPLT
52	13234 26311	   	204.19	ACR|2VULN|1BASARM|2BEXP|1DMG	17BEXP|27VULN|3LHND|4FEWX|5RCR|67TLV|7BPWR|8BASARM|9DMG|aMULARM
53	13244 26311	   	204.09	ACR|2VULN|1BASARM|2BEXP|1DMG	17BEXP|27VULN|3LHND|4DUST|5RCR|67TLV|7BPWR|8BASARM|9DMG|aMULARM
54	13534 23316	   	203.99	ACR|2VULN|1BASARM|2BEXP|1DMG	1aBEXP|27VULN|3MDPS|4AEFBLL|5RCR|6TLV|8BASARM|9DMG
55	15113 25335	   	202.27	DCR|1BASARM|1VULN|2BEXP|1ASPD|1DMG|1AART	16BEXP|2ASPD|3FEWX|4DMG|5VULN|7TLV|8BASARM|9AART|aRCR
56	13234 51316	   	201.87	ACR|1BASARM|1VULN|2BEXP|1DMG|1AAC	16BEXP|2VULN|3LHND|4FEWX|5RCR|7ERES|8BASARM|9DMG|aAAC
