0	Index      	 *	Score 	Summary	Detail	
1	12212 45162	 * 	214.10	ACR|1BASARM|2AART|1VULN|1BASICY|1BEXP	1DUST|2LHND|3RCR|4LWND|5BEXP|68AART|7BASARM|9VULN|aBASICY
30	16261 22331	   	202.86	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1DUST|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8RMIN|9DMG|aAART
31	16261 34121	   	202.86	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1DUST|2VULN|3RCR|4LIT|5BASARM|6RMIN|7DMG|8ZMB|9CDMG|aAART
32	16261 34221	   	202.86	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1DUST|2VULN|3RCR|4LIT|5BASARM|6RMIN|7DMG|8CGEN|9CDMG|aAART
33	56261 22121	   	202.86	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AART	1LWND|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8ERES|9ASPD|aAART
34	56261 22131	   	202.86	ACR|1BASARM|1VULN|1DMG|1CDMG|1AART	1LWND|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8ERES|9DMG|aAART
35	56261 32121	   	202.86	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AART	1LWND|2VULN|3RCR|4LIT|5BASARM|6RMIN|7CDMG|8ERES|9ASPD|aAART
36	56261 32131	   	202.86	ACR|1BASARM|1VULN|1DMG|1CDMG|1AART	1LWND|2VULN|3RCR|4LIT|5BASARM|6RMIN|7CDMG|8ERES|9DMG|aAART
37	66261 22121	   	202.86	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AART	1FEWX|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8ERES|9ASPD|aAART
38	66261 22131	   	202.86	ACR|1BASARM|1VULN|1DMG|1CDMG|1AART	1FEWX|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8ERES|9DMG|aAART
39	66261 32121	   	202.86	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AART	1FEWX|2VULN|3RCR|4LIT|5BASARM|6RMIN|7CDMG|8ERES|9ASPD|aAART
40	66261 32131	   	202.86	ACR|1BASARM|1VULN|1DMG|1CDMG|1AART	1FEWX|2VULN|3RCR|4LIT|5BASARM|6RMIN|7CDMG|8ERES|9DMG|aAART
41	16261 22121	   	202.76	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AART	1DUST|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8ERES|9ASPD|aAART
42	16261 22131	   	202.76	ACR|1BASARM|1VULN|1DMG|1CDMG|1AART	1DUST|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8ERES|9DMG|aAART
43	16261 32121	   	202.76	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AART	1DUST|2VULN|3RCR|4LIT|5BASARM|6RMIN|7CDMG|8ERES|9ASPD|aAART
44	16261 32131	   	202.76	ACR|1BASARM|1VULN|1DMG|1CDMG|1AART	1DUST|2VULN|3RCR|4LIT|5BASARM|6RMIN|7CDMG|8ERES|9DMG|aAART
45	62212 26611	 * 	202.48	ACR|2BASARM|2BEXP|1ASPD	1FEWX|2aLHND|3RCR|4LWND|59BEXP|6aERES|7ASPD|8aBASARM|aBPWR
46	12212 23611	   	202.38	ACR|2BASARM|2BEXP|1ASPD	1DUST|2aLHND|3RCR|4LWND|59BEXP|6aERES|7ASPD|8aBASARM|aBPWR
47	16261 23243	   	201.44	ACR|2VULN|1BASARM|1DMG|1AART	1DUST|27VULN|3RCR|4LIT|5BASARM|6ZMB|8AART|9DMG|aFEWX
48	16261 33243	   	201.44	ACR|2VULN|1BASARM|1DMG|1AART	1DUST|27VULN|3RCR|4LIT|5BASARM|6RMIN|8AART|9DMG|aFEWX
49	12212 45262	   	201.44	ACR|1BASARM|1BASICY|1VULN|1AART|1BEXP	1DUST|2LHND|3RCR|4LWND|5BEXP|6AART|7BASARM|8RCVC|9VULN|aBASICY
50	16261 23241	   	201.34	ACR|2VULN|1BASARM|1DMG|1AART	1DUST|27VULN|3RCR|4LIT|5BASARM|6ZMB|8AART|9DMG|aTLV
51	16261 33241	   	201.34	ACR|2VULN|1BASARM|1DMG|1AART	1DUST|27VULN|3RCR|4LIT|5BASARM|6RMIN|8AART|9DMG|aTLV
52	25123 32323	   	200.99	ACR|2VULN|2ASPD|2CDMG|1AART|1AAC	1RPLT|2MDPS|39CDMG|4RCR|59ASPD|6DMSP|7AART|89VULN|9BPWR|aAAC
53	25126 32323	   	200.99	ACR|2VULN|2DMG|2CDMG|1AART|1AAC	1RPLT|2MDPS|39CDMG|4RCR|59DMG|6DMSP|7AART|89VULN|9BPWR|aAAC
54	16261 23623	   	200.73	ACR|3VULN|1BASARM|1BEXP|1CDMG	1DUST|27aVULN|3RCR|4LIT|5BASARM|6ZMB|8BEXP|9CDMG
55	16261 33623	   	200.73	ACR|3VULN|1BASARM|1BEXP|1CDMG	1DUST|27aVULN|3RCR|4LIT|5BASARM|6RMIN|8BEXP|9CDMG
56	16261 22124	   	200.16	ACR|1BASARM|1VULN|1ASPD|1CDMG|1BEXP	1DUST|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8ERES|9ASPD|aBEXP
57	16261 22134	   	200.16	ACR|1BASARM|1VULN|1DMG|1CDMG|1BEXP	1DUST|2VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8ERES|9DMG|aBEXP
58	16261 32124	   	200.16	ACR|1BASARM|1VULN|1ASPD|1CDMG|1BEXP	1DUST|2VULN|3RCR|4LIT|5BASARM|6RMIN|7CDMG|8ERES|9ASPD|aBEXP
59	16261 32134	   	200.16	ACR|1BASARM|1VULN|1DMG|1CDMG|1BEXP	1DUST|2VULN|3RCR|4LIT|5BASARM|6RMIN|7CDMG|8ERES|9DMG|aBEXP
60	66243 33321	   	200.16	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1FEWX|2VULN|3RCR|4MULARM|5MDPS|6BEXP|7CDMG|8BASARM|9ZMB|aASPD
61	16261 53332	 * 	200.13	ACR|1BASARM|1VULN|2BEXP|1DMG	1DUST|2VULN|3RCR|4LIT|5BASARM|6aBEXP|7LHND|8DMG|9DUR
62	66243 33311	   	200.06	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1FEWX|2VULN|3RCR|4MULARM|5MDPS|6BEXP|7CDMG|8BASARM|9ERES|aASPD
63	56223 41121	 * 	199.81	ACR|3VULN|3BEXP|2AART	159LWND|29aVULN|3RCR|4MDPS|67AART|89aBEXP|9aBPWR
64	56261 22323	   	199.16	ACR|1BASARM|2VULN|1ASPD|1CDMG	1LWND|2aVULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8RMIN|9ASPD
65	56261 22333	   	199.16	ACR|1BASARM|2VULN|1DMG|1CDMG	1LWND|2aVULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8RMIN|9DMG
66	66261 22323	   	199.16	ACR|1BASARM|2VULN|1ASPD|1CDMG	1FEWX|2aVULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8RMIN|9ASPD
67	66261 22333	   	199.16	ACR|1BASARM|2VULN|1DMG|1CDMG	1FEWX|2aVULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8RMIN|9DMG
68	16261 22323	   	199.06	ACR|1BASARM|2VULN|1ASPD|1CDMG	1DUST|2aVULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8RMIN|9ASPD
69	16261 22333	   	199.06	ACR|1BASARM|2VULN|1DMG|1CDMG	1DUST|2aVULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8RMIN|9DMG
70	16261 34123	   	199.06	ACR|1BASARM|2VULN|1DMG|1CDMG	1DUST|2aVULN|3RCR|4LIT|5BASARM|6RMIN|7DMG|8ZMB|9CDMG
71	16261 34223	   	199.06	ACR|1BASARM|2VULN|1DMG|1CDMG	1DUST|2aVULN|3RCR|4LIT|5BASARM|6RMIN|7DMG|8CGEN|9CDMG
72	56261 22123	   	199.06	ACR|1BASARM|2VULN|1ASPD|1CDMG	1LWND|2aVULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8ERES|9ASPD
73	56261 22133	   	199.06	ACR|1BASARM|2VULN|1DMG|1CDMG	1LWND|2aVULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8ERES|9DMG
74	56261 32123	   	199.06	ACR|1BASARM|2VULN|1ASPD|1CDMG	1LWND|2aVULN|3RCR|4LIT|5BASARM|6RMIN|7CDMG|8ERES|9ASPD
75	56261 32133	   	199.06	ACR|1BASARM|2VULN|1DMG|1CDMG	1LWND|2aVULN|3RCR|4LIT|5BASARM|6RMIN|7CDMG|8ERES|9DMG
76	66261 22123	   	199.06	ACR|1BASARM|2VULN|1ASPD|1CDMG	1FEWX|2aVULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8ERES|9ASPD
77	66261 22133	   	199.06	ACR|1BASARM|2VULN|1DMG|1CDMG	1FEWX|2aVULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8ERES|9DMG
78	66261 32123	   	199.06	ACR|1BASARM|2VULN|1ASPD|1CDMG	1FEWX|2aVULN|3RCR|4LIT|5BASARM|6RMIN|7CDMG|8ERES|9ASPD
79	66261 32133	   	199.06	ACR|1BASARM|2VULN|1DMG|1CDMG	1FEWX|2aVULN|3RCR|4LIT|5BASARM|6RMIN|7CDMG|8ERES|9DMG
80	12212 23615	 * 	198.96	ACR|1BASARM|3BEXP|1ASPD	1DUST|2LHND|3RCR|4LWND|59aBEXP|6ERES|7ASPD|8BASARM
81	16261 22123	   	198.96	ACR|1BASARM|2VULN|1ASPD|1CDMG	1DUST|2aVULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8ERES|9ASPD
82	16261 22133	   	198.96	ACR|1BASARM|2VULN|1DMG|1CDMG	1DUST|2aVULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8ERES|9DMG
83	16261 32123	   	198.96	ACR|1BASARM|2VULN|1ASPD|1CDMG	1DUST|2aVULN|3RCR|4LIT|5BASARM|6RMIN|7CDMG|8ERES|9ASPD
84	16261 32133	   	198.96	ACR|1BASARM|2VULN|1DMG|1CDMG	1DUST|2aVULN|3RCR|4LIT|5BASARM|6RMIN|7CDMG|8ERES|9DMG
85	25633 24313	   	197.88	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1RPLT|2MDPS|3ASPD|4DMG|5RCR|6CDMG|7LIT|8VULN|9DUST|aBASARM
86	62212 45114	   	197.85	ACR|1BASARM|2AART|1DMG|1BEXP	1FEWX|2LHND|3RCR|4LWND|5BEXP|68AART|7BASARM|9MBVNT|aDMG
87	12212 45114	   	197.75	ACR|1BASARM|2AART|1DMG|1BEXP	1DUST|2LHND|3RCR|4LWND|5BEXP|68AART|7BASARM|9MBVNT|aDMG
88	16245 31123	 * 	197.74	ACR|1VULN|2AART|1ASPD|1DMG|1CDMG|1AAC	1DUST|2VULN|3RCR|4MULARM|5DMG|6CDMG|78AART|9ASPD|aAAC
89	12226 35242	   	197.39	ACR|1BASARM|2BEXP|1VULN|1AART	1DUST|2LHND|3RCR|4MDPS|5RCVC|6AART|7BASARM|8VULN|9aBEXP
90	52233 23616	   	196.74	ACR|2VULN|1BASARM|1ASPD|1BEXP	1LWND|256LHND|3RCR|45VULN|5BPWR|7BEXP|8BASARM|9ERES|aASPD
91	52233 23626	   	196.74	ACR|2VULN|1BASARM|1DMG|1BEXP	1LWND|256LHND|3RCR|45VULN|5BPWR|7BEXP|8BASARM|9MDPS|aDMG
92	52233 23636	   	196.74	ACR|2VULN|1BASARM|1ASPD|1BEXP	1LWND|256LHND|3RCR|45VULN|5BPWR|7BEXP|8BASARM|9TLV|aASPD
93	52233 33616	   	196.74	ACR|2VULN|1BASARM|1ASPD|1BEXP	16LWND|25LHND|3RCR|45VULN|5BPWR|7BEXP|8BASARM|9ERES|aASPD
94	52233 33626	   	196.74	ACR|2VULN|1BASARM|1DMG|1BEXP	16LWND|25LHND|3RCR|45VULN|5BPWR|7BEXP|8BASARM|9MDPS|aDMG
95	52233 33636	   	196.74	ACR|2VULN|1BASARM|1ASPD|1BEXP	16LWND|25LHND|3RCR|45VULN|5BPWR|7BEXP|8BASARM|9TLV|aASPD
96	16211 11661	   	196.64	ACR|2VULN|1BASARM|1DMG|1BEXP	1DUST|26VULN|3RCR|4LHND|5ZMB|7DMG|8BASARM|9BEXP|aLWND
97	16211 11662	   	196.64	ACR|2VULN|1BASARM|1DMG|1BEXP	1DUST|26VULN|3RCR|4LHND|5ZMB|7DMG|8BASARM|9BEXP|aFEWX
98	16211 11663	   	196.64	ACR|2VULN|1BASARM|1DMG|1BEXP	1DUST|26VULN|3RCR|4LHND|5ZMB|7DMG|8BASARM|9BEXP|aDUR
99	16211 13661	   	196.64	ACR|2VULN|1BASARM|1ASPD|1BEXP	1DUST|26VULN|3RCR|4LHND|5ZMB|7ASPD|8BASARM|9BEXP|aLWND
100	16211 13662	   	196.64	ACR|2VULN|1BASARM|1ASPD|1BEXP	1DUST|26VULN|3RCR|4LHND|5ZMB|7ASPD|8BASARM|9BEXP|aFEWX
101	16211 13663	   	196.64	ACR|2VULN|1BASARM|1ASPD|1BEXP	1DUST|26VULN|3RCR|4LHND|5ZMB|7ASPD|8BASARM|9BEXP|aDUR
102	16261 61311	   	196.64	ACR|2VULN|1BASARM|1ASPD|1BEXP	1DUST|28VULN|3RCR|4LIT|5BASARM|67BELT|9BEXP|aASPD
103	16211 11615	   	196.54	ACR|2VULN|1BASARM|1DMG|1BEXP	1DUST|26VULN|3RCR|4LHND|5ZMB|7DMG|8BASARM|9ERES|aBEXP
104	16211 11635	   	196.54	ACR|2VULN|1BASARM|1DMG|1BEXP	1DUST|26VULN|3RCR|4LHND|5ZMB|7DMG|8BASARM|9TLV|aBEXP
105	16211 13615	   	196.54	ACR|2VULN|1BASARM|1ASPD|1BEXP	1DUST|26VULN|3RCR|4LHND|5ZMB|7ASPD|8BASARM|9ERES|aBEXP
106	16211 13635	   	196.54	ACR|2VULN|1BASARM|1ASPD|1BEXP	1DUST|26VULN|3RCR|4LHND|5ZMB|7ASPD|8BASARM|9TLV|aBEXP
107	16261 62311	   	196.54	ACR|2VULN|1BASARM|1ASPD|1BEXP	17DUST|28VULN|3RCR|4LIT|5BASARM|6BELT|9BEXP|aASPD
108	16261 63132	   	196.54	ACR|2VULN|1BASARM|1DMG|1BEXP	1DUST|28VULN|3RCR|4LIT|5BASARM|6BELT|7NUKE|9DMG|aBEXP
109	12212 45261	   	196.21	ACR|1BASARM|2BEXP|1VULN|1AART	1DUST|2LHND|3RCR|4LWND|5aBEXP|6AART|7BASARM|8RCVC|9VULN
110	12212 45251	   	196.21	ACR|1BASARM|2BEXP|1VULN|1AART	1DUST|2LHND|3RCR|4LWND|59BEXP|6AART|7BASARM|8RCVC|aVULN
111	16261 22611	   	196.21	ACR|1BASARM|2VULN|1AART|1CDMG	1DUST|2aVULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|8RCVC|9AART
112	16261 32611	   	196.21	ACR|1BASARM|2VULN|1AART|1CDMG	1DUST|2aVULN|3RCR|4LIT|5BASARM|6RMIN|7CDMG|8RCVC|9AART
113	62212 45313	   	196.07	ACR|2BASARM|2BEXP|1AART	1FEWX|2LHND|3RCR|4LWND|59BEXP|6AART|7aBASARM|8CGEN
114	56226 23321	 * 	195.63	ACR|1VULN|2BEXP|1ASPD|1DMG|2CDMG	1LWND|2VULN|3RCR|4MDPS|56CDMG|7DMG|8aBEXP|9ASPD
115	16261 11363	 * 	195.52	ACR|3VULN|1BASARM|1ASPD	1DUST|289VULN|3RCR|47LIT|5BASARM|6RCVC|aASPD
116	16261 52121	   	195.15	ACR|1BASARM|1VULN|1BEXP|1CDMG|1AART	1DUST|2VULN|3RCR|4LIT|5BASARM|6BEXP|7MLV|8DMSP|9CDMG|aAART
117	16261 52321	   	195.15	ACR|1BASARM|1VULN|1BEXP|1CDMG|1AART	1DUST|2VULN|3RCR|4LIT|5BASARM|6BEXP|78MLV|9CDMG|aAART
118	56261 32311	   	195.13	ACR|1BASARM|2VULN|1AART|1CDMG	1LWND|2aVULN|3RCR|4LIT|5BASARM|68RMIN|7CDMG|9AART
119	62212 45311	   	195.13	ACR|1BASARM|2BEXP|1AART|1CDMG	1FEWX|2LHND|3RCR|4LWND|59BEXP|6AART|7BASARM|8CGEN|aCDMG
120	66261 32311	   	195.13	ACR|1BASARM|2VULN|1AART|1CDMG	1FEWX|2aVULN|3RCR|4LIT|5BASARM|68RMIN|7CDMG|9AART
121	16212 41111	 * 	195.08	ACR|2VULN|2BEXP|2AART|1BASICY	1DUST|2aVULN|3RCR|4LHND|58BEXP|67AART|9BASICY
122	16215 24131	   	195.05	ACR|1BASARM|1VULN|1BEXP|1AART|1CDMG	1DUST|2VULN|3RCR|4LHND|5CDMG|6AART|7RPLT|8BASARM|9AME|aBEXP
123	12212 45311	   	195.03	ACR|1BASARM|2BEXP|1AART|1CDMG	1DUST|2LHND|3RCR|4LWND|59BEXP|6AART|7BASARM|8CGEN|aCDMG
124	16261 22513	   	195.03	ACR|2VULN|1BASARM|1AART|1CDMG	1DUST|28VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|9AART|aLWND
125	16261 23521	   	195.03	ACR|2VULN|1BASARM|1AART|1CDMG	1DUST|27VULN|3RCR|4LIT|5BASARM|6ZMB|8DUR|9CDMG|aAART
126	16261 32513	   	195.03	ACR|2VULN|1BASARM|1AART|1CDMG	1DUST|28VULN|3RCR|4LIT|5BASARM|6RMIN|7CDMG|9AART|aLWND
127	16261 33521	   	195.03	ACR|2VULN|1BASARM|1AART|1CDMG	1DUST|27VULN|3RCR|4LIT|5BASARM|6RMIN|8DUR|9CDMG|aAART
128	16261 32311	   	195.03	ACR|1BASARM|2VULN|1AART|1CDMG	1DUST|2aVULN|3RCR|4LIT|5BASARM|68RMIN|7CDMG|9AART
129	12226 35211	   	195.01	ACR|1BASARM|2VULN|1BEXP|1AART	1DUST|2LHND|3RCR|4MDPS|5RCVC|6AART|7BASARM|89VULN|aBEXP
130	16261 51221	   	194.95	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG	18DUST|2VULN|3RCR|4LIT|5BASARM|6BEXP|7AAC|9CDMG|aAART
131	12212 45411	   	194.93	ACR|1BASARM|2BEXP|1AART|1CDMG	1DUST|2LHND|3RCR|4LWND|59BEXP|6AART|7BASARM|8ERES|aCDMG
132	16261 22512	   	194.93	ACR|2VULN|1BASARM|1CDMG|1AART	1DUST|28VULN|3RCR|4LIT|5BASARM|6ZMB|7CDMG|9AART|aAME
133	16261 32512	   	194.93	ACR|2VULN|1BASARM|1CDMG|1AART	1DUST|28VULN|3RCR|4LIT|5BASARM|6RMIN|7CDMG|9AART|aAME
134	12223 35242	   	194.93	ACR|1BASARM|2BEXP|1VULN|1AART	1DUST|2LHND|3RCR|4MDPS|5AART|6DMSP|7BASARM|8VULN|9aBEXP
135	12252 35242	   	194.93	ACR|1BASARM|2BEXP|1VULN|1AART	1DUST|24LHND|3RCR|5MDPS|6AART|7BASARM|8VULN|9aBEXP
136	12223 25242	   	194.83	ACR|1BASARM|2BEXP|1VULN|1AART	1DUST|2LHND|3RCR|46MDPS|5AART|7BASARM|8VULN|9aBEXP
137	12224 35242	   	194.83	ACR|1BASARM|2BEXP|1VULN|1AART	15DUST|2LHND|3RCR|4MDPS|6AART|7BASARM|8VULN|9aBEXP
138	16261 21136	   	194.81	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AAC	1DUST|2VULN|3RCR|4LIT|5BASARM|6ZMB|7SPLARM|8ASPD|9CDMG|aAAC
139	25123 32136	 * 	194.06	ACR|2ASPD|2BEXP|2CDMG|1AART|1AAC	1RPLT|2MDPS|3aCDMG|4RCR|5aASPD|6DMSP|7AART|8aBEXP|9AAC|aBPWR
140	25126 32136	 * 	194.06	ACR|2DMG|2BEXP|2CDMG|1AART|1AAC	1RPLT|2MDPS|3aCDMG|4RCR|5aDMG|6DMSP|7AART|8aBEXP|9AAC|aBPWR
141	12212 45163	   	194.04	ACR|1BASARM|2AART|1VULN|1BEXP	1DUST|2LHND|3RCR|4LWND|5BEXP|68AART|7BASARM|9VULN|aCGEN
142	12212 45115	   	193.94	ACR|1BASARM|2AART|1VULN|1BEXP	1DUST|2LHND|3RCR|4LWND|5BEXP|68AART|7BASARM|9MBVNT|aVULN
143	12212 45131	   	193.94	ACR|1BASARM|2AART|1VULN|1BEXP	19DUST|2LHND|3RCR|4LWND|5BEXP|68AART|7BASARM|aVULN
144	52263 35122	   	193.82	ACR|1BASARM|3AART|1DMG	1LWND|2LHND|3RCR|4MDPS|568AART|7BASARM|9DMG|aRCVC
145	16261 32523	 * 	193.62	ACR|2VULN|1BASARM|2CDMG|1AAC	1DUST|28VULN|3RCR|4LIT|5BASARM|6RMIN|7aCDMG|9AAC
146	66212 41311	 * 	193.57	ACR|3VULN|2AART|1BASICY|1BEXP	1FEWX|28aVULN|3RCR|4LHND|5BEXP|67AART|9BASICY
147	62226 23126	 * 	193.52	ACR|2DMG|3CDMG|1VULN|1ASPD	18FEWX|2LHND|3RCR|4MDPS|568CDMG|78DMG|8BPWR|9VULN|aASPD
148	52263 35121	   	193.49	ACR|1BASARM|3AART|1DMG	1aLWND|2LHND|3RCR|4MDPS|568AART|7BASARM|9DMG
149	16222 33435	   	193.41	ACR|1BASARM|1VULN|2BEXP|1CDMG	1DUST|2VULN|3RCR|4MDPS|5SNITOX|6aBEXP|7CDMG|8MULARM|9BASARM
150	66243 33332	 * 	193.36	ACR|2BASARM|1VULN|1BEXP|1CDMG	1aFEWX|2VULN|3RCR|4MULARM|5MDPS|6BEXP|7CDMG|89BASARM
151	66243 33333	   	193.36	ACR|2BASARM|1VULN|1BEXP|1CDMG	1FEWX|2VULN|3RCR|4MULARM|5MDPS|6BEXP|7CDMG|89BASARM|aZMB
152	66243 33331	   	193.26	ACR|2BASARM|1VULN|1BEXP|1CDMG	1FEWX|2VULN|3RCR|4MULARM|5MDPS|6BEXP|7CDMG|89BASARM|aMBVNT
153	16261 34313	   	192.92	ACR|1BASARM|1VULN|1ASPD|1DMG	1DUST|2VULN|3RCR|4LIT|5BASARM|6RMIN|7DMG|8RPLT|9MDPS|aASPD
