0	Index      	 *	Score 	Summary	Detail	
1	24335 34331	 * 	254.82	ACR|5VULN|2ASPD|2DMG|2BEXP	1379aVULN|2RCR|39BPWR|46BEXP|59ASPD|89DMG
18	24355 23222	   	235.05	ACR|3VULN|1BASARM|2ASPD|1CDMG	134VULN|2RCR|34BPWR|57ASPD|6CDMG|8BASARM|9LIT|aRMIN
19	24355 23223	   	235.05	ACR|3VULN|1BASARM|2ASPD|1CDMG	134VULN|2RCR|34BPWR|57ASPD|6CDMG|8BASARM|9LIT|aLWND
20	24345 23211	   	234.95	ACR|3VULN|1BASARM|2ASPD|1CDMG	134VULN|2RCR|3BPWR|57ASPD|6CDMG|8BASARM|9RMIN|aMDPS
21	24345 23213	   	234.95	ACR|3VULN|1BASARM|2ASPD|1CDMG	134VULN|2RCR|3BPWR|57ASPD|6CDMG|8BASARM|9RMIN|aMBVNT
22	24345 23221	   	234.95	ACR|3VULN|1BASARM|2ASPD|1CDMG	134VULN|2RCR|3BPWR|57ASPD|6CDMG|8BASARM|9LIT|aERES
23	24345 23232	   	234.95	ACR|3VULN|1BASARM|2ASPD|1CDMG	134VULN|2RCR|3BPWR|57ASPD|6CDMG|8BASARM|9FEWX|aDUST
24	24345 23233	   	234.95	ACR|3VULN|1BASARM|2ASPD|1CDMG	134VULN|2RCR|3BPWR|57ASPD|6CDMG|8BASARM|9FEWX|aMDPS
25	24355 23211	   	234.95	ACR|3VULN|1BASARM|2ASPD|1CDMG	134VULN|2RCR|34BPWR|57ASPD|6CDMG|8BASARM|9RMIN|aMDPS
26	24355 23213	   	234.95	ACR|3VULN|1BASARM|2ASPD|1CDMG	134VULN|2RCR|34BPWR|57ASPD|6CDMG|8BASARM|9RMIN|aMBVNT
27	24355 23221	   	234.95	ACR|3VULN|1BASARM|2ASPD|1CDMG	134VULN|2RCR|34BPWR|57ASPD|6CDMG|8BASARM|9LIT|aERES
28	24355 23232	   	234.95	ACR|3VULN|1BASARM|2ASPD|1CDMG	134VULN|2RCR|34BPWR|57ASPD|6CDMG|8BASARM|9FEWX|aDUST
29	24355 23233	   	234.95	ACR|3VULN|1BASARM|2ASPD|1CDMG	134VULN|2RCR|34BPWR|57ASPD|6CDMG|8BASARM|9FEWX|aMDPS
30	24335 32136	   	233.95	ACR|3VULN|3ASPD|2BEXP|1CDMG	139VULN|2RCR|39BPWR|46BEXP|589ASPD|79ZMB|aCDMG
31	24335 13136	   	233.95	ACR|3VULN|3ASPD|2BEXP|1CDMG	139VULN|2RCR|39BPWR|49BEXP|589ASPD|67RMIN|aCDMG
32	24113 53621	   	232.90	ACR|2VULN|2ASPD|2DMG|1BEXP|1CDMG	17VULN|2RCR|37AME|4FEWX|5CDMG|67ASPD|7BPWR|89DMG|aBEXP
33	24535 13131	   	230.25	ACR|3ASPD|2VULN|2BEXP|1DMG	19VULN|2RCR|3AEMAG|49BEXP|589ASPD|67RMIN|9BPWR|aDMG
34	24641 31123	   	230.10	ACR|2VULN|1BASARM|1ASPD|1AART|1CDMG	14VULN|2RCR|379LHND|5AART|6BASARM|8CDMG|aASPD
35	24641 31113	   	230.00	ACR|2VULN|1BASARM|1ASPD|1AART|1CDMG	14VULN|2RCR|37LHND|5AART|6BASARM|8CDMG|9AEFBLL|aASPD
36	24433 12141	 * 	228.12	ACR|3VULN|2DMG|3CDMG|1ASPD	179VULN|2RCR|3MDPS|47TLV|579CDMG|6RMIN|79BPWR|89DMG|aASPD
37	24332 81238	   	227.81	ACR|2VULN|1BASARM|1ASPD|1AART|1BEXP	13VULN|2RCR|3BPWR|4BEXP|5MBVNT|6MDPS|7AART|8RCVC|9BASARM|aASPD
