0	Index      	 *	Score 	Summary	Detail	
1	32231 31133	 * 	237.75	ACR|3ASPD|2DMG|2BASICY|1AART|1CDMG	19aASPD|2CDMG|3RCR|4BELT|5AART|69BASICY|79DMG|8MDPS|9BPWR
14	32231 32544	 * 	216.86	ACR|2ASPD|2BEXP|3CDMG|1BASICY|1AART	19ASPD|29aCDMG|3RCR|4BELT|5AART|6BASICY|7TLV|89BEXP|9BPWR
15	32231 31463	   	216.57	ACR|2ASPD|1DMG|1BASICY|1BEXP|1CDMG|1AART	1aASPD|2CDMG|3RCR|4BELT|5AART|6BASICY|7DMG|8BEXP|9VULN
16	32231 31414	   	215.94	ACR|2ASPD|1DMG|2CDMG|1BASICY|1BEXP|1AART	19ASPD|2aCDMG|3RCR|4BELT|5AART|6BASICY|7DMG|8BEXP
17	32231 31311	   	213.57	ACR|2ASPD|2DMG|1BASICY|1CDMG|1AART	19ASPD|2CDMG|3RCR|4BELT|5AART|6BASICY|7aDMG|8FEWX
18	32231 31212	   	211.63	ACR|3ASPD|1DMG|1BASICY|1CDMG|1AART	19aASPD|2CDMG|3RCR|4BELT|5AART|6BASICY|7DMG|8RMIN
19	32231 32542	   	210.82	ACR|2ASPD|2BEXP|2CDMG|1BASICY|1AART	19ASPD|29CDMG|3RCR|4BELT|5AART|6BASICY|7TLV|89BEXP|9BPWR|aDUR
20	32231 32546	   	210.82	ACR|2ASPD|2BEXP|2CDMG|1BASICY|1AART	19ASPD|29CDMG|3RCR|4BELT|5AART|6BASICY|7TLV|89BEXP|9BPWR|aRCVC
21	32253 32312	 * 	210.81	ACR|1BASARM|2ASPD|2CDMG|1AART	18ASPD|28CDMG|3RCR|45RCVC|68LIT|7RMIN|8BPWR|9AART|aBASARM
22	32231 32545	   	210.72	ACR|2ASPD|2BEXP|2CDMG|1BASICY|1AART	19ASPD|29CDMG|3RCR|4BELT|5AART|6BASICY|7TLV|89BEXP|9BPWR|aMDPS
23	32223 31441	   	210.71	ACR|1BASARM|2ASPD|1DMG|1CDMG	1aASPD|2CDMG|3RCR|4DUR|59LHND|6DMG|7LWND|8BASARM
24	32223 31442	   	210.71	ACR|1BASARM|2DMG|1ASPD|1CDMG	1ASPD|2CDMG|3RCR|4DUR|59LHND|6aDMG|7LWND|8BASARM
25	32223 31463	   	210.71	ACR|1BASARM|2DMG|1ASPD|1CDMG	1ASPD|2CDMG|3RCR|4DUR|5LHND|69DMG|7LWND|8BASARM|aMLV
26	32223 31464	   	210.71	ACR|1BASARM|2DMG|1ASPD|1CDMG	1ASPD|2CDMG|3RCR|4DUR|5LHND|69DMG|7LWND|8BASARM|aRMIN
27	32223 31465	   	210.71	ACR|1BASARM|2DMG|1ASPD|1CDMG	1ASPD|2CDMG|3RCR|4DUR|5aLHND|69DMG|7LWND|8BASARM
28	32223 32441	   	210.71	ACR|1BASARM|2ASPD|1DMG|1CDMG	1aASPD|2CDMG|3RCR|4DUR|59LHND|6DMG|7FEWX|8BASARM
29	32223 32442	   	210.71	ACR|1BASARM|2DMG|1ASPD|1CDMG	1ASPD|2CDMG|3RCR|4DUR|59LHND|6aDMG|7FEWX|8BASARM
30	32223 32451	   	210.71	ACR|1BASARM|2ASPD|1DMG|1CDMG	1aASPD|2CDMG|3RCR|4DUR|5LHND|6DMG|7FEWX|8BASARM|9RCVC
31	32223 32452	   	210.71	ACR|1BASARM|2DMG|1ASPD|1CDMG	1ASPD|2CDMG|3RCR|4DUR|5LHND|6aDMG|7FEWX|8BASARM|9RCVC
32	32224 31461	   	210.71	ACR|1BASARM|2ASPD|1DMG|1CDMG	1aASPD|2CDMG|3RCR|4DUR|5FEWX|6DMG|79LWND|8BASARM
33	32224 31462	   	210.71	ACR|1BASARM|2DMG|1ASPD|1CDMG	1ASPD|2CDMG|3RCR|4DUR|5FEWX|6aDMG|79LWND|8BASARM
34	32226 31461	   	210.61	ACR|1BASARM|2ASPD|1DMG|1CDMG	1aASPD|2CDMG|3RCR|4DUR|5DUST|6DMG|79LWND|8BASARM
35	32226 31462	   	210.61	ACR|1BASARM|2DMG|1ASPD|1CDMG	1ASPD|2CDMG|3RCR|4DUR|5DUST|6aDMG|79LWND|8BASARM
36	32223 31466	   	210.61	ACR|1BASARM|2DMG|1ASPD|1CDMG	1ASPD|2CDMG|3RCR|4DUR|5LHND|69DMG|7LWND|8BASARM|aERES
37	32223 34441	   	210.61	ACR|1BASARM|2ASPD|1DMG|1CDMG	1aASPD|2CDMG|3RCR|4DUR|59LHND|6DMG|7DUST|8BASARM
38	32223 34442	   	210.61	ACR|1BASARM|2DMG|1ASPD|1CDMG	1ASPD|2CDMG|3RCR|4DUR|59LHND|6aDMG|7DUST|8BASARM
39	32223 34451	   	210.61	ACR|1BASARM|2ASPD|1DMG|1CDMG	1aASPD|2CDMG|3RCR|4DUR|5LHND|6DMG|7DUST|8BASARM|9RCVC
40	32223 34452	   	210.61	ACR|1BASARM|2DMG|1ASPD|1CDMG	1ASPD|2CDMG|3RCR|4DUR|5LHND|6aDMG|7DUST|8BASARM|9RCVC
41	32231 31216	   	209.63	ACR|2ASPD|1DMG|1BASICY|1BEXP|1AART|1CDMG	19ASPD|2CDMG|3RCR|4BELT|5AART|6BASICY|7DMG|8RMIN|aBEXP
42	32231 31413	   	209.63	ACR|2ASPD|1DMG|1BASICY|1BEXP|1AART|1CDMG	19ASPD|2CDMG|3RCR|4BELT|5AART|6BASICY|7DMG|8BEXP|aCGEN
43	32231 31416	   	209.63	ACR|2ASPD|1DMG|1BASICY|1BEXP|1CDMG|1AART	19ASPD|2CDMG|3RCR|4BELT|5AART|6BASICY|7DMG|8BEXP|aDUR
44	32231 36411	   	209.63	ACR|2ASPD|1DMG|1BASICY|1BEXP|1AART|1CDMG	19ASPD|2CDMG|3RCR|4BELT|5AART|6BASICY|7RMIN|8BEXP|aDMG
45	32231 31412	   	209.53	ACR|2ASPD|1DMG|1BASICY|1BEXP|1AART|1CDMG	19ASPD|2CDMG|3RCR|4BELT|5AART|6BASICY|7DMG|8BEXP|aDUST
46	32231 31415	   	209.53	ACR|2ASPD|1DMG|1BASICY|1BEXP|1AART|1CDMG	19ASPD|2CDMG|3RCR|4BELT|5AART|6BASICY|7DMG|8BEXP|aMDPS
47	32231 31441	   	209.53	ACR|2ASPD|1DMG|1BASICY|1BEXP|1AART|1CDMG	1aASPD|2CDMG|3RCR|4BELT|5AART|6BASICY|7DMG|8BEXP|9LSRICY
48	32231 31451	   	209.53	ACR|2DMG|1ASPD|1BASICY|1BEXP|1CDMG|1AART	1ASPD|2CDMG|3RCR|4BELT|5AART|6BASICY|7aDMG|8BEXP|9AEFBLL
49	32231 32511	   	209.53	ACR|2ASPD|1DMG|1BASICY|1BEXP|1CDMG|1AART	19ASPD|2CDMG|3RCR|4BELT|5AART|6BASICY|7TLV|8BEXP|aDMG
50	32231 31611	 * 	209.23	ACR|2DMG|1ASPD|1BASICY|2CDMG|1AART	1ASPD|28CDMG|3RCR|4BELT|5AART|6BASICY|7aDMG|9VULN
51	32231 31262	 * 	208.43	ACR|2ASPD|2AART|1DMG|1BASICY|1CDMG	1aASPD|2CDMG|3RCR|4BELT|59AART|6BASICY|7DMG|8RMIN
