0	Index      	 *	Score 	Summary	Detail	
1	52122 31114	 * 	234.16	ACR|2BASARM|2ASPD|1VULN|2CDMG|1BEXP	1RPLT|2DUR|3aASPD|4BEXP|5RCR|6LWND|7aCDMG|8VULN|9aBASARM|aBPWR
20	56121 23252	   	213.27	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1RPLT|2RCR|3ERES|4BEXP|5LWND|6BASARM|7AART|8VULN|9DMG|aNUKE
21	56121 23253	   	213.27	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1RPLT|2RCR|3ERES|4BEXP|5LWND|6BASARM|7AART|8VULN|9DMG|aDLOT
22	56121 23324	   	213.27	ACR|1BASARM|1ASPD|1AART|1VULN|1BEXP	1RPLT|2RCR|3ERES|4BEXP|5LWND|6BASARM|7AART|8MDPS|9ASPD|aVULN
23	56125 23222	   	213.27	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1RPLT|2RCR|3ERES|4BEXP|5LHND|6BASARM|7AART|8VULN|9AME|aDMG
24	56125 23233	   	213.27	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1RPLT|2RCR|3ERES|4BEXP|5LHND|6BASARM|7AART|8VULN|9DUST|aDMG
25	56521 23222	   	213.27	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1RPLT|2RCR|3TLV|4BEXP|5LWND|6BASARM|7AART|8VULN|9AME|aDMG
26	56521 23233	   	213.27	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP	1RPLT|2RCR|3TLV|4BEXP|5LWND|6BASARM|7AART|8VULN|9DUST|aDMG
27	63321 64414	 * 	213.08	ACR|2BASARM|2VULN|3BEXP	1MBVNT|2aLHND|3MDPS|4RCR|58VULN|67aBEXP|9aBASARM|aBPWR
28	33615 53112	 * 	212.93	ACR|1BASARM|3CDMG|1VULN|1DMG|1BEXP	13LWND|235CDMG|3BPWR|4RCR|6DMG|7LHND|8VULN|9BASARM|aBEXP
29	66233 24115	 * 	212.58	ACR|1BASARM|1VULN|2CDMG|1AART|1BEXP|1AAC	1MBVNT|2DUR|3aCDMG|4RCR|5BEXP|6VULN|7AART|8AAC|9BASARM
30	56121 22242	   	212.37	ACR|1BASARM|1DMG|1VULN|1AART|1BEXP	1RPLT|2RCR|3ERES|4BEXP|5LWND|6BASARM|7ZMB|8AART|9VULN|aDMG
31	56121 23131	 * 	210.44	ACR|1BASARM|2BEXP|1DMG|1AART	1RPLT|2RCR|3ERES|49BEXP|5LWND|6BASARM|7AART|8DMG|aRMIN
32	56121 23133	   	210.44	ACR|1BASARM|2BEXP|1DMG|1AART	1RPLT|2RCR|3ERES|49BEXP|5LWND|6BASARM|7AART|8DMG|aLIT
33	56125 23131	   	210.44	ACR|1BASARM|2BEXP|1DMG|1AART	1RPLT|2RCR|3ERES|49BEXP|5LHND|6BASARM|7AART|8DMG|aRMIN
34	56125 23133	   	210.44	ACR|1BASARM|2BEXP|1DMG|1AART	1RPLT|2RCR|3ERES|49BEXP|5LHND|6BASARM|7AART|8DMG|aLIT
35	56121 23134	   	210.34	ACR|1BASARM|2BEXP|1DMG|1AART	1RPLT|2RCR|3aERES|49BEXP|5LWND|6BASARM|7AART|8DMG
36	56121 23135	   	210.34	ACR|1BASARM|2BEXP|1DMG|1AART	1RPLT|2RCR|3ERES|49BEXP|5LWND|6BASARM|7AART|8DMG|aLEGI
37	56121 23343	 * 	209.96	ACR|1BASARM|2AART|1DMG|1BEXP	1RPLT|2RCR|3ERES|4BEXP|5LWND|6BASARM|79AART|8MDPS|aDMG
38	63324 63117	 * 	209.62	ACR|1BASARM|2ASPD|1VULN|1DMG	1MBVNT|2LHND|3MDPS|4RCR|56ASPD|7RMIN|8VULN|9BASARM|aDMG
39	56121 23114	   	209.26	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1RPLT|2RCR|3ERES|4BEXP|5LWND|6BASARM|7AART|8DMG|9CGEN|aCDMG
40	56521 23132	   	209.26	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1aRPLT|2RCR|3TLV|4BEXP|5LWND|6BASARM|7AART|8DMG|9CDMG
41	56121 23124	   	209.16	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1RPLT|2RCR|3ERES|4BEXP|5LWND|6BASARM|7AART|8DMG|9TLV|aCDMG
42	56121 23323	   	209.16	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1RPLT|2RCR|3ERES|4BEXP|5LWND|6BASARM|7AART|8MDPS|9ASPD|aCDMG
43	56125 23323	   	209.16	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1RPLT|2RCR|3ERES|4BEXP|5LHND|6BASARM|7AART|8MDPS|9ASPD|aCDMG
44	56521 23323	   	209.16	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1RPLT|2RCR|3TLV|4BEXP|5LWND|6BASARM|7AART|8MDPS|9ASPD|aCDMG
45	63321 64417	 * 	209.09	ACR|1BASARM|2VULN|2BEXP|1DMG	1MBVNT|2LHND|3MDPS|4RCR|58VULN|67BEXP|9BASARM|aDMG
46	52122 31112	 * 	208.31	ACR|1BASARM|2BEXP|1VULN|1ASPD|1CDMG	1RPLT|2DUR|3ASPD|4aBEXP|5RCR|6LWND|7CDMG|8VULN|9BASARM
47	52122 53114	 * 	208.20	ACR|2BASARM|2BEXP|1VULN|1ASPD|1SELL	1RPLT|2aDUR|3ASPD|4aBEXP|5RCR|6SELL|7LHND|8VULN|9aBASARM|aBPWR
48	63322 65414	 * 	207.82	ACR|2BASARM|3VULN|2BEXP	1MBVNT|2aLHND|3MDPS|4RCR|56BEXP|78aVULN|9aBASARM|aBPWR
49	63235 31184	   	207.40	ACR|1BASARM|2ASPD|1BEXP|1CDMG|1AAC	1MBVNT|2LHND|3CDMG|4RCR|5AAC|6AME|7BEXP|89ASPD|aBASARM
50	56121 23261	 * 	207.15	ACR|1BASARM|2BEXP|1VULN|1AART	1RPLT|2RCR|3ERES|4aBEXP|5LWND|6BASARM|7AART|8VULN|9LHND
51	56121 23411	   	207.15	ACR|1BASARM|2BEXP|1VULN|1AART	1RPLT|2RCR|3ERES|4aBEXP|5LWND|6BASARM|7AART|8DUR|9VULN
52	56121 23231	   	207.05	ACR|1BASARM|2BEXP|1VULN|1AART	1RPLT|2RCR|3ERES|4aBEXP|5LWND|6BASARM|7AART|8VULN|9DUST
53	56125 23231	   	207.05	ACR|1BASARM|2BEXP|1VULN|1AART	1RPLT|2RCR|3ERES|4aBEXP|5LHND|6BASARM|7AART|8VULN|9DUST
54	56521 23231	   	207.05	ACR|1BASARM|2BEXP|1VULN|1AART	1RPLT|2RCR|3TLV|4aBEXP|5LWND|6BASARM|7AART|8VULN|9DUST
55	56121 23262	   	206.96	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG	1RPLT|2RCR|3ERES|4BEXP|5LWND|6BASARM|7AART|8VULN|9LHND|aCDMG
56	56121 23412	   	206.96	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG	1RPLT|2RCR|3ERES|4BEXP|5LWND|6BASARM|7AART|8DUR|9VULN|aCDMG
57	56121 23214	   	206.86	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG	1RPLT|2RCR|3ERES|4BEXP|5LWND|6BASARM|7AART|8VULN|9AEFBLL|aCDMG
58	56121 23226	   	206.86	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG	1RPLT|2RCR|3ERES|4BEXP|5LWND|6BASARM|7AART|8VULN|9AME|aCDMG
59	56121 23232	   	206.86	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG	1RPLT|2RCR|3ERES|4BEXP|5LWND|6BASARM|7AART|8VULN|9DUST|aCDMG
60	56125 23232	   	206.86	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG	1RPLT|2RCR|3ERES|4BEXP|5LHND|6BASARM|7AART|8VULN|9DUST|aCDMG
61	56521 23232	   	206.86	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG	1RPLT|2RCR|3TLV|4BEXP|5LWND|6BASARM|7AART|8VULN|9DUST|aCDMG
62	52352 31316	   	206.78	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG|1AAC	1RPLT|2DUR|3VULN|4AAC|5RCR|6FEWX|7CDMG|8AART|9ASPD|aBASARM
63	66233 24111	   	206.57	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG|1AAC	1MBVNT|2DUR|3CDMG|4RCR|5BEXP|6VULN|7AART|8AAC|9BASARM|aRCVC
64	56121 25123	   	206.26	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	17RPLT|2RCR|3ERES|4BEXP|5LWND|6BASARM|8CDMG|9ASPD|aAART
65	33612 51326	 * 	206.16	ACR|2ASPD|2DMG|3CDMG|1AART	135LWND|23aCDMG|3aBPWR|4RCR|6AART|7aASPD|8RMIN|9aDMG
66	63324 61632	   	205.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	1MBVNT|2LHND|3MDPS|4RCR|56ASPD|7DUR|8BASARM|9DMG|aBEXP
67	63324 64632	   	205.41	ACR|1BASARM|2ASPD|1DMG|1BEXP	1MBVNT|2LHND|3MDPS|4RCR|56ASPD|7DUST|8BASARM|9DMG|aBEXP
68	66233 24117	   	205.27	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG|1AAC	1MBVNT|2DUR|3CDMG|4RCR|5BEXP|6VULN|7AART|8AAC|9BASARM|aZMB
69	66233 24112	   	205.17	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG|1AAC	1MBVNT|2DUR|3CDMG|4RCR|5BEXP|6VULN|7AART|8AAC|9BASARM|aLEGI
70	52122 31115	   	205.10	ACR|1BASARM|2VULN|1ASPD|1BEXP|1CDMG	1RPLT|2DUR|3ASPD|4BEXP|5RCR|6LWND|7CDMG|8aVULN|9BASARM
71	56333 32323	   	205.04	ACR|2VULN|1ASPD|1DMG|1BASICY|1AART	1RPLT|2RCR|3RMIN|47VULN|5BASICY|6ASPD|8AART|9TLV|aDMG
72	56333 32363	   	205.04	ACR|2VULN|1ASPD|1DMG|1BASICY|1AART	1RPLT|2RCR|3RMIN|47VULN|5BASICY|6ASPD|8AART|9AME|aDMG
73	56351 32323	   	205.04	ACR|2VULN|1ASPD|1DMG|1BASICY|1AART	1RPLT|2RCR|3RMIN|4BASICY|57VULN|6ASPD|8AART|9TLV|aDMG
74	56121 23341	 * 	204.73	ACR|1BASARM|2AART|2BEXP	1RPLT|2RCR|3ERES|4aBEXP|5LWND|6BASARM|79AART|8MDPS
75	24253 61121	 * 	204.57	ACR|2VULN|1BASARM|2CDMG|1DMG	1FEWX|27VULN|39CDMG|4RCR|5ERES|6BASARM|8MDPS|aDMG
76	24253 61122	 * 	204.57	ACR|2VULN|1BASARM|1ASPD|2CDMG	1FEWX|27VULN|39CDMG|4RCR|5ERES|6BASARM|8MDPS|aASPD
77	34253 61121	   	204.57	ACR|2VULN|1BASARM|2CDMG|1DMG	1LWND|27VULN|39CDMG|4RCR|5ERES|6BASARM|8MDPS|aDMG
78	34253 61122	   	204.57	ACR|2VULN|1BASARM|2CDMG|1ASPD	1LWND|27VULN|39CDMG|4RCR|5ERES|6BASARM|8MDPS|aASPD
