0	Index      	 *	Score 	Summary	Detail	
1	42212 73253	 * 	308.96	DCR|DCR|2VULN|1TLV|1DMG|1ASPD	15LWND|2MBVNT|3ASPD|4aVULN|6TLV|78RCR|9DMG
18	42512 73243	   	285.42	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG	15LWND|2MBVNT|3DMG|4VULN|6TLV|78RCR|9AETHUN|aAEFBLL
19	33142 63234	   	285.27	DCR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1SELL	1ERES|2RPLT|3VULN|4MLV|5SELL|6TLV|78RCR|9AEFBLL|aDMG
20	42231 73231	   	285.24	DCR|DCR|1TLV|1VULN|2ASPD|1CDMG	14LWND|2MBVNT|34ASPD|4BPWR|5LHND|6TLV|78RCR|9VULN|aCDMG
21	42531 73221	   	283.14	DCR|DCR|1TLV|1VULN|2DMG	14LWND|2MBVNT|34DMG|4BPWR|5LHND|6TLV|78RCR|9CGEN|aVULN
22	42531 73232	   	283.14	DCR|DCR|1TLV|1VULN|2DMG	14LWND|2MBVNT|34DMG|4BPWR|5LHND|6TLV|78RCR|9VULN|aBEXP
23	42531 73234	   	283.14	DCR|DCR|1TLV|1VULN|2DMG	14LWND|2MBVNT|34DMG|4BPWR|5LHND|6TLV|78RCR|9VULN|aAAC
24	22517 27223	   	282.94	DCR|DCR|1TLV|1VULN|2DMG	1DUST|2MBVNT|39DMG|4VULN|5AAC|6CGEN|7aRCR|8TLV
25	61232 61236	   	282.28	DCR|2TLV|2VULN|1DMG|2DUR|1CDMG	1RCVC|27DUR|3CDMG|4BELT|57TLV|67VULN|7BPWR|8LIT|9DMG|aRCR
26	41144 73221	   	282.05	DCR|DCR|1TLV|1VULN|1AEFBLL	1LWND|2AEFBLL|3DUR|4MBVNT|5ZMB|6TLV|78RCR|9CGEN|aVULN
27	41144 73232	   	282.05	DCR|DCR|1TLV|1VULN|1AEFBLL	1LWND|2AEFBLL|3DUR|4MBVNT|5ZMB|6TLV|78RCR|9VULN|aCGEN
28	41144 73233	   	282.05	DCR|DCR|1TLV|1VULN|1AEFBLL	1LWND|2AEFBLL|3DUR|4MBVNT|5ZMB|6TLV|78RCR|9VULN|aTSLHEL
29	41144 73234	   	282.05	DCR|DCR|1TLV|1VULN|1AEFBLL	1LWND|2AEFBLL|3DUR|4MBVNT|5ZMB|6TLV|78RCR|9VULN|aRPLT
30	41144 73231	   	281.95	DCR|DCR|1TLV|1VULN|1AEFBLL|1SELL	1LWND|2AEFBLL|3DUR|4MBVNT|5ZMB|6TLV|78RCR|9VULN|aSELL
31	42231 73243	   	281.25	DCR|DCR|1TLV|1VULN|2ASPD	14LWND|2MBVNT|34ASPD|4BPWR|5LHND|6TLV|78RCR|9DUR|aVULN
32	43262 11134	 * 	280.66	DCR|3VULN|2TLV|2ASPD	124LWND|28BPWR|38ASPD|5CGEN|68TLV|78aVULN|9RCR
33	55333 51323	   	279.81	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1CGEN|2RAT|369VULN|4CDMG|5AART|7TLV|8DMG|aRCR
34	31512 63231	   	279.10	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1ERES|2BEXP|3CDMG|4CGEN|5RPLT|6TLV|78RCR|9DMG|aVULN
35	42212 73226	   	279.10	DCR|DCR|1TLV|1VULN|1AEFBLL|1ASPD	15LWND|2MBVNT|3ASPD|4VULN|6TLV|78RCR|9CGEN|aAEFBLL
36	42212 73234	   	279.10	DCR|DCR|1TLV|1VULN|1AEFBLL|1ASPD	15LWND|2MBVNT|3ASPD|4VULN|6TLV|78RCR|9AEFBLL|aCGEN
37	42212 73237	   	279.10	DCR|DCR|1TLV|1VULN|1AEFBLL|1ASPD	15LWND|2MBVNT|3ASPD|4VULN|6TLV|78RCR|9AEFBLL|aAAC
38	42212 73238	   	279.10	DCR|DCR|1TLV|1VULN|1AEFBLL|1ASPD	15LWND|2MBVNT|3ASPD|4VULN|6TLV|78RCR|9AEFBLL|aLHND
39	42212 73252	   	279.10	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	15LWND|2MBVNT|3ASPD|4VULN|6TLV|78RCR|9DMG|aLHND
40	42212 73273	   	279.10	DCR|DCR|1TLV|1VULN|1AEFBLL|1ASPD	15LWND|2MBVNT|3ASPD|4VULN|6TLV|78RCR|9FEWX|aAEFBLL
41	42512 73211	   	279.10	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	15LWND|2MBVNT|3DMG|4VULN|6TLV|78RCR|9BEXP|aCDMG
42	42512 73423	   	279.10	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	15LWND|2MBVNT|3DMG|4VULN|6TLV|7aRCR|8ASPD|9CGEN
43	51512 63231	   	279.10	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1CGEN|2BEXP|3CDMG|4ERES|5RPLT|6TLV|78RCR|9DMG|aVULN
44	22522 32423	 * 	279.00	ACR|DCR|1TLV|1VULN|1DMG|1ASPD	1DUST|2MBVNT|3DMG|4RCVC|5aRCR|6ASPD|7TLV|8VULN|9CGEN
45	42262 73233	   	279.00	DCR|DCR|1TLV|1VULN|1AEFBLL|1ASPD	15LWND|2MBVNT|3ASPD|4AETHUN|6TLV|78RCR|9VULN|aAEFBLL
46	42212 73231	   	279.00	DCR|DCR|1TLV|1VULN|1AEFBLL|1ASPD	15LWND|2MBVNT|3ASPD|4VULN|6TLV|78RCR|9AEFBLL|aDUST
47	42212 73233	   	279.00	DCR|DCR|1TLV|1VULN|1AEFBLL|1ASPD	15LWND|2MBVNT|3ASPD|4VULN|6TLV|78RCR|9AEFBLL|aMDPS
48	42212 73236	   	279.00	DCR|DCR|1TLV|1VULN|1AEFBLL|1ASPD	15LWND|2MBVNT|3ASPD|4VULN|6TLV|78RCR|9AEFBLL|aERES
49	42212 73243	   	279.00	DCR|DCR|1TLV|1VULN|1AEFBLL|1ASPD	15LWND|2MBVNT|3ASPD|4VULN|6TLV|78RCR|9AETHUN|aAEFBLL
50	42212 73251	   	279.00	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	15LWND|2MBVNT|3ASPD|4VULN|6TLV|78RCR|9DMG|aERES
51	42212 73254	   	279.00	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	15LWND|2MBVNT|3ASPD|4VULN|6TLV|78RCR|9DMG|aBASFIG
52	42512 73241	   	279.00	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	15LWND|2MBVNT|3DMG|4VULN|6TLV|78RCR|9AETHUN|aCDMG
