0	Index      	 *	Score 	Summary	Detail	
1	31321 33633	 * 	308.96	ACR|DCR|2VULN|1TLV|1AEFBLL|1CDMG	1LIT|2CDMG|3TLV|49VULN|58RCR|6LWND|7AIRHEA|aAEFBLL
24	31321 33635	   	288.90	ACR|DCR|2VULN|1TLV|1CDMG	1LIT|2CDMG|3TLV|49VULN|58RCR|6LWND|7AIRHEA|aCGEN
25	31321 33636	   	288.90	ACR|DCR|2VULN|1TLV|1CDMG	1LIT|2CDMG|3TLV|49VULN|58RCR|6LWND|7AIRHEA|aFEWX
26	31321 53632	   	288.90	ACR|DCR|2VULN|1TLV|1CDMG	1LIT|2CDMG|3TLV|4aVULN|58RCR|6BEXP|7AIRHEA|9FEWX
27	31364 24111	 * 	288.67	DCR|DCR|1TLV|1VULN|1AEPOI|1CDMG	1LIT|2CDMG|3TLV|4AEPOI|5MDPS|6DUST|7DUR|8aRCR|9VULN
28	14253 33152	 * 	288.12	ACR|2TLV|2VULN|2ASPD|2DUR|1CDMG	1ERES|2aTLV|3RCR|4CDMG|56VULN|7aASPD|8SPLARM|9aDUR|aBPWR
29	31311 63632	   	286.14	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1LIT|2CDMG|3TLV|4LWND|58RCR|6LHND|7BLAICY|9VULN|aDMG
30	31311 63633	   	286.14	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1LIT|2CDMG|3TLV|4LWND|58RCR|6LHND|7BLAICY|9VULN|aAEBURN
31	31321 23665	   	285.44	ACR|DCR|2TLV|1VULN|1CDMG	19LIT|2CDMG|39TLV|4VULN|5aRCR|6ERES|789BEXP|9BPWR
32	33321 35651	   	285.30	ACR|DCR|3TLV|1VULN|1SELL	18LIT|2SELL|389TLV|4VULN|5aRCR|6LWND|78BEXP|8BPWR
33	31321 11631	   	285.24	ACR|DCR|2TLV|1VULN|1CDMG	1LIT|2CDMG|38TLV|4VULN|5aRCR|6MDPS|7LHND|9BEXP
34	31321 33641	   	285.24	ACR|DCR|2TLV|1VULN|1CDMG	1LIT|2CDMG|39TLV|4VULN|58RCR|6LWND|7AIRHEA|aLHND
35	31321 33642	   	285.24	ACR|DCR|2TLV|1VULN|1CDMG	1LIT|2CDMG|39TLV|4VULN|58RCR|6LWND|7AIRHEA|aAME
36	31321 33645	   	285.24	ACR|DCR|2TLV|1VULN|1CDMG	1LIT|2CDMG|39TLV|4VULN|58RCR|6LWND|7AIRHEA|aCGEN
37	31321 33646	   	285.24	ACR|DCR|2TLV|1VULN|1CDMG	1LIT|2CDMG|39TLV|4VULN|58RCR|6LWND|7AIRHEA|aFEWX
38	31321 53641	   	285.24	ACR|DCR|2TLV|1VULN|1CDMG	1LIT|2CDMG|39TLV|4VULN|58RCR|6BEXP|7AIRHEA|aLWND
39	31321 53642	   	285.24	ACR|DCR|2TLV|1VULN|1CDMG	1LIT|2CDMG|39TLV|4VULN|58RCR|6BEXP|7AIRHEA|aAME
40	31321 63641	   	285.24	ACR|DCR|2TLV|1VULN|1CDMG	1LIT|2CDMG|39TLV|4VULN|58RCR|6LHND|7AIRHEA|aLWND
41	31321 63642	   	285.24	ACR|DCR|2TLV|1VULN|1CDMG	1LIT|2CDMG|39TLV|4VULN|58RCR|6LHND|7AIRHEA|aAME
42	31311 11611	   	285.24	ACR|DCR|2TLV|1VULN|1CDMG	1LIT|2CDMG|38TLV|4LWND|5aRCR|6MDPS|7LHND|9VULN
43	31311 43633	   	285.14	ACR|DCR|2TLV|1VULN|1CDMG	1LIT|2CDMG|3aTLV|4LWND|58RCR|6AETHUN|7AIRHEA|9VULN
44	31311 43643	   	285.14	ACR|DCR|2TLV|1VULN|1CDMG	1LIT|2CDMG|39TLV|4LWND|58RCR|6AETHUN|7AIRHEA|aVULN
45	33321 53612	   	284.66	ACR|DCR|2VULN|1TLV|1SELL	1LIT|2SELL|3TLV|4aVULN|58RCR|6BEXP|7AIRHEA|9DUR
46	12634 42122	   	284.06	DCR|2TLV|2VULN|1AEFBLL|1ASPD|1CDMG	1ERES|2CDMG|3aTLV|4aLWND|5AEFBLL|6aVULN|7RCR|8FLTARM|9ASPD|aBPWR
47	56253 31123	   	283.96	ACR|2TLV|2VULN|1AEBURN|1ASPD|1CDMG	1RMIN|29TLV|3RCR|4CDMG|56VULN|7RAT|8AEBURN|aASPD
48	14242 15212	   	283.94	ACR|3TLV|2VULN|1AEPOI|1AART	14ERES|24aTLV|3RCR|4BPWR|5AART|67VULN|8DUR|9AEPOI
49	14232 26243	   	283.54	ACR|2TLV|2VULN|1DMG|1AEPOI|1CDMG	1ERES|2aTLV|3RCR|4RPLT|5AEPOI|6CDMG|7aLWND|8DMG|9aVULN|aBPWR
50	14253 33412	 * 	283.34	ACR|4VULN|1TLV|1ASPD|1CDMG	1ERES|2TLV|3RCR|4CDMG|5689VULN|7ASPD|aRAT
51	14232 22243	   	283.34	ACR|2TLV|2VULN|1DMG|1AEPOI|1CDMG	1ERES|2aTLV|3RCR|4RPLT|5AEPOI|6CDMG|7aDUST|8DMG|9aVULN|aBPWR
52	31321 33614	   	282.35	ACR|DCR|1TLV|1VULN|1ASPD|1CDMG	1LIT|2CDMG|3TLV|4VULN|58RCR|6LWND|7AIRHEA|9DUR|aASPD
53	31321 53614	   	282.35	ACR|DCR|1TLV|1VULN|1ASPD|1CDMG	1LIT|2CDMG|3TLV|4VULN|58RCR|6BEXP|7AIRHEA|9DUR|aASPD
54	31321 63614	   	282.35	ACR|DCR|1TLV|1VULN|1ASPD|1CDMG	1LIT|2CDMG|3TLV|4VULN|58RCR|6LHND|7AIRHEA|9DUR|aASPD
55	33321 15631	   	281.01	ACR|DCR|2TLV|1VULN|1SELL	1LIT|2SELL|38TLV|4VULN|5aRCR|6MDPS|7DUR|9BEXP
56	33351 11611	   	281.01	ACR|DCR|2TLV|1VULN|1SELL	1LIT|2SELL|38TLV|4DUR|5aRCR|6MDPS|7LHND|9VULN
57	33311 15611	   	281.01	ACR|DCR|2TLV|1VULN|1SELL	1LIT|2SELL|38TLV|4LWND|5aRCR|6MDPS|7DUR|9VULN
58	14253 36132	 * 	280.96	ACR|2TLV|2VULN|2DMG|1CDMG	1ERES|2aTLV|3RCR|4CDMG|56VULN|7aDMG|8SPLARM|9aLHND|aBPWR
59	56233 32161	 * 	280.96	ACR|3TLV|2VULN|2DMG	1RMIN|27aTLV|3RCR|4RPLT|57VULN|67aERES|7aBPWR|8aDMG|9DLOT
60	31311 53634	   	279.73	ACR|DCR|1TLV|1VULN|1ASPD|1CDMG	1LIT|2CDMG|3TLV|4LWND|58RCR|6BEXP|7BLAICY|9VULN|aASPD
61	31311 63634	   	279.73	ACR|DCR|1TLV|1VULN|1ASPD|1CDMG	1LIT|2CDMG|3TLV|4LWND|58RCR|6LHND|7BLAICY|9VULN|aASPD
62	31351 16611	   	279.60	ACR|DCR|2TLV|1VULN|1CDMG|1MSE	1LIT|2CDMG|38TLV|4DUR|5aRCR|6MDPS|7MSE|9VULN
63	31321 33623	   	279.10	ACR|DCR|1TLV|1VULN|1AEFBLL|1CDMG	1LIT|2CDMG|3TLV|4VULN|58RCR|69LWND|7AIRHEA|aAEFBLL
64	31321 53653	   	279.10	ACR|DCR|1TLV|1VULN|1AEFBLL|1CDMG	1LIT|2CDMG|3TLV|4VULN|58RCR|69BEXP|7AIRHEA|aAEFBLL
65	31321 63622	   	279.10	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1LIT|2CDMG|3TLV|4VULN|58RCR|6LHND|7AIRHEA|9LWND|aDMG
66	31321 63623	   	279.10	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1LIT|2CDMG|3TLV|4VULN|58RCR|6LHND|7AIRHEA|9LWND|aAEBURN
67	31311 43632	   	279.00	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1LIT|2CDMG|3TLV|4LWND|58RCR|6AETHUN|7AIRHEA|9VULN|aDMG
