0	Index      	 *	Score 	Summary	Detail	
1	41124 53332	 * 	278.25	橙5易伤2伤害1全技能1攻速1雷电	15伤害23456易伤5序列升级7全技能8攻速9核a雷电
29	11141 32216	   	253.59	橙橙1易伤1等级1暴击1雷电	1金币生成2易伤3火球减费4额外掉落5等级6毒气减费78核9雷电a暴击
30	41535 13233	 * 	252.44	橙2易伤2伤害2导弹对毒1喷火对甲1全技能	18伤害28易伤3低血量敌人4最后敌人58导弹对毒6全技能7挖青8序列升级9核a喷火对甲
31	41124 12111	   	252.31	橙4易伤2伤害1矿等1暴击	15伤害2345易伤5序列升级6立即金币7核8金币生成9矿等a暴击
32	41124 12112	   	252.31	橙4易伤2伤害1矿等1技能	15伤害2345易伤5序列升级6立即金币7核8金币生成9矿等a技能
33	41124 12211	   	252.21	橙4易伤2伤害1矿等1暴击	15伤害2345易伤5序列升级6立即金币7核8掉矿9矿等a暴击
34	41124 12212	   	252.21	橙4易伤2伤害1矿等1技能	15伤害2345易伤5序列升级6立即金币7核8掉矿9矿等a技能
35	21522 23143	 * 	250.76	橙橙3等级2雷电1矿等	17雷电2机枪对壮378等级4多重对愈5矿等67基地爆炸7序列升级9a核
36	21542 23143	   	250.76	橙橙3等级2雷电1矿等	17雷电2机枪对壮378等级4狙击对毒5矿等67基地爆炸7序列升级9a核
37	24522 23143	   	250.66	橙橙3等级2雷电1矿等	17雷电2散射对绿378等级4多重对愈5矿等67基地爆炸7序列升级9a核
38	11236 63226	   	249.53	橙橙2易伤1技能1暴击	1金币生成24易伤34掉矿4序列升级5毒液对冰6暴击79核8技能a时间
39	11141 22221	   	249.53	橙橙1易伤1等级1技能	1金币生成2易伤3火球减费4额外掉落5等级6烈焰减费78核9时间a技能
40	11141 32221	   	249.53	橙橙1易伤1等级1技能	1金币生成2易伤3火球减费4额外掉落5等级6毒气减费78核9时间a技能
41	53535 21223	   	249.43	橙橙1易伤1等级1全技能	1平台2雷电减费3时间4等级5易伤6赏金塔7多重对愈8全技能9a核
42	53535 23223	   	249.43	橙橙1易伤1等级1全技能	1平台2雷电减费3时间4等级5易伤6赏金塔7寒冰对黄8全技能9a核
43	33434 11522	 * 	249.10	橙橙1易伤1等级1伤害	1最后敌人2等级3金币生成4随机矿5伤害69核7赏金塔8策反a易伤
44	41262 32128	   	248.90	橙橙1易伤1等级1伤害	1伤害2易伤3敌人爆炸4双倍秒伤5平台6等级7寒冰对黄8加一9a核
