0	Index      	 *	Score 	Summary	Detail	
1	21534 13232	 * 	291.03	橙橙3易伤1等级1暴击	1技能点2基地爆炸347易伤5最后敌人6暴击89核a等级
47	62512 13234	   	264.83	橙橙3易伤1暴击	1最后敌人2技能点37a易伤45敌人爆炸6暴击89核
48	21133 13234	   	264.73	橙橙3易伤1暴击	1技能点2基地爆炸3低血量敌人47a易伤5毒气减费6暴击89核
49	21534 13233	   	264.73	橙橙3易伤1暴击	1技能点2基地爆炸347易伤5最后敌人6暴击89核a双倍秒伤
50	21534 13236	   	264.73	橙橙3易伤1暴击	1a技能点2基地爆炸347易伤5最后敌人6暴击89核
51	62336 13234	   	264.73	橙橙3易伤1暴击	1最后敌人2技能点3风暴减费47a易伤5基地爆炸6暴击89核
52	26163 13234	   	264.63	橙橙3易伤1暴击	1技能点2挖青3低血量敌人47a易伤5毒气减费6暴击89核
53	26334 13234	   	264.63	橙橙3易伤1暴击	1技能点2挖青3风暴减费47a易伤5最后敌人6暴击89核
54	26513 13234	   	264.63	橙橙3易伤1暴击	1技能点2挖青37a易伤4敌人爆炸5毒气减费6暴击89核
55	32615 13234	 * 	262.55	橙橙1易伤1等级2暴击2时间	17时间2挖尘35暴击4等级6低血量敌人89核a易伤
56	32645 33232	   	262.45	橙橙1易伤1等级2暴击2时间	17时间2挖尘35暴击4技能点6易伤89核a等级
57	11451 21511	   	261.98	橙橙2易伤1等级	1加农对壮2风暴减费34易伤5最后敌人6等级7时间8a核9雷电减费
58	11451 21521	   	261.98	橙橙2易伤1等级	1加农对壮29风暴减费34易伤5最后敌人6等级7时间8a核
59	24632 31511	   	261.98	橙橙2易伤1等级	1技能点2等级34易伤5随机矿6防空对愈7时间8a核9雷电减费
60	62231 53232	   	261.94	橙橙2易伤1等级1卖塔	15最后敌人2技能点3时间47易伤6卖塔89核a等级
61	62233 53232	   	261.94	橙橙2易伤1等级1卖塔	1最后敌人2技能点3时间47易伤5立即金币6卖塔89核a等级
62	62531 53232	   	261.94	橙橙2易伤1等级1卖塔	15最后敌人2技能点37易伤4时间6卖塔89核a等级
63	62533 53232	   	261.94	橙橙2易伤1等级1卖塔	1最后敌人2技能点37易伤4时间5立即金币6卖塔89核a等级
64	26233 53232	   	261.74	橙橙2易伤1等级1卖塔	1技能点2挖青3时间47易伤5毒气减费6卖塔89核a等级
65	26533 53232	   	261.74	橙橙2易伤1等级1卖塔	1技能点2挖青37易伤4时间5毒气减费6卖塔89核a等级
66	44332 83231	 * 	261.56	橙橙1易伤3雷电1矿等1全技能	1全技能2易伤37a雷电4矿等5加一69核8掉矿
