0	Index      	 *	Score 	Summary	Detail	
1	62252 13117	 * 	378.51	橙2易伤1双倍秒伤1暴击1伤害1时间	1技能26易伤3加一4时间5伤害7核弹8核9暴击a双倍秒伤
20	31222 23454	   	351.63	2双倍秒伤2易伤1暴击2时间	1爆破对冰26时间3暴击4基础对甲56易伤6序列升级7金币生成89双倍秒伤a暴雪减费
21	31222 23455	   	351.63	2双倍秒伤2易伤1暴击2时间	1爆破对冰26时间3暴击4基础对甲56易伤6序列升级7金币生成89双倍秒伤a随机技能
22	31222 23456	   	351.63	2双倍秒伤2易伤1暴击2时间1伤害	1爆破对冰26时间3暴击4基础对甲56易伤6序列升级7金币生成89双倍秒伤a伤害
23	31222 24426	   	351.63	2双倍秒伤2易伤1暴击2时间	1爆破对冰26时间3暴击4基础对甲56易伤6序列升级7随机矿8a双倍秒伤9赏金邻近
24	31222 24451	   	351.63	2双倍秒伤2易伤1暴击2时间	1爆破对冰26时间3暴击4基础对甲56易伤6序列升级7随机矿89双倍秒伤a雷电
25	31222 24452	   	351.63	2双倍秒伤2易伤1暴击2时间	1爆破对冰26时间3暴击4基础对甲56易伤6序列升级7随机矿89双倍秒伤a低血量敌人
26	31222 24453	   	351.63	2双倍秒伤2易伤1暴击2时间	1爆破对冰26时间3暴击4基础对甲56易伤6序列升级7随机矿89双倍秒伤a金币生成
27	31222 21426	   	351.53	2双倍秒伤2易伤1暴击2时间	1爆破对冰26时间3暴击4基础对甲56易伤6序列升级7技能点8a双倍秒伤9赏金邻近
28	31222 21451	   	351.53	2双倍秒伤2易伤1暴击2时间	1爆破对冰26时间3暴击4基础对甲56易伤6序列升级7技能点89双倍秒伤a雷电
29	31222 21452	   	351.53	2双倍秒伤2易伤1暴击2时间	1爆破对冰26时间3暴击4基础对甲56易伤6序列升级7技能点89双倍秒伤a挖青
30	31222 21453	   	351.53	2双倍秒伤2易伤1暴击2时间	1爆破对冰26时间3暴击4基础对甲56易伤6序列升级7技能点89双倍秒伤a挖尘
31	31222 21454	   	351.53	2双倍秒伤2易伤1暴击2时间	1爆破对冰26时间3暴击4基础对甲56易伤6序列升级7技能点89双倍秒伤a火球减费
32	31222 21455	   	351.53	2双倍秒伤2易伤1暴击2时间	1爆破对冰26时间3暴击4基础对甲56易伤6序列升级7技能点89双倍秒伤a随机技能
33	31222 21456	   	351.53	2双倍秒伤2易伤1暴击2时间1伤害	1爆破对冰26时间3暴击4基础对甲56易伤6序列升级7技能点89双倍秒伤a伤害
34	62134 12116	   	351.21	橙2易伤1双倍秒伤1伤害1时间	1技能26易伤3伤害4低血量敌人5时间7核8敌人爆炸9赏金邻近a双倍秒伤
35	23651 12341	   	351.11	橙2易伤1双倍秒伤1暴击1伤害1时间	1赏金塔2伤害3立即金币46易伤5时间7核8最后敌人9双倍秒伤a暴击
36	23651 12342	   	351.11	橙2易伤1双倍秒伤1伤害1时间	1赏金塔2伤害3立即金币46易伤5时间7核8a最后敌人9双倍秒伤
37	23651 12343	   	351.11	橙2易伤1双倍秒伤1伤害1时间	1赏金塔2伤害3立即金币46易伤5时间7核8最后敌人9双倍秒伤a金币生成
38	23653 12341	   	351.11	橙2易伤1双倍秒伤1暴击1伤害1时间	1赏金塔2伤害3立即金币45易伤6时间7核8最后敌人9双倍秒伤a暴击
39	23653 12342	   	351.11	橙2易伤1双倍秒伤1伤害1时间	1赏金塔2伤害3立即金币45易伤6时间7核8a最后敌人9双倍秒伤
40	23653 12343	   	351.11	橙2易伤1双倍秒伤1伤害1时间	1赏金塔2伤害3立即金币45易伤6时间7核8最后敌人9双倍秒伤a金币生成
41	62134 12261	   	351.11	橙2易伤1双倍秒伤1伤害1时间	1技能26易伤3伤害4低血量敌人5时间7核8掉矿9双倍秒伤a挖尘
42	62134 12262	   	351.11	橙2易伤1双倍秒伤1伤害1时间	1技能26易伤3伤害4低血量敌人5时间7核8掉矿9双倍秒伤a基地爆炸
43	62134 12263	   	351.11	橙2易伤1双倍秒伤1伤害1时间	1技能26易伤3伤害4低血量敌人5时间7核8掉矿9双倍秒伤a金币生成
44	62264 13117	   	351.11	橙2易伤1双倍秒伤1伤害1时间1卖塔	1技能26易伤3加一4策反5时间7伤害8核9卖塔a双倍秒伤
45	22353 22362	   	351.01	橙2易伤1双倍秒伤1伤害1时间	1赏金塔25易伤3雷电4风暴减费6赏金邻近7伤害8核9时间a双倍秒伤
46	22525 22362	   	351.01	橙2易伤1双倍秒伤1伤害1时间	1赏金塔23易伤3序列升级4烈焰减费5雷电6赏金邻近7伤害8核9时间a双倍秒伤
47	23651 12162	 * 	349.53	橙橙2易伤2伤害1时间	1赏金塔29伤害3立即金币46易伤5时间7a核8额外掉落
48	23653 12162	   	349.53	橙橙2易伤2伤害1时间	1赏金塔29伤害3立即金币45易伤6时间7a核8额外掉落
