0	Index      	 *	Score 	Summary	Detail	
1	53232 51221	 * 	227.92	DCR|2VULN|2DMG|1MDPS|2ASPD|1AART|1DUR	1aDMG|2BEXP|3aASPD|4MDPS|5AART|6RCR|7DUR|8LWND|9aVULN|aBPWR
35	33535 16112	 * 	208.90	DCR|2VULN|1MDPS|2DMG|1AART|1CDMG	1AART|26DMG|34VULN|5DUST|7RMIN|8CDMG|9RCR|aMDPS
36	33536 31413	   	208.05	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2DMG|347VULN|5CDMG|6LHND|8RCR|9MLV|aZMB
37	33511 35315	   	208.02	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8RMIN|9LHND|aCDMG
38	33511 35321	   	207.84	DCR|2VULN|2AART|1ASPD|1DMG	19AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8RMIN|aCGEN
39	33511 35323	   	207.84	DCR|2VULN|2AART|1ASPD|1DMG	19AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8RMIN|aLIT
40	33511 35325	   	207.84	DCR|2VULN|2AART|1ASPD|1DMG	19AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8RMIN|aBEXP
41	33511 35322	   	207.74	DCR|2VULN|2AART|1ASPD|1DMG	19AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8RMIN|aDUST
42	33511 35324	   	207.74	DCR|2VULN|2AART|1ASPD|1DMG	19AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8RMIN|aLEGI
43	33511 35334	   	207.74	DCR|2VULN|2AART|1ASPD|1DMG	1aAART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8RMIN|9ERES
44	33511 35221	 * 	207.67	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE	1AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8LIT|9LWND|aNUKE
45	33511 35231	   	207.67	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE	1AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8LIT|9BEXP|aNUKE
46	33511 35241	   	207.67	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE	1AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8LIT|9FEWX|aNUKE
47	33511 35115	   	207.34	DCR|3VULN|1AART|1ASPD|1DMG	1AART|2DMG|37aVULN|4BASARM|5ASPD|6RCR|89RCVC
48	53232 51611	   	207.33	DCR|2DMG|1MDPS|2ASPD|1VULN|1AART|1DUR	1aDMG|2BEXP|3aASPD|4MDPS|5AART|6RCR|7DUR|8VULN|9aDUST|aBPWR
49	53632 51221	   	207.18	DCR|2VULN|2DMG|1MDPS|1AART|2ZMB|1DUR	1aDMG|2BEXP|3aZMB|4MDPS|5AART|6RCR|7DUR|8LWND|9aVULN|aBPWR
50	33532 12651	 * 	207.11	DCR|3DMG|2VULN|1AART|1ZMB	1AART|269DMG|34VULN|5LEGI|7MLV|8RCR|aZMB
51	33536 31412	   	207.08	DCR|3VULN|1MDPS|1AART|1DMG|1CDMG	1AART|2DMG|347VULN|5CDMG|6LHND|8RCR|9MLV|aMDPS
52	22263 51226	 * 	207.05	ACR|3VULN|2DMG|2ASPD|2CDMG|1AAC	1DMSP|29ASPD|34aVULN|5RCR|6AAC|79DMG|89CDMG|9BPWR
53	62432 32114	   	206.82	DCR|3VULN|1AART|1ASPD|1CDMG	1RCVC|2ASPD|3FEWX|47aVULN|5RMIN|6AART|8CDMG|9RCR
54	62632 32114	   	206.82	DCR|3VULN|1AART|1ASPD|1CDMG	1RCVC|2ASPD|3BEXP|47aVULN|5RMIN|6AART|8CDMG|9RCR
55	62232 32114	   	206.72	DCR|3VULN|1AART|1ASPD|1CDMG	1RCVC|2ASPD|37aVULN|4DUST|5RMIN|6AART|8CDMG|9RCR
56	62332 32114	   	206.72	DCR|3VULN|1AART|1ASPD|1CDMG	1RCVC|2ASPD|3DUST|47aVULN|5RMIN|6AART|8CDMG|9RCR
57	33511 36125	   	206.43	DCR|2VULN|2AART|1ASPD|1DMG	19AART|2DMG|3aVULN|4BASARM|5ASPD|6RCR|78RCVC
58	33536 31113	   	205.95	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2DMG|347VULN|5CDMG|6LHND|8TLV|9RCR|aZMB
59	33536 41113	   	205.95	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2DMG|347VULN|5CDMG|6LWND|8TLV|9RCR|aZMB
60	22236 43334	 * 	205.72	DCR|4VULN|2ASPD|1DMG	1DMSP|28ASPD|356aVULN|4DUST|7DMG|9RCR
61	22336 43334	   	205.72	DCR|4VULN|2ASPD|1DMG	1DMSP|28ASPD|3DUST|456aVULN|7DMG|9RCR
62	33532 12113	   	205.71	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|26DMG|34VULN|5LEGI|7MLV|8CDMG|9RCR|aZMB
63	33535 12113	   	205.71	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|26DMG|34VULN|5DUST|7MLV|8CDMG|9RCR|aZMB
64	33536 36113	   	205.71	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|27DMG|34VULN|5CDMG|6LHND|8TLV|9RCR|aZMB
65	33535 15113	   	205.61	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|26DMG|34VULN|5DUST|7ERES|8CDMG|9RCR|aZMB
66	43633 63121	 * 	205.48	DCR|3VULN|2DMG|3ZMB	139ZMB|2BEXP|489VULN|5RPLT|6RCR|79DMG|9BPWR|aLWND
67	43633 63122	   	205.48	DCR|3VULN|2DMG|3ZMB	139ZMB|2BEXP|489VULN|5RPLT|6RCR|79DMG|9BPWR|aCGEN
68	43633 63123	   	205.38	DCR|3VULN|2DMG|3ZMB	139ZMB|2BEXP|489VULN|5RPLT|6RCR|79DMG|9BPWR|aDUST
69	33533 12423	   	205.36	DCR|3VULN|2DMG|1AART|1DUR	1AART|2aDMG|34aVULN|5LIT|6DUR|7aDUST|8RPLT|9RCR|aBPWR
70	33511 36326	   	205.31	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	19AART|2DMG|3VULN|4BASARM|5ASPD|6RCR|7RCVC|8RMIN|aCDMG
71	53232 54221	   	205.29	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD	1aDMG|2aBEXP|3ASPD|4MDPS|5AART|6RCR|7LEGI|8LWND|9aVULN|aBPWR
72	33536 23431	 * 	205.15	DCR|3VULN|1AART|2CDMG|1DMG	1AART|2DMG|34aVULN|56CDMG|7BEXP|8RCR|9LWND
73	62432 31114	   	205.07	DCR|2VULN|2AART|1ASPD|1CDMG	1RCVC|2ASPD|3FEWX|4aVULN|5RMIN|67AART|8CDMG|9RCR
74	62632 31114	   	205.07	DCR|2VULN|2AART|1ASPD|1CDMG	1RCVC|2ASPD|3BEXP|4aVULN|5RMIN|67AART|8CDMG|9RCR
75	33536 31112	   	204.98	DCR|3VULN|1MDPS|1AART|1DMG|1CDMG	1AART|2DMG|347VULN|5CDMG|6LHND|8TLV|9RCR|aMDPS
76	33536 41112	   	204.98	DCR|3VULN|1MDPS|1AART|1DMG|1CDMG	1AART|2DMG|347VULN|5CDMG|6LWND|8TLV|9RCR|aMDPS
77	62232 31114	   	204.97	DCR|2VULN|2AART|1ASPD|1CDMG	1RCVC|2ASPD|3aVULN|4DUST|5RMIN|67AART|8CDMG|9RCR
78	62332 31114	   	204.97	DCR|2VULN|2AART|1ASPD|1CDMG	1RCVC|2ASPD|3DUST|4aVULN|5RMIN|67AART|8CDMG|9RCR
79	33511 32321	 * 	204.87	DCR|2DMG|1VULN|1AART|1ASPD|1NUKE	1AART|28DMG|3VULN|4BASARM|5ASPD|6RCR|7LIT|9LWND|aNUKE
80	33511 32331	   	204.87	DCR|2DMG|1VULN|1AART|1ASPD|1NUKE	1AART|28DMG|3VULN|4BASARM|5ASPD|6RCR|7LIT|9BEXP|aNUKE
81	33511 32341	   	204.87	DCR|2DMG|1VULN|1AART|1ASPD|1NUKE	1AART|28DMG|3VULN|4BASARM|5ASPD|6RCR|7LIT|9FEWX|aNUKE
82	22263 51221	   	204.87	ACR|3DMG|2VULN|2ASPD|2CDMG|1AAC	1DMSP|29ASPD|34VULN|5RCR|6AAC|79aDMG|89CDMG|9BPWR
83	33511 35121	   	204.86	DCR|2VULN|2AART|1ASPD|1DMG	19AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8RCVC|aAELBLL
84	33511 35122	   	204.86	DCR|2VULN|2AART|1ASPD|1DMG	19AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8RCVC|aRPLT
85	33511 35126	   	204.86	DCR|2VULN|2AART|1ASPD|1DMG	19AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8RCVC|aLWND
86	33511 35134	   	204.86	DCR|2VULN|2AART|1ASPD|1DMG	1aAART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8RCVC|9LHND
87	33511 32116	 * 	204.81	DCR|3AART|1VULN|1ASPD|1DMG|1CDMG	189AART|2DMG|3VULN|4BASARM|5ASPD|6RCR|7LIT|aCDMG
88	33511 35124	   	204.76	DCR|2VULN|2AART|1ASPD|1DMG|1SELL	19AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8RCVC|aSELL
89	33532 12112	   	204.74	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG	1AART|26DMG|34VULN|5LEGI|7MLV|8CDMG|9RCR|aMDPS
90	33535 12112	   	204.74	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG	1AART|26DMG|34VULN|5DUST|7MLV|8CDMG|9RCR|aMDPS
91	33536 36112	   	204.74	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG	1AART|27DMG|34VULN|5CDMG|6LHND|8TLV|9RCR|aMDPS
92	33535 15112	   	204.64	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG	1AART|26DMG|34VULN|5DUST|7ERES|8CDMG|9RCR|aMDPS
93	22262 63361	 * 	204.57	DCR|4VULN|2ASPD|1CDMG	18DMSP|27ASPD|3467VULN|5RCVC|7BPWR|9RCR|aCDMG
94	44211 11224	   	204.44	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	1ZMB|29VULN|37ASPD|4FEWX|5LIT|6CDMG|8RCR|aAART
95	25523 14231	   	204.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMSP|29VULN|3RPLT|4AART|5CDMG|6DMG|7ASPD|8DUR|aRCR
96	33536 34113	   	204.20	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	17AART|2DMG|34VULN|5CDMG|6LHND|8TLV|9RCR|aZMB
97	43633 62113	 * 	204.15	DCR|3VULN|3ZMB|1ASPD|1CDMG	137ZMB|27BEXP|479VULN|5RPLT|6RCR|7BPWR|8CDMG|aASPD
98	33536 24113	   	203.86	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB|1DUR	1AART|2DMG|34VULN|56CDMG|7DUR|8TLV|9RCR|aZMB
99	33511 33426	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2DMG|38VULN|4BASARM|5ASPD|6RCR|7CGEN|9DMSP|aCDMG
100	33511 33435	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2DMG|38VULN|4BASARM|5ASPD|6RCR|7CGEN|9FEWX|aCDMG
101	43232 51221	   	203.81	DCR|2VULN|1MDPS|2ASPD|1AART|2ZMB|1DUR	1aZMB|2BEXP|3aASPD|4MDPS|5AART|6RCR|7DUR|8LWND|9aVULN|aBPWR
102	33534 12112	   	203.78	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|26DMG|34VULN|5BEXP|7MLV|8CDMG|9RCR|aDUR
103	14153 22331	 * 	203.75	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1CGEN|23VULN|4DMG|5MDPS|6RCR|7ERES|8CDMG|9AART|aASPD
104	14153 24331	   	203.75	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1CGEN|23VULN|4DMG|5MDPS|6RCR|7TLV|8CDMG|9AART|aASPD
105	33511 31426	   	203.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2DMG|38VULN|4BASARM|5ASPD|6RCR|7ERES|9DMSP|aCDMG
106	33511 31435	   	203.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2DMG|38VULN|4BASARM|5ASPD|6RCR|7ERES|9FEWX|aCDMG
107	33511 33415	   	203.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2DMG|38VULN|4BASARM|5ASPD|6RCR|7CGEN|9LEGI|aCDMG
108	33511 35212	   	203.68	DCR|2VULN|2AART|1ASPD|1DMG	19AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8LIT|aLHND
109	33511 35213	   	203.68	DCR|2VULN|2AART|1ASPD|1DMG	19AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8LIT|aDMSP
110	33511 35214	   	203.68	DCR|2VULN|2AART|1ASPD|1DMG	19AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8LIT|aRPLT
111	33511 31415	   	203.65	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2DMG|38VULN|4BASARM|5ASPD|6RCR|7ERES|9LEGI|aCDMG
112	33511 35211	   	203.58	DCR|2VULN|2AART|1DMG|1ASPD	19AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8LIT|aTLV
113	33511 35216	   	203.58	DCR|2VULN|2AART|1ASPD|1DMG	19AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8LIT|aLEGI
114	33511 32121	 * 	203.36	DCR|2AART|1VULN|1ASPD|1DMG|1NUKE	18AART|2DMG|3VULN|4BASARM|5ASPD|6RCR|7LIT|9LWND|aNUKE
115	33511 32131	   	203.36	DCR|2AART|1VULN|1ASPD|1DMG|1NUKE	18AART|2DMG|3VULN|4BASARM|5ASPD|6RCR|7LIT|9BEXP|aNUKE
116	33511 32141	   	203.36	DCR|2AART|1VULN|1ASPD|1DMG|1NUKE	18AART|2DMG|3VULN|4BASARM|5ASPD|6RCR|7LIT|9FEWX|aNUKE
117	33531 62632	   	203.33	DCR|3VULN|1AART|1DMG|2ZMB|1DUR	1AART|2DMG|347VULN|5aZMB|6DUR|8RCR|9LIT
118	33536 34112	   	203.23	DCR|2VULN|2AART|1MDPS|1DMG|1CDMG	17AART|2DMG|34VULN|5CDMG|6LHND|8TLV|9RCR|aMDPS
119	62232 34114	   	203.11	DCR|2VULN|2ASPD|1AART|1CDMG	1RCVC|27ASPD|3aVULN|4DUST|5RMIN|6AART|8CDMG|9RCR
120	62332 34114	   	203.11	DCR|2VULN|2ASPD|1AART|1CDMG	1RCVC|27ASPD|3DUST|4aVULN|5RMIN|6AART|8CDMG|9RCR
121	33536 23114	   	203.05	DCR|3VULN|1AART|2CDMG|1DMG	1AART|2DMG|34aVULN|56CDMG|7BEXP|8TLV|9RCR
122	14112 25611	   	202.99	DCR|3VULN|1AART|1ASPD|1CDMG	1CGEN|237VULN|45RCVC|6ASPD|8RCR|9CDMG|aAART
123	14112 62611	   	202.99	DCR|3VULN|1AART|1ASPD|1CDMG	1CGEN|236VULN|45RCVC|7ASPD|8RCR|9CDMG|aAART
124	33536 24112	 * 	202.89	DCR|2VULN|1MDPS|1AART|2CDMG|1DMG|1DUR	1AART|2DMG|34VULN|56CDMG|7DUR|8TLV|9RCR|aMDPS
125	22432 32114	   	202.66	DCR|3VULN|1AART|1ASPD|1CDMG	1DMSP|2ASPD|3FEWX|47aVULN|5RMIN|6AART|8CDMG|9RCR
126	22632 32114	   	202.66	DCR|3VULN|1AART|1ASPD|1CDMG	1DMSP|2ASPD|3BEXP|47aVULN|5RMIN|6AART|8CDMG|9RCR
127	25152 32114	   	202.66	DCR|3VULN|1AART|1DMG|1CDMG	1DMSP|27aVULN|3RMIN|4DMG|5FEWX|6AART|8CDMG|9RCR
128	54352 32111	   	202.66	DCR|3VULN|1AART|1DMG|1CDMG	1DMG|247VULN|3FEWX|5RMIN|6AART|8CDMG|9RCR|aBEXP
129	22232 32114	   	202.56	DCR|3VULN|1AART|1ASPD|1CDMG	1DMSP|2ASPD|37aVULN|4DUST|5RMIN|6AART|8CDMG|9RCR
130	22332 32114	   	202.56	DCR|3VULN|1AART|1ASPD|1CDMG	1DMSP|2ASPD|3DUST|47aVULN|5RMIN|6AART|8CDMG|9RCR
131	56232 32114	   	202.56	DCR|3VULN|1AART|1DMG|1CDMG	1DMG|2AELBLL|37aVULN|4DUST|5RMIN|6AART|8CDMG|9RCR
132	56332 32114	   	202.56	DCR|3VULN|1AART|1DMG|1CDMG	1DMG|2AELBLL|3DUST|47aVULN|5RMIN|6AART|8CDMG|9RCR
133	31532 12114	   	202.46	DCR|3VULN|1AART|1DMG|1CDMG	1AART|24DUST|37aVULN|5RMIN|6DMG|8CDMG|9RCR
134	33511 35141	   	202.33	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8RCVC|9aDUR
135	33562 12114	   	202.31	DCR|2VULN|2DMG|1AART|1CDMG	1AART|26DMG|3aVULN|4TLV|5RMIN|7MLV|8CDMG|9RCR
136	44352 32112	   	202.29	DCR|3VULN|1MDPS|1AART|1CDMG|1ZMB	1ZMB|247VULN|3FEWX|5RMIN|6AART|8CDMG|9RCR|aMDPS
137	14115 23611	   	202.26	DCR|3VULN|1AART|1ASPD|1CDMG	15CGEN|235VULN|47RCVC|5BPWR|6ASPD|8RCR|9CDMG|aAART
138	33511 35316	   	202.10	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8RMIN|9LHND|aZMB
139	33536 31431	   	201.88	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2DMG|347VULN|5CDMG|6LHND|8RCR|9RMIN|aBEXP
140	35552 12113	   	201.87	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1AART|2MLV|35VULN|45DUR|5BPWR|6DMG|7AELBLL|8CDMG|9RCR|aZMB
141	35536 31321	   	201.67	DCR|4VULN|1AART|1CDMG	1AART|2MLV|3478VULN|5CDMG|6RCR|9FEWX|aRMIN
142	33531 61632	   	201.57	DCR|2VULN|2AART|1DMG|2ZMB|1DUR	17AART|2DMG|34VULN|5aZMB|6DUR|8RCR|9LIT
143	62233 32651	   	201.44	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1ZMB	1RCVC|2ASPD|37VULN|4DUST|5ZMB|6AART|8RCR|9DMG|aAAC
144	62333 32651	   	201.44	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1ZMB	1RCVC|2ASPD|3DUST|47VULN|5ZMB|6AART|8RCR|9DMG|aAAC
145	25151 13611	   	201.19	DCR|3DMG|2VULN|1AART|2RMIN	1DMSP|26VULN|39RMIN|456DMG|6BPWR|7AART|8CGEN|aRCR
146	33511 36215	   	201.15	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	19AART|2DMG|3VULN|4BASARM|5ASPD|6RCR|7RCVC|8LIT|aCDMG
147	33511 35341	   	201.03	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8RMIN|9MDPS|aLHND
148	33511 35342	   	201.03	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1ZMB	1AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8RMIN|9MDPS|aZMB
149	33511 35343	   	201.03	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1AART|2DMG|37VULN|4BASARM|5ASPD|6RCR|8RMIN|9MDPS|aFEWX
150	25151 13151	 * 	201.00	DCR|3DMG|2VULN|1AART|1NUKE	1DMSP|26VULN|3RMIN|456DMG|6BPWR|7AART|8RCVC|9NUKE|aRCR
151	33511 32365	   	200.96	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AART|28DMG|3VULN|4BASARM|5ASPD|6RCR|7LIT|9TLV|aCDMG
152	22432 31114	   	200.90	DCR|2VULN|2AART|1ASPD|1CDMG	1DMSP|2ASPD|3FEWX|4aVULN|5RMIN|67AART|8CDMG|9RCR
153	22632 31114	   	200.90	DCR|2VULN|2AART|1ASPD|1CDMG	1DMSP|2ASPD|3BEXP|4aVULN|5RMIN|67AART|8CDMG|9RCR
154	25152 31114	   	200.90	DCR|2VULN|2AART|1DMG|1CDMG	1DMSP|2aVULN|3RMIN|4DMG|5FEWX|67AART|8CDMG|9RCR
155	54352 31111	   	200.90	DCR|2VULN|2AART|1DMG|1CDMG	1DMG|24VULN|3FEWX|5RMIN|67AART|8CDMG|9RCR|aBEXP
156	35552 12112	   	200.90	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|2DUR	1AART|2MLV|35VULN|45DUR|5BPWR|6DMG|7AELBLL|8CDMG|9RCR|aMDPS
157	33511 32312	   	200.88	DCR|2AART|2DMG|1VULN|1ASPD	19AART|28DMG|3VULN|4BASARM|5ASPD|6RCR|7LIT|aLHND
158	33511 32313	   	200.88	DCR|2AART|2DMG|1VULN|1ASPD	19AART|28DMG|3VULN|4BASARM|5ASPD|6RCR|7LIT|aDMSP
159	33511 32314	   	200.88	DCR|2AART|2DMG|1VULN|1ASPD	19AART|28DMG|3VULN|4BASARM|5ASPD|6RCR|7LIT|aRPLT
160	22232 31114	   	200.80	DCR|2VULN|2AART|1ASPD|1CDMG	1DMSP|2ASPD|3aVULN|4DUST|5RMIN|67AART|8CDMG|9RCR
161	22332 31114	   	200.80	DCR|2VULN|2AART|1ASPD|1CDMG	1DMSP|2ASPD|3DUST|4aVULN|5RMIN|67AART|8CDMG|9RCR
