0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61333 12625	9	 * 	285.20	橙3易伤2伤害2时间1暴击1全技能	1双倍矿29伤害3全技能479易伤5暴击6雷电89时间9序列升级a核
59	11526 31412	1	   	261.51	橙3易伤3伤害1暴击1全技能	18挖尘2平台368伤害468易伤5赏金塔68序列升级7全技能9暴击a核
60	11541 31412	1	   	261.51	橙3易伤3伤害1暴击1全技能	18挖尘2平台368伤害4赏金邻近568易伤68序列升级7全技能9暴击a核
61	12121 63163	10	   	261.44	橙4易伤2伤害1时间	1挖尘2456易伤34基地爆炸4序列升级79伤害8核a时间
62	12321 63163	10	   	261.44	橙4易伤2伤害1时间	1挖尘2456易伤34低血量敌人4序列升级79伤害8核a时间
63	32621 63163	10	   	261.44	橙4易伤2伤害1时间	14基地爆炸2456易伤3挖青4序列升级79伤害8核a时间
64	42321 22562	10	   	261.44	橙4易伤2伤害1时间	14低血量敌人2457易伤3挖青4序列升级6核89伤害a时间
65	42321 63162	10	   	261.44	橙4易伤2伤害1时间	14低血量敌人2456易伤3挖青4序列升级79伤害8核a时间
66	51122 52252	1	   	261.39	橙2易伤3伤害2时间1攻速1卖塔	1卖塔28易伤3攻速489伤害5最后敌人6雷电78时间8序列升级a核
67	51122 52252	2	   	261.39	橙2易伤3伤害2时间1攻速1卖塔	1卖塔28易伤3攻速489伤害5最后敌人6雷电78时间8序列升级a核
68	61332 12324	6	   	261.28	橙4易伤1伤害2全技能1时间	1双倍矿2伤害39全技能4567易伤8时间a核
69	61332 62324	5	   	261.28	橙4易伤1伤害2全技能1时间	1双倍矿2伤害39全技能4567易伤8时间a核
70	61621 31353	9	   	261.24	橙4易伤3伤害	1双倍矿24a伤害346a易伤46a序列升级56a矿等7随机矿8平台9核
71	12621 63163	10	   	261.24	橙4易伤2伤害1时间	14挖尘2456易伤3挖青4序列升级79伤害8核a时间
72	32261 13542	2	 * 	260.23	橙3易伤3时间1伤害1攻速	17基地爆炸279易伤3攻速4低血量敌人567时间7序列升级8伤害a核
73	63221 48544	8	   	258.68	橙3易伤3时间2暴击1全技能	1双倍矿2加一347时间57暴击679易伤7序列升级8全技能a核
74	32521 63142	8	 * 	258.54	橙4易伤2时间1伤害	1基地爆炸2456易伤34最后敌人4序列升级7伤害8核9a时间
75	42121 63142	8	   	258.54	橙4易伤2时间1伤害	1低血量敌人2456易伤34基地爆炸4序列升级7伤害8核9a时间
76	42521 22532	9	   	258.54	橙4易伤2时间1伤害	1低血量敌人2457易伤34最后敌人4序列升级6核8伤害9a时间
77	42521 63132	9	   	258.54	橙4易伤2时间1伤害	1低血量敌人2456易伤34最后敌人4序列升级7伤害8核9a时间
78	52321 33423	1	 * 	258.51	紫3易伤2伤害2时间2攻速1等级1卖塔	1卖塔2a攻速3核4a伤害568易伤7等级9a时间a序列升级
79	25313 22424	6	 * 	258.48	橙4易伤2攻速2等级1全技能	1全技能28攻速38等级478a易伤5随机矿6加一8序列升级9核
80	25532 22424	6	   	258.48	橙4易伤2攻速2等级1全技能	1全技能28攻速3策反48等级578a易伤6加一8序列升级9核
81	12121 63152	8	   	258.44	橙4易伤2时间1伤害	1挖尘2456易伤34基地爆炸4序列升级7伤害8核9a时间
82	12321 63142	8	   	258.44	橙4易伤2时间1伤害	1挖尘2456易伤34低血量敌人4序列升级7伤害8核9a时间
83	12521 63142	8	   	258.44	橙4易伤2时间1伤害	1挖尘2456易伤34最后敌人4序列升级7伤害8核9a时间
84	32121 63143	10	   	258.44	橙4易伤2时间1伤害	13基地爆炸2569易伤4a时间7伤害8核
85	32621 63142	8	   	258.44	橙4易伤2时间1伤害	14基地爆炸2456易伤3挖青4序列升级7伤害8核9a时间
86	42321 22532	9	   	258.44	橙4易伤2时间1伤害	14低血量敌人2457易伤3挖青4序列升级6核8伤害9a时间
87	42321 22542	8	   	258.44	橙4易伤2时间1伤害	14低血量敌人2457易伤3挖青4序列升级6核8伤害9a时间
88	42321 63132	9	   	258.44	橙4易伤2时间1伤害	14低血量敌人2456易伤3挖青4序列升级7伤害8核9a时间
89	42321 63142	8	   	258.44	橙4易伤2时间1伤害	14低血量敌人2456易伤3挖青4序列升级7伤害8核9a时间
90	42321 22221	10	   	258.38	橙5易伤1时间2雷电	149低血量敌人24579易伤3挖青49序列升级6核89雷电a时间
91	42321 23621	10	   	258.38	橙5易伤1时间2雷电	149低血量敌人24589易伤3挖青49序列升级6核79雷电a时间
92	61626 11143	4	 * 	258.37	橙3易伤3伤害2等级	1双倍矿246伤害34a易伤4a序列升级5加一7a低血量敌人8a等级9核
93	32521 61141	9	   	258.25	橙5易伤1伤害1攻速	1基地爆炸24569易伤34最后敌人4序列升级7攻速8核a伤害
94	42121 61141	9	   	258.25	橙5易伤1伤害1攻速	1低血量敌人24569易伤34基地爆炸4序列升级7攻速8核a伤害
95	42521 22311	8	   	258.25	橙5易伤1伤害1攻速	1低血量敌人24578易伤34最后敌人4序列升级6核9攻速a伤害
96	42521 22341	9	   	258.25	橙5易伤1伤害1攻速	1低血量敌人24578易伤34最后敌人4序列升级6核9攻速a伤害
97	42521 22511	7	   	258.25	橙5易伤1伤害1攻速	1低血量敌人24578易伤34最后敌人4序列升级6核9攻速a伤害
98	12621 63142	8	   	258.24	橙4易伤2时间1伤害	14挖尘2456易伤3挖青4序列升级7伤害8核9a时间
99	12121 61141	9	   	258.15	橙5易伤1伤害1攻速	1挖尘24569易伤34基地爆炸4序列升级7攻速8核a伤害
100	12321 61141	9	   	258.15	橙5易伤1伤害1攻速	1挖尘24569易伤34低血量敌人4序列升级7攻速8核a伤害
101	12521 61141	9	   	258.15	橙5易伤1伤害1攻速	1挖尘24569易伤34最后敌人4序列升级7攻速8核a伤害
102	32621 61141	9	   	258.15	橙5易伤1伤害1攻速	14基地爆炸24569易伤3挖青4序列升级7攻速8核a伤害
103	42321 22511	7	   	258.15	橙5易伤1伤害1攻速	14低血量敌人24578易伤3挖青4序列升级6核9攻速a伤害
104	42321 61141	9	   	258.15	橙5易伤1伤害1攻速	14低血量敌人24569易伤3挖青4序列升级7攻速8核a伤害
105	35533 52133	3	 * 	258.11	橙5易伤2时间	19a基地爆炸2金币生成3568a易伤4a时间7核a序列升级
106	33553 52133	3	   	258.01	橙5易伤2时间	19a基地爆炸2掉矿3568a易伤4a时间7核a序列升级
107	12621 61141	9	   	257.95	橙5易伤1伤害1攻速	14挖尘24569易伤3挖青4序列升级7攻速8核a伤害
108	33553 52123	3	   	257.91	橙5易伤2时间	1a基地爆炸29掉矿3568a易伤4a时间7核a序列升级
109	13553 52123	3	   	257.71	橙5易伤2时间	1a挖尘29掉矿3568a易伤4a时间7核a序列升级
110	63413 41132	1	   	257.61	橙3易伤2时间2等级1暴击1卖塔	1双倍矿29时间39等级4雷电5暴击6核7卖塔89a易伤9序列升级
111	42521 22531	10	   	257.60	橙4易伤1伤害1时间1暴击	1低血量敌人2457易伤34最后敌人4序列升级6核8伤害9时间a暴击
112	42521 63131	10	   	257.60	橙4易伤1伤害1时间1暴击	1低血量敌人2456易伤34最后敌人4序列升级7伤害8核9时间a暴击
113	42321 22531	10	   	257.50	橙4易伤1伤害1时间1暴击	14低血量敌人2457易伤3挖青4序列升级6核8伤害9时间a暴击
114	42321 63131	10	   	257.50	橙4易伤1伤害1时间1暴击	14低血量敌人2456易伤3挖青4序列升级7伤害8核9时间a暴击
115	51331 33663	8	   	257.26	橙4易伤1伤害1等级1暴击1卖塔	1卖塔2689易伤3等级4敌人爆炸5暴击7伤害a核
116	53231 33663	8	   	257.26	橙4易伤1伤害1等级1暴击1卖塔	1卖塔2等级3689易伤4敌人爆炸5暴击7伤害a核
117	61332 12441	6	 * 	257.23	橙4易伤1伤害2暴击1全技能	1双倍矿2伤害3全技能4567易伤89暴击a核
118	63451 22426	2	 * 	257.23	橙4易伤3等级1伤害1全技能	1双倍矿2加一358a易伤458等级58序列升级6核7全技能9伤害
119	32521 52261	6	   	257.08	橙5易伤1时间1暴击	1基地爆炸2457a易伤34最后敌人4序列升级6暴击8时间9核
120	32521 61161	6	   	257.08	橙5易伤1时间1暴击	1基地爆炸2456a易伤34最后敌人4序列升级7时间8暴击9核
121	42121 61161	6	   	257.08	橙5易伤1时间1暴击	1低血量敌人2456a易伤34基地爆炸4序列升级7时间8暴击9核
122	32621 61161	6	   	256.98	橙5易伤1时间1暴击	14基地爆炸2456a易伤3挖青4序列升级7时间8暴击9核
123	12321 63145	9	   	256.80	橙5易伤1伤害1全技能	1挖尘24569易伤34低血量敌人4序列升级7伤害8核a全技能
124	32261 13142	2	   	256.41	橙3易伤3时间1等级1攻速	17基地爆炸279易伤3攻速4低血量敌人567时间7序列升级8等级a核
125	42231 53142	1	   	256.31	橙3易伤3时间1等级1攻速	17低血量敌人2挖青3攻速457时间679易伤7序列升级8等级a核
126	63341 33736	8	   	256.29	橙4易伤2伤害1攻速	1双倍矿2加一38敌人爆炸4568易伤78伤害8序列升级9攻速a核
127	61332 62314	4	   	256.23	橙3易伤2伤害2全技能1时间	1双倍矿29伤害35全技能467易伤8时间a核
128	32261 62532	10	   	256.19	橙4易伤2伤害1攻速	1基地爆炸2579易伤38伤害4攻速6最后敌人a核
129	61413 24113	9	   	256.05	橙2易伤3时间2伤害1等级	1双倍矿29伤害3平台4等级579时间6加一89易伤9序列升级a核
130	23461 13522	10	   	256.04	橙3易伤3伤害2全技能	18全技能279敌人爆炸3额外掉落479伤害579易伤6立即金币79序列升级a核
131	63451 23336	2	 * 	255.76	橙3易伤2时间2等级2暴击	1双倍矿2加一35a易伤45等级5a序列升级6核7赏金邻近8a暴击9a时间
132	61221 12663	9	   	255.73	橙2易伤3伤害2时间1暴击1卖塔	1双倍矿29a伤害3a时间4矿等5暴击6卖塔7a易伤8核a序列升级
133	53611 15323	4	 * 	255.71	橙3易伤2时间2等级1伤害1卖塔	1卖塔2a等级3伤害45a易伤6金币生成7核8最后敌人9a时间a序列升级
