0	Index      	Bounty	 *	Score 	Summary	Detail	
1	66531 21313	1	 * 	295.08	橙3易伤3时间2伤害2等级	189易伤28伤害3雷电47等级568时间8序列升级a核
83	11432 24125	10	   	266.81	橙3易伤3时间2伤害	1双倍矿29伤害35a时间469易伤7核89金币生成9序列升级
84	12112 42222	10	   	266.81	橙3易伤3时间2伤害	1双倍矿269易伤359时间4金币生成7基地爆炸89伤害9序列升级a核
85	12112 43222	10	   	266.81	橙3易伤3时间2伤害	1双倍矿269易伤359时间4金币生成7敌人爆炸89伤害9序列升级a核
86	12112 46222	10	   	266.81	橙3易伤3时间2伤害	1双倍矿269易伤359时间4金币生成7最后敌人89伤害9序列升级a核
87	12112 65222	10	   	266.81	橙3易伤3时间2伤害	1双倍矿279易伤359时间4金币生成6最后敌人89伤害9序列升级a核
88	62112 42222	10	   	266.81	橙3易伤3时间2伤害	169易伤2双倍矿359时间4金币生成7基地爆炸89伤害9序列升级a核
89	62112 43222	10	   	266.81	橙3易伤3时间2伤害	169易伤2双倍矿359时间4金币生成7敌人爆炸89伤害9序列升级a核
90	62112 46222	10	   	266.81	橙3易伤3时间2伤害	169易伤2双倍矿359时间4金币生成7最后敌人89伤害9序列升级a核
91	62112 65222	10	   	266.81	橙3易伤3时间2伤害	179易伤2双倍矿359时间4金币生成6最后敌人89伤害9序列升级a核
92	66112 42222	10	   	266.81	橙3易伤3时间2伤害	169易伤2立即金币359时间4金币生成7基地爆炸89伤害9序列升级a核
93	66112 43222	10	   	266.81	橙3易伤3时间2伤害	169易伤2立即金币359时间4金币生成7敌人爆炸89伤害9序列升级a核
94	11142 24332	10	   	266.71	橙3易伤3时间2伤害	1双倍矿27伤害3基地爆炸457时间678易伤7序列升级9掉矿a核
95	11232 34352	10	   	266.71	橙3易伤3时间2伤害	1双倍矿27伤害3挖尘478易伤567时间7序列升级9随机矿a核
96	11242 24352	10	   	266.71	橙3易伤3时间2伤害	1双倍矿27伤害3挖尘457时间678易伤7序列升级9随机矿a核
97	11245 34331	10	   	266.71	橙3易伤3时间2伤害	1双倍矿27伤害3挖尘467时间578易伤7序列升级9核a最后敌人
98	11245 34332	9	   	266.71	橙3易伤3时间2伤害	1双倍矿27伤害3挖尘467时间578易伤7序列升级9核a敌人爆炸
99	11245 34333	10	   	266.71	橙3易伤3时间2伤害	1双倍矿27伤害3挖尘467时间578易伤7序列升级9核a基地爆炸
100	11322 24331	9	   	266.71	橙3易伤3时间2伤害	1双倍矿27伤害3最后敌人457时间678易伤7序列升级9核a掉矿
101	11322 24332	10	   	266.71	橙3易伤3时间2伤害	1双倍矿27伤害3最后敌人457时间678易伤7序列升级9核a挖青
102	11322 24333	9	   	266.71	橙3易伤3时间2伤害	1双倍矿27伤害3最后敌人457时间678易伤7序列升级9核a赏金邻近
103	11322 24334	10	   	266.71	橙3易伤3时间2伤害	1双倍矿27伤害3最后敌人457时间678易伤7序列升级9核a加一
104	11542 24331	9	   	266.71	橙3易伤3时间2伤害	1双倍矿27伤害3敌人爆炸457时间678易伤7序列升级9核a掉矿
105	11542 24332	10	   	266.71	橙3易伤3时间2伤害	1双倍矿27伤害3敌人爆炸457时间678易伤7序列升级9核a挖尘
106	12168 34484	7	   	266.71	橙3易伤3时间2伤害	1双倍矿269易伤359时间4加一79伤害8平台9序列升级a核
107	11232 34331	10	   	266.71	橙3易伤3时间2伤害	1双倍矿27伤害3挖尘478易伤567时间7序列升级9核a最后敌人
108	11232 34332	9	   	266.71	橙3易伤3时间2伤害	1双倍矿27伤害3挖尘478易伤567时间7序列升级9核a敌人爆炸
109	11232 34333	10	   	266.71	橙3易伤3时间2伤害	1双倍矿27伤害3挖尘478易伤567时间7序列升级9核a基地爆炸
110	11232 34336	9	   	266.71	橙3易伤3时间2伤害	1双倍矿27伤害3挖尘478易伤567时间7序列升级9核a最后敌人
111	11232 34336	10	   	266.71	橙3易伤3时间2伤害	1双倍矿27伤害3挖尘478易伤567时间7序列升级9核a随机矿
112	11242 24331	10	   	266.71	橙3易伤3时间2伤害	1双倍矿27伤害3挖尘457时间678易伤7序列升级9核a最后敌人
113	11242 24332	9	   	266.71	橙3易伤3时间2伤害	1双倍矿27伤害3挖尘457时间678易伤7序列升级9核a敌人爆炸
114	11242 24333	10	   	266.71	橙3易伤3时间2伤害	1双倍矿27伤害3挖尘457时间678易伤7序列升级9核a基地爆炸
115	11242 24336	10	   	266.71	橙3易伤3时间2伤害	1双倍矿27伤害3挖尘457时间678易伤7序列升级9核a随机矿
116	11242 24336	9	   	266.71	橙3易伤3时间2伤害	1双倍矿27伤害3挖尘457时间678易伤7序列升级9核a最后敌人
117	12123 11356	3	   	266.71	橙3易伤3时间2伤害	1双倍矿26a易伤348时间5立即金币7核9a伤害a序列升级
118	12123 11356	4	   	266.71	橙3易伤3时间2伤害	1双倍矿26a易伤348时间5立即金币7核9a伤害a序列升级
119	12323 11356	2	   	266.71	橙3易伤3时间2伤害	1双倍矿26a易伤348时间5立即金币7核9a伤害a序列升级
120	62123 11356	3	   	266.71	橙3易伤3时间2伤害	16a易伤2双倍矿348时间5立即金币7核9a伤害a序列升级
121	62123 11356	4	   	266.71	橙3易伤3时间2伤害	16a易伤2双倍矿348时间5立即金币7核9a伤害a序列升级
122	62323 11356	2	   	266.71	橙3易伤3时间2伤害	16a易伤2双倍矿348时间5立即金币7核9a伤害a序列升级
123	11245 34331	9	   	266.61	橙3易伤3时间2伤害	1双倍矿27伤害3挖尘467时间578易伤7序列升级9核a掉矿
124	11245 34332	10	   	266.61	橙3易伤3时间2伤害	1双倍矿27伤害3a挖尘467时间578易伤7序列升级9核
125	11245 34333	9	   	266.61	橙3易伤3时间2伤害	1双倍矿27伤害3挖尘467时间578易伤7序列升级9核a赏金邻近
126	11232 34331	9	   	266.61	橙3易伤3时间2伤害	1双倍矿27伤害3挖尘478易伤567时间7序列升级9核a掉矿
127	11232 34332	10	   	266.61	橙3易伤3时间2伤害	1双倍矿27伤害3a挖尘478易伤567时间7序列升级9核
128	11232 34333	9	   	266.61	橙3易伤3时间2伤害	1双倍矿27伤害3挖尘478易伤567时间7序列升级9核a赏金邻近
129	11232 34334	10	   	266.61	橙3易伤3时间2伤害	1双倍矿27伤害3挖尘478易伤567时间7序列升级9核a加一
130	11242 24331	9	   	266.61	橙3易伤3时间2伤害	1双倍矿27伤害3挖尘457时间678易伤7序列升级9核a掉矿
131	11242 24332	10	   	266.61	橙3易伤3时间2伤害	1双倍矿27伤害3a挖尘457时间678易伤7序列升级9核
132	11242 24333	9	   	266.61	橙3易伤3时间2伤害	1双倍矿27伤害3挖尘457时间678易伤7序列升级9核a赏金邻近
133	11242 24334	10	   	266.61	橙3易伤3时间2伤害	1双倍矿27伤害3挖尘457时间678易伤7序列升级9核a加一
134	11432 24521	7	   	266.61	橙3易伤3时间2伤害	1双倍矿29伤害35a时间469易伤7核89挖尘9序列升级
135	11322 24335	10	   	266.57	橙3易伤3时间2伤害1卖塔	1双倍矿27伤害3最后敌人457时间678易伤7序列升级9核a卖塔
136	11232 34335	10	   	266.47	橙3易伤3时间2伤害1卖塔	1双倍矿27伤害3挖尘478易伤567时间7序列升级9核a卖塔
137	11242 24335	10	   	266.47	橙3易伤3时间2伤害1卖塔	1双倍矿27伤害3挖尘457时间678易伤7序列升级9核a卖塔
138	63612 31241	1	 * 	266.26	橙4易伤2伤害2攻速1卖塔	179a易伤2敌人爆炸3a攻速4a伤害5赏金邻近6核8卖塔a序列升级
139	23612 31241	1	 * 	266.16	橙4易伤2伤害2攻速1卖塔	1挖青279a易伤3a攻速4a伤害5赏金邻近6核8卖塔a序列升级
140	11435 24221	8	   	265.70	橙3易伤2时间1伤害1等级1暴击	1双倍矿2伤害3a时间456易伤7核8暴击9等级
141	63362 23161	8	   	265.60	橙3易伤2时间1伤害1等级1暴击	14a易伤2掉矿35时间6暴击7核8伤害9等级
142	63362 23361	7	   	265.60	橙3易伤2时间1伤害1等级1暴击	14a易伤2掉矿35时间6暴击7核8伤害9等级
143	12326 34125	9	   	265.55	橙4易伤3时间1暴击	1双倍矿2579易伤3随机矿479时间6核79序列升级89金币生成a暴击
144	12326 34253	10	   	265.35	橙4易伤3时间1暴击	1双倍矿257a易伤3随机矿479时间6核7序列升级8暴击
145	12335 31134	3	 * 	265.25	橙4易伤2伤害2等级	1双倍矿2789易伤3随机矿48等级58伤害6双倍物品8序列升级a核
146	62335 31134	3	   	265.25	橙4易伤2伤害2等级	1789易伤2双倍矿3随机矿48等级58伤害6双倍物品8序列升级a核
