0	Index      	Bounty	 *	Score 	Summary	Detail	
1	24223 53125	9	 * 	291.40	橙5易伤3时间1伤害	1策反24579易伤345时间45序列升级6平台8伤害a核
65	24223 34135	8	   	271.34	橙5易伤3时间	19策反24568易伤345时间45序列升级7金币生成a核
66	24223 35315	7	   	271.34	橙5易伤3时间	1策反24568易伤345时间45序列升级7双倍矿9金币生成a核
67	24223 35335	7	   	271.34	橙5易伤3时间	1策反24568易伤345时间45序列升级7双倍矿9随机矿a核
68	24223 63335	10	   	271.34	橙5易伤3时间	1策反2459a易伤345时间45序列升级6敌人爆炸7核8最后敌人
69	24223 23235	10	   	271.24	橙5易伤3时间	1策反2459a易伤345时间45序列升级6最后敌人7核8挖尘
70	24223 63235	10	   	271.24	橙5易伤3时间	1策反2459a易伤345时间45序列升级6敌人爆炸7核8挖尘
71	24223 32135	8	   	271.24	橙5易伤3时间	19策反24568易伤345时间45序列升级7掉矿a核
72	24223 36132	6	   	271.14	橙5易伤3时间	1策反2456a易伤345时间45序列升级7赏金邻近8加一9核
73	24223 31513	6	   	271.11	橙4易伤3时间1攻速	18策反2456易伤345时间45序列升级7攻速9核a雷电
74	62353 13122	7	   	270.76	橙3易伤2时间2攻速1伤害1暴击	19攻速2伤害39a易伤4暴击5最后敌人69时间7核8赏金塔9序列升级
75	64263 11212	5	   	270.33	橙3易伤3时间2攻速1伤害	17攻速245易伤356时间5序列升级8伤害9核a双倍矿
76	64263 31212	6	   	270.33	橙3易伤3时间2攻速1伤害	17攻速245易伤356时间5序列升级8伤害9核a双倍矿
77	64263 11211	5	   	270.23	橙3易伤3时间2攻速1伤害	17攻速245易伤356时间5序列升级8伤害9核a掉矿
78	64263 31211	6	   	270.23	橙3易伤3时间2攻速1伤害	17攻速245易伤356时间5序列升级8伤害9核a掉矿
79	62343 34131	9	   	269.67	橙3易伤2伤害2攻速1等级1全技能	19攻速24伤害357易伤6全技能8核a等级
80	13615 14213	3	 * 	268.98	橙4易伤2攻速1伤害2暴击	1立即金币2随机矿357a易伤4伤害6核8a攻速9a暴击a序列升级
81	62333 11264	5	 * 	268.92	橙2易伤3伤害2攻速3雷电1时间	1a攻速25a伤害35易伤4随机矿5a序列升级6时间79a雷电8核
82	64263 21142	6	   	268.76	橙3易伤2时间1伤害1暴击1攻速	1攻速245易伤35时间5序列升级6加一7雷电8暴击9核a伤害
83	52521 23631	5	 * 	268.57	橙2易伤3伤害3暴击2攻速1全技能	1a金币生成256伤害356暴击4全技能56a序列升级7核8a攻速9a易伤
84	36322 14332	9	   	268.47	橙4易伤2时间1等级1暴击	17低血量敌人27时间3暴击4平台5等级678a易伤7序列升级9核
85	36322 14352	8	   	268.47	橙4易伤2时间1等级1暴击	17低血量敌人27时间3暴击4平台5等级678a易伤7序列升级9核
86	64262 12213	4	   	268.33	橙3易伤3时间1伤害1攻速	1攻速245易伤367时间8伤害9核a雷电
87	24223 15412	7	   	268.05	橙4易伤3时间1等级	1策反245a易伤345时间45序列升级6额外掉落7核8等级9立即金币
88	24223 23442	10	   	268.05	橙4易伤3时间1等级	1策反245a易伤345时间45序列升级6最后敌人7核8低血量敌人9等级
89	24223 63342	10	   	268.05	橙4易伤3时间1等级	1策反245a易伤345时间45序列升级6敌人爆炸7核8最后敌人9等级
90	24223 23242	10	   	267.95	橙4易伤3时间1等级	1策反245a易伤345时间45序列升级6最后敌人7核8挖尘9等级
91	24223 31412	10	   	267.95	橙4易伤3时间1等级	1策反2456易伤345时间45序列升级7挖尘8等级9双倍矿a核
92	24223 33435	8	   	267.95	橙4易伤3时间1等级	1策反2456易伤345时间45序列升级7最后敌人8等级9赏金邻近a核
93	24223 36511	6	   	267.95	橙4易伤3时间1等级	1策反2456易伤345时间45序列升级7赏金邻近8核9金币生成a等级
94	24223 63242	10	   	267.95	橙4易伤3时间1等级	1策反245a易伤345时间45序列升级6敌人爆炸7核8挖尘9等级
95	24223 31435	8	   	267.85	橙4易伤3时间1等级	1策反2456易伤345时间45序列升级7挖尘8等级9赏金邻近a核
96	62626 21121	4	   	267.17	橙3易伤2伤害2攻速1暴击1全技能	1a攻速2a伤害3暴击4全技能5赏金邻近6核7低血量敌人89a易伤a序列升级
97	24223 16321	5	   	266.81	橙3易伤3时间2伤害	1策反245易伤345时间45序列升级6矿等7核89伤害a金币生成
98	24223 16323	5	   	266.81	橙3易伤3时间2伤害	1策反245易伤345时间45序列升级6矿等7核89伤害a敌人爆炸
99	24223 16324	5	   	266.81	橙3易伤3时间2伤害	1策反245易伤345时间45序列升级6矿等7核89伤害a低血量敌人
100	24223 16325	5	   	266.81	橙3易伤3时间2伤害	1策反245易伤345时间45序列升级6矿等7核89伤害a基地爆炸
101	24223 36512	5	   	266.81	橙3易伤3时间2伤害	18策反245易伤345时间45序列升级67伤害9核a双倍矿
102	24223 66321	5	   	266.81	橙3易伤3时间2伤害	1策反245易伤345时间45序列升级6a金币生成7核89伤害
103	24223 66322	5	   	266.81	橙3易伤3时间2伤害	1策反245易伤345时间45序列升级6金币生成7核89伤害a双倍矿
104	24223 16322	5	   	266.71	橙3易伤3时间2伤害	1策反245易伤345时间45序列升级6矿等7核89伤害a挖尘
105	24223 36227	5	   	266.71	橙3易伤3时间2伤害	1策反245易伤345时间45序列升级67伤害8额外掉落9加一a核
106	24223 36511	5	   	266.71	橙3易伤3时间2伤害	18策反245易伤345时间45序列升级67伤害9核a掉矿
107	22541 33224	9	   	265.81	橙4易伤1伤害1时间1暴击	1策反2伤害3暴击4雷电5789易伤6时间a核
108	22541 53222	9	   	265.81	橙4易伤1伤害1时间1暴击	1策反2伤害3暴击4雷电5789易伤6核a时间
109	36142 15432	9	   	265.73	橙4易伤2时间1等级1攻速	17低血量敌人27时间3等级4攻速5加一678a易伤7序列升级9核
110	62333 41512	8	   	265.56	橙3易伤3伤害1时间1攻速	1攻速259伤害35a易伤4随机矿5序列升级6时间7基地爆炸8核
111	24223 16161	5	   	265.55	橙4易伤3时间1暴击	18策反2458易伤345时间458序列升级68矿等7核9赏金邻近a暴击
112	24223 15122	7	   	265.45	橙4易伤3时间1暴击	1策反245a易伤345时间45序列升级6额外掉落7核8暴击9矿等
113	24223 23435	9	   	265.45	橙4易伤3时间1暴击	1策反2459易伤345时间45序列升级6最后敌人7核8低血量敌人a暴击
114	24223 23462	10	   	265.45	橙4易伤3时间1暴击	1策反245a易伤345时间45序列升级6最后敌人7核8低血量敌人9暴击
115	24223 63335	9	   	265.45	橙4易伤3时间1暴击	1策反2459易伤345时间45序列升级6敌人爆炸7核8最后敌人a暴击
116	24223 63362	10	   	265.45	橙4易伤3时间1暴击	1策反245a易伤345时间45序列升级6敌人爆炸7核8最后敌人9暴击
117	24223 16411	5	   	265.37	橙3易伤3时间2暴击1等级	1策反245易伤345时间45序列升级6矿等7核8等级9a暴击
118	24223 66313	5	   	265.37	橙3易伤3时间1伤害1等级	1策反245易伤345时间45序列升级6金币生成7核8伤害9加一a等级
119	24223 23235	9	   	265.35	橙4易伤3时间1暴击	1策反2459易伤345时间45序列升级6最后敌人7核8挖尘a暴击
120	24223 23262	10	   	265.35	橙4易伤3时间1暴击	1策反245a易伤345时间45序列升级6最后敌人7核8挖尘9暴击
121	24223 63235	9	   	265.35	橙4易伤3时间1暴击	1策反2459易伤345时间45序列升级6敌人爆炸7核8挖尘a暴击
122	24223 63262	10	   	265.35	橙4易伤3时间1暴击	1策反245a易伤345时间45序列升级6敌人爆炸7核8挖尘9暴击
123	24223 63623	10	   	265.35	橙4易伤3时间1暴击	1策反245a易伤345时间45序列升级6敌人爆炸7核8掉矿9暴击
124	62313 12636	4	   	265.16	橙4易伤2攻速1伤害1等级	18攻速2伤害378a易伤48矿等5赏金塔6核8序列升级9等级
125	52342 11234	4	   	264.86	橙3易伤2伤害1时间2雷电1攻速	1a金币生成29伤害35a易伤4攻速6时间7a雷电8核a序列升级
126	62332 22461	4	   	263.87	橙4易伤2攻速1伤害2雷电	17攻速2伤害3578易伤4随机矿67雷电7序列升级9核a平台
127	62332 22462	4	   	263.87	橙4易伤2攻速1伤害2雷电	17攻速2伤害3578易伤4随机矿67雷电7序列升级9核a低血量敌人
128	62332 22463	4	   	263.77	橙4易伤2攻速1伤害2雷电	17攻速2伤害3578易伤4随机矿67雷电7序列升级9核a掉矿
129	62632 13523	9	   	263.65	橙3易伤2伤害1时间1暴击1攻速	1攻速2a伤害3暴击4最后敌人58a易伤6时间7核9a低血量敌人a序列升级
130	61112 36621	3	 * 	263.24	橙3易伤2伤害3攻速1全技能	138攻速239敌人爆炸39序列升级49伤害59a易伤6全技能7核
131	62612 53313	8	   	263.16	橙3易伤3伤害1暴击1攻速	1攻速29a伤害3暴击4挖尘59a易伤6低血量敌人7核89a最后敌人9a序列升级
132	24222 12314	5	   	263.15	橙3易伤2时间1伤害1等级1攻速	1策反24a易伤34时间4序列升级5基地爆炸6攻速7核8等级9伤害
133	24225 12314	4	   	263.15	橙3易伤2时间1伤害1等级1攻速	1策反24a易伤34时间4序列升级5基地爆炸6攻速7核8等级9伤害
134	24221 12314	4	   	263.05	橙3易伤2时间1伤害1等级1攻速	1策反24a易伤34时间4序列升级5挖尘6攻速7核8等级9伤害
135	62343 34132	9	   	262.94	橙3易伤2伤害3攻速1全技能	19a攻速24伤害357易伤6全技能8核
136	62241 53222	9	   	262.92	橙4易伤1伤害1时间1攻速1卖塔	1攻速2伤害3卖塔4雷电5789易伤6核a时间
137	24223 16163	5	   	262.90	橙4易伤3时间1攻速	18策反2458易伤345时间458序列升级68矿等7核9赏金邻近a攻速
138	24223 15611	7	   	262.80	橙4易伤3时间1攻速	1策反2458易伤345时间45序列升级6额外掉落7核9金币生成a攻速
139	24223 23532	10	   	262.80	橙4易伤3时间1攻速	1策反245a易伤345时间45序列升级6最后敌人7核8攻速9低血量敌人
140	24223 31512	6	   	262.80	橙4易伤3时间1攻速	18策反2456易伤345时间45序列升级7攻速9核a双倍矿
141	24223 31514	6	   	262.80	橙4易伤3时间1攻速	18策反2456易伤345时间45序列升级7攻速9核a金币生成
142	24223 31515	6	   	262.80	橙4易伤3时间1攻速	18a策反2456易伤345时间45序列升级7攻速9核
143	24223 31516	6	   	262.80	橙4易伤3时间1攻速	18策反2456易伤345时间45序列升级7攻速9核a基地爆炸
144	24223 63532	10	   	262.80	橙4易伤3时间1攻速	1策反245a易伤345时间45序列升级6敌人爆炸7核8攻速9低血量敌人
145	62316 31234	3	 * 	262.74	橙2易伤2伤害2时间2攻速2雷电	1a攻速29伤害3a易伤45时间6金币生成7a雷电8核a序列升级
146	24223 23512	10	   	262.70	橙4易伤3时间1攻速	1策反245a易伤345时间45序列升级6最后敌人7核8攻速9挖尘
147	24223 23642	10	   	262.70	橙4易伤3时间1攻速	1策反2459易伤345时间45序列升级6最后敌人7核8掉矿a攻速
148	24223 31222	6	   	262.70	橙4易伤3时间1攻速	1策反2456易伤345时间45序列升级7攻速8额外掉落9加一a核
149	24223 31435	6	   	262.70	橙4易伤3时间1攻速	1策反2456易伤345时间45序列升级7攻速8最后敌人9赏金邻近a核
150	24223 31511	6	   	262.70	橙4易伤3时间1攻速	18策反2456易伤345时间45序列升级7攻速9核a掉矿
151	24223 33335	7	   	262.70	橙4易伤3时间1攻速	1策反2456易伤345时间45序列升级7最后敌人8攻速9赏金邻近a核
152	24223 33345	7	   	262.70	橙4易伤3时间1攻速	1策反2456易伤345时间45序列升级7最后敌人8攻速9赏金塔a核
153	24223 63512	10	   	262.70	橙4易伤3时间1攻速	1策反245a易伤345时间45序列升级6敌人爆炸7核8攻速9挖尘
154	24223 31536	5	   	262.67	橙3易伤3时间1伤害1暴击	1策反245易伤345时间45序列升级6伤害7赏金塔8赏金邻近9暴击a核
155	63343 33111	9	   	262.61	橙2易伤3伤害2攻速1时间1暴击	18攻速28低血量敌人346伤害58易伤7核8序列升级9暴击a时间
156	63343 33116	10	   	262.61	橙2易伤3伤害2攻速1等级1暴击	18攻速28低血量敌人346伤害58易伤7核8序列升级9暴击a等级
157	64263 32112	10	   	262.60	橙4易伤3时间1攻速	1攻速2458易伤356时间5序列升级7掉矿9敌人爆炸a核
158	24223 31335	7	   	262.60	橙4易伤3时间1攻速	1策反2456易伤345时间45序列升级7挖尘8攻速9赏金邻近a核
159	24223 31345	7	   	262.60	橙4易伤3时间1攻速	1策反2456易伤345时间45序列升级7挖尘8攻速9赏金塔a核
160	64263 32112	8	   	262.60	橙4易伤3时间1攻速	1攻速2458易伤356时间5序列升级7掉矿9核a低血量敌人
161	24223 15331	10	   	262.56	橙4易伤3时间1攻速1卖塔	1策反245a易伤345时间45序列升级6额外掉落7核8攻速9卖塔
162	64263 32111	8	   	262.50	橙4易伤3时间1攻速	1攻速2458易伤356时间5序列升级7a掉矿9核
163	64263 32122	10	   	262.50	橙4易伤3时间1攻速	1攻速2458易伤356时间5序列升级7掉矿9挖尘a核
164	62312 11264	4	 * 	262.49	橙3易伤2攻速3雷电1伤害1时间	1a攻速2伤害35a易伤4矿等6时间79a雷电8核a序列升级
165	62322 11264	3	   	262.39	橙3易伤2攻速3雷电1伤害1时间	1a攻速2伤害35a易伤4掉矿6时间79a雷电8核a序列升级
166	54124 33123	2	   	262.21	橙3易伤2伤害1等级1暴击1全技能	1金币生成257易伤3全技能45伤害5序列升级6矿等8暴击9核a等级
167	24225 32742	8	   	261.71	橙3易伤2时间1伤害1等级1全技能	1策反249易伤34时间4序列升级5加一6全技能7等级8伤害a核
168	24223 16122	5	   	261.66	橙4易伤3时间1全技能	18策反2458易伤345时间458序列升级68矿等7核9全技能a敌人爆炸
169	24223 16123	5	   	261.66	橙4易伤3时间1全技能	18策反2458易伤345时间458序列升级68矿等7核9全技能a金币生成
170	24223 16124	5	   	261.66	橙4易伤3时间1全技能	18策反2458易伤345时间458序列升级68矿等7核9全技能a基地爆炸
171	24223 16125	5	   	261.66	橙4易伤3时间1全技能	18策反2458易伤345时间458序列升级68a矿等7核9全技能
172	24223 16126	5	   	261.66	橙4易伤3时间1全技能	18策反2458易伤345时间458序列升级68矿等7核9全技能a平台
173	24223 66122	5	   	261.66	橙4易伤3时间1全技能	18策反2458易伤345时间458序列升级68金币生成7核9全技能a敌人爆炸
174	24223 66123	5	   	261.66	橙4易伤3时间1全技能	18策反2458易伤345时间458序列升级68a金币生成7核9全技能
175	24223 23415	7	   	261.46	橙4易伤3时间1全技能	1策反245a易伤345时间45序列升级6最后敌人7核8全技能9基地爆炸
176	24223 23433	10	   	261.46	橙4易伤3时间1全技能	1策反2459易伤345时间45序列升级6最后敌人7核8低血量敌人a全技能
177	24223 23435	7	   	261.46	橙4易伤3时间1全技能	1策反245a易伤345时间45序列升级6最后敌人7核8全技能9低血量敌人
178	24223 63336	10	   	261.46	橙4易伤3时间1全技能	1策反2459易伤345时间45序列升级6敌人爆炸7核8最后敌人a全技能
179	61352 13122	7	   	261.44	橙2易伤2伤害2时间2攻速1暴击	19攻速2敌人爆炸39伤害4暴击5a易伤69时间7核8赏金塔9序列升级
180	63352 12413	8	   	261.44	橙2易伤2伤害2时间2攻速1暴击	19攻速2低血量敌人39伤害4暴击5a易伤69时间7加一8核9序列升级
181	63352 13122	7	   	261.44	橙2易伤2伤害2时间2攻速1暴击	19攻速2低血量敌人39伤害4暴击5a易伤69时间7核8赏金塔9序列升级
