0	Index      	 *	Score 	Summary	Detail	
1	42513 13242	 * 	294.54	紫橙5易伤1暴击	17核2最后敌人3458a易伤6挖尘9暴击
23	42513 13212	   	272.90	紫橙4易伤1平台	17核2最后敌人3458易伤6挖尘9低血量敌人a平台
24	42513 53232	   	272.90	紫橙4易伤1平台	17核2最后敌人3458易伤6敌人爆炸9挖尘a平台
25	42513 63213	   	271.64	紫橙4易伤	17核2最后敌人3458易伤6时间9低血量敌人a金币生成
26	42513 13215	   	271.54	紫橙4易伤	17核2最后敌人3458易伤6挖尘9低血量敌人a时间
27	42513 63211	   	271.54	紫橙4易伤	17核2最后敌人3458易伤6时间9低血量敌人a加一
28	42513 63233	   	271.54	紫橙4易伤	17核2最后敌人3458易伤6时间9挖尘a金币生成
29	33546 12313	 * 	271.54	橙2易伤3矿等2伤害2攻速	1赏金塔24a矿等34伤害4a序列升级5a攻速6雷电7最后敌人8a易伤9核
30	42513 63231	   	271.44	紫橙4易伤	17核2最后敌人3458易伤6时间9挖尘a加一
31	33263 52631	 * 	270.93	橙4易伤2攻速1矿等1暴击1平台	1赏金塔2矿等35攻速4568易伤5序列升级7平台9核a暴击
32	42522 33241	   	270.49	紫橙3易伤1攻速1暴击	17核2最后敌人358易伤46基地爆炸9暴击a攻速
33	33541 31521	 * 	268.78	橙2易伤3伤害2矿等1暴击	1赏金塔24矿等349伤害4序列升级5暴击6核78易伤a时间
34	33141 31615	 * 	267.34	橙橙1易伤2矿等1暴击	1赏金塔24矿等3随机矿4序列升级5暴击6a核7易伤8基地爆炸9金币生成
35	33141 31135	   	267.24	橙橙1易伤2矿等1暴击	1赏金塔24矿等3随机矿4序列升级5暴击6a核7易伤8掉矿9敌人爆炸
36	33141 36115	   	267.24	橙橙1易伤2矿等1暴击	1赏金塔24矿等3随机矿4序列升级5暴击6a核7掉矿8低血量敌人9易伤
37	33141 36235	   	267.24	橙橙1易伤2矿等1暴击	1赏金塔24矿等3随机矿4序列升级5暴击6a核7掉矿8易伤9敌人爆炸
38	33141 36315	   	267.24	橙橙1易伤2矿等1暴击	1赏金塔24矿等3随机矿4序列升级5暴击6a核7掉矿8基地爆炸9易伤
39	62532 22163	 * 	266.59	橙橙2易伤1全技能	1额外掉落2赏金塔3时间4赏金邻近56易伤7全技能8a核9雷电
40	42522 23241	   	266.50	紫橙3易伤1攻速1平台	17核2最后敌人359易伤4基地爆炸6技能8攻速a平台
41	42513 13431	   	266.40	紫橙3易伤1攻速1平台	17核2最后敌人345易伤6挖尘8平台9攻速a敌人爆炸
42	42513 13432	   	266.40	紫橙3易伤1攻速1平台	17核2最后敌人345易伤6挖尘8平台9攻速a赏金邻近
43	42513 13433	   	266.40	紫橙3易伤1攻速1平台	17核2最后敌人345易伤6挖尘8平台9攻速a低血量敌人
44	33263 42631	   	266.39	橙3易伤2矿等2攻速1暴击1平台	1赏金塔26矿等35攻速458易伤5序列升级7平台9核a暴击
45	25122 63241	   	266.25	紫橙3易伤1攻速1平台1策反	1敌人爆炸2策反369易伤4低血量敌人57核8攻速a平台
46	25132 63241	   	266.25	紫橙3易伤1攻速1平台1策反	1敌人爆炸2策反369易伤4最后敌人57核8攻速a平台
47	42521 63211	 * 	265.89	紫橙2易伤2攻速1伤害	17核2最后敌人36易伤4基地爆炸5伤害8a攻速9雷电
48	33241 31535	   	265.04	橙3易伤2矿等2攻速1暴击	1赏金塔24矿等34攻速4序列升级5暴击6核78a易伤9时间
49	15122 63242	   	264.90	紫橙3易伤1攻速1策反	1时间2策反369易伤4低血量敌人57核8攻速a技能
50	15122 63243	   	264.90	紫橙3易伤1攻速1策反	1时间2策反369易伤4低血量敌人57核8攻速a等级
51	15132 63242	   	264.90	紫橙3易伤1攻速1策反	1时间2策反369易伤4最后敌人57核8攻速a技能
52	15132 63243	   	264.90	紫橙3易伤1攻速1策反	1时间2策反369易伤4最后敌人57核8攻速a等级
