0	Index      	 *	Score 	Summary	Detail	
1	62334 13152	 * 	281.25	橙橙2易伤1伤害1矿等1策反	1伤害2雷电3赏金塔4策反5矿等69核7a易伤8立即金币
17	32531 13152	   	257.30	橙橙2易伤1攻速1策反	1等级2雷电3攻速4策反5赏金塔69核7a易伤8立即金币
18	12531 13152	   	257.20	橙橙2易伤1攻速1策反	1掉矿2雷电3攻速4策反5赏金塔69核7a易伤8立即金币
19	12531 13652	   	257.10	橙橙2易伤1攻速1策反	18掉矿2雷电3攻速4策反5赏金塔69核7a易伤
20	32531 13252	   	257.06	橙橙2易伤1攻速2策反	1等级2雷电3攻速48策反5赏金塔69核7a易伤
21	12531 13252	   	256.96	橙橙2易伤1攻速2策反	1掉矿2雷电3攻速48策反5赏金塔69核7a易伤
22	62131 12152	   	255.10	橙橙2伤害1易伤1策反	17伤害2雷电3等级4策反5赏金塔69核8基地爆炸a易伤
23	62363 17232	   	255.09	橙橙1易伤1伤害1矿等	1伤害24雷电3赏金塔5加一69核7导弹对绿8矿等a易伤
24	62131 13153	   	255.04	橙橙1易伤1伤害1矿等1策反	1伤害2雷电3等级4策反5赏金塔69核7易伤8立即金币a矿等
25	12231 12152	   	255.00	橙橙2伤害1易伤1策反	1掉矿2雷电37伤害4策反5赏金塔69核8基地爆炸a易伤
26	12231 13153	   	254.94	橙橙1易伤1伤害1矿等1策反	1掉矿2雷电3伤害4策反5赏金塔69核7易伤8立即金币a矿等
27	62334 13151	   	254.94	橙橙1易伤1伤害1矿等1策反	1伤害2雷电3赏金塔4策反5矿等69核7易伤8立即金币a加一
28	12231 13653	   	254.84	橙橙1易伤1伤害1矿等1策反	18掉矿2雷电3伤害4策反5赏金塔69核7易伤a矿等
29	62334 11152	   	254.80	橙橙1易伤1伤害1矿等2策反	1伤害2雷电3赏金塔47策反5矿等69核8基地爆炸a易伤
30	62131 13253	   	254.80	橙橙1易伤1伤害1矿等2策反	1伤害2雷电3等级48策反5赏金塔69核7易伤a矿等
31	12231 13253	   	254.70	橙橙1易伤1伤害1矿等2策反	1掉矿2雷电3伤害48策反5赏金塔69核7易伤a矿等
32	62334 13251	   	254.70	橙橙1易伤1伤害1矿等2策反	1伤害2雷电3赏金塔48策反5矿等69核7易伤a加一
33	22124 21561	   	252.74	紫橙2易伤2伤害	1随机矿27伤害39核4等级57基地爆炸67易伤7序列升级8双倍秒伤a额外掉落
34	22114 21561	   	252.64	紫橙2易伤2伤害	1随机矿27伤害39核4掉矿57基地爆炸67易伤7序列升级8双倍秒伤a额外掉落
35	22114 21563	   	252.64	紫橙2易伤2伤害	1随机矿27伤害39核4掉矿57基地爆炸67易伤7序列升级8双倍秒伤a双倍矿
36	22124 21562	   	252.64	紫橙2易伤2伤害	1随机矿27伤害39核4等级57基地爆炸67易伤7序列升级8双倍秒伤a掉矿
37	22124 21563	   	252.64	紫橙2易伤2伤害	1随机矿27伤害39核4等级57基地爆炸67易伤7序列升级8双倍秒伤a技能点
38	22114 21562	   	252.54	紫橙2易伤2伤害	1随机矿27伤害39核4a掉矿57基地爆炸67易伤7序列升级8双倍秒伤
39	22121 21561	   	252.54	紫橙2易伤2伤害	1随机矿27伤害39核4等级57挖尘67易伤7序列升级8双倍秒伤a额外掉落
40	22121 21564	   	252.54	紫橙2易伤2伤害	1随机矿27伤害39核4等级57挖尘67易伤7序列升级8双倍秒伤a敌人爆炸
41	22121 21565	   	252.54	紫橙2易伤2伤害	1随机矿27伤害39核4等级57挖尘67易伤7序列升级8双倍秒伤a雷电
42	63111 21561	   	252.54	紫橙2易伤2伤害	17伤害27等级39核4掉矿5挖尘67易伤7序列升级8双倍秒伤a敌人爆炸
43	63111 21562	   	252.54	紫橙2易伤2伤害	17伤害27等级39核4掉矿5挖尘67易伤7序列升级8双倍秒伤a金币生成
44	63111 21563	   	252.54	紫橙2易伤2伤害	17伤害27等级39核4掉矿5挖尘67易伤7序列升级8双倍秒伤a基地爆炸
45	22111 21561	   	252.44	紫橙2易伤2伤害	1随机矿27伤害39核4掉矿57挖尘67易伤7序列升级8双倍秒伤a额外掉落
46	22111 21563	   	252.44	紫橙2易伤2伤害	1随机矿27伤害39核4掉矿57挖尘67易伤7序列升级8双倍秒伤a双倍矿
47	22111 21564	   	252.44	紫橙2易伤2伤害	1随机矿27伤害39核4掉矿57挖尘67易伤7序列升级8双倍秒伤a敌人爆炸
48	22111 21565	   	252.44	紫橙2易伤2伤害	1随机矿27伤害39核4掉矿57挖尘67易伤7序列升级8双倍秒伤a雷电
49	63113 21781	   	252.44	紫橙2易伤2伤害	17伤害2等级3a核47掉矿5加一67易伤7序列升级8最后敌人9喷火对黄
50	22121 21562	   	252.44	紫橙2易伤2伤害	1随机矿27伤害39核4等级57挖尘67易伤7序列升级8双倍秒伤a掉矿
51	22121 21563	   	252.44	紫橙2易伤2伤害	1随机矿27伤害39核4等级57挖尘67易伤7序列升级8双倍秒伤a技能点
52	22111 21562	   	252.34	紫橙2易伤2伤害	1随机矿27伤害39核4a掉矿57挖尘67易伤7序列升级8双倍秒伤
