0	Index      	 *	Score 	Summary	Detail	
1	32311 51265	 * 	233.91	DCR|2VULN|2ASPD|1AART|2CDMG|1DMG|1DUR	12CDMG|2BPWR|3DUR|4DMG|59ASPD|6RCR|7aVULN|8AART
104	33516 51232	   	209.36	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1CDMG|2RMIN|34DMG|5DUR|6RCR|7VULN|8AART|9ERES|aASPD
105	32411 51611	   	209.36	DCR|2DMG|2ASPD|1VULN|2CDMG|1ZMB	12CDMG|2BPWR|3LWND|48DMG|5aASPD|6RCR|7VULN|9ZMB
106	56341 23233	   	209.31	DCR|3DMG|2VULN|1ASPD|1CDMG|1MSE	127DMG|3LWND|4CDMG|5ASPD|69VULN|8RCR|aMSE
107	32311 51122	   	209.16	DCR|2VULN|3CDMG|1ASPD|1DMG|2DUR	12aCDMG|2aBPWR|3aDUR|4DMG|5ASPD|6RCR|7aVULN|8BELT|9RCVC
108	32311 51651	   	208.77	DCR|3DMG|1VULN|2CDMG|1ASPD|1DUR	12CDMG|2BPWR|3DUR|489DMG|5ASPD|6RCR|7VULN|aLWND
109	32311 51652	   	208.77	DCR|3DMG|1VULN|2CDMG|1ASPD|1DUR	12CDMG|2BPWR|3DUR|489DMG|5ASPD|6RCR|7VULN|aLIT
110	32311 51312	   	208.69	DCR|2DMG|1VULN|2CDMG|1ASPD|2DUR|1ZMB	12CDMG|2BPWR|38DUR|4aDMG|5ASPD|6RCR|7VULN|9ZMB
111	32411 51221	   	208.59	DCR|2DMG|1VULN|1AART|2CDMG|1ASPD	12CDMG|2BPWR|39LWND|4aDMG|5ASPD|6RCR|7VULN|8AART
112	32536 51212	   	208.59	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	12CDMG|2BPWR|3ASPD|4LHND|5aDMG|6RCR|7VULN|8AART|9MLV
113	32116 51262	   	208.49	DCR|2DMG|1VULN|1AART|2CDMG|1ASPD	12CDMG|2BPWR|3TLV|4FEWX|5aDMG|6RCR|7VULN|8AART|9ASPD
114	32536 51232	   	208.49	DCR|2DMG|1VULN|2CDMG|1AART|1ASPD	12CDMG|2BPWR|3ASPD|4LHND|5aDMG|6RCR|7VULN|8AART|9ERES
115	31111 51515	   	208.34	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	1CDMG|2MLV|3AME|4DMG|5ASPD|6RCR|78aVULN|9ZMB
116	33111 51516	   	208.34	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	1CDMG|2RMIN|3AME|4DMG|5ASPD|6RCR|78aVULN|9ZMB
117	13162 22112	 * 	208.28	DCR|3VULN|2AART|1DMG	1SPLREG|24DUST|378VULN|5aAART|6RCR|9DMG
118	31111 51615	   	208.09	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	1CDMG|2MLV|3AME|48DMG|5ASPD|6RCR|7aVULN|9ZMB
119	33111 51616	   	208.09	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	1CDMG|2RMIN|3AME|48DMG|5ASPD|6RCR|7aVULN|9ZMB
120	33512 51511	   	208.09	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	1CDMG|2RMIN|34DMG|5LWND|6RCR|78VULN|9ZMB|aASPD
121	33513 51511	   	208.09	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	1CDMG|2RMIN|34DMG|5LHND|6RCR|78VULN|9ZMB|aASPD
122	31111 51512	   	208.09	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	1CDMG|2MLV|3AME|4aDMG|5ASPD|6RCR|78VULN|9ZMB
123	31531 51512	   	208.09	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	1CDMG|2MLV|3aDMG|4CGEN|5ASPD|6RCR|78VULN|9ZMB
124	33111 51512	   	208.09	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	1CDMG|2RMIN|3AME|4aDMG|5ASPD|6RCR|78VULN|9ZMB
125	36111 51512	   	208.09	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	1CDMG|2CGEN|3AME|4aDMG|5ASPD|6RCR|78VULN|9ZMB
126	13143 14132	 * 	208.02	DCR|2VULN|3CDMG|1AART|1DMG|2SPLREG	17SPLREG|2DUST|37VULN|4DMG|5CGEN|67aCDMG|7BPWR|8RCR|9AART
127	33511 51511	   	207.99	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	1CDMG|2RMIN|34DMG|5LEGI|6RCR|78VULN|9ZMB|aASPD
128	34511 24122	   	207.97	DCR|3DMG|2VULN|2CDMG|1ZMB	1aCDMG|2ZMB|34aDMG|5LEGI|6aVULN|7BELT|8RCR|9RCVC|aBPWR
129	31531 56233	   	207.92	DCR|3DMG|3CDMG|1VULN|1ASPD	189CDMG|2MLV|389DMG|4CGEN|5ASPD|6RCR|789LIT|89BPWR|aVULN
130	35532 33353	   	207.88	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1CDMG|2SELL|3ZMB|4AART|5BEXP|6RCR|7DMG|8VULN|9aASPD
131	32411 13641	   	207.77	DCR|2DMG|1VULN|1AART|2CDMG|1ASPD	12CDMG|2BPWR|3LWND|4aDMG|5ASPD|6AART|7RCR|8RCVC|9VULN
132	32411 51631	   	207.72	DCR|3DMG|3CDMG|1VULN|1ASPD	12aCDMG|2aBPWR|3LWND|48aDMG|5ASPD|6RCR|7VULN|9aMULARM
133	32411 13154	   	207.64	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1ZMB|1DUR	12CDMG|2BPWR|3LWND|4DMG|5ASPD|6AART|7RCR|8ZMB|9VULN|aDUR
134	32361 13152	   	207.64	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1ZMB|1DUR	12CDMG|2BPWR|3DUR|4CGEN|5ASPD|6AART|7RCR|8ZMB|9VULN|aDMG
135	32146 13152	   	207.54	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1ZMB|1DUR	12CDMG|2BPWR|3TLV|4ASPD|5DUR|6AART|7RCR|8ZMB|9VULN|aDMG
136	32161 13152	   	207.54	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1ZMB|1DUR	12CDMG|2BPWR|3TLV|4DUR|5ASPD|6AART|7RCR|8ZMB|9VULN|aDMG
137	32311 51624	   	207.33	DCR|2DMG|2ASPD|1VULN|2CDMG|1DUR	12CDMG|2BPWR|3DUR|48DMG|5aASPD|6RCR|7VULN|9FEWX
138	32311 51633	   	207.33	DCR|2DMG|2ASPD|1VULN|2CDMG|1DUR	12CDMG|2BPWR|3DUR|48DMG|5aASPD|6RCR|7VULN|9MULARM
139	32311 52222	   	207.33	DCR|2DMG|2ASPD|1VULN|2CDMG|1DUR	12CDMG|2BPWR|3DUR|4aDMG|58ASPD|6RCR|7MLV|9VULN
140	32311 53261	   	207.33	DCR|2DMG|2ASPD|1AART|2CDMG|1DUR	12CDMG|2BPWR|3DUR|4aDMG|59ASPD|6RCR|7LHND|8AART
141	56613 11112	   	207.19	DCR|3DMG|2VULN|1AART|1DUR	129DMG|3AART|49ERES|5LIT|6DUR|7RCR|89VULN|9BPWR|aLWND
142	56613 11113	   	207.19	DCR|3DMG|2VULN|1AART|1DUR	129DMG|3AART|49ERES|5LIT|6DUR|7RCR|89VULN|9BPWR|aRPLT
143	34512 51221	   	207.08	DCR|3DMG|1VULN|1AART|1CDMG|1ZMB	1CDMG|2ZMB|34aDMG|59LWND|6RCR|7VULN|8AART
144	56341 23211	   	206.80	DCR|3DMG|1VULN|2CDMG|1ASPD|1ZMB	127DMG|3LWND|4aCDMG|5ASPD|6VULN|8RCR|9ZMB
145	31111 13541	   	206.59	DCR|2DMG|1VULN|1AART|2CDMG|1ASPD	18CDMG|2MLV|3AME|4aDMG|5ASPD|6AART|7RCR|9VULN
146	31531 13541	   	206.59	DCR|2DMG|1VULN|1AART|2CDMG|1ASPD	18CDMG|2MLV|3aDMG|4CGEN|5ASPD|6AART|7RCR|9VULN
147	33111 13541	   	206.59	DCR|2DMG|1VULN|1AART|2CDMG|1ASPD	18CDMG|2RMIN|3AME|4aDMG|5ASPD|6AART|7RCR|9VULN
148	36111 13541	   	206.59	DCR|2DMG|1VULN|1AART|2CDMG|1ASPD	18CDMG|2CGEN|3AME|4aDMG|5ASPD|6AART|7RCR|9VULN
149	32311 51562	   	206.52	DCR|2VULN|2DMG|2CDMG|1ASPD|1AAC|1DUR	12CDMG|2BPWR|3DUR|4aDMG|5ASPD|6RCR|78VULN|9AAC
150	32111 13552	   	206.49	DCR|2DMG|1VULN|1AART|2CDMG|1ASPD	12CDMG|2BPWR|3TLV|4FEWX|5ASPD|6AART|7RCR|8aDMG|9VULN
151	32311 51513	   	206.24	DCR|2VULN|2CDMG|1ASPD|1DMG|1ZMB|1DUR	12CDMG|2BPWR|3DUR|4DMG|5ASPD|6RCR|78VULN|9ZMB|aLHND
