0	Index      	 *	Score 	Summary	Detail	
1	21532 18452	 * 	223.06	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2aVULN|3MBVNT|4SPLARM|5DMG|6BEXP|7RCR|8AART|9ASPD
14	21532 18436	 * 	216.27	DCR|1SPLARM|2AART|2DMG|1VULN|1DUR	1DUR|2VULN|3MBVNT|4SPLARM|59DMG|6BEXP|7RCR|8aAART
15	21523 84643	 * 	215.66	DCR|4VULN|2ASPD|1CDMG|2DUR	18DUR|278aVULN|3MBVNT|4CDMG|5LWND|68ASPD|8BPWR|9RCR
16	21534 46454	   	215.01	DCR|3VULN|1SPLARM|1AART|1CDMG|1DUR	1DUR|279VULN|3MBVNT|4SPLARM|5SPLJET|6CDMG|8RCR|aAART
17	21531 33674	 * 	215.01	DCR|3VULN|1SPLARM|1ASPD|1DMG|1DUR	1DUR|269VULN|3MBVNT|4SPLARM|5ERES|7DMG|8RCR|aASPD
18	21333 73232	   	214.83	DCR|3VULN|1SPLARM|1AART|1DMG|1DUR	1DUR|278VULN|3FEWX|4SPLARM|5MBVNT|6AART|9DMG|aRCR
19	21442 61322	   	214.83	DCR|3VULN|1SPLARM|1AART|1DMG|1DUR	1DUR|246VULN|3DMG|5AART|7MBVNT|8SPLARM|9LHND|aRCR
20	11537 13612	   	214.77	DCR|1SPLARM|2VULN|2DMG|1ASPD|1DUR	159DUST|29VULN|3MBVNT|4SPLARM|6ASPD|79DMG|8RCR|9BPWR|aDUR
21	11532 18452	   	214.65	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG	1DUST|2aVULN|3MBVNT|4SPLARM|5DMG|6BEXP|7RCR|8AART|9ASPD
22	21533 32485	 * 	214.61	DCR|3VULN|1SPLARM|2ASPD|2DUR	1aDUR|26aVULN|3MBVNT|4SPLARM|5RPLT|7ERES|8RCR|9aASPD|aBPWR
23	21538 73342	   	213.76	DCR|3VULN|1SPLARM|1AART|2DUR|2ZMB	19DUR|279VULN|3MBVNT|4SPLARM|5BEXP|6AART|89ZMB|9BPWR|aRCR
24	21532 35644	 * 	213.53	DCR|1SPLARM|2VULN|1ASPD|1DMG|1CDMG|1DUR	1DUR|26VULN|3MBVNT|4SPLARM|5DMG|7CGEN|8RCR|9CDMG|aASPD
25	21536 33644	   	213.53	DCR|1SPLARM|2VULN|1ASPD|1DMG|1CDMG|1DUR	1DUR|26VULN|3MBVNT|4SPLARM|5AME|7DMG|8RCR|9CDMG|aASPD
26	21531 33644	   	213.43	DCR|1SPLARM|2VULN|1ASPD|1DMG|1CDMG|1DUR	1DUR|26VULN|3MBVNT|4SPLARM|5ERES|7DMG|8RCR|9CDMG|aASPD
27	21333 74553	   	213.33	DCR|1SPLARM|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|28VULN|3FEWX|4SPLARM|5MBVNT|6AART|7RCR|9DMG|aZMB
28	21532 18443	   	213.33	DCR|1SPLARM|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|29VULN|3MBVNT|4SPLARM|5DMG|6BEXP|7RCR|8AART|aZMB
29	21532 58443	   	213.33	DCR|1SPLARM|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|29VULN|3MBVNT|4SPLARM|5DMG|6LHND|7RCR|8AART|aZMB
30	21532 78443	   	213.33	DCR|1SPLARM|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|29VULN|3MBVNT|4SPLARM|5DMG|6LWND|7RCR|8AART|aZMB
31	11333 74571	   	212.42	DCR|3VULN|1SPLARM|1AART|1ASPD	1DUST|289VULN|3FEWX|4SPLARM|5MBVNT|6AART|7RCR|aASPD
32	11333 74574	   	212.42	DCR|3VULN|1SPLARM|1AART|1DMG	1DUST|289VULN|3FEWX|4SPLARM|5MBVNT|6AART|7RCR|aDMG
33	11332 61512	   	211.90	DCR|1SPLARM|3DMG|2VULN|2ZMB	1DUST|29VULN|3FEWX|4SPLARM|579DMG|6LWND|89ZMB|9BPWR|aRCR
34	21331 36416	 * 	211.30	DCR|3VULN|1SPLARM|1ASPD|1CDMG|1DUR	1DUR|267VULN|3FEWX|4SPLARM|5ERES|8RCR|9CDMG|aASPD
35	21532 31343	   	211.25	DCR|1SPLARM|2VULN|2ASPD|1DMG|1DUR|1SELL	1DUR|26VULN|3MBVNT|4SPLARM|5DMG|7SELL|8RCR|9aASPD
36	21333 68313	 * 	211.16	DCR|3VULN|1SPLARM|1AART|3DUR	189DUR|289VULN|3FEWX|4SPLARM|5MBVNT|689TLV|7RCR|89BPWR|aAART
37	21532 35642	 * 	211.05	DCR|1SPLARM|2VULN|2DMG|1CDMG|1DUR	1DUR|26VULN|3MBVNT|4SPLARM|5aDMG|7CGEN|8RCR|9CDMG
38	21536 33642	   	211.05	DCR|1SPLARM|2VULN|2DMG|1CDMG|1DUR	1DUR|26VULN|3MBVNT|4SPLARM|5AME|7aDMG|8RCR|9CDMG
39	21531 33642	   	210.95	DCR|1SPLARM|2VULN|2DMG|1CDMG|1DUR	1DUR|26VULN|3MBVNT|4SPLARM|5ERES|7aDMG|8RCR|9CDMG
40	11532 18446	   	210.66	DCR|1SPLARM|2VULN|2AART|1DMG	1DUST|29VULN|3MBVNT|4SPLARM|5DMG|6BEXP|7RCR|8aAART
41	21532 64282	 * 	210.63	DCR|1SPLARM|2DMG|1VULN|1ASPD|1CDMG|1DUR	1DUR|2VULN|3MBVNT|4SPLARM|5aDMG|6ERES|7CDMG|8RCR|9ASPD
42	21523 11643	 * 	210.61	DCR|3VULN|2DMG|2CDMG|2DUR	18DUR|28aVULN|3MBVNT|47CDMG|5LWND|68DMG|8BPWR|9RCR
43	21523 14641	   	210.61	DCR|3VULN|2DMG|2CDMG|2DUR	18DUR|278VULN|3MBVNT|4aCDMG|5LWND|68DMG|8BPWR|9RCR
44	21526 11643	   	210.61	DCR|3VULN|2DMG|2CDMG|2DUR	18DUR|28aVULN|3MBVNT|47CDMG|5FEWX|68DMG|8BPWR|9RCR
45	21526 14641	   	210.61	DCR|3VULN|2DMG|2CDMG|2DUR	18DUR|278VULN|3MBVNT|4aCDMG|5FEWX|68DMG|8BPWR|9RCR
46	11532 34754	 * 	210.56	DCR|3VULN|1SPLARM|2DMG|1ZMB	1DUST|267VULN|3MBVNT|4SPLARM|59DMG|8ZMB|aRCR
47	21532 18433	   	210.53	DCR|1SPLARM|2DMG|1VULN|1AART|1ZMB|1DUR	1DUR|2VULN|3MBVNT|4SPLARM|59DMG|6BEXP|7RCR|8AART|aZMB
48	21532 58433	   	210.53	DCR|1SPLARM|2DMG|1VULN|1AART|1ZMB|1DUR	1DUR|2VULN|3MBVNT|4SPLARM|59DMG|6LHND|7RCR|8AART|aZMB
49	21532 78433	   	210.53	DCR|1SPLARM|2DMG|1VULN|1AART|1ZMB|1DUR	1DUR|2VULN|3MBVNT|4SPLARM|59DMG|6LWND|7RCR|8AART|aZMB
50	21521 14641	   	210.51	DCR|3VULN|2DMG|2CDMG|2DUR	18DUR|278VULN|3MBVNT|4aCDMG|5DUST|68DMG|8BPWR|9RCR
51	11125 13151	   	209.55	DCR|4VULN|1AART|1DMG|1ZMB	1DUST|289aVULN|3ZMB|4LHND|5AART|6DMG|7RCR
52	11165 13151	   	209.55	DCR|4VULN|1AART|1DMG|1ZMB	1DUST|289aVULN|3ZMB|4LWND|5AART|6DMG|7RCR
53	12225 13151	   	209.55	DCR|4VULN|1AART|1DMG|1ZMB	1DUST|2ZMB|389aVULN|4LHND|5AART|6DMG|7RCR
54	12265 13151	   	209.55	DCR|4VULN|1AART|1DMG|1ZMB	1DUST|2ZMB|389aVULN|4LWND|5AART|6DMG|7RCR
55	11442 61144	 * 	209.37	DCR|4VULN|1AART|1DMG|1CDMG	1DUST|2469VULN|3DMG|5AART|7MBVNT|8CDMG|aRCR
56	21615 35221	 * 	208.79	DCR|3VULN|1MDPS|1ASPD|1DMG|1DUR	1DUR|289VULN|3CGEN|4DUST|5ASPD|6RCR|7DMG|aMDPS
57	21523 81643	 * 	207.24	DCR|3VULN|2ASPD|2CDMG|2DUR	18DUR|28aVULN|3MBVNT|47CDMG|5LWND|68ASPD|8BPWR|9RCR
58	21523 84641	   	207.24	DCR|3VULN|2ASPD|2CDMG|2DUR	18DUR|278VULN|3MBVNT|4aCDMG|5LWND|68ASPD|8BPWR|9RCR
59	21142 12662	   	205.55	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	19DUR|249VULN|3ZMB|5AART|6LHND|79LWND|8RCR|9BPWR|aDMG
60	21523 13643	   	205.38	DCR|3VULN|2DMG|1CDMG|2DUR	18DUR|28aVULN|3MBVNT|4CDMG|5LWND|68DMG|7RCVC|8BPWR|9RCR
61	21526 13643	   	205.38	DCR|3VULN|2DMG|1CDMG|2DUR	18DUR|28aVULN|3MBVNT|4CDMG|5FEWX|68DMG|7RCVC|8BPWR|9RCR
62	21615 35121	 * 	205.17	DCR|2VULN|1MDPS|2ASPD|1DMG|1DUR	1DUR|29VULN|3CGEN|4DUST|58ASPD|6RCR|7DMG|aMDPS
63	21431 63316	 * 	205.12	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2VULN|3DMG|4ZMB|5FEWX|6AART|7RCR|8aASPD|9SPLREG
64	22242 64221	   	204.56	DCR|4VULN|1AART|2DUR|2ZMB	17DUR|27ZMB|3467VULN|5AART|7BPWR|8RCR|9CGEN|aLHND
65	22242 64222	   	204.56	DCR|4VULN|1AART|2DUR|2ZMB	17DUR|27ZMB|3467VULN|5AART|7BPWR|8RCR|9aCGEN
66	21142 64221	   	204.56	DCR|4VULN|1AART|2DUR|2ZMB	17DUR|2467VULN|37ZMB|5AART|7BPWR|8RCR|9CGEN|aLHND
67	21142 64222	   	204.56	DCR|4VULN|1AART|2DUR|2ZMB	17DUR|2467VULN|37ZMB|5AART|7BPWR|8RCR|9aCGEN
68	22242 64211	   	204.46	DCR|4VULN|1AART|2DUR|2ZMB	17DUR|27ZMB|3467VULN|5AART|7BPWR|8RCR|9DLOT|aCGEN
69	22242 64212	   	204.46	DCR|4VULN|1AART|2DUR|2ZMB	17DUR|27ZMB|3467VULN|5AART|7BPWR|8RCR|9DLOT|aFEWX
70	22242 64223	   	204.46	DCR|4VULN|1AART|2DUR|2ZMB	17DUR|27ZMB|3467VULN|5AART|7BPWR|8RCR|9CGEN|aLEGI
71	21142 64211	   	204.46	DCR|4VULN|1AART|2DUR|2ZMB	17DUR|2467VULN|37ZMB|5AART|7BPWR|8RCR|9DLOT|aCGEN
72	21142 64212	   	204.46	DCR|4VULN|1AART|2DUR|2ZMB	17DUR|2467VULN|37ZMB|5AART|7BPWR|8RCR|9DLOT|aFEWX
73	21142 64223	   	204.46	DCR|4VULN|1AART|2DUR|2ZMB	17DUR|2467VULN|37ZMB|5AART|7BPWR|8RCR|9CGEN|aLEGI
74	22242 64213	   	204.36	DCR|4VULN|1AART|2DUR|2ZMB|1MSE	17DUR|27ZMB|3467VULN|5AART|7BPWR|8RCR|9DLOT|aMSE
75	22242 64231	   	204.36	DCR|4VULN|1AART|2DUR|2ZMB|1MSE	17DUR|27ZMB|3467VULN|5AART|7BPWR|8RCR|9MSE|aLWND
76	22242 64232	   	204.36	DCR|4VULN|1AART|2DUR|2ZMB|1MSE	17DUR|27ZMB|3467VULN|5AART|7BPWR|8RCR|9MSE|aMSLREG
77	22242 64233	   	204.36	DCR|4VULN|1AART|2DUR|2ZMB|1MSE	17DUR|27ZMB|3467VULN|5AART|7BPWR|8RCR|9MSE|aSNIFST
78	21142 64213	   	204.36	DCR|4VULN|1AART|2DUR|2ZMB|1MSE	17DUR|2467VULN|37ZMB|5AART|7BPWR|8RCR|9DLOT|aMSE
79	21142 64231	   	204.36	DCR|4VULN|1AART|2DUR|2ZMB|1MSE	17DUR|2467VULN|37ZMB|5AART|7BPWR|8RCR|9MSE|aLWND
80	21142 64232	   	204.36	DCR|4VULN|1AART|2DUR|2ZMB|1MSE	17DUR|2467VULN|37ZMB|5AART|7BPWR|8RCR|9MSE|aMSLREG
81	21142 64233	   	204.36	DCR|4VULN|1AART|2DUR|2ZMB|1MSE	17DUR|2467VULN|37ZMB|5AART|7BPWR|8RCR|9MSE|aSNIFST
82	21355 63121	   	204.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1DUR|28VULN|3FEWX|4ZMB|5ASPD|6AART|7RCR|9LWND|aDMG
83	21355 63131	   	204.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1DUR|28VULN|3FEWX|4ZMB|5ASPD|6AART|7RCR|9BEXP|aDMG
84	21431 63114	   	204.24	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1DUR|28VULN|3DMG|4ZMB|5FEWX|6AART|7RCR|9DLOT|aASPD
85	21541 26153	   	203.94	DCR|2VULN|2DMG|2ASPD|1DUR	1DUR|2aVULN|3MBVNT|4BEXP|57DMG|6RCR|89ASPD
86	21525 53243	 * 	203.52	DCR|4VULN|2CDMG|1ASPD|1DUR	1DUR|256aVULN|3MBVNT|45CDMG|5BPWR|7ASPD|8FEWX|9RCR
87	11523 14683	   	203.28	DCR|4VULN|2DMG|1CDMG	18DUST|2789VULN|3MBVNT|4CDMG|5LWND|68DMG|8BPWR|aRCR
88	21523 14644	   	203.18	DCR|3VULN|2DMG|1CDMG|2DUR	18DUR|278VULN|3MBVNT|4CDMG|5aLWND|68DMG|8BPWR|9RCR
89	21523 14645	   	203.18	DCR|3VULN|2DMG|1CDMG|2DUR	18DUR|278VULN|3MBVNT|4CDMG|5LWND|68DMG|8BPWR|9RCR|aBEXP
90	21523 14647	   	203.18	DCR|3VULN|2DMG|1CDMG|2DUR	18DUR|278VULN|3MBVNT|4CDMG|5LWND|68DMG|8BPWR|9RCR|aCGEN
91	21523 14648	   	203.18	DCR|3VULN|2DMG|1CDMG|2DUR	18DUR|278VULN|3MBVNT|4CDMG|5LWND|68DMG|8BPWR|9RCR|aFEWX
92	21526 14644	   	203.18	DCR|3VULN|2DMG|1CDMG|2DUR	18DUR|278VULN|3MBVNT|4CDMG|5FEWX|68DMG|8BPWR|9RCR|aLWND
93	21521 14643	   	203.08	DCR|3VULN|2DMG|1CDMG|2DUR	18DUR|278VULN|3MBVNT|4CDMG|5DUST|68DMG|8BPWR|9RCR|aBEXP
94	21521 14645	   	203.08	DCR|3VULN|2DMG|1CDMG|2DUR	18DUR|278VULN|3MBVNT|4CDMG|5DUST|68DMG|8BPWR|9RCR|aFEWX
95	21521 14647	   	203.08	DCR|3VULN|2DMG|1CDMG|2DUR	18DUR|278VULN|3MBVNT|4CDMG|5DUST|68DMG|8BPWR|9RCR|aCGEN
96	21521 14648	   	203.08	DCR|3VULN|2DMG|1CDMG|2DUR	18DUR|278VULN|3MBVNT|4CDMG|5DUST|68DMG|8BPWR|9RCR|aBELT
97	21523 14642	   	203.08	DCR|3VULN|2DMG|1CDMG|2DUR	18DUR|278VULN|3MBVNT|4CDMG|5LWND|68DMG|8BPWR|9RCR|aDUST
98	21526 14642	   	203.08	DCR|3VULN|2DMG|1CDMG|2DUR	18DUR|278VULN|3MBVNT|4CDMG|5FEWX|68DMG|8BPWR|9RCR|aDUST
99	21521 14642	   	202.98	DCR|3VULN|2DMG|1CDMG|2DUR	18DUR|278VULN|3MBVNT|4CDMG|5aDUST|68DMG|8BPWR|9RCR
100	21521 14644	   	202.98	DCR|3VULN|2DMG|1CDMG|2DUR	18DUR|278VULN|3MBVNT|4CDMG|5DUST|68DMG|8BPWR|9RCR|aBASARM
101	21544 53481	 * 	202.57	DCR|4VULN|1MDPS|1ASPD|1DUR	1DUR|2568VULN|3MBVNT|4BEXP|7RCR|9ASPD|aMDPS
102	11433 41523	   	202.23	DCR|4VULN|1DMG|1CDMG|1ZMB	1DUST|269aVULN|3DMG|4ZMB|5CDMG|7RCVC|8RCR
103	21523 14153	 * 	202.17	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|27VULN|3MBVNT|4CDMG|5LWND|6DMG|8aAART|9RCR
104	21523 84153	 * 	202.17	DCR|2VULN|2AART|1ASPD|1CDMG|1DUR	1DUR|27VULN|3MBVNT|4CDMG|5LWND|6ASPD|8aAART|9RCR
105	21526 14153	   	202.17	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|27VULN|3MBVNT|4CDMG|5FEWX|6DMG|8aAART|9RCR
106	21431 63152	   	202.11	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|289VULN|3DMG|4ZMB|5FEWX|6AART|7RCR|aCGEN
107	21431 63153	   	202.11	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|289VULN|3DMG|4ZMB|5FEWX|6AART|7RCR|aRPLT
108	21431 63161	   	202.11	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|28aVULN|3DMG|4ZMB|59FEWX|6AART|7RCR
109	21521 14153	   	202.07	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|27VULN|3MBVNT|4CDMG|5DUST|6DMG|8aAART|9RCR
110	21523 83643	   	202.02	DCR|3VULN|2ASPD|1CDMG|2DUR	18DUR|28aVULN|3MBVNT|4CDMG|5LWND|68ASPD|7RCVC|8BPWR|9RCR
111	11125 13155	   	202.01	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUST|289VULN|3ZMB|4LHND|5AART|6DMG|7RCR|aDUR
112	12225 13155	   	202.01	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUST|2ZMB|389VULN|4LHND|5AART|6DMG|7RCR|aDUR
113	21355 63111	   	202.01	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1DUR|28aVULN|3FEWX|4ZMB|5ASPD|6AART|7RCR|9DLOT
114	21431 63111	   	202.01	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|28aVULN|3DMG|4ZMB|5FEWX|6AART|7RCR|9DLOT
115	21433 43411	   	202.01	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|26aVULN|3DMG|4ZMB|5LWND|7RCR|8AART|9DLOT
116	21431 63121	 * 	201.87	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|28VULN|3aDMG|4ZMB|5FEWX|6AART|7RCR|9LWND
117	21431 63131	   	201.87	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|28VULN|3aDMG|4ZMB|5FEWX|6AART|7RCR|9BEXP
118	21433 43421	   	201.87	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|26VULN|3aDMG|4ZMB|5LWND|7RCR|8AART|9LHND
119	21433 43431	   	201.87	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|26VULN|3aDMG|4ZMB|5LWND|7RCR|8AART|9BEXP
120	21525 53113	   	201.52	DCR|4VULN|2CDMG|1ASPD|1DUR	1DUR|2568VULN|3MBVNT|45CDMG|5BPWR|7ASPD|9FEWX|aRCR
121	21525 53133	   	201.52	DCR|4VULN|2CDMG|1ASPD|1DUR	1DUR|2568VULN|3MBVNT|45CDMG|5BPWR|7ASPD|9LHND|aRCR
122	32231 32612	 * 	201.38	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG	1CGEN|25DMG|3LWND|4MDPS|6RCR|7CDMG|89VULN|aAART
123	32231 36452	   	201.38	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG	1CGEN|25DMG|3LWND|4MDPS|6RCR|78VULN|9CDMG|aAART
124	32231 36553	   	201.38	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG	1CGEN|25DMG|3LWND|4MDPS|6RCR|7aVULN|8AART|9CDMG
125	62231 32612	   	201.38	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG	1AME|25DMG|3LWND|4MDPS|6RCR|7CDMG|89VULN|aAART
126	21132 63661	 * 	201.06	DCR|3VULN|1MDPS|3ZMB|1AART|2DUR	19DUR|269VULN|349ZMB|5AART|7MDPS|8RCR|9BPWR|aAELBLL
127	21132 63662	   	201.06	DCR|3VULN|1MDPS|3ZMB|1AART|2DUR	19DUR|269VULN|349ZMB|5AART|7MDPS|8RCR|9BPWR|aLHND
128	21132 63663	   	201.06	DCR|3VULN|1MDPS|3ZMB|1AART|2DUR	19DUR|269VULN|349ZMB|5AART|7MDPS|8RCR|9BPWR|aLWND
129	22232 63661	   	201.06	DCR|3VULN|1MDPS|3ZMB|1AART|2DUR	19DUR|249ZMB|369VULN|5AART|7MDPS|8RCR|9BPWR|aAELBLL
130	22232 63662	   	201.06	DCR|3VULN|1MDPS|3ZMB|1AART|2DUR	19DUR|249ZMB|369VULN|5AART|7MDPS|8RCR|9BPWR|aLHND
131	22232 63663	   	201.06	DCR|3VULN|1MDPS|3ZMB|1AART|2DUR	19DUR|249ZMB|369VULN|5AART|7MDPS|8RCR|9BPWR|aLWND
132	21433 43252	   	200.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|26VULN|3DMG|4ZMB|5LWND|7RCR|8DUST|9CDMG|aAART
133	21231 35153	   	200.15	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1DUR|2aVULN|3RMIN|4ZMB|5FEWX|6RCR|79DMG|8ASPD
134	21631 35153	   	200.15	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1DUR|2aVULN|3CGEN|4ZMB|5FEWX|6RCR|79DMG|8ASPD
135	21525 36131	 * 	200.14	DCR|2VULN|1MDPS|2CDMG|1ASPD|1DMG|1ZMB|1DUR	1DUR|25VULN|3MBVNT|45CDMG|5BPWR|6MDPS|7DMG|8ZMB|9RCR|aASPD
136	21525 36132	 * 	200.14	DCR|2VULN|1MDPS|2CDMG|1DMG|1NUKE|1ZMB|1DUR	1DUR|25VULN|3MBVNT|45CDMG|5BPWR|6MDPS|7DMG|8ZMB|9RCR|aNUKE
137	21234 35153	   	200.05	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1DUR|2aVULN|3RMIN|4ZMB|5DUST|6RCR|79DMG|8ASPD
138	21353 35153	   	200.05	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1DUR|2aVULN|3FEWX|4ZMB|5ERES|6RCR|79DMG|8ASPD
139	22143 35153	   	200.05	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1DUR|2ZMB|3BEXP|4aVULN|5ERES|6RCR|79DMG|8ASPD
140	22351 35153	   	200.05	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1DUR|2ZMB|3ERES|4aVULN|5FEWX|6RCR|79DMG|8ASPD
141	21523 11641	 * 	199.83	DCR|2VULN|2DMG|3CDMG|2DUR	18DUR|28VULN|3MBVNT|47aCDMG|5LWND|68DMG|8BPWR|9RCR
142	21526 11641	   	199.83	DCR|2VULN|2DMG|3CDMG|2DUR	18DUR|28VULN|3MBVNT|47aCDMG|5FEWX|68DMG|8BPWR|9RCR
143	21523 84644	   	199.81	DCR|3VULN|2ASPD|1CDMG|2DUR	18DUR|278VULN|3MBVNT|4CDMG|5aLWND|68ASPD|8BPWR|9RCR
144	21523 28643	   	199.81	DCR|3VULN|2ASPD|1CDMG|2DUR	18DUR|28aVULN|3MBVNT|4CDMG|56LWND|78ASPD|8BPWR|9RCR
145	21521 11641	   	199.73	DCR|2VULN|2DMG|3CDMG|2DUR	18DUR|28VULN|3MBVNT|47aCDMG|5DUST|68DMG|8BPWR|9RCR
146	21523 84642	   	199.71	DCR|3VULN|2ASPD|1CDMG|2DUR	18DUR|278VULN|3MBVNT|4CDMG|5LWND|68ASPD|8BPWR|9RCR|aDUST
147	33352 13562	   	199.47	DCR|2VULN|2DMG|1ASPD|2ZMB|1DUR	1CGEN|29ZMB|3TSLFST|4FEWX|59VULN|6ASPD|79DMG|8RCR|9BPWR|aDUR
148	11225 13151	   	199.22	DCR|4VULN|1AART|1DMG	1DUST|289aVULN|3RMIN|4LHND|5AART|6DMG|7RCR
149	11265 13151	   	199.22	DCR|4VULN|1AART|1DMG	1DUST|289aVULN|3RMIN|4LWND|5AART|6DMG|7RCR
150	32252 16243	 * 	199.19	DCR|2VULN|2DMG|1AART|1ASPD	1CGEN|27DMG|3LWND|46VULN|5ASPD|8RCVC|9AART|aRCR
151	11541 26133	 * 	199.14	DCR|3VULN|2DMG|1ASPD	1DUST|29aVULN|3MBVNT|4BEXP|57DMG|6RCR|8ASPD
152	11425 23151	   	199.12	DCR|4VULN|1AART|1DMG|1AAC	1DUST|289aVULN|3DMG|4LHND|5AART|6AAC|7RCR
153	21532 45612	 * 	198.45	DCR|2SPLARM|3DMG|1MDPS|1VULN|2DUR	19DUR|2VULN|3MBVNT|49SPLARM|579DMG|6RMIN|8RCR|9BPWR|aMDPS
154	21355 63311	 * 	198.40	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	1DUR|2aVULN|3FEWX|4ZMB|58ASPD|6AART|7RCR|9DLOT
155	21441 43113	 * 	198.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1DUR|248VULN|3DMG|5RMIN|6CDMG|7ASPD|9FEWX|aRCR
156	21441 43133	   	198.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1DUR|248VULN|3DMG|5RMIN|6CDMG|7ASPD|9LHND|aRCR
