0	Index      	 *	Score 	Summary	Detail	
1	63366 21112	 * 	230.31	DCR|3VULN|1SPLARM|2AART|2CDMG	19CDMG|23AART|4CGEN|57aVULN|6SPLARM|8RCR
40	33624 12612	 * 	207.20	DCR|3VULN|2AART|1ASPD|2DUR	16DUR|24AART|356VULN|6BPWR|7ASPD|8RPLT|9BELT|aRCR
41	43533 43131	 * 	206.92	ACR|3VULN|1AART|2CDMG|1ASPD|1DMG	1RCR|2ASPD|3DMG|45aVULN|67CDMG|8BEXP|9AART
42	31333 66163	 * 	206.71	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG|1DUR	1DUR|2CDMG|3MLV|47AART|5AME|6RCR|8ASPD|9VULN|aMDPS
43	33622 62163	   	206.71	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG|1DUR	1DUR|24AART|3VULN|5LIT|6RCR|7ASPD|8CDMG|9SNIFST|aMDPS
44	63341 62212	   	206.71	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG|1DUR	1CDMG|23AART|4BEXP|5VULN|6RCR|7RPLT|8DUR|9ASPD|aMDPS
45	42226 52213	 * 	206.65	ACR|4VULN|2DMG|1ASPD|2DUR	1RCR|29DMG|3RPLT|459aVULN|6AME|7ASPD|89DUR|9BPWR
46	42226 61213	   	206.65	ACR|4VULN|2DMG|1ASPD|2DUR	1RCR|29DMG|3RPLT|459aVULN|6ASPD|7CGEN|89DUR|9BPWR
47	31331 66163	   	206.61	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG|1DUR	1DUR|2CDMG|3MLV|47AART|5ERES|6RCR|8ASPD|9VULN|aMDPS
48	33622 62121	   	206.61	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG|1DUR	1DUR|24AART|3VULN|5aLIT|6RCR|7ASPD|8CDMG|9MDPS
49	33622 62122	   	206.61	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG|1DUR|1MSE	1DUR|24AART|3VULN|5LIT|6RCR|7ASPD|8CDMG|9MDPS|aMSE
50	33622 62123	   	206.61	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG|1DUR	1DUR|24AART|3VULN|5LIT|6RCR|7ASPD|8CDMG|9MDPS|aLWND
51	33622 62124	   	206.61	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG|1DUR	1DUR|24AART|3VULN|5LIT|6RCR|7ASPD|8CDMG|9MDPS|aLHND
52	33622 62125	   	206.61	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG|1DUR	1DUR|24AART|3VULN|5LIT|6RCR|7ASPD|8CDMG|9MDPS|aTLV
53	33622 62126	   	206.61	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG|1DUR	1DUR|24AART|3VULN|5LIT|6RCR|7ASPD|8CDMG|9MDPS|aAME
54	42551 33144	 * 	206.51	ACR|3VULN|3DMG|2CDMG|1ZMB|1SELL	1RCR|238DMG|48aVULN|58CDMG|6MBVNT|7SELL|8BPWR|9ZMB
55	33626 32433	   	206.27	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|24AART|38VULN|5MLV|6RPLT|7RCR|9DMG|aCDMG
56	33621 64233	 * 	205.62	DCR|3AART|2VULN|1ASPD|1ZMB|1DUR	1DUR|248AART|3aVULN|5LHND|6ASPD|7RCR|9ZMB
57	42561 32123	 * 	205.41	ACR|3DMG|3ASPD|1VULN|1AART	1RCR|238DMG|4AART|579ASPD|6RCVC|aVULN
58	33253 51222	 * 	205.34	DCR|3VULN|1MDPS|2ASPD|1AART|2DUR	17DUR|2AART|3MDPS|4CGEN|57ASPD|679VULN|7BPWR|8BEXP|aRCR
59	43536 22111	 * 	205.17	ACR|3ASPD|2VULN|2DMG|3DUR	1RCR|268ASPD|37DMG|48VULN|589DUR|8BPWR|aFEWX
60	43536 22112	   	205.17	ACR|3ASPD|2VULN|2DMG|3DUR	1RCR|268ASPD|37DMG|48VULN|589DUR|8BPWR|aRCVC
61	43536 22113	   	205.17	ACR|3ASPD|2VULN|2DMG|3DUR	1RCR|268ASPD|37DMG|48VULN|589DUR|8BPWR|aLIT
62	23512 16315	 * 	204.48	DCR|3VULN|3DMG|1MDPS|2DUR	17aVULN|2MDPS|39aDMG|4DUST|5LHND|6aDUR|8RCR|aBPWR
63	43533 32111	 * 	204.39	ACR|3VULN|3ASPD|2DMG	1RCR|28aASPD|37DMG|458VULN|68LWND|8BPWR|9BEXP
64	26331 32436	 * 	204.32	DCR|3VULN|2ASPD|1DMG|1CDMG	178VULN|28LHND|3CANARM|4DMSP|5CDMG|68ASPD|8BPWR|9DMG|aRCR
65	43533 32151	   	204.29	ACR|3VULN|3ASPD|2DMG	1RCR|28aASPD|37DMG|458VULN|68LWND|8BPWR|9DUST
66	63366 21131	 * 	204.27	DCR|1SPLARM|2VULN|2AART|1MDPS|1CDMG	1CDMG|23AART|4CGEN|57VULN|6SPLARM|8RCR|9MDPS|aFEWX
67	63366 21132	   	204.27	DCR|1SPLARM|2VULN|2AART|1MDPS|1CDMG	1CDMG|23AART|4CGEN|57VULN|6SPLARM|8RCR|9MDPS|aERES
68	63366 21133	   	204.27	DCR|1SPLARM|2VULN|2AART|1MDPS|1CDMG	1CDMG|23AART|4CGEN|57VULN|6SPLARM|8RCR|9MDPS|aBELT
69	33621 64321	 * 	204.24	DCR|2VULN|2AART|2ASPD|1DUR	1DUR|24AART|3aVULN|5LHND|69ASPD|7RCR|8AME
70	33331 12654	 * 	204.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUR|2AART|3FEWX|4DLOT|58VULN|6CDMG|7ASPD|9DMG|aRCR
71	33622 42236	 * 	203.98	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1DUR|24AART|36VULN|5LIT|7DUST|8ASPD|9DMG|aRCR
72	63511 61331	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2AART|35VULN|4aLHND|6RCR|7ASPD|8FEWX|9DMG
73	63511 61333	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2AART|35VULN|4LHND|6RCR|7ASPD|8FEWX|9DMG|aLWND
74	63511 61332	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2AART|35VULN|4LHND|6RCR|7ASPD|8FEWX|9DMG|aDUST
75	22466 32321	 * 	203.71	DCR|4VULN|1ASPD|1DMG|1DUR	1346VULN|2DUR|5ERES|7RCR|8DUST|9DMG|aASPD
76	43226 52213	 * 	203.28	ACR|4VULN|2ASPD|1DMG|2DUR	1RCR|29ASPD|3RPLT|459aVULN|6AME|7DMG|89DUR|9BPWR
77	43226 61213	   	203.28	ACR|4VULN|2ASPD|1DMG|2DUR	1RCR|29ASPD|3RPLT|459aVULN|6DMG|7CGEN|89DUR|9BPWR
78	21411 25236	 * 	203.15	DCR|3VULN|1AART|2CDMG|1NUKE	157VULN|27CDMG|3RCVC|4AART|67DUST|7BPWR|8BELT|9RCR|aNUKE
79	33363 25612	   	203.00	DCR|2VULN|1MDPS|1AART|1ASPD|1ZMB|1DUR	1DUR|2AART|3FEWX|4LEGI|5ZMB|68VULN|7RCR|9ASPD|aMDPS
80	63123 15313	 * 	202.85	DCR|1MDPS|3CDMG|1AART|1ASPD|1DMG|2DUR	137CDMG|2AART|4DMG|57AME|67DUR|7BPWR|8RCR|9ASPD|aMDPS
81	63511 61323	   	202.71	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1CDMG|2AART|35VULN|4LHND|6RCR|7ASPD|8FEWX|9BEXP|aMDPS
82	63125 15313	   	202.65	DCR|1MDPS|3CDMG|1AART|1ASPD|1DMG|2DUR	137CDMG|2AART|4DMG|57ERES|67DUR|7BPWR|8RCR|9ASPD|aMDPS
83	63511 62112	   	202.61	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1CDMG|2AART|35VULN|4LHND|6RCR|7RPLT|8DUST|9ASPD|aMDPS
84	63531 62112	   	202.61	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1CDMG|2AART|35VULN|4BEXP|6RCR|7RPLT|8DUST|9ASPD|aMDPS
85	63511 61211	   	202.51	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1CDMG|2AART|35VULN|4LHND|6RCR|7ASPD|8MDPS|9RMIN|aAME
86	63511 61212	   	202.51	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1CDMG|2AART|35VULN|4LHND|6RCR|7ASPD|8MDPS|9RMIN|aLEGI
87	63511 61213	   	202.51	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1CDMG|2AART|35VULN|4LHND|6RCR|7ASPD|8MDPS|9RMIN|aLIT
88	63511 61221	   	202.51	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1CDMG|2AART|35VULN|4LHND|6RCR|7ASPD|8MDPS|9TLV|aAME
89	63511 61222	   	202.51	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1CDMG|2AART|35VULN|4LHND|6RCR|7ASPD|8MDPS|9TLV|aDMSP
90	63511 61223	   	202.51	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1DUR	1CDMG|2AART|35VULN|4LHND|6RCR|7ASPD|8MDPS|9TLV|aDUR
91	63511 61231	   	202.51	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1DUR|1MSE	1CDMG|2AART|35VULN|4LHND|6RCR|7ASPD|8MDPS|9MSE|aDUR
92	63511 61232	   	202.51	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB|1MSE	1CDMG|2AART|35VULN|4LHND|6RCR|7ASPD|8MDPS|9MSE|aZMB
93	63511 61233	   	202.51	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1MSE	1CDMG|2AART|35VULN|4LHND|6RCR|7ASPD|8MDPS|9MSE|aLWND
94	63531 61211	   	202.51	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1CDMG|2AART|35VULN|4BEXP|6RCR|7ASPD|8MDPS|9RMIN|aAME
95	63531 61212	   	202.51	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1CDMG|2AART|35VULN|4BEXP|6RCR|7ASPD|8MDPS|9RMIN|aLHND
96	63531 61213	   	202.51	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1CDMG|2AART|35VULN|4BEXP|6RCR|7ASPD|8MDPS|9RMIN|aDUST
97	63531 61221	   	202.51	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1CDMG|2AART|35VULN|4BEXP|6RCR|7ASPD|8MDPS|9TLV|aAME
98	63531 61222	   	202.51	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1CDMG|2AART|35VULN|4BEXP|6RCR|7ASPD|8MDPS|9TLV|aLEGI
99	63531 61223	   	202.51	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1CDMG|2AART|35VULN|4BEXP|6RCR|7ASPD|8MDPS|9TLV|aLIT
100	63531 61231	   	202.51	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1DUR|1MSE	1CDMG|2AART|35VULN|4BEXP|6RCR|7ASPD|8MDPS|9MSE|aDUR
101	63531 61232	   	202.51	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB|1MSE	1CDMG|2AART|35VULN|4BEXP|6RCR|7ASPD|8MDPS|9MSE|aZMB
102	63531 61233	   	202.51	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1MSE	1CDMG|2AART|35VULN|4BEXP|6RCR|7ASPD|8MDPS|9MSE|aLWND
103	22466 32333	 * 	202.47	DCR|4VULN|1MDPS|1ASPD|1DUR	1346VULN|2DUR|5ERES|7RCR|8DUST|9ASPD|aMDPS
104	63123 31312	   	202.36	DCR|3CDMG|1VULN|1AART|1ASPD|1DMG|1DUR	136CDMG|2AART|4DMG|5AME|7DUR|8RCR|9ASPD|aVULN
105	63124 25311	   	202.28	DCR|2DMG|2ASPD|3CDMG|1AART	137CDMG|2AART|4aDMG|57DUST|67aMLV|7aBPWR|8RCR|9aASPD
106	63125 31312	   	202.26	DCR|3CDMG|1VULN|1AART|1ASPD|1DMG|1DUR	136CDMG|2AART|4DMG|5ERES|7DUR|8RCR|9ASPD|aVULN
107	33622 62132	 * 	202.11	DCR|2AART|2ASPD|1VULN|1CDMG|1DUR	1DUR|24AART|3VULN|5LIT|6RCR|79ASPD|8CDMG|aFEWX
108	33622 62133	   	202.11	DCR|2AART|2ASPD|1VULN|1CDMG|1DUR	1DUR|24AART|3VULN|5LIT|6RCR|79ASPD|8CDMG|aAME
109	33622 62135	   	202.11	DCR|2AART|2ASPD|1VULN|1CDMG|1DUR	1DUR|24AART|3VULN|5LIT|6RCR|79ASPD|8CDMG|aBEXP
110	33622 62136	   	202.11	DCR|2AART|2ASPD|1VULN|1CDMG|1DUR	1DUR|24AART|3VULN|5LIT|6RCR|79ASPD|8CDMG|aRCVC
111	33622 62131	   	202.01	DCR|2AART|2ASPD|1VULN|1CDMG|1DUR	1DUR|24AART|3VULN|5LIT|6RCR|79ASPD|8CDMG|aDUST
112	63124 52331	   	201.98	DCR|2DMG|2ASPD|3CDMG|1AART	137CDMG|2AART|4aDMG|5DUST|6aASPD|8RCR|9aERES|aBPWR
113	12433 24221	   	201.91	DCR|4VULN|1ASPD|1DMG|1DUR	1FEWX|2DUR|3457VULN|6CGEN|8RCR|9DMG|aASPD
114	22433 24221	   	201.91	DCR|4VULN|1ASPD|1DMG|1DUR	1357VULN|2DUR|4BEXP|6CGEN|8RCR|9DMG|aASPD
115	63511 61321	 * 	201.72	DCR|3VULN|1AART|1ASPD|1CDMG	1CDMG|2AART|35aVULN|4LHND|6RCR|7ASPD|8FEWX|9BEXP
116	63531 61312	   	201.72	DCR|3VULN|1AART|1ASPD|1CDMG	1CDMG|2AART|35aVULN|48BEXP|6RCR|7ASPD|9BELT
117	63531 61331	   	201.72	DCR|3VULN|1AART|1ASPD|1CDMG	1CDMG|2AART|35aVULN|48BEXP|6RCR|7ASPD|9MLV
118	63511 62311	 * 	201.62	DCR|4VULN|1AART|1NUKE|1CDMG	1CDMG|2AART|358aVULN|4LHND|6RCR|7RPLT|9NUKE
119	63511 62312	   	201.62	DCR|3VULN|1AART|1NUKE|1CDMG	1CDMG|2AART|358VULN|4LHND|6RCR|7RPLT|9NUKE|aCGEN
120	63511 62313	   	201.62	DCR|3VULN|1AART|1NUKE|1CDMG	1CDMG|2AART|358VULN|4LHND|6RCR|7RPLT|9NUKE|aAIRARM
121	63531 62311	   	201.62	DCR|4VULN|1AART|1NUKE|1CDMG	1CDMG|2AART|358aVULN|4BEXP|6RCR|7RPLT|9NUKE
122	63531 62312	   	201.62	DCR|3VULN|1AART|1NUKE|1CDMG	1CDMG|2AART|358VULN|4BEXP|6RCR|7RPLT|9NUKE|aCGEN
123	63531 62313	   	201.62	DCR|3VULN|1AART|1NUKE|1CDMG	1CDMG|2AART|358VULN|4BEXP|6RCR|7RPLT|9NUKE|aAIRARM
124	63511 61131	   	201.48	DCR|3VULN|1AART|1ASPD|1CDMG|1SELL	1CDMG|2AART|35aVULN|4LHND|6RCR|7ASPD|8BEXP|9SELL
125	63531 61131	   	201.48	DCR|3VULN|1AART|1ASPD|1CDMG|1SELL	1CDMG|2AART|35aVULN|4BEXP|6RCR|7ASPD|8FEWX|9SELL
126	21611 32256	 * 	201.48	DCR|2VULN|2DMG|1AART|1CDMG	1aVULN|2CDMG|3RPLT|4BELT|5aERES|6RCR|7aDMG|8DMSP|9AART|aBPWR
127	21611 32156	   	201.38	DCR|2VULN|2DMG|1AART|1CDMG	1aVULN|2CDMG|3RPLT|4BELT|58aERES|6RCR|7aDMG|9AART|aBPWR
128	63523 61333	   	201.33	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1ZMB	1aCDMG|2AART|3VULN|4ZMB|5MLV|6RCR|7ASPD|8FEWX|9DMG
129	63521 61333	   	201.23	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1ZMB	1aCDMG|2AART|3VULN|4ZMB|5ERES|6RCR|7ASPD|8FEWX|9DMG
130	63336 21112	   	201.16	DCR|3VULN|2AART|2CDMG	19CDMG|23AART|4RMIN|57aVULN|6VENFST|8RCR
131	63315 31112	   	201.06	DCR|3VULN|2AART|2CDMG	19CDMG|23AART|4MSLREG|57aVULN|6AME|8RCR
132	63523 61332	   	200.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1ZMB	1CDMG|2AART|3VULN|4ZMB|5MLV|6RCR|7ASPD|8FEWX|9DMG|aAAC
133	12433 24233	   	200.67	DCR|4VULN|1MDPS|1ASPD|1DUR	1FEWX|2DUR|3457VULN|6CGEN|8RCR|9ASPD|aMDPS
134	22433 24233	   	200.67	DCR|4VULN|1MDPS|1ASPD|1DUR	1357VULN|2DUR|4BEXP|6CGEN|8RCR|9ASPD|aMDPS
135	63521 61332	   	200.58	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1AAC|1ZMB	1CDMG|2AART|3VULN|4ZMB|5ERES|6RCR|7ASPD|8FEWX|9DMG|aAAC
