0	Index      	 *	Score 	Summary	Detail	
1	61632 63123	 * 	219.76	DCR|3VULN|2DMG|1AART|3DUR	1LWND|249DUR|34DMG|4BPWR|5AART|68aVULN|7RCR
41	21442 21362	   	199.45	DCR|3VULN|1SPLARM|2DMG|2DUR	1BELT|28DUR|346VULN|56DMG|6BPWR|7SPLARM|9FEWX|aRCR
42	23321 12544	   	199.16	DCR|3VULN|2DMG|1AART	1BELT|2AELBLL|36aVULN|46DMG|5AART|6BPWR|7BEXP|8RCR|9LIT
43	23321 12513	   	197.90	DCR|2VULN|2DMG|1AART|1CDMG	1BELT|2AELBLL|36VULN|46DMG|5AART|6BPWR|7BEXP|8RCR|9CDMG|aRCVC
44	61632 63131	   	197.63	DCR|2VULN|2DMG|1AART|2DUR	1LWND|24DUR|34DMG|4BPWR|5AART|68VULN|7RCR|9RCVC|aAME
45	61632 63132	   	197.63	DCR|2VULN|2DMG|1AART|2DUR	1LWND|24DUR|34DMG|4BPWR|5AART|68VULN|7RCR|9RCVC|aLIT
46	61632 63133	   	197.63	DCR|2VULN|2DMG|1AART|2DUR	1LWND|24DUR|34DMG|4BPWR|5AART|68VULN|7RCR|9RCVC|aFEWX
47	21442 11313	   	197.61	DCR|4VULN|1SPLARM|1DMG|2DUR	1BELT|28DUR|3469VULN|5DMG|7SPLARM|aRCR
48	23321 12511	   	197.58	DCR|2VULN|2DMG|1AART|1CDMG	1BELT|2AELBLL|36VULN|46DMG|5AART|6BPWR|7BEXP|8RCR|9CDMG|aCGEN
49	23321 12512	   	197.58	DCR|2VULN|2DMG|1AART|1CDMG	1BELT|2AELBLL|36VULN|46DMG|5AART|6BPWR|7aBEXP|8RCR|9CDMG
50	23321 12515	   	197.48	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1BELT|2AELBLL|36VULN|46DMG|5AART|6BPWR|7BEXP|8RCR|9CDMG|aSELL
51	23321 12516	   	197.48	DCR|2VULN|2DMG|1AART|1CDMG	1BELT|2AELBLL|36VULN|46DMG|5AART|6BPWR|7BEXP|8RCR|9CDMG|aERES
52	61632 63111	   	196.78	DCR|2VULN|2DMG|1AART|2DUR	1LWND|24DUR|34DMG|4BPWR|5AART|68VULN|7RCR|9ERES|aCGEN
53	61632 63112	   	196.78	DCR|2VULN|2DMG|1AART|2DUR	1aLWND|24DUR|34DMG|4BPWR|5AART|68VULN|7RCR|9ERES
54	61632 63113	   	196.78	DCR|2VULN|2DMG|1AART|2DUR	1LWND|24DUR|34DMG|4BPWR|5AART|68VULN|7RCR|9ERES|aRMIN
55	61632 63312	   	196.78	DCR|2VULN|2DMG|1AART|2DUR	1LWND|24DUR|34DMG|4BPWR|5AART|6aVULN|7RCR|8CGEN|9CANARM
56	55132 21151	 * 	196.55	DCR|4VULN|1MDPS|1DMG|2DUR	1RMIN|2459VULN|34DUR|4BPWR|6BEXP|7DMG|8RCR|aMDPS
57	11623 21233	 * 	196.49	DCR|1VULN|1ASPD|1DMG|1NUKE|1CDMG|1ZMB|1DUR	1LHND|2DUR|3LIT|4CDMG|5DMG|6VULN|7RCR|8ASPD|9ZMB|aNUKE
58	61632 63322	   	196.46	DCR|2DMG|1AART|1VULN|1ASPD|2DUR	1LWND|24DUR|34DMG|4BPWR|5AART|6VULN|7RCR|8CGEN|9DUST|aASPD
59	55132 43323	 * 	196.34	DCR|4VULN|1DMG|3DUR	1RMIN|2458VULN|348DUR|48BPWR|6RCR|79DMSP|aDMG
60	23321 13131	   	195.48	DCR|2VULN|2DMG|1AART|1CDMG	1BELT|2AELBLL|36VULN|46DMG|5AART|6BPWR|7ERES|8CDMG|9RCR|aLHND
61	23321 13135	   	195.48	DCR|2VULN|2DMG|1AART|1CDMG	1BELT|2AELBLL|36VULN|46DMG|5AART|6BPWR|7ERES|8CDMG|9RCR|aLIT
62	23321 13136	   	195.48	DCR|2VULN|2DMG|1AART|1CDMG	1BELT|2AELBLL|36VULN|46DMG|5AART|6BPWR|7ERES|8CDMG|9RCR|aAME
63	21442 21242	   	195.39	DCR|3VULN|1SPLARM|2DMG|1DUR	1BELT|2DUR|346VULN|56DMG|6BPWR|7SPLARM|8RCVC|9BEXP|aRCR
64	21442 21252	   	195.39	DCR|3VULN|1SPLARM|2DMG|1DUR	1BELT|2DUR|346VULN|56DMG|6BPWR|7SPLARM|8RCVC|9LWND|aRCR
65	21442 21262	   	195.39	DCR|3VULN|1SPLARM|2DMG|1DUR	1BELT|2DUR|346VULN|56DMG|6BPWR|7SPLARM|8RCVC|9FEWX|aRCR
66	23321 13133	   	195.38	DCR|2VULN|2DMG|1AART|1CDMG	1BELT|2AELBLL|36VULN|46DMG|5AART|6BPWR|7ERES|8CDMG|9RCR|aLEGI
67	23321 13134	   	195.38	DCR|2VULN|2DMG|1AART|1CDMG|1MSE	1BELT|2AELBLL|36VULN|46DMG|5AART|6BPWR|7ERES|8CDMG|9RCR|aMSE
68	23321 13352	   	195.26	DCR|3VULN|2DMG|1AART	1BELT|29AELBLL|369VULN|46DMG|5AART|69BPWR|7ERES|89FEWX|aRCR
69	35332 22553	 * 	195.20	DCR|3DMG|2VULN|3ZMB	137ERES|279DMG|49LIT|59VULN|678ZMB|79BPWR|aRCR
70	25422 22212	   	195.16	DCR|3VULN|2DMG|1AART	1BELT|24BEXP|367VULN|56DMG|6BPWR|8AART|9MLV|aRCR
71	55322 41133	   	195.13	DCR|4VULN|2DMG	1RMIN|259aVULN|37DMG|4AME|6RCR|8CGEN
72	55132 21114	   	195.12	DCR|3VULN|1AART|1DMG|2DUR	1RMIN|245VULN|34DUR|4BPWR|6BEXP|7DMG|8RCR|9LIT|aAART
73	55132 21136	   	195.02	DCR|3VULN|1AART|1DMG|2DUR	1RMIN|245VULN|34DUR|4BPWR|6BEXP|7DMG|8RCR|9DUST|aAART
74	21442 21622	   	194.21	DCR|3VULN|1SPLARM|2DMG|1DUR	1BELT|2DUR|346VULN|56DMG|6BPWR|7SPLARM|89LHND|aRCR
75	21442 21631	   	194.21	DCR|3VULN|1SPLARM|2DMG|1DUR	1BELT|2DUR|346VULN|56DMG|6BPWR|7SPLARM|8LHND|9RPLT|aRCR
76	21442 31513	   	194.11	DCR|3VULN|1SPLARM|2DMG|1DUR	16BELT|2DUR|349VULN|58DMG|7SPLARM|aRCR
77	23326 11513	   	194.11	DCR|3VULN|1SPLARM|2DMG|1DUR	1BELT|2AELBLL|369VULN|48DMG|5DUR|7SPLARM|aRCR
78	21442 21412	   	194.01	DCR|3VULN|1SPLARM|2DMG|1DUR	1BELT|2DUR|346VULN|56DMG|6BPWR|7SPLARM|89DUST|aRCR
79	26442 21312	   	194.01	DCR|3VULN|1SPLARM|2DMG|1DUR	1BELT|29DUST|346VULN|56DMG|6BPWR|7SPLARM|8DUR|aRCR
80	21442 11213	   	193.55	DCR|4VULN|1SPLARM|1DMG|1DUR	1BELT|2DUR|3469VULN|5DMG|7SPLARM|8RCVC|aRCR
81	23321 12112	   	193.40	DCR|2VULN|2AART|2DMG	1BELT|2AELBLL|36VULN|46DMG|58AART|6BPWR|7BEXP|9MLV|aRCR
82	25442 12212	   	193.32	DCR|4VULN|1AART|1DMG	1BELT|2BEXP|3467VULN|5DMG|8AART|9MLV|aRCR
83	26442 12212	   	193.22	DCR|4VULN|1AART|1DMG	1BELT|2DUST|3467VULN|5DMG|8AART|9MLV|aRCR
84	11662 11612	   	193.21	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1LHND|2DUR|3LIT|4RPLT|5ASPD|6RCR|79DMG|8VULN|aAART
85	55132 41322	   	192.83	DCR|3VULN|2DMG|2DUR	1RMIN|245VULN|34DUR|4BPWR|6RCR|7aDMG|8LIT|9ERES
86	55131 21116	   	192.44	DCR|4VULN|1DMG|3DUR	1RMIN|246aVULN|34aDUR|4aBPWR|5LWND|7DMG|8RCR|9aLIT
87	55132 11116	   	192.44	DCR|4VULN|1DMG|3DUR	1RMIN|245aVULN|34aDUR|4aBPWR|6LWND|7DMG|8RCR|9aLIT
88	12623 21613	   	192.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|2FEWX|3LIT|4CDMG|5DMG|6aVULN|7RCR|8AART|9ZMB
89	55131 21126	   	192.16	DCR|3VULN|1ASPD|1DMG|2DUR	1RMIN|246VULN|34DUR|4BPWR|5LWND|7DMG|8RCR|9RCVC|aASPD
90	55132 11126	   	192.16	DCR|3VULN|1ASPD|1DMG|2DUR	1RMIN|245VULN|34DUR|4BPWR|6LWND|7DMG|8RCR|9RCVC|aASPD
91	55132 21126	   	192.16	DCR|3VULN|1ASPD|1DMG|2DUR	1RMIN|245VULN|34DUR|4BPWR|6BEXP|7DMG|8RCR|9RCVC|aASPD
92	55132 41311	   	191.94	DCR|4VULN|1DMG|2DUR	1RMIN|245aVULN|34DUR|4BPWR|6RCR|7DMG|8LIT|9RCVC
93	21611 12523	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1BELT|2DUR|3AART|4ASPD|5ERES|6DMG|79VULN|8RCR|aFEWX
94	21611 12534	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1BELT|2DUR|3AART|4ASPD|5ERES|6DMG|7aVULN|8RCR|9LWND
95	21611 12521	   	191.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR|1MSE	1BELT|2DUR|3AART|4ASPD|5ERES|6DMG|79VULN|8RCR|aMSE
96	21611 12522	   	191.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1BELT|2DUR|3AART|4ASPD|5ERES|6DMG|79VULN|8RCR|aTSLARM
97	21611 12524	   	191.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1BELT|2DUR|3AART|4ASPD|5ERES|6DMG|79VULN|8RCR|aCANSTR
98	21611 12525	   	191.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1BELT|2DUR|3AART|4ASPD|5ERES|6DMG|79VULN|8RCR|aDUST
99	25553 22212	   	191.79	DCR|3VULN|2ASPD|1AART	15BELT|2BEXP|36ASPD|467VULN|6BPWR|8AART|9MLV|aRCR
100	26553 22212	   	191.69	DCR|3VULN|2ASPD|1AART	15BELT|2DUST|36ASPD|467VULN|6BPWR|8AART|9MLV|aRCR
101	23321 12525	   	191.66	DCR|2VULN|2DMG|1AART|1ZMB	1BELT|2AELBLL|36VULN|46DMG|5AART|6BPWR|7BEXP|8RCR|9CGEN|aZMB
102	21611 12531	 * 	191.59	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1DUR	1BELT|2DUR|3AART|4ASPD|5ERES|6DMG|7VULN|8RCR|9LWND|aNUKE
103	21611 12551	   	191.49	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1DUR|1MSE	1BELT|2DUR|3AART|4ASPD|5ERES|6DMG|7VULN|8RCR|9MSE|aNUKE
104	21611 12561	   	191.49	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1DUR	1BELT|2DUR|3AART|4ASPD|5ERES|6DMG|7VULN|8RCR|9DUST|aNUKE
105	21255 63212	   	191.41	DCR|2VULN|2ASPD|1AART|2DUR	1BELT|2aDUR|3aERES|46VULN|5AART|7MLV|8RCR|9aASPD|aBPWR
106	14132 21156	   	191.41	DCR|3VULN|1ASPD|1DMG|2DUR	1LHND|24MLV|34DUR|4BPWR|569VULN|7DMG|8RCR|aASPD
107	55132 21115	   	191.41	DCR|3VULN|1ASPD|1DMG|2DUR	1RMIN|245VULN|34DUR|4BPWR|6BEXP|7DMG|8RCR|9LIT|aASPD
108	11142 21156	   	191.31	DCR|3VULN|1ASPD|1DMG|2DUR	1LHND|23DUR|4MLV|569VULN|7DMG|8RCR|aASPD
109	11122 21156	   	191.21	DCR|3VULN|1ASPD|1DMG|2DUR	1LHND|23DUR|4TLV|569VULN|7DMG|8RCR|aASPD
110	51132 21156	   	191.21	DCR|3VULN|1ASPD|1DMG|2DUR	1RMIN|24DUST|34DUR|4BPWR|569VULN|7DMG|8RCR|aASPD
111	55132 41331	   	191.19	DCR|4VULN|1DMG|2DUR	1RMIN|245aVULN|34DUR|4BPWR|6RCR|7DMG|89LIT
112	55132 41232	   	191.09	DCR|4VULN|1DMG|2DUR	1RMIN|245aVULN|34DUR|4BPWR|6RCR|7DMG|8ERES|9SNIFST
113	34622 11111	   	191.03	DCR|3VULN|3DMG	124ERES|37aDMG|57AME|67aVULN|7aBPWR|8RCR|9aFEWX
114	34622 11121	   	191.03	DCR|3VULN|3DMG	124ERES|37aDMG|57AME|67aVULN|7aBPWR|8RCR|9aLHND
115	34661 11111	   	191.03	DCR|3VULN|3DMG	125ERES|37aDMG|47MLV|67aVULN|7aBPWR|8RCR|9aFEWX
116	34661 11121	   	191.03	DCR|3VULN|3DMG	125ERES|37aDMG|47MLV|67aVULN|7aBPWR|8RCR|9aLHND
117	35322 11111	   	191.03	DCR|3VULN|3DMG	134ERES|27aDMG|57AME|67aVULN|7aBPWR|8RCR|9aFEWX
118	35322 11121	   	191.03	DCR|3VULN|3DMG	134ERES|27aDMG|57AME|67aVULN|7aBPWR|8RCR|9aLHND
119	35361 11111	   	191.03	DCR|3VULN|3DMG	135ERES|27aDMG|47MLV|67aVULN|7aBPWR|8RCR|9aFEWX
120	35361 11121	   	191.03	DCR|3VULN|3DMG	135ERES|27aDMG|47MLV|67aVULN|7aBPWR|8RCR|9aLHND
121	61631 41131	   	190.75	DCR|3DMG|2VULN|2DUR	15LWND|24DUR|347DMG|4BPWR|6RCR|8aVULN|9CGEN
122	23321 12523	   	190.69	DCR|2VULN|2DMG|1MDPS|1AART	1BELT|2AELBLL|36VULN|46DMG|5AART|6BPWR|7BEXP|8RCR|9CGEN|aMDPS
123	21514 31316	 * 	190.41	DCR|2ASPD|1VULN|1AART|3DUR|1ZMB	1BELT|258DUR|38ASPD|48TSLFST|6RCR|7AART|8BPWR|9ZMB|aVULN
124	11623 21622	   	190.39	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1aLHND|2DUR|3aLIT|4CDMG|5DMG|6aVULN|7RCR|8AART|9BELT|aBPWR
125	61631 41232	 * 	190.33	DCR|3DMG|1AART|1ASPD|2DUR|1AAC	15LWND|24DUR|347DMG|4BPWR|6RCR|8AAC|9AART|aASPD
126	21442 12311	   	190.18	DCR|4VULN|1DMG|1ZMB|1DUR	1BELT|2DUR|3467VULN|5DMG|8ZMB|9RCR|aCGEN
127	21442 12312	   	190.18	DCR|4VULN|1DMG|1ZMB|1DUR	1BELT|2DUR|3467VULN|5DMG|8ZMB|9RCR|aDMSP
128	21442 12313	   	190.18	DCR|4VULN|1DMG|1ZMB|1DUR	1BELT|2DUR|3467VULN|5DMG|8ZMB|9RCR|aFEWX
129	21442 12314	   	190.18	DCR|4VULN|1DMG|1ZMB|1DUR	1BELT|2DUR|3467VULN|5DMG|8ZMB|9RCR|aMLV
130	21442 12315	   	190.18	DCR|4VULN|1DMG|1ZMB|1DUR	1BELT|2DUR|3467VULN|5DMG|8ZMB|9RCR|aLHND
131	21442 12316	   	190.18	DCR|4VULN|1DMG|1ZMB|1DUR	1BELT|2DUR|3467VULN|5DMG|8ZMB|9RCR|aLWND
132	23345 61332	 * 	190.01	DCR|3VULN|1ASPD|1DMG|1CDMG	16BELT|2AELBLL|348VULN|5DMG|7ASPD|9CDMG|aRCR
133	12623 21262	 * 	189.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LHND|2FEWX|3LIT|4CDMG|5DMG|6VULN|7RCR|8ASPD|9DUR|aAART
134	52242 21113	 * 	189.76	DCR|3VULN|1MDPS|1AART|1CDMG|1DUR	1RMIN|2MDPS|3ERES|4CDMG|5AART|6RCR|7DUR|89aVULN
