0	Index      	 *	Score 	Summary	Detail	
1	41326 33622	 * 	238.92	DCR|5VULN|3ASPD|1AART	1AART|2579aVULN|347ASPD|67MLV|7BPWR|8RCR
31	41326 31222	   	219.57	DCR|3VULN|2ASPD|1AART|2CDMG	1AART|259VULN|34ASPD|69MLV|79CDMG|8RCR|9BPWR|aFEWX
32	41326 31226	   	219.57	DCR|3VULN|2ASPD|1AART|2CDMG	1AART|259VULN|34ASPD|69MLV|79CDMG|8RCR|9BPWR|aAME
33	41326 21221	   	219.47	DCR|3VULN|2ASPD|1AART|2CDMG	1AART|259VULN|34ASPD|69CGEN|79CDMG|8RCR|9BPWR|aTSLFST
34	41326 21223	   	219.47	DCR|3VULN|2ASPD|1AART|2CDMG|1MSE	1AART|259VULN|34ASPD|69CGEN|79CDMG|8RCR|9BPWR|aMSE
35	41326 31221	   	219.47	DCR|3VULN|2ASPD|1AART|2CDMG	1AART|259VULN|34ASPD|69MLV|79CDMG|8RCR|9BPWR|aTSLFST
36	41326 31223	   	219.47	DCR|3VULN|2ASPD|1AART|2CDMG|1MSE	1AART|259VULN|34ASPD|69MLV|79CDMG|8RCR|9BPWR|aMSE
37	41423 61222	   	219.37	DCR|3VULN|2ASPD|1AART|2CDMG	1AART|269VULN|37ERES|49ASPD|59CDMG|8RCR|9BPWR|aFEWX
38	41333 61225	   	219.27	DCR|3VULN|2ASPD|1AART|2CDMG	1AART|269VULN|3aASPD|479ERES|59CDMG|8RCR|9BPWR
39	41423 61221	   	219.27	DCR|3VULN|2ASPD|1AART|2CDMG	1AART|269VULN|37ERES|49ASPD|59CDMG|8RCR|9BPWR|aTSLFST
40	41423 61223	   	219.27	DCR|3VULN|2ASPD|1AART|2CDMG|1MSE	1AART|269VULN|37ERES|49ASPD|59CDMG|8RCR|9BPWR|aMSE
41	42325 43223	   	218.49	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AART|2ASPD|3CDMG|4DLOT|5DUR|6ZMB|79VULN|8RCR|aDMG
42	24146 33313	   	217.65	DCR|3VULN|2DMG|1AART|1ASPD	17AME|267VULN|3AART|4DMSP|57DMG|7BPWR|8ASPD|9RCR|aRCVC
43	24146 33312	   	217.32	DCR|3VULN|2DMG|1AART|1ASPD	17AME|267VULN|3AART|4DMSP|57DMG|7BPWR|8ASPD|9RCR|aLWND
44	41562 33311	   	216.40	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	1AART|246VULN|3RCVC|57DUR|8ASPD|9RCR|aDMG
45	41561 32111	   	215.92	DCR|3VULN|3DMG|1AART	1AART|246VULN|3RCVC|5DUST|78aDMG|9RCR
46	41333 61223	   	215.38	DCR|3VULN|1AART|2CDMG|1ASPD|1ZMB	1AART|269VULN|3ASPD|479ERES|59CDMG|8RCR|9BPWR|aZMB
47	42461 22332	   	214.94	DCR|3DMG|2VULN|1AART|1ASPD	1AART|2ASPD|3RMIN|4aVULN|578DMG|6BEXP|9RCR
48	42461 32332	   	214.94	DCR|3DMG|2VULN|1AART|1ASPD	1AART|2ASPD|3RMIN|4aVULN|578DMG|6FEWX|9RCR
49	41324 21224	   	214.66	DCR|3ASPD|2VULN|1AART|2CDMG	1AART|29VULN|34aASPD|5DMSP|69CGEN|79CDMG|8RCR|9BPWR
50	41324 31224	   	214.66	DCR|3ASPD|2VULN|1AART|2CDMG	1AART|29VULN|34aASPD|5DMSP|69MLV|79CDMG|8RCR|9BPWR
51	41326 61213	   	214.40	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1AART|25VULN|34ASPD|6DMG|7CDMG|8RCR|9DUST|aRCVC
52	42325 43233	 * 	214.18	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	19AART|2ASPD|3CDMG|4DLOT|5DUR|6ZMB|7VULN|8RCR|aDMG
53	41324 61221	   	214.17	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1AART|29VULN|34ASPD|5DMSP|6DMG|7CDMG|8RCR|aMULFIG
54	41324 61222	   	214.17	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1AART|29VULN|34ASPD|5DMSP|6DMG|7CDMG|8RCR|aFEWX
55	41326 31253	   	214.17	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1AART|25VULN|34ASPD|6MLV|7CDMG|8RCR|9LHND|aDMG
56	41324 61223	   	214.07	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1MSE	1AART|29VULN|34ASPD|5DMSP|6DMG|7CDMG|8RCR|aMSE
57	41326 61211	   	214.07	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1AART|25VULN|34ASPD|6DMG|7CDMG|8RCR|9DUST|aCGEN
58	41326 61212	   	214.07	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1AART|25VULN|34ASPD|6DMG|7CDMG|8RCR|9DUST|aDMSP
59	41326 61231	   	213.97	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1MSE	1AART|25VULN|34ASPD|6DMG|7CDMG|8RCR|9MSE|aCGEN
60	41326 61232	   	213.97	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1MSE	1AART|25VULN|34ASPD|6DMG|7CDMG|8RCR|9MSE|aDMSP
61	41326 61233	   	213.97	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1MSE	1AART|25VULN|34ASPD|6DMG|7CDMG|8RCR|9MSE|aRCVC
62	41326 63221	   	213.65	DCR|3VULN|2ASPD|1AART|1DMG	1AART|258VULN|34ASPD|6DMG|7MSLFST|9RCR|aRPLT
63	41326 63222	   	213.65	DCR|3VULN|2ASPD|1AART|1DMG	1AART|258VULN|34ASPD|6DMG|7MSLFST|9RCR|aMLV
64	41326 13224	   	213.65	DCR|3VULN|2ASPD|1AART|1DMG	1AART|258VULN|34ASPD|6RMIN|7MSLFST|9RCR|aDMG
65	41322 33224	   	213.55	DCR|3VULN|2ASPD|1AART|1DMG|1AAC	1AART|268VULN|34ASPD|5AAC|7MSLFST|9RCR|aDMG
66	41326 23623	 * 	213.49	DCR|3VULN|3ASPD|1MDPS|1AART|1AAC	1AART|257VULN|347ASPD|67CGEN|7BPWR|8MDPS|9RCR|aAAC
67	41322 15223	   	212.95	DCR|3ASPD|2VULN|1AART|1DMG|1AAC	1AART|29VULN|349ASPD|5AAC|689LHND|7RCR|9BPWR|aDMG
68	41322 15623	 * 	212.85	DCR|3ASPD|2VULN|2AAC|1AART|1DMG	1AART|29VULN|349ASPD|58AAC|69LHND|7RCR|9BPWR|aDMG
69	41326 11226	   	212.27	DCR|3VULN|2ASPD|1AART|1CDMG	1AART|259VULN|34ASPD|6RMIN|7CDMG|8RCR|aRCVC
70	41333 65221	 * 	212.20	DCR|3VULN|3CDMG|1AART|1ASPD	1AART|269VULN|3ASPD|49ERES|579CDMG|8RCR|9BPWR|aMLV
71	41333 65222	   	212.20	DCR|3VULN|3CDMG|1AART|1ASPD	1AART|269VULN|3ASPD|49ERES|579CDMG|8RCR|9BPWR|aCGEN
72	41322 31226	   	212.17	DCR|3VULN|2ASPD|1AART|1CDMG|1AAC	1AART|269VULN|34ASPD|5AAC|7CDMG|8RCR|aRCVC
73	41333 65223	   	212.10	DCR|3VULN|3CDMG|1AART|1ASPD|1MSE	1AART|269VULN|3ASPD|49ERES|579CDMG|8RCR|9BPWR|aMSE
74	41326 11221	   	211.94	DCR|3VULN|2ASPD|1AART|1CDMG	1AART|259VULN|34ASPD|6RMIN|7CDMG|8RCR|aMULFIG
75	41326 11222	   	211.94	DCR|3VULN|2ASPD|1AART|1CDMG	1AART|259VULN|34ASPD|6RMIN|7CDMG|8RCR|aFEWX
76	41326 11225	   	211.94	DCR|3VULN|2ASPD|1AART|1CDMG	1AART|259VULN|34ASPD|6RMIN|7CDMG|8RCR|aBELT
77	41322 31221	   	211.84	DCR|3VULN|2ASPD|1AART|1CDMG|1AAC	1AART|269VULN|34ASPD|5AAC|7CDMG|8RCR|aMULFIG
78	41322 31222	   	211.84	DCR|3VULN|2ASPD|1AART|1CDMG|1AAC	1AART|269VULN|34ASPD|5AAC|7CDMG|8RCR|aFEWX
79	41322 31225	   	211.84	DCR|3VULN|2ASPD|1AART|1CDMG|1AAC	1AART|269VULN|34ASPD|5AAC|7CDMG|8RCR|aBELT
80	41326 11216	   	211.84	DCR|3VULN|2ASPD|1AART|1CDMG	1AART|25aVULN|34ASPD|6RMIN|7CDMG|8RCR|9DUST
81	41326 11223	   	211.84	DCR|3VULN|2ASPD|1AART|1CDMG|1MSE	1AART|259VULN|34ASPD|6RMIN|7CDMG|8RCR|aMSE
82	32122 31241	 * 	211.81	DCR|2VULN|2DMG|2ASPD|2DUR|1ZMB	19DUR|24VULN|39CGEN|5ZMB|67DMG|89ASPD|9BPWR|aRCR
83	41322 63224	 * 	211.80	DCR|2VULN|2AART|2ASPD|1DMG|1AAC	16AART|28VULN|34ASPD|5AAC|7MSLFST|9RCR|aDMG
84	41322 31216	   	211.74	DCR|3VULN|2ASPD|1AART|1CDMG|1AAC	1AART|26aVULN|34ASPD|5AAC|7CDMG|8RCR|9DUST
85	41322 31223	   	211.74	DCR|3VULN|2ASPD|1AART|1CDMG|1AAC|1MSE	1AART|269VULN|34ASPD|5AAC|7CDMG|8RCR|aMSE
86	32222 31241	   	211.61	DCR|2VULN|2DMG|2ASPD|2DUR|1ZMB	19DUR|24VULN|39TLV|5ZMB|67DMG|89ASPD|9BPWR|aRCR
87	41331 12424	 * 	211.61	DCR|2VULN|2DMG|2ASPD|1AART	1AART|29VULN|39ASPD|4ERES|57DMG|689LHND|9BPWR|aRCR
88	41331 63324	   	211.61	DCR|2VULN|2DMG|2ASPD|1AART	1AART|29VULN|39ASPD|4ERES|58DMG|69MLV|7RMIN|9BPWR|aRCR
89	41421 11324	   	211.51	DCR|2VULN|2DMG|2ASPD|1AART	1AART|29VULN|39ERES|47ASPD|58DMG|69LHND|9BPWR|aRCR
90	41421 21324	   	211.51	DCR|2VULN|2DMG|2ASPD|1AART	1AART|29VULN|39ERES|47ASPD|58DMG|69BEXP|9BPWR|aRCR
91	41421 31324	   	211.51	DCR|2VULN|2DMG|2ASPD|1AART	1AART|29VULN|39ERES|47ASPD|58DMG|69FEWX|9BPWR|aRCR
92	41322 61226	   	210.41	DCR|2VULN|2AART|2ASPD|1CDMG|1AAC	16AART|29VULN|34ASPD|5AAC|7CDMG|8RCR|aRCVC
93	42324 16223	   	210.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|2ASPD|3CDMG|4DLOT|59VULN|6BEXP|7ZMB|8RCR|aDMG
94	41326 21232	   	210.18	DCR|2VULN|2AART|2ASPD|1CDMG	19AART|25VULN|34ASPD|6CGEN|7CDMG|8RCR|aFEWX
95	41326 21236	   	210.18	DCR|2VULN|2AART|2ASPD|1CDMG	19AART|25VULN|34ASPD|6CGEN|7CDMG|8RCR|aAME
96	41326 31232	   	210.18	DCR|2VULN|2AART|2ASPD|1CDMG	19AART|25VULN|34ASPD|6MLV|7CDMG|8RCR|aFEWX
97	41326 31236	   	210.18	DCR|2VULN|2AART|2ASPD|1CDMG	19AART|25VULN|34ASPD|6MLV|7CDMG|8RCR|aAME
98	41326 31252	   	210.18	DCR|2VULN|2AART|2ASPD|1CDMG	1aAART|25VULN|34ASPD|6MLV|7CDMG|8RCR|9LHND
99	41322 61221	   	210.08	DCR|2VULN|2AART|2ASPD|1CDMG|1AAC	16AART|29VULN|34ASPD|5AAC|7CDMG|8RCR|aMULFIG
100	41322 61222	   	210.08	DCR|2VULN|2AART|2ASPD|1CDMG|1AAC	16AART|29VULN|34ASPD|5AAC|7CDMG|8RCR|aFEWX
101	41322 61225	   	210.08	DCR|2VULN|2AART|2ASPD|1CDMG|1AAC	16AART|29VULN|34ASPD|5AAC|7CDMG|8RCR|aBELT
102	41326 21231	   	210.08	DCR|2VULN|2AART|2ASPD|1CDMG	19AART|25VULN|34ASPD|6CGEN|7CDMG|8RCR|aTSLFST
103	41326 21233	   	210.08	DCR|2VULN|2AART|2ASPD|1CDMG|1MSE	19AART|25VULN|34ASPD|6CGEN|7CDMG|8RCR|aMSE
104	41326 31231	   	210.08	DCR|2VULN|2AART|2ASPD|1CDMG	19AART|25VULN|34ASPD|6MLV|7CDMG|8RCR|aTSLFST
105	41326 31233	   	210.08	DCR|2VULN|2AART|2ASPD|1CDMG|1MSE	19AART|25VULN|34ASPD|6MLV|7CDMG|8RCR|aMSE
106	41333 61234	   	209.98	DCR|2VULN|2AART|2ASPD|1CDMG	19AART|26VULN|3aASPD|47ERES|5CDMG|8RCR
107	41322 61216	   	209.98	DCR|2VULN|2AART|2ASPD|1CDMG|1AAC	16AART|2aVULN|34ASPD|5AAC|7CDMG|8RCR|9DUST
108	41322 61223	   	209.98	DCR|2VULN|2AART|2ASPD|1CDMG|1AAC|1MSE	16AART|29VULN|34ASPD|5AAC|7CDMG|8RCR|aMSE
109	42361 13236	   	209.98	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	19AART|2ASPD|3CDMG|4BEXP|5LWND|6RCR|7ZMB|8DMG|aVULN
110	24112 32116	   	209.62	DCR|2VULN|2DMG|1AART|1ASPD|1ZMB	14AME|26VULN|3AART|5ZMB|78DMG|9RCR|aASPD
111	24142 32116	   	209.62	DCR|2VULN|2DMG|1AART|1ASPD|1ZMB	1AME|26VULN|3AART|4DMSP|5ZMB|78DMG|9RCR|aASPD
112	41562 32113	   	208.99	DCR|3VULN|2DMG|1AART|1DUR	1AART|246VULN|3aRCVC|5DUR|78DMG|9RCR
