0	Index      	 *	Score 	Summary	Detail	
1	24322 33623	 * 	261.05	紫4易伤2攻速2伤害2基地爆炸	1核258a易伤36伤害4a基地爆炸7额外掉落9a攻速a序列升级
22	23225 34522	 * 	238.14	紫1基础对甲2攻速1伤害1易伤1全技能	1核2策反3技能4敌人爆炸57攻速6伤害8全技能9基础对甲a易伤
23	26332 54233	 * 	236.56	紫1基础对甲3基地爆炸1攻速1全技能1暴击	1核2暴击36矿等456基地爆炸6序列升级7全技能8基础对甲9额外掉落a攻速
24	26331 11241	 * 	236.06	紫3基地爆炸2攻速1伤害2暴击1易伤	1核29暴击3矿等469基地爆炸5雷电7伤害89攻速9序列升级a易伤
25	24321 35643	 * 	236.06	紫2基础对甲2易伤2基地爆炸1伤害	1核29易伤3伤害49基地爆炸5技能6双倍物品7加一89基础对甲9序列升级a时间
26	24321 35644	   	236.06	紫2基础对甲2易伤2基地爆炸1伤害	1核29易伤3伤害49基地爆炸5技能6双倍物品7加一89基础对甲9序列升级a最后敌人
27	24321 35641	   	235.96	紫2基础对甲2易伤2基地爆炸1伤害	1核29易伤3伤害49基地爆炸5技能6双倍物品7加一89基础对甲9序列升级a防空对甲
28	24321 35642	   	235.96	紫2基础对甲2易伤2基地爆炸1伤害	1核29易伤3伤害49基地爆炸5技能6双倍物品7加一89基础对甲9序列升级a挖尘
29	22624 32252	   	235.72	紫2易伤2攻速2伤害2基地爆炸	1核247雷电34易伤47序列升级57伤害67基地爆炸8掉矿9a攻速
30	22624 32523	   	235.30	紫3易伤3伤害3基地爆炸	1核247雷电348易伤478序列升级578伤害678基地爆炸9敌人爆炸a额外掉落
31	22624 32513	   	235.20	紫3易伤3伤害3基地爆炸	1核247雷电348易伤478序列升级578伤害678基地爆炸9挖青a敌人爆炸
32	22624 32532	   	235.20	紫3易伤3伤害3基地爆炸	1核247雷电348易伤478序列升级578伤害678基地爆炸9矿等a多重对甲
33	22624 32533	   	235.20	紫3易伤3伤害3基地爆炸	1核247雷电348易伤478序列升级578伤害678基地爆炸9矿等a技能点
34	22624 32522	   	235.06	紫3易伤3伤害3基地爆炸1卖塔	1核247雷电348易伤478序列升级578伤害678基地爆炸9敌人爆炸a卖塔
35	22624 32512	   	234.96	紫3易伤3伤害3基地爆炸1卖塔	1核247雷电348易伤478序列升级578伤害678基地爆炸9挖青a卖塔
36	24331 64121	 * 	234.91	紫2易伤2攻速2全技能1伤害1基地爆炸	1核26易伤3伤害4雷电56攻速6序列升级7基地爆炸8金币生成9a全技能
37	24331 64321	   	234.81	紫2易伤2攻速2全技能1伤害1基地爆炸	1核26易伤3伤害4雷电56攻速6序列升级7基地爆炸8技能点9a全技能
38	24322 32234	 * 	234.71	紫2易伤3伤害1攻速1暴击1基地爆炸	1核25易伤368伤害4基地爆炸7随机矿9攻速a暴击
39	24322 34234	   	234.61	紫2易伤3伤害1攻速1基地爆炸1暴击	1核25易伤368伤害4基地爆炸7等级9攻速a暴击
40	26322 21311	   	234.53	紫1基础对甲1易伤1伤害2暴击1全技能1基地爆炸	1核24暴击3矿等5全技能6基地爆炸7易伤8伤害9基础对甲a立即金币
41	26322 21312	   	234.20	紫1基础对甲1易伤1伤害2暴击1基地爆炸1全技能	1核24暴击3矿等5全技能6基地爆炸7易伤8伤害9基础对甲a金币生成
42	26322 21314	   	234.20	紫1基础对甲1易伤1伤害2暴击1全技能1基地爆炸	1核24暴击3矿等5全技能6基地爆炸7易伤8伤害9基础对甲a敌人爆炸
43	26331 11242	 * 	234.19	紫3攻速3基地爆炸1伤害2暴击	1核29暴击3矿等469基地爆炸5雷电7伤害89a攻速9序列升级
44	26322 21313	   	234.10	紫1基础对甲1易伤2暴击1伤害1基地爆炸1全技能	1核24暴击3矿等5全技能6基地爆炸7易伤8伤害9基础对甲a掉矿
45	26322 21315	   	234.10	紫1基础对甲1易伤2暴击1伤害1基地爆炸1全技能	1核24暴击3矿等5全技能6基地爆炸7易伤8伤害9基础对甲a挖尘
46	24526 11131	   	234.00	紫2易伤2攻速2基地爆炸1伤害1全技能	1核29易伤3全技能49攻速56基地爆炸7挖尘89矿等9序列升级a伤害
47	24526 11331	   	233.80	紫2易伤2攻速2基地爆炸1伤害1全技能	1核29易伤3全技能49攻速56基地爆炸7挖尘89掉矿9序列升级a伤害
48	24331 23353	 * 	233.79	紫3伤害2易伤2基地爆炸1攻速	1核2a易伤38a伤害4雷电5攻速6a基地爆炸7随机矿9额外掉落a序列升级
49	24522 12512	   	233.02	紫1基础对甲1易伤1攻速1伤害1全技能1基地爆炸	1核2易伤3全技能4攻速5敌人爆炸6基地爆炸7伤害8基础对甲9最后敌人a时间
50	24522 12533	   	233.02	紫1基础对甲1易伤1攻速1伤害1基地爆炸1全技能	1核2易伤3全技能4攻速59敌人爆炸6基地爆炸7伤害8基础对甲a时间
51	24523 12512	   	233.02	紫1基础对甲1易伤1攻速1伤害1全技能1基地爆炸	1核2易伤3全技能4攻速5低血量敌人6基地爆炸7伤害8基础对甲9最后敌人a时间
52	24523 12532	   	233.02	紫1基础对甲1易伤1攻速1伤害1基地爆炸1全技能	1核2易伤3全技能4攻速5低血量敌人6基地爆炸7伤害8基础对甲9敌人爆炸a时间
53	24522 12511	   	232.92	紫1基础对甲1易伤1攻速1伤害1全技能1基地爆炸	1核2易伤3全技能4攻速5敌人爆炸6基地爆炸7伤害8基础对甲9最后敌人a技能点
54	24522 12513	   	232.92	紫1基础对甲1易伤1攻速1伤害1全技能1基地爆炸	1核2易伤3全技能4攻速5敌人爆炸6基地爆炸7伤害8基础对甲9最后敌人a火球减费
55	24522 12522	   	232.92	紫1基础对甲1易伤1攻速1伤害1基地爆炸1全技能	1核2易伤3全技能4攻速5敌人爆炸6基地爆炸7伤害8基础对甲9矿等a挖尘
56	24522 12523	   	232.92	紫1基础对甲1易伤1攻速1伤害1全技能1基地爆炸	1核2易伤3全技能4攻速5敌人爆炸6基地爆炸7伤害8基础对甲9矿等a双倍秒伤
57	24522 12531	   	232.92	紫1基础对甲1易伤1攻速1伤害1全技能1基地爆炸	1核2易伤3全技能4攻速59敌人爆炸6基地爆炸7伤害8基础对甲a防空对甲
58	24522 12532	   	232.92	紫1基础对甲1易伤1攻速1伤害1基地爆炸1全技能	1核2易伤3全技能4攻速59敌人爆炸6基地爆炸7伤害8基础对甲a挖尘
59	24523 12511	   	232.92	紫1基础对甲1易伤1攻速1伤害1全技能1基地爆炸	1核2易伤3全技能4攻速5低血量敌人6基地爆炸7伤害8基础对甲9最后敌人a技能点
60	24523 12513	   	232.92	紫1基础对甲1易伤1攻速1伤害1全技能1基地爆炸	1核2易伤3全技能4攻速5低血量敌人6基地爆炸7伤害8基础对甲9最后敌人a火球减费
61	24523 12522	   	232.92	紫1基础对甲1易伤1攻速1伤害1基地爆炸1全技能	1核2易伤3全技能4攻速5低血量敌人6基地爆炸7伤害8基础对甲9矿等a挖尘
62	24523 12523	   	232.92	紫1基础对甲1易伤1攻速1伤害1基地爆炸1全技能	1核2易伤3全技能4攻速5低血量敌人6基地爆炸7伤害8基础对甲9矿等a双倍秒伤
63	24523 12531	   	232.92	紫1基础对甲1易伤1攻速1伤害1基地爆炸1全技能	1核2易伤3全技能4攻速5低血量敌人6基地爆炸7伤害8基础对甲9敌人爆炸a技能点
64	24523 12533	   	232.92	紫1基础对甲1易伤1攻速1伤害1基地爆炸1全技能	1核2易伤3全技能4攻速5低血量敌人6基地爆炸7伤害8基础对甲9敌人爆炸a火球减费
65	24622 22236	 * 	231.98	紫3易伤1基础对甲2基地爆炸1伤害	1核257易伤3掉矿47基地爆炸67等级7序列升级8伤害9时间a基础对甲
66	26332 54221	   	231.45	紫1基础对甲3基地爆炸1易伤1全技能1暴击	1核2暴击36矿等456基地爆炸6序列升级7全技能8基础对甲9雷电a易伤
