0	Index      	 *	Score 	Summary	Detail	
1	11252 23343	 * 	304.61	DCR|3LIT|4VULN|3CDMG|2ZMB	135LIT|239CDMG|39BPWR|49ZMB|679aVULN|8RCR
26	42411 22232	   	281.05	DCR|2LIT|3VULN|1MLV|1ASPD	137VULN|23TLV|3BPWR|4MLV|5ASPD|6RCR|8LWND|9aLIT
27	42411 22343	   	281.05	DCR|2LIT|3VULN|1MLV|1ASPD	137VULN|23TLV|3BPWR|4MLV|5ASPD|6RCR|89LIT|aBEXP
28	42411 22632	   	281.05	DCR|2LIT|3VULN|1MLV|1ASPD	137VULN|23TLV|3BPWR|4MLV|5ASPD|6RCR|8LHND|9aLIT
29	42411 23532	   	281.05	DCR|2LIT|3VULN|1MLV|1ASPD	138VULN|23TLV|3BPWR|4MLV|5ASPD|6RCR|7LHND|9aLIT
30	41411 22341	   	280.95	DCR|2LIT|3VULN|1MLV|1ASPD	137VULN|23CGEN|3BPWR|4MLV|5ASPD|6RCR|89LIT|aDUST
31	41411 22632	   	280.95	DCR|2LIT|3VULN|1MLV|1ASPD	137VULN|23CGEN|3BPWR|4MLV|5ASPD|6RCR|8DUST|9aLIT
32	42211 22232	   	280.95	DCR|2LIT|3VULN|1MLV|1ASPD	137VULN|2TLV|4MLV|5ASPD|6RCR|8LWND|9aLIT
33	42211 22343	   	280.95	DCR|2LIT|3VULN|1MLV|1ASPD	137VULN|2TLV|4MLV|5ASPD|6RCR|89LIT|aBEXP
34	42211 22344	   	280.95	DCR|2LIT|3VULN|1MLV|1ASPD	137VULN|2TLV|4MLV|5ASPD|6RCR|89LIT|aRCVC
35	42211 22632	   	280.95	DCR|2LIT|3VULN|1MLV|1ASPD	137VULN|2TLV|4MLV|5ASPD|6RCR|8LHND|9aLIT
36	42211 23532	   	280.95	DCR|2LIT|3VULN|1MLV|1ASPD	138VULN|2TLV|4MLV|5ASPD|6RCR|7LHND|9aLIT
37	42411 22341	   	280.95	DCR|2LIT|3VULN|1MLV|1ASPD	137VULN|23TLV|3BPWR|4MLV|5ASPD|6RCR|89LIT|aDUST
38	42211 22341	   	280.85	DCR|2LIT|3VULN|1MLV|1ASPD	137VULN|2TLV|4MLV|5ASPD|6RCR|89LIT|aDUST
39	42211 22346	   	280.85	DCR|2LIT|3VULN|1MLV|1ASPD	137VULN|2TLV|4MLV|5ASPD|6RCR|89LIT|aERES
40	54221 23211	 * 	280.84	DCR|5VULN|1LIT|1ASPD|1CDMG	1ZMB|2356aVULN|4CDMG|7RCR|8LIT|9ASPD
41	41421 23214	   	279.98	DCR|2LIT|4VULN|1ASPD|1CDMG	1356VULN|23CGEN|3BPWR|4CDMG|7RCR|8aLIT|9ASPD
42	42221 63214	   	279.88	DCR|2LIT|4VULN|1CDMG|1ASPD	1356VULN|2TLV|4CDMG|7RCR|8aLIT|9ASPD
43	41411 22312	   	278.15	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	137VULN|23CGEN|3BPWR|4MLV|5ASPD|6RCR|8LIT|9DLOT|aDMG
44	42411 22312	   	278.15	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	137VULN|23TLV|3BPWR|4MLV|5ASPD|6RCR|8LIT|9DLOT|aDMG
45	42211 22312	   	278.05	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	137VULN|2TLV|4MLV|5ASPD|6RCR|8LIT|9DLOT|aDMG
46	45411 22312	   	277.95	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	137VULN|23ERES|3BPWR|4MLV|5ASPD|6RCR|8LIT|9DLOT|aDMG
47	41411 21532	   	277.35	DCR|4VULN|1LIT|1MLV|1ASPD	138aVULN|23CGEN|3BPWR|4MLV|5ASPD|6RCR|7BEXP|9LIT
48	41411 22362	   	277.35	DCR|4VULN|1LIT|1MLV|1ASPD	137aVULN|23CGEN|3BPWR|4MLV|5ASPD|6RCR|8LIT|9BEXP
49	41411 22432	   	277.35	DCR|4VULN|1LIT|1MLV|1ASPD	137aVULN|23CGEN|3BPWR|4MLV|5ASPD|6RCR|8BEXP|9LIT
50	42411 21532	   	277.35	DCR|4VULN|1LIT|1MLV|1ASPD	138aVULN|23TLV|3BPWR|4MLV|5ASPD|6RCR|7BEXP|9LIT
51	42411 22362	   	277.35	DCR|4VULN|1LIT|1MLV|1ASPD	137aVULN|23TLV|3BPWR|4MLV|5ASPD|6RCR|8LIT|9BEXP
52	42411 22432	   	277.35	DCR|4VULN|1LIT|1MLV|1ASPD	137aVULN|23TLV|3BPWR|4MLV|5ASPD|6RCR|8BEXP|9LIT
53	41411 22316	   	277.25	DCR|4VULN|1LIT|1MLV|1ASPD	137aVULN|23CGEN|3BPWR|4MLV|5ASPD|6RCR|8LIT|9DLOT
54	42211 21532	   	277.25	DCR|4VULN|1LIT|1MLV|1ASPD	138aVULN|2TLV|4MLV|5ASPD|6RCR|7BEXP|9LIT
55	42211 22362	   	277.25	DCR|4VULN|1LIT|1MLV|1ASPD	137aVULN|2TLV|4MLV|5ASPD|6RCR|8LIT|9BEXP
56	42211 22432	   	277.25	DCR|4VULN|1LIT|1MLV|1ASPD	137aVULN|2TLV|4MLV|5ASPD|6RCR|8BEXP|9LIT
57	42411 22316	   	277.25	DCR|4VULN|1LIT|1MLV|1ASPD	137aVULN|23TLV|3BPWR|4MLV|5ASPD|6RCR|8LIT|9DLOT
58	42211 22316	   	277.15	DCR|4VULN|1LIT|1MLV|1ASPD	137aVULN|2TLV|4MLV|5ASPD|6RCR|8LIT|9DLOT
59	42221 63125	   	277.07	DCR|4VULN|1LIT|1DMG|1CDMG|1ASPD	1356VULN|2TLV|4CDMG|7RCR|8DMG|9ASPD|aLIT
60	11252 23313	   	275.91	DCR|3LIT|3VULN|2CDMG	135LIT|23CDMG|3BPWR|4ZMB|67aVULN|8RCR|9RMIN
61	11252 23361	   	275.91	DCR|3LIT|3VULN|2CDMG	135LIT|23CDMG|3BPWR|4ZMB|679VULN|8RCR|aBEXP
62	11252 23362	   	275.91	DCR|3LIT|3VULN|2CDMG	135LIT|23CDMG|3BPWR|4ZMB|679VULN|8RCR|aCGEN
63	11252 23363	   	275.91	DCR|3LIT|3VULN|2CDMG	135LIT|23CDMG|3BPWR|4ZMB|679VULN|8RCR|aFEWX
64	11252 23364	   	275.91	DCR|3LIT|3VULN|2CDMG	135LIT|23CDMG|3BPWR|4ZMB|679VULN|8RCR|aDMSP
65	11252 23365	   	275.91	DCR|3LIT|3VULN|2CDMG	135LIT|23CDMG|3BPWR|4ZMB|679VULN|8RCR|aRCVC
66	32651 37143	 * 	275.91	DCR|2MLV|1LIT|2VULN|2DMG	19DUST|29VULN|3SNITOX|48DMG|59MLV|6MBVNT|7RCR|9BPWR|aLIT
67	11212 46263	 * 	275.53	DCR|3LIT|2DMG|1VULN|2CDMG|1ASPD	135LIT|23CDMG|3BPWR|4CGEN|6RCR|7aDMG|8VULN|9ASPD
68	63361 23124	   	275.08	DCR|2LIT|4VULN|3CDMG	1BELT|28aCDMG|3ERES|48LIT|5678VULN|8BPWR|9RCR
