0	Index      	 *	Score 	Summary	Detail	
1	33424 21324	 * 	302.32	DCR|2LIT|2MLV|3VULN|1CDMG	1FEWX|28LIT|357VULN|4CDMG|6aMLV|9RCR
24	33411 13261	   	275.18	DCR|2MLV|3VULN|1LIT|1DMG	19FEWX|2LIT|389VULN|4CGEN|5DMG|6AART|79MLV|9BPWR|aRCR
25	33431 13261	   	275.18	DCR|2MLV|3VULN|1LIT|1DMG	19FEWX|2LIT|389VULN|4TLV|5DMG|6AART|79MLV|9BPWR|aRCR
26	63411 13261	   	275.18	DCR|2MLV|3VULN|1LIT|1DMG	19BEXP|2LIT|389VULN|4CGEN|5DMG|6AART|79MLV|9BPWR|aRCR
27	63431 13261	   	275.18	DCR|2MLV|3VULN|1LIT|1DMG	19BEXP|2LIT|389VULN|4TLV|5DMG|6AART|79MLV|9BPWR|aRCR
28	33311 51513	   	274.21	DCR|2LIT|2MLV|2DMG|1VULN	1FEWX|29LIT|3LHND|4CGEN|59DMG|6RCR|7BEXP|89MLV|9BPWR|aVULN
29	13111 51513	   	274.06	DCR|2LIT|2MLV|2DMG|1VULN	1LHND|29LIT|3DUST|4CGEN|59DMG|6RCR|7BEXP|89MLV|9BPWR|aVULN
30	13111 54513	   	274.06	DCR|2LIT|2MLV|2DMG|1VULN	1LHND|29LIT|3DUST|4CGEN|59DMG|6RCR|7FEWX|89MLV|9BPWR|aVULN
31	33311 55513	   	274.06	DCR|2LIT|2MLV|2DMG|1VULN	1FEWX|29LIT|3LHND|4CGEN|59DMG|6RCR|7DUR|89MLV|9BPWR|aVULN
32	25633 12343	 * 	273.90	DCR|2LIT|2VULN|2ASPD|1DMG|2CDMG	1RPLT|27VULN|37LIT|4DUR|5DMG|67CDMG|7BPWR|8aASPD|9RCR
33	33424 23322	   	273.48	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1FEWX|28LIT|35VULN|4CDMG|6MLV|7RCVC|9RCR|aDMG
34	33425 21322	   	273.48	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	15FEWX|28LIT|37VULN|4CDMG|6MLV|9RCR|aDMG
35	13424 21422	   	272.75	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	18LHND|2LIT|357VULN|4CDMG|6MLV|9RCR|aDMG
36	33424 21222	   	272.75	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	18FEWX|2LIT|357VULN|4CDMG|6MLV|9RCR|aDMG
37	42212 53114	   	272.54	DCR|2LIT|3VULN|1MLV	1ZMB|256VULN|3RCVC|46LIT|6BPWR|7RCR|89RPLT|aMLV
38	42212 33453	   	272.44	DCR|2LIT|3VULN|1MLV	1ZMB|259VULN|3RCVC|46LIT|7RCR|8LHND|aMLV
39	42212 53323	   	272.44	DCR|2LIT|3VULN|1MLV	1ZMB|256VULN|3RCVC|46LIT|6BPWR|7RCR|8ERES|9CGEN|aMLV
40	42212 53331	   	272.44	DCR|2LIT|3VULN|1MLV	1ZMB|256VULN|3RCVC|46LIT|6BPWR|7RCR|8ERES|9BEXP|aMLV
41	42212 53315	   	272.34	DCR|2LIT|3VULN|1MLV	1ZMB|256VULN|3RCVC|46LIT|6BPWR|7RCR|89ERES|aMLV
42	42212 53351	   	272.34	DCR|2LIT|3VULN|1MLV	1ZMB|256VULN|3RCVC|46LIT|6BPWR|7RCR|8ERES|9MBVNT|aMLV
