0	Index      	 *	Score 	Summary	Detail	
1	53623 51123	 * 	283.49	DCR|2LIT|2MLV|2VULN|1FLTARM	1RCVC|27MLV|34VULN|5ERES|6FLTARM|89LIT|aRCR
50	63612 22135	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	1RPLT|25VULN|36LIT|4MLV|7FEWX|8RCR|9DMG|aDUST
51	51121 52251	 * 	261.31	DCR|2LIT|3VULN|2ASPD	15RCVC|248VULN|37ASPD|6RCR|9aLIT
52	63612 32111	   	260.90	DCR|3VULN|1LIT|1MLV|1DMG	1RPLT|256VULN|3LIT|4MLV|7FEWX|8RCR|9DMSP|aDMG
53	63612 32131	   	260.90	DCR|3VULN|1LIT|1MLV|1DMG	1RPLT|256VULN|3LIT|4MLV|7FEWX|8RCR|9DMG|aCGEN
54	63612 32132	   	260.90	DCR|3VULN|1LIT|1MLV|1DMG	1RPLT|256VULN|3LIT|4MLV|7FEWX|8RCR|9DMG|aLWND
55	63612 32134	   	260.90	DCR|3VULN|1LIT|1MLV|1DMG	1RPLT|256VULN|3LIT|4MLV|7FEWX|8RCR|9DMG|aBEXP
56	63612 32136	   	260.90	DCR|3VULN|1LIT|1MLV|1DMG	1RPLT|256VULN|3LIT|4MLV|7FEWX|8RCR|9DMG|aDMSP
57	63612 32151	   	260.90	DCR|3VULN|1LIT|1MLV|1DMG	1RPLT|256VULN|3LIT|4MLV|7FEWX|8RCR|9RCVC|aDMG
58	63612 32161	   	260.90	DCR|3VULN|1LIT|1MLV|1DMG	1RPLT|256VULN|3LIT|4MLV|7FEWX|8RCR|9LWND|aDMG
59	63612 32133	   	260.80	DCR|3VULN|1LIT|1MLV|1DMG	1RPLT|256VULN|3LIT|4MLV|7FEWX|8RCR|9DMG|aERES
60	63612 32135	   	260.80	DCR|3VULN|1LIT|1MLV|1DMG	1RPLT|256VULN|3LIT|4MLV|7FEWX|8RCR|9DMG|aDUST
61	51532 52123	   	260.76	DCR|3LIT|3VULN|1ASPD	1RCVC|258VULN|346LIT|7RMIN|9RCR|aASPD
62	26241 24232	   	260.66	DCR|3LIT|2VULN|1MLV|1DUR	1DUR|2RPLT|36VULN|4BELT|568LIT|6BPWR|7RCR|9CGEN|aMLV
63	51532 43333	   	260.46	DCR|3LIT|2VULN|1MLV	1RCVC|25VULN|34aLIT|6SNITOX|7RCR|8ERES|9MLV
64	63622 32142	   	260.45	DCR|2LIT|2VULN|1MLV|1CDMG	1RPLT|24VULN|34LIT|4BPWR|5LWND|6MLV|7ZMB|8FEWX|9RCR|aCDMG
65	22214 61333	   	259.84	DCR|1LIT|2VULN|2DMG|1MLV|1DUR	1DUR|2VENTOX|38VULN|4LIT|5aDMG|6RCR|7LWND|9MLV
66	13531 25223	 * 	259.35	DCR|2LIT|3ASPD|1MLV|1DMG|3ZMB	178ZMB|278ASPD|34LIT|5MLV|678LWND|78BPWR|9RCR|aDMG
67	63622 25223	   	259.06	DCR|3LIT|3VULN|1ASPD	1RPLT|246VULN|349LIT|4BPWR|5LWND|7CGEN|8ASPD|aRCR
68	63622 26123	   	259.06	DCR|3LIT|3VULN|1ASPD	1RPLT|246VULN|349LIT|4BPWR|5LWND|7ASPD|8RMIN|aRCR
69	63622 36112	   	258.96	DCR|3LIT|2VULN|1MLV	1RPLT|24VULN|34aLIT|4BPWR|5LWND|6MLV|7RCVC|8RCR|9AART
70	63622 23223	   	258.96	DCR|3LIT|3VULN|1ASPD	1RPLT|246VULN|349LIT|4BPWR|5LWND|7ERES|8ASPD|aRCR
71	63612 22142	   	258.76	DCR|3LIT|2VULN|1MLV	1RPLT|25VULN|36aLIT|4MLV|7FEWX|8RCR|9VENICY
72	51261 22114	   	258.14	DCR|1LIT|2VULN|2DMG|1MLV	1RCVC|28VULN|3FEWX|49DMG|5BEXP|6MLV|7RCR|aLIT
73	63621 36131	   	257.67	DCR|2LIT|2VULN|1MLV|1AART|1SELL	1RPLT|24VULN|34LIT|4BPWR|5CGEN|6TLV|7MLV|8RCR|9SELL|aAART
74	63622 13141	   	257.06	DCR|3LIT|2VULN|1MLV	1RPLT|24VULN|34aLIT|4BPWR|5LWND|6CGEN|7DUST|8MLV|9RCR
75	63622 33241	   	257.06	DCR|3LIT|2VULN|1MLV	1RPLT|24VULN|34aLIT|4BPWR|5LWND|6MLV|7DUST|8CGEN|9RCR
76	63622 33341	   	257.06	DCR|3LIT|2VULN|1MLV	1RPLT|24VULN|34aLIT|4BPWR|5LWND|6MLV|7DUST|8TLV|9RCR
77	63626 22312	   	256.88	DCR|3LIT|2VULN|1DMG|1ASPD	1RPLT|24VULN|346LIT|4BPWR|5RMIN|7DMG|8ASPD|9DUST|aRCR
78	51261 22161	   	256.81	DCR|1LIT|2VULN|1MLV|1DMG|1AART	1RCVC|28VULN|3FEWX|4DMG|5BEXP|6MLV|7RCR|9LIT|aAART
79	21116 51162	 * 	256.42	ACR|2LIT|2VULN|2DMG|1MLV|3DUR	179DUR|27BEXP|39DMG|4RCR|5SNITOX|67LIT|79BPWR|89VULN|aMLV
80	31162 42161	 * 	256.40	DCR|4VULN|1LIT|1DMG|2ZMB	1CANARM|24ZMB|3457VULN|4BPWR|6AART|8DMG|9RCR|aLIT
81	13532 63216	   	255.91	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1ZMB|2ASPD|34LIT|5VULN|6BLASTR|7AART|8RCR|9MLV|aDMG
82	32552 21511	   	255.81	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1CANARM|2DUST|34VULN|5CGEN|6RCR|7ASPD|8LIT|9DMG|aMLV
83	33136 21511	   	255.81	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1CANARM|2RMIN|34VULN|5DUST|6RCR|7ASPD|8LIT|9DMG|aMLV
84	33136 22541	   	255.81	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1CANARM|2RMIN|34VULN|5DUST|6RCR|7DMG|8LIT|9ASPD|aMLV
85	33166 21511	   	255.81	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	14CANARM|2RMIN|34VULN|4BPWR|5DUST|6RCR|7ASPD|8LIT|9DMG|aMLV
86	13511 34256	 * 	255.59	DCR|1LIT|2VULN|2DMG|2ASPD	1ZMB|2aASPD|3LIT|4BEXP|5MBVNT|6aVULN|7LWND|8aDMG|9RCR|aBPWR
87	13231 33256	   	255.49	DCR|1LIT|2VULN|2DMG|2ASPD	1ZMB|2aASPD|3DUST|4LIT|5MBVNT|6aVULN|7BEXP|8aDMG|9RCR|aBPWR
88	13231 34256	   	255.49	DCR|1LIT|2VULN|2DMG|2ASPD	1ZMB|2aASPD|3DUST|4LIT|5MBVNT|6aVULN|7LHND|8aDMG|9RCR|aBPWR
89	63612 25342	   	255.16	DCR|3LIT|2VULN|1MLV	1RPLT|25VULN|367LIT|4MLV|8MBVNT|9LWND|aRCR
90	51532 31412	   	255.11	DCR|2LIT|2VULN|1MLV|1CDMG	1RCVC|25VULN|34LIT|6MLV|7ERES|8RCR|9FEWX|aCDMG
91	33551 24242	 * 	255.10	DCR|2MLV|3VULN|1LIT	17CANARM|2RMIN|3ZMB|4MBVNT|579VULN|67MLV|7BPWR|8LIT|aRCR
92	63621 36132	   	255.07	DCR|2LIT|2VULN|1MLV|1ASPD|1SELL	1RPLT|24VULN|34LIT|4BPWR|5CGEN|6TLV|7MLV|8RCR|9SELL|aASPD
93	63612 25312	   	255.06	DCR|3LIT|2VULN|1MLV	1RPLT|25VULN|367LIT|4MLV|8MBVNT|9DUST|aRCR
94	51532 31421	   	255.01	DCR|2LIT|2VULN|1MLV|1ASPD	1RCVC|25VULN|34LIT|6MLV|7ERES|8RCR|9NUKE|aASPD
95	51532 31432	   	255.01	DCR|2LIT|2VULN|1MLV|1CDMG|1DUR	1RCVC|25VULN|34LIT|6MLV|7ERES|8RCR|9DUR|aCDMG
96	32512 23152	   	254.91	DCR|2LIT|2VULN|1MLV|1CDMG	1CANARM|29DUST|36VULN|45LIT|7CDMG|8RCR|aMLV
97	32513 23162	   	254.91	DCR|2LIT|2VULN|1MLV|1CDMG	1CANARM|25DUST|36VULN|49LIT|7CDMG|8RCR|aMLV
98	51151 22162	   	254.21	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1RCVC|28VULN|3ASPD|4FEWX|5BEXP|6MLV|7RCR|9LIT|aDMG
99	51261 22162	   	254.21	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1RCVC|28VULN|3FEWX|4DMG|5BEXP|6MLV|7RCR|9LIT|aASPD
100	51532 43331	   	253.74	DCR|2LIT|2MLV|2VULN	1RCVC|25VULN|34LIT|6SNITOX|7RCR|8ERES|9aMLV
101	41133 11166	 * 	253.64	DCR|2LIT|2MLV|2FLTARM|1CDMG	12aCGEN|3DUST|4aMLV|5CDMG|69LIT|7aFLTARM|8RCR|aBPWR
102	42133 11166	   	253.64	DCR|2LIT|2MLV|2FLTARM|1CDMG	12aCGEN|2aBPWR|3DUST|4aMLV|5CDMG|69LIT|7aFLTARM|8RCR
103	43133 11166	   	253.64	DCR|2LIT|2MLV|2FLTARM|1CDMG	1aCGEN|2RCVC|3DUST|4aMLV|5CDMG|69LIT|7aFLTARM|8RCR|aBPWR
104	53133 11166	   	253.64	DCR|2LIT|2MLV|2FLTARM|1CDMG	1RCVC|2aMLV|3DUST|4aTLV|5CDMG|69LIT|7aFLTARM|8RCR|aBPWR
