0	Index      	 *	Score 	Summary	Detail	
1	32331 53614	 * 	310.18	DCR|2VULN|2LIT|2MLV|1TLV|1DMG|1RPLT	1RPLT|28MLV|38VULN|4DMG|5AAC|6DUR|78LIT|8BPWR|9TLV|aRCR
19	33316 32116	   	284.27	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1RPLT|2CGEN|35VULN|46TLV|7LIT|8FEWX|9MLV|aRCR
20	32316 33217	   	284.17	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1RPLT|2MLV|35VULN|46TLV|7MBVNT|8LWND|9RCR|aLIT
21	32316 36316	   	284.17	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1RPLT|2MLV|35VULN|46TLV|7RCR|8FEWX|9LEGI|aLIT
22	32313 25265	   	284.17	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1RPLT|2MLV|36VULN|48TLV|5BEXP|7MBVNT|9LIT|aRCR
23	32316 32116	   	284.17	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1RPLT|2MLV|35VULN|46TLV|7LIT|8FEWX|9AME|aRCR
24	32316 33265	   	284.17	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1RPLT|2MLV|35VULN|46TLV|7MBVNT|8LWND|9LIT|aRCR
25	32316 33425	   	284.17	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1RPLT|2MLV|35VULN|46TLV|7MBVNT|8LIT|9LWND|aRCR
26	32316 33435	   	284.17	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1RPLT|2MLV|35VULN|46TLV|7MBVNT|8LIT|9FEWX|aRCR
27	32321 14112	   	284.17	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1RPLT|2MLV|35VULN|4LSRHEA|6LIT|7ZMB|8aTLV|9RCR
28	32521 14112	   	284.17	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1RPLT|2MLV|3MSLTOX|45VULN|6LIT|7ZMB|8aTLV|9RCR
29	33316 32216	   	284.17	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1RPLT|2CGEN|35VULN|46TLV|7LIT|8LEGI|9MLV|aRCR
30	35311 16363	 * 	284.07	ACR|3MLV|2TLV|2LIT|1VULN|1RPLT|2DUR	1RPLT|2aLIT|358MLV|4RCR|6VULN|7aTLV|9aDUR|aBPWR
31	32314 25217	   	284.07	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1RPLT|2MLV|36VULN|48TLV|5DUST|7MBVNT|9RCR|aLIT
32	32316 32216	   	284.07	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1RPLT|2MLV|35VULN|46TLV|7LIT|8LEGI|9AME|aRCR
33	32316 36216	   	284.07	DCR|2VULN|2TLV|1LIT|1MLV|1RPLT	1RPLT|2MLV|35VULN|46TLV|7RCR|8DUST|9LEGI|aLIT
34	32316 33311	 * 	283.88	DCR|3VULN|2TLV|1MLV|1RPLT	1RPLT|2MLV|35aVULN|46TLV|7MBVNT|8DUR|9RCR
35	32316 33336	   	283.88	DCR|3VULN|2TLV|1MLV|1RPLT	1RPLT|2MLV|359VULN|46TLV|7MBVNT|8DUR|aRCR
36	32316 65211	   	283.88	DCR|3VULN|2TLV|1MLV|1RPLT	1RPLT|2MLV|35aVULN|48TLV|6DUR|7MBVNT|9RCR
37	32316 36613	   	283.80	DCR|2VULN|2TLV|1MLV|1RPLT|1ASPD	1RPLT|2MLV|35VULN|46TLV|7RCR|8AART|9ASPD|aDUR
38	32316 36334	   	281.90	DCR|2VULN|2TLV|1MLV|1DMG|1RPLT	1RPLT|2MLV|35VULN|46TLV|7RCR|8FEWX|9BBNT|aDMG
39	32316 33318	   	281.80	DCR|2VULN|2TLV|1MLV|1DMG|1RPLT	1RPLT|2MLV|35VULN|46TLV|7MBVNT|8DUR|9RCR|aDMG
40	32316 36234	   	281.80	DCR|2VULN|2TLV|1MLV|1DMG|1RPLT	1RPLT|2MLV|35VULN|46TLV|7RCR|8DUST|9BBNT|aDMG
