0	Index      	 *	Score 	Summary	Detail	
1	21224 43235	 * 	344.50	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR|1SELL	1TLV|2SELL|3RPLT|46VULN|5RCR|7DUR|8BBNT|9CDMG|aMDPS
46	26411 53122	   	320.57	DCR|1MDPS|1VULN|2TLV|1DUR	14TLV|2MLV|3DUST|5LHND|6LWND|7VULN|8RCR|9DUR|aMDPS
47	31236 42521	 * 	318.30	ACR|2VULN|1MDPS|1CDMG|1DUR|1SELL	1CGEN|2SELL|3RPLT|4RCR|5DUST|69VULN|7CDMG|8DUR|aMDPS
48	25623 33612	 * 	318.23	DCR|3VULN|1MDPS|2TLV|1DUR	15TLV|2FEWX|3CGEN|45aVULN|5BPWR|6MDPS|7RCR|8RAT|9DUR
49	22623 66131	   	318.13	3VULN|1MDPS|2TLV|1DUR	15TLV|2LWND|3CGEN|456VULN|5BPWR|7VENICY|8BBNT|9DUR|aMDPS
50	21261 34241	   	317.88	DCR|3VULN|2TLV|1DUR|1SELL	15TLV|2SELL|3RPLT|45BLASTR|5BPWR|678VULN|9DUR|aRCR
51	21224 41226	 * 	317.10	ACR|2VULN|1MDPS|1TLV|1DUR|1SELL	1TLV|2SELL|3RPLT|46VULN|5RCR|7BEXP|8BBNT|9DUR|aMDPS
52	21224 43216	 * 	317.10	ACR|2VULN|1MDPS|1TLV|1DUR|1SELL	1TLV|2SELL|3RPLT|46VULN|5RCR|7DUR|8BBNT|9FEWX|aMDPS
53	21523 25326	 * 	315.69	DCR|1MDPS|1VULN|2DUR|1TLV|1SELL	1TLV|2SELL|3ASPD|46DUR|5BBNT|7RCR|8MBVNT|9VULN|aMDPS
54	25623 33212	 * 	315.49	DCR|2VULN|1MDPS|2TLV|1CDMG|1DUR|1AART	15TLV|2FEWX|3CGEN|45VULN|5BPWR|6MDPS|7RCR|8DUR|9AART|aCDMG
55	26325 33212	   	315.49	DCR|2VULN|1MDPS|2TLV|1CDMG|1DUR|1AART	15TLV|2MLV|3FEWX|45VULN|5BPWR|6MDPS|7RCR|8DUR|9AART|aCDMG
