0	Index      	 *	Score 	Summary	Detail	
1	32231 15214	 * 	394.89	DCR|3VULN|1MDPS|1DMG|1DUR	1LWND|2DMG|367VULN|4DUR|5ASPD|8RCR|9AEFBLL|aMDPS
15	15213 13214	   	377.41	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1DUR|2TLV|36VULN|4AAC|5DMG|7MLV|8RCR|9AEFBLL|aMDPS
16	15263 84443	   	377.31	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1DUR|2TLV|38VULN|4FEWX|5MBVNT|6RCR|7DMG|9DUST|aMDPS
17	15513 11224	   	377.31	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1DUR|2TLV|3ASPD|4DUST|5DMG|69VULN|7AAC|8RCR|aMDPS
18	33423 84443	   	377.31	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR|1MSE	1LWND|28VULN|3DUR|4TLV|5MBVNT|6RCR|7DMG|9MSE|aMDPS
19	12226 14224	   	374.93	DCR|3VULN|1MDPS|1DUR	1DUR|2ZMB|369VULN|4BEXP|5AAC|7DUST|8RCR|aMDPS
20	12226 15214	   	374.93	DCR|3VULN|1MDPS|1DUR	1DUR|2ZMB|367VULN|4BEXP|5AAC|8RCR|9AEFBLL|aMDPS
21	12221 14224	   	374.83	DCR|3VULN|1MDPS|1DUR	1DUR|2ZMB|369VULN|4BEXP|5ASPD|7DUST|8RCR|aMDPS
22	12221 15214	   	374.83	DCR|3VULN|1MDPS|1DUR	1DUR|2ZMB|367VULN|4BEXP|5ASPD|8RCR|9AEFBLL|aMDPS
23	12222 14224	   	374.83	DCR|3VULN|1MDPS|1DUR	1DUR|2ZMB|369VULN|4BEXP|5NUKE|7DUST|8RCR|aMDPS
24	12222 15214	   	374.83	DCR|3VULN|1MDPS|1DUR	1DUR|2ZMB|367VULN|4BEXP|5NUKE|8RCR|9AEFBLL|aMDPS
25	12261 14324	   	374.83	DCR|3VULN|1MDPS|1DUR	1DUR|2ZMB|369VULN|4FEWX|5ASPD|7DUST|8RCR|aMDPS
26	12261 15214	   	374.83	DCR|3VULN|1MDPS|1DUR	1DUR|2ZMB|367VULN|4FEWX|5ASPD|8RCR|9AEFBLL|aMDPS
27	12262 14324	   	374.83	DCR|3VULN|1MDPS|1DUR	1DUR|2ZMB|369VULN|4FEWX|5NUKE|7DUST|8RCR|aMDPS
28	12262 15214	   	374.83	DCR|3VULN|1MDPS|1DUR	1DUR|2ZMB|367VULN|4FEWX|5NUKE|8RCR|9AEFBLL|aMDPS
29	33431 16215	   	374.83	DCR|3VULN|1MDPS|1DUR	15LWND|267VULN|3DUR|4MBVNT|8RCR|9AEFBLL|aMDPS
30	33431 16241	   	374.83	DCR|3VULN|1MDPS|1DUR|1AART	15LWND|267VULN|3DUR|4MBVNT|8RCR|9MDPS|aAART
31	33431 16242	   	374.83	DCR|3VULN|1MDPS|1DUR	15LWND|267VULN|3DUR|4MBVNT|8RCR|9MDPS|aBEXP
32	33431 16243	   	374.83	DCR|3VULN|1MDPS|1DUR	15LWND|267VULN|3DUR|4MBVNT|8RCR|9MDPS|aRMIN
33	33431 16244	   	374.83	DCR|4VULN|1MDPS|1DUR	15LWND|267aVULN|3DUR|4MBVNT|8RCR|9MDPS
34	33431 16246	   	374.83	DCR|3VULN|1MDPS|1DUR	15LWND|267VULN|3DUR|4MBVNT|8RCR|9MDPS|aRPLT
35	33431 16247	   	374.83	DCR|3VULN|1MDPS|1DUR	15LWND|267VULN|3DUR|4MBVNT|8RCR|9MDPS|aZMB
36	33431 16248	   	374.83	DCR|3VULN|1MDPS|1DUR	15LWND|267VULN|3DUR|4MBVNT|8RCR|9MDPS|aBBNT
37	33421 32154	 * 	374.24	DCR|2VULN|1MDPS|2TLV|1DUR	18LWND|27VULN|3DUR|49TLV|5ASPD|6RCR|aMDPS
38	33422 32154	   	374.24	DCR|2VULN|1MDPS|2TLV|1DUR	18LWND|27VULN|3DUR|49TLV|5NUKE|6RCR|aMDPS
39	15215 32314	   	374.24	DCR|2VULN|1MDPS|2TLV|1DUR	1DUR|28TLV|37VULN|4AAC|5FEWX|6RCR|9AEFBLL|aMDPS
40	15261 32314	   	374.14	DCR|2VULN|1MDPS|2TLV|1DUR	1DUR|28TLV|37VULN|4FEWX|5ASPD|6RCR|9AEFBLL|aMDPS
41	15262 32314	   	374.14	DCR|2VULN|1MDPS|2TLV|1DUR	1DUR|28TLV|37VULN|4FEWX|5NUKE|6RCR|9AEFBLL|aMDPS
42	13136 16115	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	17DUR|27ERES|3MGNBOS|4CDMG|57VULN|6TBNT|7BPWR|8BEXP|9RCR|aMDPS
43	12223 15225	   	369.80	DCR|2VULN|1MDPS|2DUR|1TLV	16DUR|2ZMB|39VULN|4BEXP|5MBVNT|7TLV|8RCR|aMDPS
44	12263 15225	   	369.80	DCR|2VULN|1MDPS|2DUR|1TLV	16DUR|2ZMB|39VULN|4FEWX|5MBVNT|7TLV|8RCR|aMDPS
45	15263 11225	   	369.80	DCR|2VULN|1MDPS|2DUR|1TLV	16DUR|2TLV|39VULN|4FEWX|5MBVNT|7AAC|8RCR|aMDPS
46	32231 13214	 * 	368.69	DCR|2VULN|1MDPS|2DMG|1DUR	1LWND|27DMG|36VULN|4DUR|5ASPD|8RCR|9AEFBLL|aMDPS
47	32231 14344	   	368.69	DCR|2VULN|1MDPS|2DMG|1DUR	1LWND|29DMG|36VULN|4DUR|5ASPD|7DUST|8RCR|aMDPS
48	32231 35214	   	368.69	DCR|2VULN|1MDPS|2DMG|1DUR	1LWND|26DMG|37VULN|4DUR|56ASPD|6BPWR|8RCR|9AEFBLL|aMDPS
